reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit,unit_name,metric_name,metric_value,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,3.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,3.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,2.0,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,1.0,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,2.0,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,3.0,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, North",ram_harvest,3.0,"14 San Juan, North — — — — — 2 1 2 3 3",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,2.0,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,1.0,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,1.0,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,1.0,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, San Juan River",ram_harvest,0.0,"14 San Juan, San Juan River — — — — — 2 1 1 1 0",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,1.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,1.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,3.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,2.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,1.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,2.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,2.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,2.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,2.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, South",ram_harvest,1.0,"14 San Juan, South 1 1 3 2 1 2 2 2 2 1",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,2.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,1.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,2.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,1.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,3.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,5.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,7.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,8.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,11.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, Dirty Devil",ram_harvest,7.0,"12 San Rafael, Dirty Devil 2 1 2 1 3 5 7 8 11 7",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,1.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,1.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,4.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,3.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,6.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,6.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,5.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,5.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,5.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, North",ram_harvest,5.0,"12 San Rafael, North 1 1 4 3 6 6 5 5 5 5",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,7.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,7.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,7.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,6.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,7.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,12.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,10.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,13.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,12.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,12,"San Rafael, South",ram_harvest,10.0,"12 San Rafael, South 7 7 7 6 7 12 10 13 12 10",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,15.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,11.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,12.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,14.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,14.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,7.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,6.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,2.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,2.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,29,Zion,ram_harvest,2.0,29 Zion 15 11 12 14 14 7 6 2 2 2,True,True,True
