"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1085","Elk","Vernal/Bonanza","Antlerless","Archery","Female Only","100","91.0","12.0","13.2","9.0","2.9","2025","2026","harvest_2025.csv"
"EA1085","Elk","","","","","89","8.2","12.0","17.0","13.6","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1087","Elk","Vernal/Bonanza","Antlerless","Any Legal Weapon","Female Only","99","97.0","28.0","28.9","5.5","3.2","2025","2026","harvest_2025.csv"
"EA1087","Elk","","","","","91","5.9","27.0","17.0","29.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1089","Elk","Diamond Mtn","Antlerless","Any Legal Weapon","Female Only","49","46.0","10.0","21.7","4.2","2.6","2025","2026","harvest_2025.csv"
"EA1090","Elk","","","","","46","3.2","14.0","5.0","31.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1090","Elk","Diamond Mtn","Antlerless","Any Legal Weapon","Female Only","49","45.0","11.0","24.4","4.3","3.0","2025","2026","harvest_2025.csv"
"EA1094","Elk","Vernal, Mosby Mtn","Antlerless","Any Legal Weapon","Female Only","98","85.0","40.0","47.1","6.4","3.2","2025","2026","harvest_2025.csv"
"EA1101","Elk","","","","","80","4.2","52.0","20.0","64.9","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1101","Elk","Southwest Desert","Antlerless","Any Legal Weapon","Female Only","98","94.0","65.0","69.1","5.0","3.8","2025","2026","harvest_2025.csv"
"EA1106","Elk","Wasatch Mtns, Avintaquin","Antlerless","Any Legal Weapon","Female Only","194","159.0","35.0","22.0","4.0","3.1","2025","2026","harvest_2025.csv"
"EA1106","Elk","","","","","157","4.0","34.0","17.0","21.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1110","Elk","Wasatch Mtns, Salt Lake","Antlerless","Any Legal Weapon","Female Only","45","38.0","12.0","31.6","8.5","3.2","2025","2026","harvest_2025.csv"
"EA1110","Elk","","","","","35","7.9","15.0","17.0","42.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1111","Elk","","","","","27","3.7","7.0","17.0","28.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1111","Elk","Wasatch Mtns, Wallsburg","Antlerless","Any Legal Weapon","Female Only","34","32.0","2.0","6.3","5.7","2.6","2025","2026","harvest_2025.csv"
"EA1112","Elk","","","","","44","6.3","8.0","17.0","17.9","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1112","Elk","Wasatch Mtns, Wallsburg","Antlerless","Any Legal Weapon","Female Only","54","43.0","11.0","25.6","4.5","2.8","2025","2026","harvest_2025.csv"
