hunt_code,hunt_name,species,residency,draw_family,hunt_class,weapon,hunt_type,draw_pool,unit_name,boundary_id,current_points_context_available,modeled_draw_probability,guaranteed_line_points,point_creep_1yr,harvest_success_pct,average_days_hunted,average_harvest_age,current_age_3yr_average,percent_5plus,management_objective_type,management_objective_range,management_objective_status,management_objective_note,permits_2026_res,permits_2026_nr,permits_2026_total,decision_label,persona_tags,sleeper_score,sleeper_reasons,recommended_action,data_confidence,source_badges,model_version,rule_version,availability_status,harvest_source_file,harvest_source_page,age_source_file,age_source_page,age_source_table_title,age_review_status
BI6535,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0,0,0,100,4.2,,,,,,,,8,0,8,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6535,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0.3,27,0,100,4.2,,,,,,,,8,0,8,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6536,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0,0,0,66.7,4.3,,,,,,,,15,0,15,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6536,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,2.4,18,-8,66.7,4.3,,,,,,,,15,0,15,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6537,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0,28,1,90.9,3.7,,,,,,,,8,7,15,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6537,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0.5,22,-3,90.9,3.7,,,,,,,,8,7,15,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6538,"Nine Mile, Private Lands Only",Bison,Nonresident,GENERAL_BIG_GAME_OTHER,General Season,Any Legal Weapon,General Season,standard,"Nine Mile, Private Lands Only",615,true,0,,,2,2,,,,,,,,,,,STATUS / AVAILABILITY ONLY,,1,not an obvious marquee hunt name,Status/availability opportunity. Confirm current rules and availability before planning.,MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,no_quota_published,24_bg_report.pdf,159,,,,
BI6538,"Nine Mile, Private Lands Only",Bison,Resident,GENERAL_BIG_GAME_OTHER,General Season,Any Legal Weapon,General Season,standard,"Nine Mile, Private Lands Only",615,true,0,,,2,2,,,,,,,,,,,STATUS / AVAILABILITY ONLY,,1,not an obvious marquee hunt name,Status/availability opportunity. Confirm current rules and availability before planning.,MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,no_quota_published,24_bg_report.pdf,159,,,,
BI6539,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,Henry Mtns,94,true,0,,,,,,,,,,,,11,0,11,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,,,,,,
BI6539,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,Henry Mtns,94,true,0,,,,,,,,,,,,11,0,11,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,,,,,,
