reported_hunt_year,model_target_year,source_status,source_file,hunt_code,species,sex_type,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,success_rate_pct,average_days_hunted,hunter_satisfaction,harvest_permit_rate,hunter_success_rate,success_norm,satisfaction_norm,effort_inverse_signal,quality_signal_mean,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,reason_codes
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1016,Deer,Male Only,"West Desert, Vernon",Limited Entry,Archery,51,51,29,56.9,8.8,4.1,0.5686,0.5686,0.569,0.775,0.12,0.672,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1017,Deer,Male Only,"Book Cliffs, North",Limited Entry,Any Legal Weapon,128,125,117,93.6,3.7,4.1,0.9141,0.936,0.936,0.775,0.63,0.8555,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1018,Deer,Male Only,"Book Cliffs, South",Limited Entry,Any Legal Weapon,31,31,31,100,3.7,4.5,1.0,1.0,1.0,0.875,0.63,0.9375,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1019,Deer,Male Only,"Fillmore, Oak Creek LE",Limited Entry,Any Legal Weapon,40,40,38,95,4.4,3.9,0.95,0.95,0.95,0.725,0.56,0.8375,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1020,Deer,Male Only,Dolores Triangle,Limited Entry,Any Legal Weapon,12,12,12,100,4,4.4,1.0,1.0,1.0,0.85,0.6,0.925,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1022,Deer,Male Only,"San Juan, Elk Ridge",Limited Entry,Any Legal Weapon,45,45,40,88.9,4.8,3.9,0.8889,0.8889,0.889,0.725,0.52,0.807,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1023,Deer,Male Only,Diamond Mtn,Limited Entry,Any Legal Weapon,64,64,62,96.9,3.4,4.1,0.9688,0.9688,0.969,0.775,0.66,0.872,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1024,Deer,Male Only,"West Desert, Vernon",Limited Entry,Any Legal Weapon,154,151,129,85.4,4.4,3.5,0.8377,0.8543,0.854,0.625,0.56,0.7395,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1025,Deer,Male Only,Book Cliffs,Limited Entry,Muzzleloader,51,50,43,86,3.8,4.2,0.8431,0.86,0.86,0.8,0.62,0.83,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1026,Deer,Male Only,"Cache, Crawford Mtn",Limited Entry,Muzzleloader,8,8,8,100,4.8,3.9,1.0,1.0,1.0,0.725,0.52,0.8625,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1028,Deer,Male Only,Fillmore,Limited Entry on General Season,Muzzleloader,11,10,7,70,7.2,3.3,0.6364,0.7,0.7,0.575,0.28,0.6375,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1029,Deer,Male Only,"Fillmore, Oak Creek LE",Limited Entry,Muzzleloader,15,15,12,80,6,4.3,0.8,0.8,0.8,0.825,0.4,0.8125,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1030,Deer,Male Only,Kamas,Limited Entry on General Season,Muzzleloader,6,6,6,100,5.5,3.8,1.0,1.0,1.0,0.7,0.45,0.85,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1031,Deer,Male Only,Dolores Triangle,Limited Entry,Muzzleloader,4,4,4,100,6.5,4,1.0,1.0,1.0,0.75,0.35,0.875,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1032,Deer,Male Only,Monroe,Limited Entry on General Season,Muzzleloader,6,6,4,66.7,6.5,3.7,0.6667,0.6667,0.667,0.675,0.35,0.671,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1033,Deer,Male Only,Nine Mile,Limited Entry on General Season,Muzzleloader,6,6,6,100,4.5,4,1.0,1.0,1.0,0.75,0.55,0.875,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1034,Deer,Male Only,Pine Valley,Limited Entry on General Season,Muzzleloader,15,15,8,53.3,6.7,2.6,0.5333,0.5333,0.533,0.4,0.33,0.4665,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1037,Deer,Male Only,"San Juan, Elk Ridge",Limited Entry,Muzzleloader,17,16,14,87.5,4.6,3.8,0.8235,0.875,0.875,0.7,0.54,0.7875,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1038,Deer,Male Only,Diamond Mtn,Limited Entry,Muzzleloader,23,23,21,91.3,3.6,3.6,0.913,0.913,0.913,0.65,0.64,0.7815,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1039,Deer,Male Only,Yellowstone,Limited Entry on General Season,Muzzleloader,7,7,7,100,5.1,3.6,1.0,1.0,1.0,0.65,0.49,0.825,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1040,Deer,Male Only,Southwest Desert,Limited Entry on General Season,Muzzleloader,5,5,3,60,7.4,2.8,0.6,0.6,0.6,0.45,0.26,0.525,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1041,Deer,Male Only,"Wasatch Mtns, East",Limited Entry on General Season,Muzzleloader,30,30,19,63.3,5.8,3.4,0.6333,0.6333,0.633,0.6,0.42,0.6165,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1042,Deer,Male Only,"West Desert, Vernon",Limited Entry,Muzzleloader,50,50,44,88,4.6,3.7,0.88,0.88,0.88,0.675,0.54,0.7775,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1043,Deer,Male Only,Zion,Limited Entry on General Season,Muzzleloader,15,15,7,46.7,6.4,2.8,0.4667,0.4667,0.467,0.45,0.36,0.4585,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1044,Deer,Male Only,Book Cliffs,Limited Entry,Multiseason,9,9,9,100,15.3,4,1.0,1.0,1.0,0.75,0,0.875,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1045,Deer,Male Only,"Fillmore, Oak Creek LE",Limited Entry,Multiseason,3,3,3,100,30.3,3.7,1.0,1.0,1.0,0.675,0,0.8375,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1046,Deer,Male Only,"San Juan, Elk Ridge",Limited Entry,Multiseason,3,3,2,66.7,20,2.7,0.6667,0.6667,0.667,0.425,0,0.546,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1047,Deer,Male Only,Diamond Mtn,Limited Entry,Multiseason,5,5,5,100,7.6,3.8,1.0,1.0,1.0,0.7,0.24,0.85,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1048,Deer,Male Only,"West Desert, Vernon",Limited Entry,Multiseason,9,9,7,77.8,11,3.6,0.7778,0.7778,0.778,0.65,0,0.714,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1053,Deer,Male Only,Mt Dutton,Limited Entry on General Season,Muzzleloader,5,5,4,80,6.5,4,0.8,0.8,0.8,0.75,0.35,0.775,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1054,Deer,Male Only,Ogden,Limited Entry on General Season,Muzzleloader,12,11,6,54.5,6.8,4.3,0.5,0.5455,0.545,0.825,0.32,0.685,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1055,Deer,Male Only,Fishlake,Limited Entry on General Season,Muzzleloader,6,6,4,66.7,5,2.6,0.6667,0.6667,0.667,0.4,0.5,0.5335,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1056,Deer,Male Only,Book Cliffs,Conservation,Any Legal Weapon,2,2,1,50,3,5,0.5,0.5,0.5,1.0,0.7,0.75,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,DB1058,Deer,Male Only,Paunsaugunt,Cactus Buck,Any Legal Weapon,28,27,10,37,8.3,2.8,0.3571,0.3704,0.37,0.45,0.17,0.41,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
