hunt_code,hunt_name,species,sex_type,hunt_type,season,permits_2025_res,permits_2026_res,delta_res,permits_2025_nr,permits_2026_nr,delta_nr,permits_2025_total,permits_2026_total,delta_total,pct_change_total,change_status
EB3072,Wasatch Mtns,Elk,Bull,Limited Entry,Sept 16 2026 - Sept 20 2026,,54,,,6,,1680,60,-1620,-96.4%,CHANGED
DB1544,Ogden,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,9,,,1,,,10,1620,1610,16100.0%,CHANGED
DB1526,"Wasatch Mtns, West",Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,1,,,0,,,1,1580,1579,157900.0%,CHANGED
DB1586,"Wasatch Mtns, West",Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,1,,,0,,,1,1580,1579,157900.0%,CHANGED
EL3195,Diamond Mtn,Elk,Bull,Limited Entry - Private Land Only,Nov 29 2025 - Dec 14 2025 - Private Land Only,,,,,,,1580,14,-1566,-99.1%,CHANGED
PB5048,Vernal,Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,54,,,6,,1620,60,-1560,-96.3%,CHANGED
EL3144,West Desert Deep Creek,Elk,Bull,Limited Entry - Private Land Only,Nov 08 2025 - Nov 30 2025 - Private Land Only,,,,,,,1580,30,-1550,-98.1%,CHANGED
EA2013,"Wasatch Mtns, Currant Creek",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,,,,,,,620,2000,1380,222.6%,CHANGED
DB1559,Zion,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,3,1350,1347,44900.0%,CHANGED
PB5053,"Nine Mile, Range Creek",Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,4,,,0,,1350,4,-1346,-99.7%,CHANGED
EL3022,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,1350,16,-1334,-98.8%,CHANGED
DB1622,Oquirrh/Tintic,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,22,,,3,,,25,1350,1325,5300.0%,CHANGED
EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,Bull,General Season - Any Bull,Sept 12 2026 - Sept 22 2026,,,,,,,2060,750,-1310,-63.6%,CHANGED
DB1613,"Beaver, East",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,10,,,2,,,12,1320,1308,10900.0%,CHANGED
DB1525,"Wasatch Mtns, East",Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,2,,,0,,,2,1300,1298,64900.0%,CHANGED
DB1585,"Wasatch Mtns, East",Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,2,,,0,,,2,1300,1298,64900.0%,CHANGED
EL3098,Diamond Mtn,Elk,Bull,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,1300,3,-1297,-99.8%,CHANGED
EL3137,West Desert Deep Creek,Elk,Bull,Limited Entry - Private Land Only,Sept 01 2025 - Sept 30 2025 - Private Land Only,,,,,,,1300,30,-1270,-97.7%,CHANGED
DB1543,North Slope,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,10,,,1,,,11,1240,1229,11172.7%,CHANGED
PB5017,Vernal,Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,18,,,2,,1240,20,-1220,-98.4%,CHANGED
PB5309,Skull Valley South CWMU,Pronghorn,Buck,CWMU,Contact operator for 2026 season dates,1080,2,-1078,120,0,-120,1200,2,-1198,-99.8%,CHANGED
DB1547,Pine Valley,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,16,1200,1184,7400.0%,CHANGED
PB5337,Heist CWMU,Pronghorn,Buck,CWMU,Contact operator for 2026 season dates,,2,,,0,,1160,2,-1158,-99.8%,CHANGED
DB1628,Cache,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,5,,,0,,,5,1160,1155,23100.0%,CHANGED
PB5012,"North Slope, Three Corners/West Daggett",Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,10,,,1,,1160,11,-1149,-99.1%,CHANGED
DB1502,Cache,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,18,,,2,,,20,1160,1140,5700.0%,CHANGED
EL3100,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,1060,3,-1057,-99.7%,CHANGED
DB1564,Nebo,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,4,,,0,,,4,1060,1056,26400.0%,CHANGED
DB1539,La Sal Mtns,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,29,,,3,,,32,1080,1048,3275.0%,CHANGED
DB1504,Nebo,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,19,,,2,,,21,1060,1039,4947.6%,CHANGED
DB1015,Diamond Mtn,Deer,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,22,,,2,,1060,24,-1036,-97.7%,CHANGED
DB1090,"Book Cliffs, Floy Canyon",Deer,Buck,Limited Entry,Nov 07 2026 - Nov 30 2026,,6,,,1,,1040,7,-1033,-99.3%,CHANGED
GO6820,"Wasatch Mtns, Timpanogos",Mountain Goat,Hunters Choice,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,,8,,,2,,1040,10,-1030,-99.0%,CHANGED
DB1501,Box Elder,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,10,,,1,,,11,1040,1029,9354.5%,CHANGED
DB1561,Box Elder,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,19,,,2,,,21,1040,1019,4852.4%,CHANGED
EL3072,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,1040,21,-1019,-98.0%,CHANGED
DB1631,Box Elder,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,36,,,4,,,40,1040,1000,2500.0%,CHANGED
DB1546,Panguitch Lake,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,3,1000,997,33233.3%,CHANGED
PB5072,Vernal,Pronghorn,Buck,Limited Entry,Sept 23 2026 - Oct 01 2026,,18,,,2,,1000,20,-980,-98.0%,CHANGED
PB5040,"North Slope, Three Corners/West Daggett",Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,29,,,3,,960,32,-928,-96.7%,CHANGED
DB1599,Chalk Creek,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,5,,,0,,,5,880,875,17500.0%,CHANGED
DB1553,Yellowstone,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,4,,,0,,,4,840,836,20900.0%,CHANGED
DB1042,"West Desert, Vernon",Deer,Buck,Limited Entry,Sept 23 2026 - Oct 01 2026,,46,,,5,,880,51,-829,-94.2%,CHANGED
TK1020,Central Region - Private land only,Turkey,Either Sex,Fall Management,"Oct 1, 2025 - Feb 28, 2026",22,,,2,,,24,800,776,3233.3%,CHANGED
DB1105,East Canyon,Deer,Buck,Limited Entry,Nov 07 2026 - Nov 30 2026,,6,,,1,,760,7,-753,-99.1%,CHANGED
EB3100,Wasatch Mtns,Elk,Bull,Limited Entry,Sept 21 2026 - Oct 02 2026,,78,,,9,,840,87,-753,-89.6%,CHANGED
BR7308,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",,1,,,0,,750,1,-749,-99.9%,CHANGED
DB1203,Avintaquin Canyon CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,1,,,0,,750,1,-749,-99.9%,CHANGED
DB1625,Cedar/Stansbury,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,2,,,0,,,2,750,748,37400.0%,CHANGED
EB3122,Diamond Mtn,Elk,Bull,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",,3,,,0,,720,3,-717,-99.6%,CHANGED
PB5066,"North Slope, Three Corners/West Daggett",Pronghorn,Buck,Limited Entry,Sept 23 2026 - Oct 01 2026,,10,,,1,,720,11,-709,-98.5%,CHANGED
DB1552,Vernal/Bonanza,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,2,,,0,,,2,700,698,34900.0%,CHANGED
DB1795,"Wasatch Mtns, West",Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,3,,,0,,,3,701,698,23266.7%,CHANGED
BR7300,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",,9,,,1,,701,10,-691,-98.6%,CHANGED
DB1770,Box Elder,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | Early ALW: Oct 07 2026 - Oct 11 2026 | ALW: Oct 17 2026 - Oct 25 2026,10,,,1,,,11,688,677,6154.5%,CHANGED
DB1529,Zion,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,3,675,672,22400.0%,CHANGED
DB1589,Zion,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,14,675,661,4721.4%,CHANGED
DB1540,Monroe,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,1,,,0,,,1,660,659,65900.0%,CHANGED
DB1597,Zion,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,,,,,,,16,675,659,4118.8%,CHANGED
EL3196,Diamond Mtn,Elk,Bull,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,675,16,-659,-97.6%,CHANGED
PB5019,"West Desert, Riverbed",Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,18,,,2,,675,20,-655,-97.0%,CHANGED
DB1607,Morgan-South Rich,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,6,,,1,,,7,640,633,9042.9%,CHANGED
DB1016,"West Desert, Vernon",Deer,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,46,,,5,,675,51,-624,-92.4%,CHANGED
EB3073,Wasatch Mtns,Elk,Bull,Limited Entry,Nov 07 2026 - Nov 15 2026,,89,,,10,,700,99,-601,-85.9%,CHANGED
DB1207,Bear Springs CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,1,,,0,,600,1,-599,-99.8%,CHANGED
DB1513,North Slope,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,20,,,2,,,22,620,598,2718.2%,CHANGED
EB3523,Guildersleeve CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,2,,,0,,600,2,-598,-99.7%,CHANGED
EA2002,Morgan-South Rich,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,6,,,1,,,7,600,593,8471.4%,CHANGED
EB3020,Diamond Mtn,Elk,Bull,Limited Entry,Aug 15 2026 - Sept 15 2026,,25,,,3,,620,28,-592,-95.5%,CHANGED
DB1573,North Slope,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,30,,,3,,,33,620,587,1778.8%,CHANGED
DB1517,Pine Valley,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,14,600,586,4185.7%,CHANGED
DB1577,Pine Valley,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,14,600,586,4185.7%,CHANGED
DS6621,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Oct 24 2026 - Dec 25 2026,,2,,,0,,588,2,-586,-99.7%,CHANGED
DB1771,Cache,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,3,,,0,,,3,588,585,19500.0%,CHANGED
EA2004,Chalk Creek,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,,,,,,,15,600,585,3900.0%,CHANGED
DB1595,Pine Valley,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,,,,,,,16,600,584,3650.0%,CHANGED
EB3098,Diamond Mtn,Elk,Bull,Limited Entry,Sept 21 2026 - Oct 02 2026,,15,,,2,,600,17,-583,-97.2%,CHANGED
TK1003,Central Area,Turkey,Bearded,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",18,,,2,,,20,600,580,2900.0%,CHANGED
PB5021,"West Desert, Snake Valley",Pronghorn,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,23,,,3,,600,26,-574,-95.7%,CHANGED
DB1772,Manti/San Rafael,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,1,,,0,,,1,573,572,57200.0%,CHANGED
DS6620,"Pine Valley, Virgin River",Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Oct 24 2026 - Dec 25 2026,,3,,,0,,573,3,-570,-99.5%,CHANGED
DB1598,North Slope,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,54,,,6,,,60,620,560,933.3%,CHANGED
EA1110,"Wasatch Mtns, Salt Lake",Elk,Antlerless,General Season,Nov 15 2025 - Jan 31 2026,,40,,,5,,600,45,-555,-92.5%,CHANGED
DB1581,"San Juan, Abajo Mtns",Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,9,,,1,,,10,560,550,5500.0%,CHANGED
LO0015,Diamond Mtn Landowner Association,Elk,Bull,Limited Entry - Private Land Only,Nov 07 2026 - Nov 15 2026 - Valid only on property enrolled in the Diamond Mtn LOA,,,,,,,560,16,-544,-97.1%,CHANGED
EB3196,Diamond Mtn,Elk,Bull,Limited Entry,Nov 07 2026 - Nov 15 2026,,17,,,2,,560,19,-541,-96.6%,CHANGED
DB1521,"San Juan, Abajo Mtns",Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,18,,,2,,,20,560,540,2700.0%,CHANGED
GO6819,"Wasatch Mtns, Lone Peak",Mountain Goat,Hunters Choice,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,,1,,,0,,540,1,-539,-99.8%,CHANGED
DB1542,Nine Mile,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,22,,,2,,,24,560,536,2233.3%,CHANGED
EB3068,Diamond Mtn,Elk,Bull,Limited Entry,Sept 16 2026 - Sept 20 2026,,10,,,1,,540,11,-529,-98.0%,CHANGED
DB1574,Ogden,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,15,,,2,,,17,540,523,3076.5%,CHANGED
TK1007,Southern Area,Turkey,Bearded,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",21,,,2,,,23,542,519,2256.5%,CHANGED
EA1112,"Wasatch Mtns, Wallsburg",Elk,Antlerless,General Season,Dec 20 2025 - Jan 31 2026,,49,,,6,,560,55,-505,-90.2%,CHANGED
DB1549,Fishlake,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,21,520,499,2376.2%,CHANGED
PB5305,Park Valley CWMU,Pronghorn,Buck,CWMU,Contact operator for 2026 season dates,,1,,,0,,500,1,-499,-99.8%,CHANGED
DB1286,Pisgah Mountain CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,2,,,0,,500,2,-498,-99.6%,CHANGED
DB1516,Panguitch Lake,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,3,500,497,16566.7%,CHANGED
DB1576,Panguitch Lake,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,3,500,497,16566.7%,CHANGED
DB1594,Panguitch Lake,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,,,,,,,3,500,497,16566.7%,CHANGED
GO6813,"Wasatch Mtns, Provo Peak",Mountain Goat,Hunters Choice,Once-in-a-lifetime,Sept 05 2026 - Nov 25 2026,,5,,,0,,500,5,-495,-99.0%,CHANGED
EB1012,Uinta Basin Private Lands Any Bull Elk,Elk,Bull,General Season - Any Bull,Aug 01 2025 - Nov 15 2025 - Valid only on private property within the unit,6,,,0,,,6,500,494,8233.3%,CHANGED
DB1024,"West Desert, Vernon",Deer,Buck,Limited Entry,Oct 17 2026 - Oct 25 2026,,130,,,14,,620,144,-476,-76.8%,CHANGED
TK1005,Northern Area,Turkey,Bearded,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",23,,,3,,,26,500,474,1823.1%,CHANGED
EB3069,Diamond Mtn,Elk,Bull,Limited Entry,Oct 03 2026 - Oct 15 2026,,30,,,3,,500,33,-467,-93.4%,CHANGED
PB5051,"West Desert, Rush Valley",Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,32,,,4,,500,36,-464,-92.8%,CHANGED
DB1202,Antelope Creek CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,1,,,0,,450,1,-449,-99.8%,CHANGED
DB1620,Oquirrh/Tintic,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,1,,,0,,,1,450,449,44900.0%,CHANGED
EA2028,Vernal/Bonanza,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,4,,,0,,,4,450,446,11150.0%,CHANGED
EL3127,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,460,16,-444,-96.5%,CHANGED
DB1612,"Beaver, East",Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,2,,,0,,,2,440,438,21900.0%,CHANGED
PB5038,"Nine Mile, Range Creek",Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,13,,,1,,450,14,-436,-96.9%,CHANGED
BR7018,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,"March 28 - May 25, 2026",,5,,,0,,440,5,-435,-98.9%,CHANGED
DB1611,"Beaver, East",Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,5,,,0,,,5,440,435,8700.0%,CHANGED
DB1048,"West Desert, Vernon",Deer,Buck,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",,7,,,1,,440,8,-432,-98.2%,CHANGED
EB3205,East Canyon,Elk,Bull,Limited Entry,Dec 19 2026 - Dec 27 2026,,7,,,1,,440,8,-432,-98.2%,CHANGED
DB1101,East Canyon,Deer,Buck,Limited Entry,Oct 28 2026 - Nov 05 2026,,9,,,1,,440,10,-430,-97.7%,CHANGED
DB1200,Alton - Premium Buck CWMU,Deer,Buck,CWMU,Contact operator for 2026 season dates,425,3,-422,0,0,0,425,3,-422,-99.3%,CHANGED
DB1600,Chalk Creek,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,,,,,,,20,440,420,2100.0%,CHANGED
DB1295,Spring Creek/Dodge CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,382,6,-376,43,0,-43,425,6,-419,-98.6%,CHANGED
DB1522,Vernal/Bonanza,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,5,,,0,,,5,420,415,8300.0%,CHANGED
DB1602,Chalk Creek,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,,,,,,,25,440,415,1660.0%,CHANGED
EL3205,East Canyon,Elk,Bull,Limited Entry - Private Land Only,Dec 20 2025 - Dec 28 2025 - Private Land Only,,,,,,,440,28,-412,-93.6%,CHANGED
DB1601,Chalk Creek,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,,,,,,,30,440,410,1366.7%,CHANGED
EL3020,Diamond Mtn,Elk,Bull,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,420,16,-404,-96.2%,CHANGED
DB1290,Skull Crack CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,,1,,,0,,400,1,-399,-99.8%,CHANGED
EB3524,Hardscrabble CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,2,,,0,,400,2,-398,-99.5%,CHANGED
EA2012,"Wasatch Mtns, West",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,3,,,0,,,3,400,397,13233.3%,CHANGED
DB1514,Ogden,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,130,,,15,,,145,540,395,272.4%,CHANGED
DB1023,Diamond Mtn,Deer,Buck,Limited Entry,Oct 17 2026 - Oct 25 2026,,61,,,7,,460,68,-392,-85.2%,CHANGED
DB1538,Kamas,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,14,,,2,,,16,400,384,2400.0%,CHANGED
LO0011,Diamond Mtn Landowner Association,Elk,Bull,Limited Entry - Private Land Only,Aug 15 2026 - Sept 15 2026 - Valid only on property enrolled in the Diamond Mtn LOA,,,,,,,400,16,-384,-96.0%,CHANGED
DB1603,East Canyon,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,380,760,380,100.0%,CHANGED
EA1189,"Wasatch Mtns, West-Central",Elk,Antlerless,General Season,Nov 01 2025 - Nov 09 2025,,382,,,43,,45,425,380,844.4%,CHANGED
PB5050,"West Desert, Riverbed",Pronghorn,Buck,Limited Entry,Sept 12 2026 - Sept 20 2026,,73,,,8,,460,81,-379,-82.4%,CHANGED
EB3022,Wasatch Mtns,Elk,Bull,Limited Entry,Aug 15 2026 - Sept 15 2026,,130,,,15,,520,145,-375,-72.1%,CHANGED
DB1616,"Beaver, West",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,,,,,,,16,390,374,2337.5%,CHANGED
DB1621,Oquirrh/Tintic,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,72,,,8,,,80,450,370,462.5%,CHANGED
DB1047,Diamond Mtn,Deer,Buck,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",,4,,,0,,360,4,-356,-98.9%,CHANGED
DB1509,La Sal Mtns,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,9,,,1,,,10,360,350,3500.0%,CHANGED
DB1252,Ingham Peak CWMU,Deer,Buck,CWMU,Contact Operator for 2026 season dates,315,3,-312,35,0,-35,350,3,-347,-99.1%,CHANGED
DS6622,"San Juan, North",Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,,3,,,0,,349,3,-346,-99.1%,CHANGED
DB1569,La Sal Mtns,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,13,,,2,,,15,360,345,2300.0%,CHANGED
EA1026,Chalk Creek,Elk,Antlerless,General Season,Nov 08 2025 - Jan 31 2026,,315,,,35,,5,350,345,6900.0%,CHANGED
DB1773,Nebo,Deer,Buck,General Season,Archery: Aug 15 2026 - Sept 11 2026 | Muzz: Sept 23 2026 - Oct 01 2026 | ALW: Oct 17 2026 - Oct 25 2026,5,,,0,,,5,349,344,6880.0%,CHANGED
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,"March 28 - May 25, 2026",,7,,,0,,340,7,-333,-97.9%,CHANGED
EB1010,Any Bull Elk Units,Elk,Bull,General Season - Any Bull,Oct 11 2025 - Oct 17 2025,,,,,,,347,17,-330,-95.1%,CHANGED
TK1004,Northeastern Area,Turkey,Bearded,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",18,,,2,,,20,347,327,1635.0%,CHANGED
EB3520,Folley Ridge CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,2,,,0,,320,2,-318,-99.4%,CHANGED
DB1610,Morgan-South Rich,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,4,,,1,,,5,320,315,6300.0%,CHANGED
DB1609,Morgan-South Rich,Deer,Buck,General Season,Oct 07 2026 - Oct 11 2026,6,,,1,,,7,320,313,4471.4%,CHANGED
EA2020,Zion,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,,,,,,,16,320,304,1900.0%,CHANGED
EA2029,"Nine Mile, Range Creek",Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,,,,,,,450,150,-300,-66.7%,CHANGED
