reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5017,Vernal,9B,19,,19.0,13,,,,6.9,68.4,,5,13|19|19|6.9|68.4,,9B PB5017 Vernal 13 19 19 6.9 68.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,13,19,19.0,6.9,68.4,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5019,"West Desert, Riverbed",19,16,,15.0,15,,,,3.2,100.0,,5,15|16|15|3.2|100.0,,"19 PB5019 West Desert, Riverbed 15 16 15 3.2 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,15,16,15.0,3.2,100.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5020,"West Desert, Rush Valley",19,8,,8.0,2,,,,8.0,25.0,,5,2|8|8|8.0|25.0,,"19 PB5020 West Desert, Rush Valley 2 8 8 8.0 25.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,8,8.0,8.0,25.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5021,"West Desert, Snake Valley",19,20,,19.0,12,,,,4.9,61.1,,5,12|20|19|4.9|61.1,,"19 PB5021 West Desert, Snake Valley 12 20 19 4.9 61.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,12,20,19.0,4.9,61.1,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5075,"Cache, Rich",2,2,,2.0,2,,,,2.5,100.0,,5,2|2|2|2.5|100.0,,"2 PB5075 Cache, Rich 2 2 2 2.5 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,2.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5060,Diamond Mtn/Bonanza,9CD,18,,18.0,17,,,,1.8,94.4,,5,17|18|18|1.8|94.4,,9CD PB5060 Diamond Mtn/Bonanza 17 18 18 1.8 94.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,17,18,18.0,1.8,94.4,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5065,"Fillmore, Oak Creek South",21,13,,13.0,11,,,,2.8,84.6,,5,11|13|13|2.8|84.6,,"21 PB5065 Fillmore, Oak Creek South 11 13 13 2.8 84.6",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,11,13,13.0,2.8,84.6,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5059,"Nine Mile, Anthro-Myton Bench",11,29,,29.0,26,,,,2.0,89.3,,5,26|29|29|2.0|89.3,,"11 PB5059 Nine Mile, Anthro-Myton Bench 26 29 29 2.0 89.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,26,29,29.0,2.0,89.3,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5066,"North Slope, Three Corners/West Daggett",8BC,12,,11.0,9,,,,2.4,81.8,,5,9|12|11|2.4|81.8,,"8BC PB5066 North Slope, Three Corners/West Daggett 9 12 11 2.4 81.8",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,12,11.0,2.4,81.8,,,,,,
2024,2025,24_bg_report.pdf,121,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5061,"Panguitch Lake/Zion, North",28/29,8,,8.0,8,,,,2.5,100.0,,5,8|8|8|2.5|100.0,,"28/29 PB5061 Panguitch Lake/Zion, North 8 8 8 2.5 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,8,8.0,2.5,100.0,,,,,,
