reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit_name,survey_n,lambs_per_100_ewes,rams_per_100_ewes,population_estimate,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2021,2022,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",406.0,42.0,56.0,734.0,2021 406* 42 56 734,True,True,True
2022,2023,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",376.0,38.0,70.0,630.0,2024 376 38 70 630,True,True,True
2015,2016,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",88.0,21.0,63.0,147.0,2017 88 21 63 147,True,True,True
2018,2019,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",153.0,40.0,72.0,255.0,2020 153 40 72 255,True,True,True
2021,2022,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",197.0,30.0,45.0,328.0,2023 197 30 45 328,True,True,True
2024,2025,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, Escalante",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",355.0,35.0,44.0,592.0,2015 355* 35 44 592,True,True,True
2016,2017,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",484.0,37.0,65.0,807.0,2018 484* 37 65 807,True,True,True
2019,2020,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",406.0,42.0,56.0,734.0,2021 406* 42 56 734,True,True,True
2022,2023,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, West",90.0,42.0,58.0,150.0,2024 90 42 58 150,True,True,True
2015,2016,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",134.0,43.0,51.0,223.0,2017 134 43 51 223,True,True,True
2018,2019,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",96.0,47.0,41.0,160.0,2020 96 47 41 160,True,True,True
2021,2022,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",195.0,51.0,69.0,325.0,2023 195 51 69 325,True,True,True
2024,2025,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"La Sal, Potash/South Cisco",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",95.0,28.0,59.0,158.0,2022 95 28 59 158,True,True,True
2023,2024,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,6,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Beaver Dam",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",131.0,31.0,37.0,218.0,2016 131 31 37 218,True,True,True
2017,2018,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",149.0,43.0,41.0,248.0,2019 149 43 41 248,True,True,True
2020,2021,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",71.0,26.0,26.0,118.0,2022 71 26 26 118,True,True,True
2023,2024,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Pine Valley, Virgin River",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",55.0,28.0,44.0,92.0,2017 55 28 44 92,True,True,True
2018,2019,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",54.0,34.0,52.0,90.0,2020 54 34 52 90,True,True,True
2021,2022,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",53.0,52.0,78.0,88.0,2023 53 52 78 88,True,True,True
2024,2025,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, Lockhart",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",34.0,28.0,61.0,57.0,2017 34 28 61 57,True,True,True
2018,2019,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",42.0,41.0,50.0,70.0,2019 42 41 50 70,True,True,True
2020,2021,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",52.0,35.0,65.0,87.0,2020 52 35 65 87,True,True,True
2021,2022,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",43.0,38.0,67.0,72.0,2023 43 38 67 72,True,True,True
2024,2025,Desert Sheep.pdf,7,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, North",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",42.0,6.0,21.0,70.0,2017 42 6 21 70,True,True,True
2018,2019,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",46.0,21.0,18.0,77.0,2020 46 21 18 77,True,True,True
2021,2022,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",44.0,35.0,35.0,73.0,2023 44 35 35 73,True,True,True
2024,2025,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, San Juan River",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",62.0,21.0,42.0,103.0,2017 62 21 42 103,True,True,True
2018,2019,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",75.0,59.0,75.0,125.0,2020 75 59 75 125,True,True,True
2021,2022,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2022 — — — —,True,True,True
2023,2024,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",55.0,29.0,48.0,92.0,2023 55 29 48 92,True,True,True
2024,2025,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Juan, South",,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",86.0,39.0,57.0,143.0,2016 86 39 57 143,True,True,True
2017,2018,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",113.0,43.0,102.0,188.0,2019 113 43 102 188,True,True,True
2020,2021,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",158.0,44.0,73.0,263.0,2022 158 44 73 263,True,True,True
2023,2024,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,8,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"San Rafael, Dirty Devil",,,,,2024 — — — —,True,True,True
