reviewed_family,hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
BLACK_BEAR,La Sal,BR1012,684,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1012,684,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,9
BLACK_BEAR,San Juan,BR1013,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1013,710,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,10
BLACK_BEAR,Book Cliffs,BR1015,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1015,7,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,11
BLACK_BEAR,San Juan,BR1016,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1016,710,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,12
BLACK_BEAR,La Sal,BR1017,684,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1017,684,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,13
BLACK_BEAR,Black Bear Pursuit - Nonresident,BR1018,5013,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1018,5013,Either Sex,Black Bear,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 BLACK BEAR DRAW.xlsx,14
BLACK_BEAR,Beaver,BR7000,628,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7000,628,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,1,10,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,15
BLACK_BEAR,Book Cliffs Bitter Creek/South,BR7001,449,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7001,449,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",49,5,54,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,16
BLACK_BEAR,Manti North,BR7003,52,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7003,52,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",17,2,19,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,17
BLACK_BEAR,Manti South/San Rafael North,BR7004,744,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7004,744,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",18,0,18,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,18
BLACK_BEAR,Nebo,BR7005,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7005,616,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,19
BLACK_BEAR,Fillmore Pahvant,BR7007,88,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7007,88,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,20
BLACK_BEAR,Mt Dutton,BR7009,630,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7009,630,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,21
BLACK_BEAR,Panguitch Lake/Zion,BR7010,462,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7010,462,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,0,9,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,22
BLACK_BEAR,Paunsaugunt,BR7011,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7011,163,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,23
