hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status
Mt Dutton,DB1053,630,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1053,630,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT
Ogden,DB1054,609,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1054,609,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,1,14,FULL_SPLIT
Fishlake,DB1055,633,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1055,633,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,FULL_SPLIT
North Slope,DB1065,612,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1065,612,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,14,2,16,FULL_SPLIT
Box Elder,DB1077,607,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1077,607,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,FULL_SPLIT
Cache,DB1078,29,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1078,29,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,FULL_SPLIT
Manti/San Rafael,DB1079,619,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1079,619,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,40,5,45,FULL_SPLIT
Nebo,DB1080,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1080,616,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,FULL_SPLIT
La Sal Mtns,DB1081,617,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1081,617,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,8,1,9,FULL_SPLIT
Panguitch Lake,DB1083,634,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1083,634,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,FULL_SPLIT
Boulder/Kaiparowits,DB1084,455,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1084,455,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,FULL_SPLIT
