hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Panguitch Lake,EA1069,634,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1069,634,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,31,4,35,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,32
Paunsaugunt,EA1073,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1073,163,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 30 2025,18,2,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,33
Boulder East,EA1075,695,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1075,695,Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,45,5,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,34
Boulder West,EA1076,697,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1076,697,Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,45,5,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,35
Boulder-Circle Cliffs,EA1077,96,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1077,96,Antlerless,Elk,Any Legal Weapon,General Season,Oct 07 2025 - Jan 10 2026,27,3,30,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,36
Fishlake/Thousand Lakes,EA1078,175,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1078,175,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,243,27,270,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,37
Fishlake/Thousand Lakes East,EA1079,698,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1079,698,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,58,7,65,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,38
Fishlake/Thousand Lakes West,EA1080,699,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1080,699,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,54,6,60,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,39
San Juan,EA1081,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1081,710,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,112,13,125,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,40
San Juan,EA1082,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1082,710,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,112,13,125,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,41
