historical_2024_code,historical_2025_code,current_2026_code,mapping_status,mapping_confidence,hunt_name_2024,hunt_name_2025,hunt_name_2026,hunt_type_2026,weapon_2026,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,source_2024_page,source_2025_page,numeric_comparison_2024_to_2025,numeric_comparison_2025_to_2026,review_note
BR7113,BR7113,BR7113,EXACT_CODE_CURRENT,HIGH,Paunsaugunt - Any Legal Weapon,Paunsaugunt - Any Legal Weapon,Paunsaugunt,Limited Entry - Summer,Any Legal Weapon,3,0,3,3,0,3,3,0,3,42,41,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7114,BR7114,BR7114,EXACT_CODE_CURRENT,HIGH,Boulder/kaiparowits - Any Legal Weapon,Boulder/kaiparowits - Any Legal Weapon,Boulder/Kaiparowits,Limited Entry - Summer,Any Legal Weapon,20,2,22,13,1,14,13,1,14,43,42,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7115,BR7115,BR7115,EXACT_CODE_CURRENT,HIGH,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/Thousand Lakes,Limited Entry - Summer,Any Legal Weapon,6,0,6,7,0,7,7,0,7,44,43,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7116,BR7116,BR7116,EXACT_CODE_CURRENT,HIGH,San Juan - Any Legal Weapon,San Juan - Any Legal Weapon,San Juan,Limited Entry - Summer,Any Legal Weapon,25,2,27,22,2,24,22,2,24,45,44,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7117,BR7117,BR7117,EXACT_CODE_CURRENT,HIGH,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/Vernal/Bonanza,Limited Entry - Summer,Any Legal Weapon,9,0,9,5,0,5,5,0,5,46,45,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7118,BR7118,BR7118,EXACT_CODE_CURRENT,HIGH,Yellowstone - Any Legal Weapon,Yellowstone - Any Legal Weapon,Yellowstone,Limited Entry - Summer,Any Legal Weapon,5,0,5,5,0,5,5,0,5,47,46,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7119,BR7119,BR7119,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/Currant Creek",Limited Entry - Summer,Any Legal Weapon,7,0,7,5,0,5,5,0,5,48,47,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7120,BR7120,BR7120,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-Central",Limited Entry - Summer,Any Legal Weapon,23,1,24,22,1,23,22,1,23,49,48,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7121,BR7121,BR7121,EXACT_CODE_CURRENT,HIGH,Cache/ogden - Any Legal Weapon,Cache/ogden - Any Legal Weapon,Cache/Ogden,Limited Entry - Summer,Any Legal Weapon,2,0,2,4,0,4,4,0,4,50,49,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7122,BR7122,BR7122,EXACT_CODE_CURRENT,HIGH,Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon,Chalk Creek/east Canyon/morgan-south Rich -Any Legal Weapon,Chalk Creek/East Canyon/Morgan-South Rich,Limited Entry - Summer,Any Legal Weapon,6,0,6,7,0,7,7,0,7,51,50,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7123,BR7123,BR7123,EXACT_CODE_CURRENT,HIGH,"Kamas/north Slope, Summit - Any Legal Weapon","Kamas/north Slope, Summit - Any Legal Weapon","Kamas/North Slope, Summit",Limited Entry - Summer,Any Legal Weapon,6,0,6,6,0,6,6,0,6,52,51,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7124,BR7124,BR7124,EXACT_CODE_CURRENT,HIGH,"Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",Limited Entry - Summer,Any Legal Weapon,1,0,1,2,0,2,2,0,2,53,52,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7125,BR7125,BR7125,EXACT_CODE_CURRENT,HIGH,Monroe - Any Legal Weapon,Monroe - Any Legal Weapon,Monroe,Limited Entry - Summer,Any Legal Weapon,1,0,1,1,0,1,1,0,1,54,53,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
,,BR7126,CURRENT_SPLIT_CHILD_NO_PRIOR_DRAW_ROW,HIGH,,,Dolores Triangle,Limited Entry - Summer,Any Legal Weapon,,,,,,,6,0,6,,,NO_SOURCE_ON_EITHER_SIDE,LEFT_SOURCE_MISSING,Dolores Triangle current row appears as a 2026 split/addition from the old La Sal family; keep as current-only evidence.
BR7108,BR7108,BR7127,HISTORICAL_CODE_RECODED_TO_CURRENT,HIGH,La Sal - Any Legal Weapon,La Sal - Any Legal Weapon,La Sal Mtns,Limited Entry - Summer,Any Legal Weapon,25,2,27,25,2,27,25,2,27,37,36,MATCH,MATCH,Old La Sal summer any-legal-weapon row now appears as La Sal Mtns summer.
BR7200,BR7200,BR7200,EXACT_CODE_CURRENT,HIGH,Beaver - Any Legal Weapon,Beaver -Any Legal Weapon,Beaver,Limited Entry - Fall,Any Legal Weapon,8,0,8,9,1,10,9,1,10,55,54,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7201,BR7201,BR7201,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/South",Limited Entry - Fall,Any Legal Weapon,18,2,20,18,2,20,18,2,20,56,55,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7203,BR7203,BR7203,EXACT_CODE_CURRENT,HIGH,Manti North - Any Legal Weapon,Manti North - Any Legal Weapon,"Manti, North",Limited Entry - Fall,Any Legal Weapon,10,1,11,10,1,11,10,1,11,57,56,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7204,BR7204,BR7204,EXACT_CODE_CURRENT,HIGH,Manti South/san Rafael North - Any Legal Weapon,Manti South/san Rafael North - Any Legal Weapon,"Manti, South/San Rafael, North",Limited Entry - Fall,Any Legal Weapon,16,1,17,18,2,20,18,2,20,58,57,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7205,BR7205,BR7205,EXACT_CODE_CURRENT,HIGH,Nebo - Any Legal Weapon,Nebo - Any Legal Weapon,Nebo,Limited Entry - Fall,Any Legal Weapon,6,0,6,5,0,5,5,0,5,59,58,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7207,BR7207,BR7207,EXACT_CODE_CURRENT,HIGH,"Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",Limited Entry - Fall,Any Legal Weapon,1,0,1,1,0,1,1,0,1,60,59,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7210,BR7210,BR7210,EXACT_CODE_CURRENT,HIGH,Mt Dutton - Any Legal Weapon,Mt Dutton - Any Legal Weapon,Mt Dutton,Limited Entry - Fall,Any Legal Weapon,3,0,3,1,0,1,3,0,3,62,61,DIFFERS,DIFFERS,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7211,BR7211,BR7211,EXACT_CODE_CURRENT,HIGH,Nine Mile - Any Legal Weapon,Nine Mile - Any Legal Weapon,Nine Mile,Limited Entry - Fall,Any Legal Weapon,22,0,22,18,0,18,26,3,29,63,62,DIFFERS,DIFFERS,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7212,BR7212,BR7212,EXACT_CODE_CURRENT,HIGH,"North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/West Daggett",Limited Entry - Fall,Any Legal Weapon,2,0,2,2,0,2,2,0,2,64,63,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7213,BR7213,BR7213,EXACT_CODE_CURRENT,HIGH,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/Zion,Limited Entry - Fall,Any Legal Weapon,8,0,8,9,0,9,9,0,9,65,64,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7214,BR7214,BR7214,EXACT_CODE_CURRENT,HIGH,Paunsaugunt - Any Legal Weapon,Paunsaugunt - Any Legal Weapon,Paunsaugunt,Limited Entry - Fall,Any Legal Weapon,3,0,3,4,0,4,4,0,4,66,65,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7215,BR7215,BR7215,EXACT_CODE_CURRENT,HIGH,Boulder/kaiparowits - Any Legal Weapon,Boulder/kaiparowits - Any Legal Weapon,Boulder/Kaiparowits,Limited Entry - Fall,Any Legal Weapon,10,1,11,9,1,10,9,1,10,67,66,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7216,BR7216,BR7216,EXACT_CODE_CURRENT,HIGH,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/Thousand Lakes,Limited Entry - Fall,Any Legal Weapon,4,0,4,5,0,5,5,0,5,68,67,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7217,BR7217,BR7217,EXACT_CODE_CURRENT,HIGH,San Juan - Any Legal Weapon,San Juan - Any Legal Weapon,San Juan,Limited Entry - Fall,Any Legal Weapon,6,0,6,6,0,6,6,0,6,69,68,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7218,BR7218,BR7218,EXACT_CODE_CURRENT,HIGH,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/Vernal/Bonanza,Limited Entry - Fall,Any Legal Weapon,7,0,7,7,0,7,7,0,7,70,69,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7219,BR7219,BR7219,EXACT_CODE_CURRENT,HIGH,Yellowstone - Any Legal Weapon,Yellowstone - Any Legal Weapon,Yellowstone,Limited Entry - Fall,Any Legal Weapon,4,0,4,4,0,4,4,0,4,71,70,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7220,BR7220,BR7220,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon","Wasatch Mtns, Avintaquin/Currant Creek",Limited Entry - Fall,Any Legal Weapon,9,0,9,9,0,9,9,0,9,72,71,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7221,BR7221,BR7221,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-Central",Limited Entry - Fall,Any Legal Weapon,11,1,12,18,2,20,18,2,20,73,72,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7224,BR7224,BR7224,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",Limited Entry - Spring,Any Legal Weapon,9,1,10,14,1,15,14,1,15,74,73,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7225,BR7225,BR7225,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",Spot and Stalk,Any Legal Weapon,7,0,7,5,0,5,5,0,5,75,74,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7228,BR7228,BR7228,EXACT_CODE_CURRENT,HIGH,Cache/ogden - Any Legal Weapon,Cache/ogden - Any Legal Weapon,Cache/Ogden,Limited Entry - Fall,Any Legal Weapon,1,0,1,1,0,1,1,0,1,76,75,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7229,BR7229,BR7229,EXACT_CODE_CURRENT,HIGH,"Kamas/north Slope, Summit - Any Legal Weapon","Kamas/north Slope, Summit - Any Legal Weapon","Kamas/North Slope, Summit",Limited Entry - Fall,Any Legal Weapon,4,0,4,4,0,4,4,0,4,77,76,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
