current_hunt_code,database_match_status,database_boundary_id,database_species,database_hunt_name,database_sex_type,database_hunt_type,database_weapon,evidence_record_count,source_row_count,evidence_domains,source_datasets,reported_years,model_target_years,possible_fill_fields,review_statuses
BI6531,CURRENT_CODE_MATCH,889,Bison,"Book Cliffs, Little Creek/South",Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,42,762,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2024 | 2025 | 2026,2023 | 2024 | 2026,,COMPARISON_EVIDENCE
BI6532,CURRENT_CODE_MATCH,667,Bison,"Book Cliffs, Bitter Creek",Hunters Choice,Once-in-a-lifetime,Archery,46,785,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2024 | 2025 | 2026,2023 | 2024 | 2025 | 2026,,COMPARISON_EVIDENCE
BI6533,MISSING_FROM_DATABASE,,,,,,,20,203,comparison | coverage | draw_results | harvest | harvest_truth,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_v2 | draw_system_coverage_report | harvest_quality_features_all_years_by_hunt_code | harvest_results_all_years_long | predictive_coverage_report,2022 | 2023,2023 | 2024,,CROSSWALK_REQUIRED
BI6534,CURRENT_CODE_MATCH,667,Bison,"Book Cliffs, Bitter Creek",Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,46,833,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2024 | 2025 | 2026,2023 | 2024 | 2025 | 2026,,COMPARISON_EVIDENCE
BI6535,CURRENT_CODE_MATCH,667,Bison,"Book Cliffs, Bitter Creek",Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,46,809,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2024 | 2025 | 2026,2023 | 2024 | 2025 | 2026,,COMPARISON_EVIDENCE
BI6536,CURRENT_CODE_MATCH,667,Bison,"Book Cliffs, Bitter Creek",Female Only,Once-in-a-lifetime,Any Legal Weapon,46,851,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2022 | 2023 | 2024 | 2025 | 2026,2023 | 2024 | 2025 | 2026,,COMPARISON_EVIDENCE
BI6537,CURRENT_CODE_MATCH,889,Bison,"Book Cliffs, Little Creek/South",Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,38,598,comparison | coverage | draw_results | harvest | harvest_truth | permit_candidate | point_ladder | prediction,complete_2023_harvest_vs_draw_comparison | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | dwr_2025_draw_result_permit_comparison | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_quality_features_by_hunt_code_2025_for_2026 | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2023 | 2024 | 2025 | 2026,2024 | 2025 | 2026,,COMPARISON_EVIDENCE
BI6538,CURRENT_CODE_MATCH,615,Bison,"Nine Mile, Private Lands Only",Hunters Choice,General Season,Any Legal Weapon,15,105,comparison | coverage | crosswalk | draw_results | harvest | harvest_truth | point_ladder,current_to_historical_hunt_code_crosswalk_2026 | draw_reality_engine | draw_reality_engine_v2 | draw_system_coverage_report | harvest_master | harvest_quality_features_all_years_by_hunt_code | harvest_results_all_years_long | hunt_code_comparison_2025_to_2026 | point_ladder_view | predictive_coverage_report,2024 | 2025 | 2026,2025 | 2026,permits_2025_draw_total | permits_2025_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BI6539,CURRENT_CODE_MATCH,94,Bison,Henry Mtns,Female Only,Once-in-a-lifetime,Any Legal Weapon,10,74,comparison | coverage | draw_results | point_ladder,draw_reality_engine | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | point_ladder_view | predictive_coverage_report,2025 | 2026,2026,permits_2025_draw_total | permits_2025_total,COMPARISON_EVIDENCE | POSSIBLE_DATABASE_FILL
BR1000,CURRENT_CODE_MATCH,5001,Black Bear,Black Bear - Statewide Permit,Either Sex,Statewide,Any Legal Weapon,14,80,comparison | coverage | crosswalk | draw_results | permit_candidate | point_ladder | prediction,black_bear_2026_vs_2025_code_comparison | black_bear_BR_2024_2025_2026_crosswalk | draw_reality_engine | draw_reality_engine_predictive_v2 | draw_reality_engine_v2 | draw_system_coverage_report | hunt_code_comparison_2025_to_2026 | ml_draw_predictions_v1 | point_ladder_view | predictive_coverage_report,2025 | 2026,2026,,COMPARISON_EVIDENCE
