Unit,hunt_code,hunt_name,Bull harvest,Hunters afield,Mean days hunted,Success rate (%),adobe_page,hunt_type,weapon,hunt_class,table_title
21,EB1003,Fillmore,38,367,4.2,10.4,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
22,EB1003,Beaver,20,348,4,5.7,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
23,EB1003,Monroe,53,502,4,10.6,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
24,EB1003,Mt Dutton,17,201,3.5,8.5,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
25AB,EB1003,Fishlake/Thousand Lakes,102,1057,4.7,9.6,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
25C/26,EB1003,Boulder/Kaiparowits,19,279,4.2,6.8,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
28,EB1003,Panguitch Lake,45,583,4.4,7.7,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
9C,EB1003,Diamond Mtn,3,68,4.2,4.4,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
,EB1001,Statewide totals,1276,10580,4,12.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
1,EB1001,Box Elder,41,207,2.8,19.8,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
10,EB1001,Book Cliffs,2,18,3.1,11.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
11A,EB1001,"Nine Mile, Anthro",57,471,3.3,12.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
11B,EB1001,"Nine Mile, Range Creek",64,368,3.5,17.4,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
12,EB1001,San Rafael,2,18,2.2,11.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
14,EB1001,San Juan,4,36,4.1,11.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
15,EB1001,Henry Mtns,0,25,3.2,0,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
16A,EB1001,Nebo,7,171,3.2,4.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
18,EB1001,Oquirrh-Stansbury,57,477,3.4,11.9,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
19,EB1001,West Desert,49,558,3.2,8.8,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
2,EB1001,Cache,13,245,2.8,5.3,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
21,EB1001,Fillmore,14,240,3.1,5.8,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
22,EB1001,Beaver,17,227,3,7.5,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
27,EB1001,Paunsaugunt,28,309,3.5,9.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
29,EB1001,Zion,35,475,3.6,7.4,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
3,EB1001,Ogden,48,415,3,11.6,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
30,EB1001,Pine Valley,8,161,3.2,5,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
4,EB1001,Morgan-South Rich,52,392,3,13.3,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
5,EB1001,East Canyon,57,354,2.8,16.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
6,EB1001,Chalk Creek,40,362,2.9,11,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
7,EB1001,Kamas,49,872,3,5.6,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
8A,EB1001,"North Slope, Summit",156,1880,3.7,8.3,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
8B,EB1001,"North Slope, West Daggett",71,1003,3.9,7.1,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
9A,EB1001,Yellowstone,235,1450,3.6,16.2,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
9BD,EB1001,Vernal/Bonanza,170,1473,4.1,11.5,2,General-season-early,any legal weapon,general bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024."
,EB1010,Statewide totals,326,3344,3.9,9.7,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
1,EB1010,Box Elder,5,77,2.8,6.5,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
10,EB1010,Book Cliffs,0,18,1.8,0,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
11A,EB1010,"Nine Mile, Anthro",14,175,3.3,8,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
11B,EB1010,"Nine Mile, Range Creek",19,169,3.2,11.2,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
12,EB1010,San Rafael,1,10,2.8,10,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
14,EB1010,San Juan,3,14,3.8,21.4,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
15,EB1010,Henry Mtns,3,16,3.2,18.8,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
16A,EB1010,Nebo,4,71,2.5,5.6,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
18,EB1010,Oquirrh-Stansbury,14,133,3.2,10.5,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
19,EB1010,West Desert,13,174,3.2,7.5,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
2,EB1010,Cache,6,118,2.8,5.1,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
21,EB1010,Fillmore,4,68,2.5,5.9,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
22,EB1010,Beaver,1,85,3.1,1.2,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
27,EB1010,Paunsaugunt,3,84,3.3,3.6,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
29,EB1010,Zion,9,133,3.3,6.8,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
3,EB1010,Ogden,19,178,3,10.7,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
30,EB1010,Pine Valley,3,88,3.1,3.4,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
4,EB1010,Morgan-South Rich,24,188,2.7,12.8,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
5,EB1010,East Canyon,27,160,2.7,16.9,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
6,EB1010,Chalk Creek,14,128,2.9,10.9,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
7,EB1010,Kamas,13,193,2.5,6.7,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
8A,EB1010,"North Slope, Summit",25,467,3.6,5.4,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
8B,EB1010,"North Slope, West Daggett",16,290,4,5.5,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
9A,EB1010,Yellowstone,44,409,3.8,10.8,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
9BD,EB1010,Vernal/Bonanza,42,504,4,8.3,3,General-season-late,any legal weapon,general bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024."
,EB1004,Statewide totals,92,640,4.7,14.6,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
1,EB1004,Box Elder,0,1,3,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
10,EB1004,Book Cliffs,3,19,5.4,15.8,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
12,EB1004,San Rafael,0,1,2,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
13A,EB1004,"La Sal, La Sal Mtns",1,14,4.3,7.1,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
13B,EB1004,"La Sal, Dolores Triangle",,0,,,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
14,EB1004,San Juan,0,3,4.7,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
16A,EB1004,Nebo,2,35,3.5,5.7,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
16B,EB1004,Manti,16,133,4.3,12,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
17,EB1004,Wasatch Mtns,19,105,3.9,18.1,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
19,EB1004,West Desert,0,2,2.5,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
2,EB1004,Cache,2,66,4.7,3,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
20,EB1004,Southwest Desert,3,35,4.4,8.6,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
21,EB1004,Fillmore,0,12,3.5,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
22,EB1004,Beaver,2,25,5.4,8,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
23,EB1004,Monroe,5,40,3.9,12.5,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
24,EB1004,Mt Dutton,1,12,2.9,8.3,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
25AB,EB1004,Fishlake/Thousand Lakes,36,183,4.2,19.7,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
25C/26,EB1004,Boulder/Kaiparowits,2,17,3.7,11.8,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
28,EB1004,Panguitch Lake,0,17,2.8,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
9C,EB1004,Diamond Mtn,0,1,4,0,4,General Season,muzzleloader,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024."
,EB1002,Statewide totals,222,1708,4.6,13,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
1,EB1002,Box Elder,3,43,3,7,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
10,EB1002,Book Cliffs,2,8,3.3,25,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
11A,EB1002,"Nine Mile, Anthro",7,80,3.2,8.8,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
11B,EB1002,"Nine Mile, Range Creek",11,81,3.4,13.6,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
12,EB1002,San Rafael,0,3,3,0,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
14,EB1002,San Juan,3,21,3.4,14.3,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
15,EB1002,Henry Mtns,,0,,,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
16A,EB1002,Nebo,2,31,3.6,6.5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
18,EB1002,Oquirrh-Stansbury,2,40,4.2,5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
19,EB1002,West Desert,2,57,3.8,3.5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
2,EB1002,Cache,6,65,2.9,9.2,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
21,EB1002,Fillmore,5,27,3.2,18.5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
22,EB1002,Beaver,1,19,3.6,5.3,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
27,EB1002,Paunsaugunt,6,45,3.5,13.3,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
29,EB1002,Zion,5,64,3.7,7.8,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
3,EB1002,Ogden,16,136,3.7,11.8,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
30,EB1002,Pine Valley,5,40,4.1,12.5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
4,EB1002,Morgan-South Rich,21,162,3.9,13,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
5,EB1002,East Canyon,16,91,3.4,17.6,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
6,EB1002,Chalk Creek,15,81,4.4,18.5,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
7,EB1002,Kamas,5,95,3.6,5.3,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
8A,EB1002,"North Slope, Summit",7,170,4.2,4.1,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
8B,EB1002,"North Slope, West Daggett",15,163,4.8,9.2,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
9A,EB1002,Yellowstone,40,247,4.3,16.2,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
9BD,EB1002,Vernal/Bonanza,27,233,4.5,11.6,5,General-season,muzzleloader,general bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024."
