Unit,hunt_code,hunt_name,species,sex_type,Bull harvest,Hunters afield,Mean days hunted,Success rate (%),adobe_page,hunt_type,season,hunt_class,table_title,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
19,EB1003,West Desert,Elk,Bull,8,38,2.6,21.1,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
2,EB1003,Cache,Elk,Bull,20,553,4.8,3.6,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
20,EB1003,Southwest Desert,Elk,Bull,39,449,4.7,8.7,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
21,EB1003,Fillmore,Elk,Bull,38,367,4.2,10.4,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
22,EB1003,Beaver,Elk,Bull,20,348,4,5.7,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
23,EB1003,Monroe,Elk,Bull,53,502,4,10.6,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
24,EB1003,Mt Dutton,Elk,Bull,17,201,3.5,8.5,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
25AB,EB1003,Fishlake/Thousand Lakes,Elk,Bull,102,1057,4.7,9.6,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
25C/26,EB1003,Boulder/Kaiparowits,Elk,Bull,19,279,4.2,6.8,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
28,EB1003,Panguitch Lake,Elk,Bull,45,583,4.4,7.7,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
9C,EB1003,Diamond Mtn,Elk,Bull,3,68,4.2,4.4,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
,EB1001,Statewide totals,Elk,Bull,1276,10580,4,12.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
1,EB1001,Box Elder,Elk,Bull,41,207,2.8,19.8,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
10,EB1001,Book Cliffs,Elk,Bull,2,18,3.1,11.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
11A,EB1001,"Nine Mile, Anthro",Elk,Bull,57,471,3.3,12.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
11B,EB1001,"Nine Mile, Range Creek",Elk,Bull,64,368,3.5,17.4,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
12,EB1001,San Rafael,Elk,Bull,2,18,2.2,11.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
14,EB1001,San Juan,Elk,Bull,4,36,4.1,11.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
15,EB1001,Henry Mtns,Elk,Bull,0,25,3.2,0,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
16A,EB1001,Nebo,Elk,Bull,7,171,3.2,4.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
18,EB1001,Oquirrh-Stansbury,Elk,Bull,57,477,3.4,11.9,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
19,EB1001,West Desert,Elk,Bull,49,558,3.2,8.8,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
2,EB1001,Cache,Elk,Bull,13,245,2.8,5.3,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
21,EB1001,Fillmore,Elk,Bull,14,240,3.1,5.8,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
22,EB1001,Beaver,Elk,Bull,17,227,3,7.5,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
27,EB1001,Paunsaugunt,Elk,Bull,28,309,3.5,9.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
29,EB1001,Zion,Elk,Bull,35,475,3.6,7.4,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
3,EB1001,Ogden,Elk,Bull,48,415,3,11.6,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
30,EB1001,Pine Valley,Elk,Bull,8,161,3.2,5,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
4,EB1001,Morgan-South Rich,Elk,Bull,52,392,3,13.3,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
5,EB1001,East Canyon,Elk,Bull,57,354,2.8,16.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
6,EB1001,Chalk Creek,Elk,Bull,40,362,2.9,11,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
7,EB1001,Kamas,Elk,Bull,49,872,3,5.6,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
8A,EB1001,"North Slope, Summit",Elk,Bull,156,1880,3.7,8.3,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
8B,EB1001,"North Slope, West Daggett",Elk,Bull,71,1003,3.9,7.1,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
9A,EB1001,Yellowstone,Elk,Bull,235,1450,3.6,16.2,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
9BD,EB1001,Vernal/Bonanza,Elk,Bull,170,1473,4.1,11.5,2,General-season-early,,any bull,"General-season early any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_early_any_legal_any_bull,mapped_to_2024_codes
,EB1010,Statewide totals,Elk,Bull,326,3344,3.9,9.7,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
1,EB1010,Box Elder,Elk,Bull,5,77,2.8,6.5,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
10,EB1010,Book Cliffs,Elk,Bull,0,18,1.8,0,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
11A,EB1010,"Nine Mile, Anthro",Elk,Bull,14,175,3.3,8,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
11B,EB1010,"Nine Mile, Range Creek",Elk,Bull,19,169,3.2,11.2,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
12,EB1010,San Rafael,Elk,Bull,1,10,2.8,10,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
14,EB1010,San Juan,Elk,Bull,3,14,3.8,21.4,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
15,EB1010,Henry Mtns,Elk,Bull,3,16,3.2,18.8,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
16A,EB1010,Nebo,Elk,Bull,4,71,2.5,5.6,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
18,EB1010,Oquirrh-Stansbury,Elk,Bull,14,133,3.2,10.5,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
19,EB1010,West Desert,Elk,Bull,13,174,3.2,7.5,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
2,EB1010,Cache,Elk,Bull,6,118,2.8,5.1,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
21,EB1010,Fillmore,Elk,Bull,4,68,2.5,5.9,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
22,EB1010,Beaver,Elk,Bull,1,85,3.1,1.2,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
27,EB1010,Paunsaugunt,Elk,Bull,3,84,3.3,3.6,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
29,EB1010,Zion,Elk,Bull,9,133,3.3,6.8,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
3,EB1010,Ogden,Elk,Bull,19,178,3,10.7,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
30,EB1010,Pine Valley,Elk,Bull,3,88,3.1,3.4,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
4,EB1010,Morgan-South Rich,Elk,Bull,24,188,2.7,12.8,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
5,EB1010,East Canyon,Elk,Bull,27,160,2.7,16.9,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
6,EB1010,Chalk Creek,Elk,Bull,14,128,2.9,10.9,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
7,EB1010,Kamas,Elk,Bull,13,193,2.5,6.7,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
8A,EB1010,"North Slope, Summit",Elk,Bull,25,467,3.6,5.4,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
8B,EB1010,"North Slope, West Daggett",Elk,Bull,16,290,4,5.5,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
9A,EB1010,Yellowstone,Elk,Bull,44,409,3.8,10.8,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
9BD,EB1010,Vernal/Bonanza,Elk,Bull,42,504,4,8.3,3,General-season-late,,any bull,"General-season late any legal weapon any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_late_any_legal_any_bull,mapped_to_2024_codes
,EB1004,Statewide totals,Elk,Bull,92,640,4.7,14.6,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
1,EB1004,Box Elder,Elk,Bull,0,1,3,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
10,EB1004,Book Cliffs,Elk,Bull,3,19,5.4,15.8,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
12,EB1004,San Rafael,Elk,Bull,0,1,2,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
13A,EB1004,"La Sal, La Sal Mtns",Elk,Bull,1,14,4.3,7.1,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
13B,EB1004,"La Sal, Dolores Triangle",Elk,Bull,,0,,,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
14,EB1004,San Juan,Elk,Bull,0,3,4.7,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
16A,EB1004,Nebo,Elk,Bull,2,35,3.5,5.7,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
16B,EB1004,Manti,Elk,Bull,16,133,4.3,12,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
17,EB1004,Wasatch Mtns,Elk,Bull,19,105,3.9,18.1,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
19,EB1004,West Desert,Elk,Bull,0,2,2.5,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
2,EB1004,Cache,Elk,Bull,2,66,4.7,3,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
20,EB1004,Southwest Desert,Elk,Bull,3,35,4.4,8.6,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
21,EB1004,Fillmore,Elk,Bull,0,12,3.5,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
22,EB1004,Beaver,Elk,Bull,2,25,5.4,8,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
23,EB1004,Monroe,Elk,Bull,5,40,3.9,12.5,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
24,EB1004,Mt Dutton,Elk,Bull,1,12,2.9,8.3,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
25AB,EB1004,Fishlake/Thousand Lakes,Elk,Bull,36,183,4.2,19.7,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
25C/26,EB1004,Boulder/Kaiparowits,Elk,Bull,2,17,3.7,11.8,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
28,EB1004,Panguitch Lake,Elk,Bull,0,17,2.8,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
9C,EB1004,Diamond Mtn,Elk,Bull,0,1,4,0,4,General Season,,spike only,"General-season muzzleloader spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_spike,mapped_to_2024_codes
,EB1002,Statewide totals,Elk,Bull,222,1708,4.6,13,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
1,EB1002,Box Elder,Elk,Bull,3,43,3,7,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
10,EB1002,Book Cliffs,Elk,Bull,2,8,3.3,25,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
11A,EB1002,"Nine Mile, Anthro",Elk,Bull,7,80,3.2,8.8,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
11B,EB1002,"Nine Mile, Range Creek",Elk,Bull,11,81,3.4,13.6,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
12,EB1002,San Rafael,Elk,Bull,0,3,3,0,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
14,EB1002,San Juan,Elk,Bull,3,21,3.4,14.3,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
15,EB1002,Henry Mtns,Elk,Bull,,0,,,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
16A,EB1002,Nebo,Elk,Bull,2,31,3.6,6.5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
18,EB1002,Oquirrh-Stansbury,Elk,Bull,2,40,4.2,5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
19,EB1002,West Desert,Elk,Bull,2,57,3.8,3.5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
2,EB1002,Cache,Elk,Bull,6,65,2.9,9.2,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
21,EB1002,Fillmore,Elk,Bull,5,27,3.2,18.5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
22,EB1002,Beaver,Elk,Bull,1,19,3.6,5.3,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
27,EB1002,Paunsaugunt,Elk,Bull,6,45,3.5,13.3,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
29,EB1002,Zion,Elk,Bull,5,64,3.7,7.8,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
3,EB1002,Ogden,Elk,Bull,16,136,3.7,11.8,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
30,EB1002,Pine Valley,Elk,Bull,5,40,4.1,12.5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
4,EB1002,Morgan-South Rich,Elk,Bull,21,162,3.9,13,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
5,EB1002,East Canyon,Elk,Bull,16,91,3.4,17.6,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
6,EB1002,Chalk Creek,Elk,Bull,15,81,4.4,18.5,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
7,EB1002,Kamas,Elk,Bull,5,95,3.6,5.3,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
8A,EB1002,"North Slope, Summit",Elk,Bull,7,170,4.2,4.1,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
8B,EB1002,"North Slope, West Daggett",Elk,Bull,15,163,4.8,9.2,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
9A,EB1002,Yellowstone,Elk,Bull,40,247,4.3,16.2,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
9BD,EB1002,Vernal/Bonanza,Elk,Bull,27,233,4.5,11.6,5,General-season,,any bull,"General-season muzzleloader any-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_muzzleloader_any_bull,mapped_to_2024_codes
,EB1012,Uinta Basin  Any Bull Elk,Elk,Bull,,,,,,General-season,,any bull,,,,,2024_alias_uinta_basin_any_bull,mapped_to_2024_codes
