hunt_code,candidate_hunt_code,boundary_id,candidate_boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,database_hunt_code_status,source_datasets,source_files,record_kinds,source_record_count,reported_draw_year,model_target_year,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,resident_point_rows,nonresident_point_rows,resident_eligible_applicants_sum,nonresident_eligible_applicants_sum,resident_total_permits_sum,nonresident_total_permits_sum,total_public_permits_sum,total_drawn_sum,min_points,max_points,first_page,last_page,candidate_promotion_status
BR7022,BR7022,617,617,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7126,BR7126,108,108,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7127,BR7127,617,617,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7237,BR7237,629,629,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Monroe,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7238,BR7238,108,108,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7239,BR7239,617,617,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7324,BR7324,610,610,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Conservation,Multiseason,Public,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7325,BR7325,610,610,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7326,BR7326,617,617,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
CG9999,CG9999,5107,5107,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,SPORTSMAN_PERMIT_NO_DRAW_ODDS,POINT_ROW,2,2026,2027,Cougar - Statewide,Cougar,Either Sex,Statewide,Any Legal Weapon,Public,,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DA1048,DA1048,910,910,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Fillmore City,Deer,Antlerless,General Season,Archery,Public,Aug 01 2025 - Sep 04 2025,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DA1049,DA1049,909,909,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"Vernal, Ashley Valley",Deer,Antlerless,General Season,Archery,Public,Aug 16 2025 - Dec 12 2025,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DA1050,DA1050,509,509,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,The Rose of Snowville CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0001,DB0001,866,866,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southeastern Navajo Buck Deer,Deer,Buck,Tribal,Any Legal Weapon,Public,"Oct 18, 2025 - Oct 26, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0002,DB0002,866,866,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southeastern Navajo Buck Deer,Deer,Buck,Tribal,Archery,Public,"Aug 16, 2025 - Sept 12, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0003,DB0003,866,866,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southeastern Navajo Buck Deer,Deer,Buck,Tribal,Muzzleloader,Public,"Sept 24 - Oct 2, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0004,DB0004,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Navajo Buck Deer,Deer,Buck,Tribal,Any Legal Weapon,Public,"Oct 18, 2025 - Oct 26, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0005,DB0005,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Navajo Buck Deer,Deer,Buck,Tribal,Archery,Public,"Aug 16, 2025 - Sept 12, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0006,DB0006,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Navajo Buck Deer,Deer,Buck,Tribal,Muzzleloader,Public,"Sept 24 - Oct 2, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0007,DB0007,5108,5108,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,SPORTSMAN_PERMIT_NO_DRAW_ODDS,POINT_ROW,2,2026,2027,Buck Deer - Statewide Permit,Deer,Buck,Statewide,Any Legal Weapon,Public,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0008,DB0008,5109,5109,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Extended Archery Deer,Deer,Hunters Choice,Extended Archery,Archery,Public,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0009,DB0009,1,1,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Antelope Island - Conservation/Expo,Deer,Buck,Premium Limited Entry,Any Legal Weapon,Public,"Nov 9, 2026 - Nov 16, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0010,DB0010,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Paiute Buck Deer (early),Deer,Buck,Tribal,Any Legal Weapon,Public,"Oct 18, 2025 - Oct 26, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0011,DB0011,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Paiute Buck Deer,Deer,Buck,Tribal,Archery,Public,"Aug 16, 2025 - Sept 12, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0012,DB0012,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Paiute Buck Deer,Deer,Buck,Tribal,Muzzleloader,Public,"Sept 24 - Oct 2, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB0013,DB0013,865,865,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Southern Paiute Buck Deer (late),Deer,Buck,Tribal,Any Legal Weapon,Public,"Oct 18, 2025 - Oct 26, 2025",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1009,DB1009,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Henry Mtns (Management Buck Deer),Deer,Buck,Management Buck Deer,Any Legal Weapon,Public,Oct 26 2026 - Oct 30 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1056,DB1056,7,7,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Book Cliffs (North & South),Deer,Buck,Conservation,Any Legal Weapon,Public,"Oct 17, 2026 - Oct 25, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1075,DB1075,7,7,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Book Cliffs (North & South),Deer,Buck,Conservation,Archery,Public,Aug 16 2025 - Sept 12 2025,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1076,DB1076,7,7,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Book Cliffs (North & South),Deer,Buck,Conservation,Muzzleloader,Public,Sept 24 2025 - Oct 02 2025,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1100,DB1100,69,69,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Chalk Creek,Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1101,DB1101,276,276,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,East Canyon,Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1103,DB1103,117,117,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Morgan-South Rich,Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1105,DB1105,276,276,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,East Canyon,Deer,Buck,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Public,Nov 07 2026 - Nov 30 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1106,DB1106,632,632,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Thousand Lakes,Deer,Buck,Limited Entry,Restricted Archery,Public,Aug 15 2026 - Sept 11 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1107,DB1107,632,632,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Thousand Lakes,Deer,Buck,Limited Entry,Restricted Muzzleloader,Public,Sept 23 2026 - Oct 01 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1108,DB1108,632,632,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Thousand Lakes,Deer,Buck,Limited Entry,Restricted Rifle,Public,Oct 17 2026 - Oct 25 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1109,DB1109,632,632,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Thousand Lakes,Deer,Buck,Limited Entry,Restricted Multiseason,Public,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1110,DB1110,685,685,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"Beaver, East",Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1111,DB1111,672,672,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"Beaver, West",Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1112,DB1112,926,926,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"West Desert, Swasey",Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1113,DB1113,927,927,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Oquirrh/Tintic,Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1114,DB1114,925,925,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Cedar/Stansbury,Deer,Buck,Limited Entry,Muzzleloader,Public,Oct 28 2026 - Nov 05 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1115,DB1115,928,928,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Little Rockies,Deer,Buck,Limited Entry,Any Legal Weapon,Public,Nov 07 2026 - Nov 30 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1116,DB1116,929,929,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"San Juan, Mancos Mesa",Deer,Buck,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Public,Nov 07 2026 - Nov 30 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1118,DB1118,108,108,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Dolores Triangle,Deer,Buck,Conservation,Multiseason,Public,"Arch: Oct 31-Nov 13, 2026 | Any Legal Weapon: Nov 14-22, 2026 | Muzz: Nov 23-Dec 1, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1119,DB1119,930,930,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Moab Valley,Deer,Buck,Limited Entry,Any Legal Weapon,Public,Nov 07 2026 - Nov 22 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
DB1120,DB1120,932,932,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Castle Valley,Deer,Buck,Limited Entry,Any Legal Weapon,Public,Nov 07 2026 - Nov 22 2026,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
