hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR7108,La Sal,La Sal - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,37,230,13,12,25,18,1,1,2,27,TRUE_BEAR_BONUS_DRAW
BR7109,Mt Dutton,Mt Dutton - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,38,35,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7110,Nine Mile,Nine Mile - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,39,141,8,7,15,8,0,1,1,16,TRUE_BEAR_BONUS_DRAW
BR7111,"North Slope, Three Corners/west Daggett","North Slope, Three Corners/west Daggett - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,40,46,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7112,Panguitch Lake/zion,Panguitch Lake/zion - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,41,76,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7113,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,42,25,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7114,Boulder/kaiparowits,Boulder/kaiparowits - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,43,131,10,10,20,2,0,2,2,22,TRUE_BEAR_BONUS_DRAW
BR7115,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,44,114,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7116,San Juan,San Juan - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,45,230,13,12,25,24,1,1,2,27,TRUE_BEAR_BONUS_DRAW
BR7117,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,46,148,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
BR7118,Yellowstone,Yellowstone - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,47,89,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7119,"Wasatch Mtns, Avintaquin/currant Creek","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,48,217,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7120,"Wasatch Mtns, West-central","Wasatch Mtns, West-central - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,49,559,12,11,23,16,0,1,1,24,TRUE_BEAR_BONUS_DRAW
BR7121,Cache/ogden,Cache/ogden - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,50,52,1,1,2,0,0,0,0,2,TRUE_BEAR_BONUS_DRAW
BR7122,Chalk Creek/east Canyon/morgan-south Rich,Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,51,88,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7123,"Kamas/north Slope, Summit","Kamas/north Slope, Summit - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,52,108,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7124,"Fillmore, Pahvant","Fillmore, Pahvant - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,53,16,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7125,Monroe,Monroe - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,54,30,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7200,Beaver,Beaver - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,55,93,4,4,8,0,0,0,0,8,TRUE_BEAR_BONUS_DRAW
BR7201,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,56,91,9,9,18,6,1,1,2,20,TRUE_BEAR_BONUS_DRAW
BR7203,Manti North,Manti North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,57,45,5,5,10,2,0,1,1,11,TRUE_BEAR_BONUS_DRAW
BR7204,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,58,180,8,8,16,5,0,1,1,17,TRUE_BEAR_BONUS_DRAW
BR7205,Nebo,Nebo - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,59,70,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7207,"Fillmore, Pahvant","Fillmore, Pahvant - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,60,3,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7208,La Sal,La Sal - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,61,192,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7210,Mt Dutton,Mt Dutton - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,62,13,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7211,Nine Mile,Nine Mile - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,63,22,8,14,22,0,0,0,0,22,TRUE_BEAR_BONUS_DRAW
BR7212,"North Slope, Three Corners/west Daggett","North Slope, Three Corners/west Daggett - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,64,5,1,1,2,0,0,0,0,2,TRUE_BEAR_BONUS_DRAW
BR7213,Panguitch Lake/zion,Panguitch Lake/zion - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,65,23,4,4,8,0,0,0,0,8,TRUE_BEAR_BONUS_DRAW
BR7214,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,66,14,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7215,Boulder/kaiparowits,Boulder/kaiparowits - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,67,48,5,5,10,2,0,1,1,11,TRUE_BEAR_BONUS_DRAW
BR7216,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,68,25,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7217,San Juan,San Juan - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,69,87,3,3,6,0,0,0,0,6,TRUE_BEAR_BONUS_DRAW
BR7218,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,70,34,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7219,Yellowstone,Yellowstone - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,71,11,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7220,"Wasatch Mtns, Avintaquin/currant Creek","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,72,62,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
BR7221,"Wasatch Mtns, West-central","Wasatch Mtns, West-central - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,73,131,6,5,11,7,0,1,1,12,TRUE_BEAR_BONUS_DRAW
BR7224,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,74,51,5,4,9,10,0,1,1,10,TRUE_BEAR_BONUS_DRAW
BR7225,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,75,60,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7228,Cache/ogden,Cache/ogden - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,76,28,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7229,"Kamas/north Slope, Summit","Kamas/north Slope, Summit - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,77,14,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7300,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,78,130,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7301,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,79,35,1,1,2,0,0,0,0,2,TRUE_BEAR_BONUS_DRAW
BR7303,Manti North,Manti North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,80,182,5,5,10,1,0,1,1,11,TRUE_BEAR_BONUS_DRAW
BR7304,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,81,272,6,6,12,13,0,1,1,13,TRUE_BEAR_BONUS_DRAW
BR7305,Nebo,Nebo - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,82,245,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
