reported_hunt_year,model_target_year,hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_file,source_sha256,source_page,source_row,canonical_match_status,validation_status,validation_notes,calculated_percent_success,percent_success_delta
2025,2026,DA1048,910,Fillmore City,Deer,Antlerless,General Season,,Archery,14,8,2,25.0,4.7,2.4,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,37,DATABASE_MATCHED,VALID,,25.0,0.0
2025,2026,DA1049,909,"Vernal, Ashley Valley",Deer,Antlerless,General Season,,Archery,35,27,9,33.3,6.1,3.2,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,38,DATABASE_MATCHED,VALID,,33.333,0.033
2025,2026,DA1050,509,The Rose of Snowville CWMU,Deer,Antlerless,CWMU,,Any Legal Weapon,10,8,6,75.0,1.0,4.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,39,DATABASE_MATCHED,VALID,,75.0,0.0
2025,2026,DB0007,5108,Buck Deer - Statewide Permit,Deer,Buck,Statewide,,Any Legal Weapon,2,2,2,100.0,8.5,5.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,40,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB0008,5109,Extended Archery Deer,Deer,Hunters Choice,Extended Archery,,Archery,1904,1352,288,21.3,9.5,3.3,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,41,DATABASE_MATCHED,VALID,,21.302,0.002
2025,2026,DB0009,1,Antelope Island - Conservation/Expo,Deer,Buck,Premium Limited Entry,,Any Legal Weapon,1,1,1,100.0,2.0,4.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,42,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1000,94,Henry Mtns,Deer,Buck,Premium Limited Entry,,Archery,9,9,9,100.0,10.3,4.1,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,43,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1001,163,Paunsaugunt,Deer,Buck,Premium Limited Entry,,Archery,34,34,23,67.6,12.1,3.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,44,DATABASE_MATCHED,VALID,,67.647,0.047
2025,2026,DB1002,1,Antelope Island,Deer,Buck,Premium Limited Entry,,Any Legal Weapon,1,1,1,100.0,1.0,5.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,45,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DB1003,94,Henry Mtns,Deer,Buck,Premium Limited Entry,,Any Legal Weapon,27,26,26,100.0,3.5,3.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,46,DATABASE_MATCHED,VALID,,100.0,0.0
