hunt_code,canonical_match_status,reported_hunt_year,model_target_year,normalized_hunt_name,database_hunt_name,database_boundary_id,database_species,database_hunt_type,database_weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_page,source_row,validation_status,validation_notes
DA1049,DATABASE_MATCHED,2025,2026,"Vernal, Ashley Valley","Vernal, Ashley Valley",909,Deer,General Season,Archery,35,27,9,33.3,6.1,3.2,1,38,VALID,
DA1050,DATABASE_MATCHED,2025,2026,The Rose of Snowville CWMU,The Rose of Snowville CWMU,509,Deer,CWMU,Any Legal Weapon,10,8,6,75.0,1.0,4.0,1,39,VALID,
DB0007,DATABASE_MATCHED,2025,2026,Buck Deer - Statewide Permit,Buck Deer - Statewide Permit,5108,Deer,Statewide,Any Legal Weapon,2,2,2,100.0,8.5,5.0,1,40,VALID,
DB0008,DATABASE_MATCHED,2025,2026,Extended Archery Deer,Extended Archery Deer,5109,Deer,Extended Archery,Archery,1904,1352,288,21.3,9.5,3.3,1,41,VALID,
DB0009,DATABASE_MATCHED,2025,2026,Antelope Island - Conservation/Expo,Antelope Island - Conservation/Expo,1,Deer,Premium Limited Entry,Any Legal Weapon,1,1,1,100.0,2.0,4.0,1,42,VALID,
DB1000,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Deer,Premium Limited Entry,Archery,9,9,9,100.0,10.3,4.1,1,43,VALID,
DB1001,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Premium Limited Entry,Archery,34,34,23,67.6,12.1,3.8,1,44,VALID,
DB1002,DATABASE_MATCHED,2025,2026,Antelope Island,Antelope Island,1,Deer,Premium Limited Entry,Any Legal Weapon,1,1,1,100.0,1.0,5.0,1,45,VALID,
DB1003,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Deer,Premium Limited Entry,Any Legal Weapon,27,26,26,100.0,3.5,3.6,1,46,VALID,
DB1004,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Premium Limited Entry,Any Legal Weapon,90,88,82,93.2,6.7,4.1,1,47,VALID,
DB1005,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Deer,Premium Limited Entry,Muzzleloader,10,10,9,90.0,5.6,4.3,1,48,VALID,
DB1006,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Premium Limited Entry,Muzzleloader,30,30,21,70.0,5.7,3.9,1,49,VALID,
DB1007,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Deer,Premium Limited Entry,Multiseason,2,2,2,100.0,11.0,4.5,1,50,VALID,
DB1008,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Premium Limited Entry,Multiseason,6,6,6,100.0,22.0,4.7,1,51,VALID,
DB1009,DATABASE_MATCHED,2025,2026,Henry Mtns (Management Buck Deer),Henry Mtns (Management Buck Deer),94,Deer,Management Buck Deer,Any Legal Weapon,11,11,11,100.0,2.2,4.6,1,52,VALID,
DB1010,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Management Buck Deer,Any Legal Weapon,29,28,26,92.9,4.9,4.6,1,53,VALID,
DB1011,DATABASE_MATCHED,2025,2026,Book Cliffs,Book Cliffs,7,Deer,Limited Entry,Archery,52,50,44,88.0,6.6,4.6,1,54,VALID,
DB1012,DATABASE_MATCHED,2025,2026,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE",85,Deer,Limited Entry,Archery,13,13,11,84.6,9.2,4.4,1,55,VALID,
DB1013,DATABASE_MATCHED,2025,2026,Dolores Triangle,Dolores Triangle,108,Deer,Limited Entry,Archery,4,4,2,50.0,7.5,3.3,1,56,VALID,
DB1014,DATABASE_MATCHED,2025,2026,"San Juan, Elk Ridge","San Juan, Elk Ridge",185,Deer,Limited Entry,Archery,17,17,17,100.0,5.3,3.7,1,57,VALID,
DB1015,DATABASE_MATCHED,2025,2026,Diamond Mtn,Diamond Mtn,206,Deer,Limited Entry,Archery,23,22,19,86.4,7.6,4.0,1,58,VALID,
DB1016,DATABASE_MATCHED,2025,2026,"West Desert, Vernon","West Desert, Vernon",248,Deer,Limited Entry,Archery,51,51,29,56.9,8.8,4.1,1,59,VALID,
DB1017,DATABASE_MATCHED,2025,2026,"Book Cliffs, North","Book Cliffs, North",714,Deer,Limited Entry,Any Legal Weapon,128,125,117,93.6,3.7,4.1,1,60,VALID,
DB1018,DATABASE_MATCHED,2025,2026,"Book Cliffs, South","Book Cliffs, South",15,Deer,Limited Entry,Any Legal Weapon,31,31,31,100.0,3.7,4.5,1,61,VALID,
DB1019,DATABASE_MATCHED,2025,2026,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE",85,Deer,Limited Entry,Any Legal Weapon,40,40,38,95.0,4.4,3.9,2,2,VALID,
DB1020,DATABASE_MATCHED,2025,2026,Dolores Triangle,Dolores Triangle,108,Deer,Limited Entry,Any Legal Weapon,12,12,12,100.0,4.0,4.4,2,3,VALID,
DB1022,DATABASE_MATCHED,2025,2026,"San Juan, Elk Ridge","San Juan, Elk Ridge",185,Deer,Limited Entry,Any Legal Weapon,45,45,40,88.9,4.8,3.9,2,4,VALID,
DB1023,DATABASE_MATCHED,2025,2026,Diamond Mtn,Diamond Mtn,206,Deer,Limited Entry,Any Legal Weapon,64,64,62,96.9,3.4,4.1,2,5,VALID,
DB1024,DATABASE_MATCHED,2025,2026,"West Desert, Vernon","West Desert, Vernon",248,Deer,Limited Entry,Any Legal Weapon,154,151,129,85.4,4.4,3.5,2,6,VALID,
DB1025,DATABASE_MATCHED,2025,2026,Book Cliffs,Book Cliffs,7,Deer,Limited Entry,Muzzleloader,51,50,43,86.0,3.8,4.2,2,7,VALID,
DB1026,DATABASE_MATCHED,2025,2026,"Cache, Crawford Mtn","Cache, Crawford Mtn",32,Deer,Limited Entry,Muzzleloader,8,8,8,100.0,4.8,3.9,2,8,VALID,
DB1028,DATABASE_MATCHED,2025,2026,Fillmore,Fillmore,804,Deer,Limited Entry,Muzzleloader,11,10,7,70.0,7.2,3.3,2,9,VALID,
DB1029,DATABASE_MATCHED,2025,2026,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE",85,Deer,Limited Entry,Muzzleloader,15,15,12,80.0,6.0,4.3,2,10,VALID,
DB1030,DATABASE_MATCHED,2025,2026,Kamas,Kamas,611,Deer,Limited Entry,Muzzleloader,6,6,6,100.0,5.5,3.8,2,11,VALID,
DB1031,DATABASE_MATCHED,2025,2026,Dolores Triangle,Dolores Triangle,108,Deer,Limited Entry,Muzzleloader,4,4,4,100.0,6.5,4.0,2,12,VALID,
DB1032,DATABASE_MATCHED,2025,2026,Monroe,Monroe,629,Deer,Limited Entry,Muzzleloader,6,6,4,66.7,6.5,3.7,2,13,VALID,
DB1033,DATABASE_MATCHED,2025,2026,Nine Mile,Nine Mile,615,Deer,Limited Entry,Muzzleloader,6,6,6,100.0,4.5,4.0,2,14,VALID,
DB1034,DATABASE_MATCHED,2025,2026,Pine Valley,Pine Valley,636,Deer,Limited Entry,Muzzleloader,15,15,8,53.3,6.7,2.6,2,15,VALID,
DB1037,DATABASE_MATCHED,2025,2026,"San Juan, Elk Ridge","San Juan, Elk Ridge",185,Deer,Limited Entry,Muzzleloader,17,16,14,87.5,4.6,3.8,2,16,VALID,
DB1038,DATABASE_MATCHED,2025,2026,Diamond Mtn,Diamond Mtn,206,Deer,Limited Entry,Muzzleloader,23,23,21,91.3,3.6,3.6,2,17,VALID,
DB1039,DATABASE_MATCHED,2025,2026,Yellowstone,Yellowstone,613,Deer,Limited Entry,Muzzleloader,7,7,7,100.0,5.1,3.6,2,18,VALID,
DB1040,DATABASE_MATCHED,2025,2026,Southwest Desert,Southwest Desert,625,Deer,Limited Entry,Muzzleloader,5,5,3,60.0,7.4,2.8,2,19,VALID,
DB1041,DATABASE_MATCHED,2025,2026,"Wasatch Mtns, East","Wasatch Mtns, East",621,Deer,Limited Entry,Muzzleloader,30,30,19,63.3,5.8,3.4,2,20,VALID,
DB1042,DATABASE_MATCHED,2025,2026,"West Desert, Vernon","West Desert, Vernon",248,Deer,Limited Entry,Muzzleloader,50,50,44,88.0,4.6,3.7,2,21,VALID,
DB1043,DATABASE_MATCHED,2025,2026,Zion,Zion,635,Deer,Limited Entry,Muzzleloader,15,15,7,46.7,6.4,2.8,2,22,VALID,
DB1044,DATABASE_MATCHED,2025,2026,Book Cliffs,Book Cliffs,7,Deer,Limited Entry,Multiseason,9,9,9,100.0,15.3,4.0,2,23,VALID,
DB1045,DATABASE_MATCHED,2025,2026,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE",85,Deer,Limited Entry,Multiseason,3,3,3,100.0,30.3,3.7,2,24,VALID,
DB1046,DATABASE_MATCHED,2025,2026,"San Juan, Elk Ridge","San Juan, Elk Ridge",185,Deer,Limited Entry,Multiseason,3,3,2,66.7,20.0,2.7,2,25,VALID,
DB1047,DATABASE_MATCHED,2025,2026,Diamond Mtn,Diamond Mtn,206,Deer,Limited Entry,Multiseason,5,5,5,100.0,7.6,3.8,2,26,VALID,
DB1048,DATABASE_MATCHED,2025,2026,"West Desert, Vernon","West Desert, Vernon",248,Deer,Limited Entry,Multiseason,9,9,7,77.8,11.0,3.6,2,27,VALID,
DB1053,DATABASE_MATCHED,2025,2026,Mt Dutton,Mt Dutton,630,Deer,Limited Entry,Muzzleloader,5,5,4,80.0,6.5,4.0,2,28,VALID,
DB1054,DATABASE_MATCHED,2025,2026,Ogden,Ogden,609,Deer,Limited Entry,Muzzleloader,12,11,6,54.5,6.8,4.3,2,29,VALID,
DB1055,DATABASE_MATCHED,2025,2026,Fishlake,Fishlake,633,Deer,Limited Entry,Muzzleloader,6,6,4,66.7,5.0,2.6,2,30,VALID,
DB1056,DATABASE_MATCHED,2025,2026,Book Cliffs (North & South),Book Cliffs (North & South),7,Deer,Conservation,Any Legal Weapon,2,2,1,50.0,3.0,5.0,2,31,VALID,
DB1058,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Cactus Buck,Any Legal Weapon,28,27,10,37.0,8.3,2.8,2,32,VALID,
DB1065,DATABASE_MATCHED,2025,2026,North Slope,North Slope,612,Deer,Limited Entry,Muzzleloader,15,15,12,80.0,5.8,3.4,2,33,VALID,
DB1073,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Management Buck Deer,Archery,9,9,8,88.9,7.2,5.0,2,34,VALID,
DB1074,DATABASE_MATCHED,2025,2026,Paunsaugunt,Paunsaugunt,163,Deer,Management Buck Deer,Muzzleloader,9,9,5,55.6,6.3,3.9,2,35,VALID,
DB1077,DATABASE_MATCHED,2025,2026,Box Elder,Box Elder,607,Deer,Limited Entry,Muzzleloader,24,23,13,56.5,4.7,3.8,2,36,VALID,
DB1078,DATABASE_MATCHED,2025,2026,Cache,Cache,29,Deer,Limited Entry,Muzzleloader,10,10,8,80.0,5.7,4.3,2,37,VALID,
DB1079,DATABASE_MATCHED,2025,2026,Manti/San Rafael,Manti/San Rafael,619,Deer,Limited Entry,Muzzleloader,40,40,33,82.5,5.5,3.5,2,38,VALID,
DB1080,DATABASE_MATCHED,2025,2026,Nebo,Nebo,616,Deer,Limited Entry,Muzzleloader,27,27,21,77.8,4.8,3.4,2,39,VALID,
DB1081,DATABASE_MATCHED,2025,2026,La Sal Mtns,La Sal Mtns,617,Deer,Limited Entry,Muzzleloader,9,9,5,55.6,5.9,2.8,2,40,VALID,
DB1083,DATABASE_MATCHED,2025,2026,Panguitch Lake,Panguitch Lake,634,Deer,Limited Entry,Muzzleloader,12,11,5,45.5,6.7,3.5,2,41,VALID,
DB1084,DATABASE_MATCHED,2025,2026,Boulder/Kaiparowits,Boulder/Kaiparowits,455,Deer,Limited Entry,Muzzleloader,12,12,8,66.7,5.0,2.4,2,42,VALID,
DB1085,DATABASE_MATCHED,2025,2026,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",618,Deer,Limited Entry,Muzzleloader,13,12,8,66.7,6.4,3.1,2,43,VALID,
DB1086,DATABASE_MATCHED,2025,2026,Vernal/Bonanza,Vernal/Bonanza,614,Deer,Limited Entry,Muzzleloader,6,5,4,80.0,3.3,4.5,2,44,VALID,
DB1087,DATABASE_MATCHED,2025,2026,"Wasatch Mtns, West","Wasatch Mtns, West",620,Deer,Limited Entry,Muzzleloader,32,30,20,66.7,5.0,3.4,2,45,VALID,
DB1090,DATABASE_MATCHED,2025,2026,"Book Cliffs, Floy Canyon","Book Cliffs, Floy Canyon",301,Deer,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",7,7,7,100.0,6.0,4.4,2,46,VALID,
DB1091,DATABASE_MATCHED,2025,2026,Kaiparowits HAMSS,Kaiparowits HAMSS,314,Deer,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",5,5,3,60.0,10.0,3.2,2,47,VALID,
DB1100,DATABASE_MATCHED,2025,2026,Chalk Creek,Chalk Creek,69,Deer,Limited Entry,Muzzleloader,11,11,9,81.8,3.8,4.5,2,48,VALID,
DB1101,DATABASE_MATCHED,2025,2026,East Canyon,East Canyon,276,Deer,Limited Entry,Muzzleloader,10,10,6,60.0,5.3,4.0,2,49,VALID,
DB1103,DATABASE_MATCHED,2025,2026,Morgan-South Rich,Morgan-South Rich,117,Deer,Limited Entry,Muzzleloader,8,8,3,37.5,4.1,3.6,2,50,VALID,
DB1105,DATABASE_MATCHED,2025,2026,East Canyon,East Canyon,276,Deer,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",6,6,5,83.3,6.5,4.3,2,51,VALID,
DB1106,DATABASE_MATCHED,2025,2026,Thousand Lakes,Thousand Lakes,632,Deer,Limited Entry,Restricted Archery,20,18,3,16.7,5.3,2.6,2,52,VALID,
DB1107,DATABASE_MATCHED,2025,2026,Thousand Lakes,Thousand Lakes,632,Deer,Limited Entry,Restricted Muzzleloader,20,18,5,27.8,4.0,2.6,2,53,VALID,
DB1108,DATABASE_MATCHED,2025,2026,Thousand Lakes,Thousand Lakes,632,Deer,Limited Entry,Restricted Rifle,22,22,12,54.5,3.8,4.1,2,54,VALID,
DB1109,DATABASE_MATCHED,2025,2026,Thousand Lakes,Thousand Lakes,632,Deer,Limited Entry,Restricted Multiseason,2,2,2,100.0,3.5,4.0,2,55,VALID,
DB1110,DATABASE_MATCHED,2025,2026,"Beaver, East","Beaver, East",685,Deer,Limited Entry,Muzzleloader,10,10,4,40.0,8.3,3.3,2,56,VALID,
DB1111,DATABASE_MATCHED,2025,2026,"Beaver, West","Beaver, West",672,Deer,Limited Entry,Muzzleloader,5,5,5,100.0,6.8,3.6,2,57,VALID,
DB1112,DATABASE_MATCHED,2025,2026,"West Desert, Swasey","West Desert, Swasey",926,Deer,Limited Entry,Muzzleloader,4,4,1,25.0,7.0,2.7,2,58,VALID,
DB1113,DATABASE_MATCHED,2025,2026,Oquirrh/Tintic,Oquirrh/Tintic,927,Deer,Limited Entry,Muzzleloader,12,11,11,100.0,4.8,3.8,2,59,VALID,
DB1114,DATABASE_MATCHED,2025,2026,Cedar/Stansbury,Cedar/Stansbury,925,Deer,Limited Entry,Muzzleloader,6,6,2,33.3,6.2,3.2,2,60,VALID,
DB1115,DATABASE_MATCHED,2025,2026,Little Rockies,Little Rockies,928,Deer,Limited Entry,Any Legal Weapon,5,5,2,40.0,11.8,1.2,2,61,VALID,
DB1116,DATABASE_MATCHED,2025,2026,"San Juan, Mancos Mesa","San Juan, Mancos Mesa",929,Deer,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",4,4,2,50.0,13.8,2.8,2,62,VALID,
DB1119,DATABASE_MATCHED,2025,2026,Moab Valley,Moab Valley,930,Deer,Limited Entry,Any Legal Weapon,9,9,4,44.4,6.0,3.7,3,2,VALID,
DB1120,DATABASE_MATCHED,2025,2026,Castle Valley,Castle Valley,932,Deer,Limited Entry,Any Legal Weapon,15,15,12,80.0,5.9,4.4,3,3,VALID,
DB1200,DATABASE_MATCHED,2025,2026,Alton - Premium Buck CWMU,Alton - Premium Buck CWMU,526,Deer,CWMU,Any Legal Weapon,20,20,18,90.0,5.0,4.7,3,4,VALID,
DB1201,DATABASE_MATCHED,2025,2026,Alton - Management Buck CWMU,Alton - Management Buck CWMU,526,Deer,CWMU,Any Legal Weapon,5,5,5,100.0,2.6,4.8,3,5,VALID,
DB1202,DATABASE_MATCHED,2025,2026,Antelope Creek CWMU,Antelope Creek CWMU,581,Deer,CWMU,Any Legal Weapon,3,2,1,50.0,7.0,3.0,3,6,VALID,
DB1203,DATABASE_MATCHED,2025,2026,Avintaquin Canyon CWMU,Avintaquin Canyon CWMU,599,Deer,CWMU,Any Legal Weapon,2,2,2,100.0,2.0,5.0,3,7,VALID,
DB1204,DATABASE_MATCHED,2025,2026,Bally Watts CWMU,Bally Watts CWMU,559,Deer,CWMU,Any Legal Weapon,9,9,7,77.8,1.8,5.0,3,8,VALID,
DB1205,DATABASE_MATCHED,2025,2026,Bar J Ranch CWMU,Bar J Ranch CWMU,527,Deer,CWMU,Any Legal Weapon,4,4,2,50.0,3.5,3.5,3,9,VALID,
DB1206,DATABASE_MATCHED,2025,2026,Bear Mountain CWMU,Bear Mountain CWMU,582,Deer,CWMU,Any Legal Weapon,11,11,11,100.0,3.3,4.7,3,10,VALID,
DB1207,DATABASE_MATCHED,2025,2026,Bear Springs CWMU,Bear Springs CWMU,575,Deer,CWMU,Any Legal Weapon,3,3,2,66.7,3.3,5.0,3,11,VALID,
DB1208,DATABASE_MATCHED,2025,2026,Blackhawk CWMU,Blackhawk CWMU,808,Deer,CWMU,Any Legal Weapon,7,7,7,100.0,4.0,4.8,3,12,VALID,
DB1209,DATABASE_MATCHED,2025,2026,Blind Springs CWMU,Blind Springs CWMU,500,Deer,CWMU,Any Legal Weapon,5,5,4,80.0,3.0,4.8,3,13,VALID,
DB1211,DATABASE_MATCHED,2025,2026,Blue Spring Hills CWMU,Blue Spring Hills CWMU,510,Deer,CWMU,Any Legal Weapon,10,10,10,100.0,4.8,4.0,3,14,VALID,
DB1212,DATABASE_MATCHED,2025,2026,Bluebell CWMU,Bluebell CWMU,604,Deer,CWMU,Any Legal Weapon,10,10,10,100.0,3.3,5.0,3,15,VALID,
DB1213,DATABASE_MATCHED,2025,2026,Boobe Hole CWMU,Boobe Hole CWMU,529,Deer,CWMU,Any Legal Weapon,18,18,8,44.4,4.1,4.1,3,16,VALID,
DB1215,DATABASE_MATCHED,2025,2026,Buckhorn Ranch CWMU,Buckhorn Ranch CWMU,598,Deer,CWMU,Any Legal Weapon,5,5,3,60.0,2.0,3.7,3,17,VALID,
DB1216,DATABASE_MATCHED,2025,2026,Castle Valley Outdoors CWMU,Castle Valley Outdoors CWMU,545,Deer,CWMU,Any Legal Weapon,7,7,7,100.0,2.6,4.6,3,18,VALID,
DB1217,DATABASE_MATCHED,2025,2026,Causey Spring CWMU,Causey Spring CWMU,560,Deer,CWMU,Any Legal Weapon,13,13,12,92.3,3.0,4.9,3,19,VALID,
DB1219,DATABASE_MATCHED,2025,2026,Chimney Rock CWMU,Chimney Rock CWMU,732,Deer,CWMU,Any Legal Weapon,16,15,13,86.7,3.7,4.6,3,20,VALID,
DB1222,DATABASE_MATCHED,2025,2026,Coldwater Ranch CWMU,Coldwater Ranch CWMU,505,Deer,CWMU,Any Legal Weapon,12,12,12,100.0,2.2,5.0,3,21,VALID,
DB1224,DATABASE_MATCHED,2025,2026,Cotton Thomas CWMU,Cotton Thomas CWMU,640,Deer,CWMU,Any Legal Weapon,10,10,9,90.0,4.6,4.1,3,22,VALID,
DB1227,DATABASE_MATCHED,2025,2026,Deer Haven CWMU,Deer Haven CWMU,606,Deer,CWMU,Any Legal Weapon,16,13,13,100.0,5.8,4.6,3,23,VALID,
DB1228,DATABASE_MATCHED,2025,2026,Deseret CWMU,Deseret CWMU,568,Deer,CWMU,Any Legal Weapon,83,83,70,84.3,3.2,4.7,3,24,VALID,
DB1229,DATABASE_MATCHED,2025,2026,Dilly Ranch CWMU,Dilly Ranch CWMU,733,Deer,CWMU,Any Legal Weapon,10,10,9,90.0,3.7,4.8,3,25,VALID,
