reported_hunt_year,species,hunt_family,all_row_count,hunt_code_row_count,unique_hunt_codes,harvest_sum_all_rows,harvest_sum_hunt_code_rows,permits_sum_hunt_code_rows,hunters_afield_sum_hunt_code_rows,weighted_success_pct_hunt_code_rows,source_labels
2012,Black Bear,Black Bear,25,0,0,467.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2012,Turkey,Turkey,4,0,0,3554.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2013,Black Bear,Black Bear,25,0,0,481.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2013,Turkey,Turkey,4,0,0,4590.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2014,Black Bear,Black Bear,25,0,0,561.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2014,Turkey,Turkey,6,0,0,6244.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2015,Black Bear,Black Bear,25,0,0,651.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2015,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2060.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2015,Mountain Goat,Mountain Goat,30,0,0,117.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2015,Turkey,Turkey,6,0,0,7712.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2016,Black Bear,Black Bear,25,0,0,621.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2016,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2057.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2016,Mountain Goat,Mountain Goat,30,0,0,103.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2016,Turkey,Turkey,6,0,0,8766.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2017,Black Bear,Black Bear,25,0,0,752.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2017,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2075.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2017,Mountain Goat,Mountain Goat,30,0,0,102.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2017,Turkey,Turkey,6,0,0,7314.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2018,Black Bear,Black Bear,25,0,0,719.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2018,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2075.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2018,Mountain Goat,Mountain Goat,30,0,0,115.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2018,Turkey,Turkey,6,0,0,9988.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2019,Black Bear,Black Bear,26,0,0,732.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2019,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2092.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2019,Mountain Goat,Mountain Goat,30,0,0,115.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2019,Turkey,Turkey,6,0,0,12060.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2020,Black Bear,Black Bear,27,0,0,924.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2020,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2099.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2020,Mountain Goat,Mountain Goat,30,0,0,115.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2020,Turkey,Turkey,6,0,0,13286.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2021,Antlerless Deer,Antlerless Deer,27,27,27,444.0,444.0,940.0,685.0,64.82,2021_for_2022_hunt_code_keyed
2021,Antlerless Elk,Antlerless Elk,186,186,186,4725.0,4725.0,13657.0,11808.0,40.02,2021_for_2022_hunt_code_keyed
2021,Bison,Bison,13,13,13,110.0,110.0,307.0,291.0,37.8,2021_for_2022_hunt_code_keyed
2021,Black Bear,Black Bear,118,91,91,1242.0,388.0,1105.0,158.0,245.57,2021_for_2022_hunt_code_keyed|2024_for_2025_enhanced_v3
2021,Deer,Deer,306,306,306,24349.0,24349.0,77924.0,65587.0,37.12,2021_for_2022_hunt_code_keyed
2021,Desert Bighorn Sheep,Desert Bighorn Sheep,53,21,21,2171.0,74.0,85.0,85.0,87.06,2021_for_2022_hunt_code_keyed|2024_for_2025_enhanced_v3
2021,Elk,Elk,172,172,172,2646.0,2646.0,3941.0,3880.0,68.2,2021_for_2022_hunt_code_keyed
2021,Moose,Black Bear,2,2,2,4.0,4.0,6.0,6.0,66.67,2021_for_2022_hunt_code_keyed
2021,Moose,Moose,36,36,36,171.0,171.0,180.0,180.0,95.0,2021_for_2022_hunt_code_keyed
2021,Mountain Goat,Mountain Goat,47,17,17,218.0,108.0,120.0,119.0,90.76,2021_for_2022_hunt_code_keyed|2024_for_2025_enhanced_v3
2021,Pronghorn,Pronghorn,85,85,85,1110.0,1110.0,1339.0,1300.0,85.38,2021_for_2022_hunt_code_keyed
2021,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,18,18,18,66.0,66.0,71.0,71.0,92.96,2021_for_2022_hunt_code_keyed
2021,Turkey,Turkey,6,0,0,9240.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2022,Antlerless Deer,Antlerless Deer,20,20,20,315.0,315.0,622.0,469.0,67.16,2022_for_2023_hunt_code_keyed
2022,Antlerless Elk,Antlerless Elk,104,104,104,2992.0,2992.0,7867.0,6871.0,43.55,2022_for_2023_hunt_code_keyed
2022,Antlerless Moose,Moose,3,3,3,15.0,15.0,18.0,18.0,83.33,2022_for_2023_hunt_code_keyed
2022,Black Bear,Black Bear,114,87,87,1203.0,362.0,839.0,0.0,,2022_for_2023_hunt_code_keyed|2024_for_2025_enhanced_v3
2022,CWMU Antlerless Deer,Antlerless Deer,3,3,3,41.0,41.0,30.0,27.0,151.85,2022_for_2023_hunt_code_keyed
2022,CWMU Antlerless Elk,Antlerless Elk,57,57,57,794.0,794.0,1149.0,1069.0,74.28,2022_for_2023_hunt_code_keyed
2022,CWMU Doe Pronghorn,Doe/Fawn Pronghorn,9,9,9,53.0,53.0,60.0,56.0,94.64,2022_for_2023_hunt_code_keyed
2022,Desert Bighorn Sheep,Desert Bighorn Sheep,32,0,0,2097.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2022,Doe Pronghorn,Doe/Fawn Pronghorn,16,16,16,167.0,167.0,272.0,237.0,70.46,2022_for_2023_hunt_code_keyed
2022,Ewe Bighorn Sheep,Rocky Mountain Bighorn Sheep,1,1,1,4.0,4.0,5.0,5.0,80.0,2022_for_2023_hunt_code_keyed
2022,Limited Entry Buck Deer,Deer,195,195,195,2396.0,2396.0,3138.0,3085.0,77.67,2022_for_2023_hunt_code_keyed
2022,Limited Entry Buck Pronghorn,Pronghorn,88,88,88,1205.0,1205.0,1440.0,1403.0,85.89,2022_for_2023_hunt_code_keyed
2022,Limited Entry Bull Elk,Elk,193,193,193,2915.0,2915.0,4259.0,4207.0,69.29,2022_for_2023_hunt_code_keyed
2022,Limited Entry Bull Moose,Black Bear,2,2,2,3.0,3.0,5.0,5.0,60.0,2022_for_2023_hunt_code_keyed
2022,Limited Entry Bull Moose,Moose,38,38,38,170.0,170.0,180.0,178.0,95.51,2022_for_2023_hunt_code_keyed
2022,Mountain Goat,Mountain Goat,30,0,0,100.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2022,Once-in-a-Lifetime Bison,Bison,19,19,19,164.0,164.0,223.0,208.0,78.85,2022_for_2023_hunt_code_keyed
2022,Once-in-a-Lifetime Desert Bighorn Sheep,Desert Bighorn Sheep,24,24,24,75.0,75.0,80.0,80.0,93.75,2022_for_2023_hunt_code_keyed
2022,Once-in-a-Lifetime Mountain Goat,Mountain Goat,18,18,18,96.0,96.0,110.0,109.0,88.07,2022_for_2023_hunt_code_keyed
2022,Once-in-a-Lifetime Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,22,22,22,64.0,64.0,65.0,65.0,98.46,2022_for_2023_hunt_code_keyed
2022,Private-Lands Only Antlerless Elk,Private-Lands Antlerless Elk,25,25,25,1518.0,1518.0,3609.0,3032.0,50.07,2022_for_2023_hunt_code_keyed
2022,Turkey,Turkey,6,0,0,7854.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2023,Bison,Bison,18,18,18,123.0,123.0,181.0,174.0,70.69,2023_hunt_success_long
2023,Black Bear,Black Bear,27,0,0,677.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2023,Deer,Deer,192,192,192,2143.0,2143.0,3061.0,2994.0,71.58,2023_hunt_success_long
2023,Desert Bighorn Sheep,Desert Bighorn Sheep,48,16,16,2166.0,67.0,74.0,74.0,90.54,2023_hunt_success_long|2024_for_2025_enhanced_v3
2023,Elk,Elk,211,211,211,2722.0,2722.0,4481.0,4426.0,61.5,2023_hunt_success_long
2023,Moose,Black Bear,2,2,2,3.0,3.0,3.0,3.0,100.0,2023_hunt_success_long
2023,Moose,Moose,34,34,34,159.0,159.0,168.0,167.0,95.21,2023_hunt_success_long
2023,Mountain Goat,Mountain Goat,47,17,17,172.0,85.0,99.0,99.0,85.86,2023_hunt_success_long|2024_for_2025_enhanced_v3
2023,Pronghorn,Pronghorn,88,88,88,1232.0,1232.0,1538.0,1478.0,83.36,2023_hunt_success_long
2023,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,14,14,14,53.0,53.0,53.0,53.0,100.0,2023_hunt_success_long
2023,Turkey,Turkey,23,0,0,8260.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2024,Antlerless Deer,Antlerless Deer,42,42,21,400.0,400.0,378.0,22.0,1818.18,2024_for_2025_enhanced_v3
2024,Antlerless Elk,Antlerless Elk,825,825,184,21199.0,21199.0,35227.0,20621.0,102.8,2024_for_2025_enhanced_v3
2024,Bison,Bison,33,33,17,122.0,122.0,140.0,181.0,67.4,2024_for_2025_enhanced_v3
2024,Black Bear,Black Bear,301,174,87,1956.0,678.0,1674.0,0.0,,2024_for_2025_enhanced_v3
2024,Deer,Deer,668,668,334,45726.0,45726.0,148634.0,130944.0,34.92,2024_for_2025_enhanced_v3
2024,Desert Bighorn Sheep,Desert Bighorn Sheep,75,43,22,2247.0,148.0,163.0,161.0,91.93,2024_for_2025_enhanced_v3
2024,Elk,Elk,1006,860,215,17598.0,11732.0,18436.0,18208.0,64.43,2024_for_2025_enhanced_v3
2024,Moose,Black Bear,2,2,2,3.0,3.0,4.0,3.0,100.0,2024_for_2025_enhanced_v3
2024,Moose,Moose,35,35,35,176.0,176.0,181.0,181.0,97.24,2024_for_2025_enhanced_v3
2024,Mountain Goat,Mountain Goat,64,34,17,253.0,161.0,121.0,191.0,84.29,2024_for_2025_enhanced_v3
2024,Pronghorn,Pronghorn,174,174,87,2810.0,2810.0,3362.0,3286.0,85.51,2024_for_2025_enhanced_v3
2024,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,20,20,20,62.0,62.0,63.0,63.0,98.41,2024_for_2025_enhanced_v3
2024,Turkey,Turkey,100,7,7,18273.0,635.0,1497.0,1264.0,50.24,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2025,Bison,Bison,18,18,18,141.0,141.0,176.0,170.0,82.94,2025_for_2026_preliminary_hunt_code_keyed
2025,Deer,Antlerless Deer,20,20,20,143.0,143.0,364.0,272.0,52.57,2025_for_2026_preliminary_hunt_code_keyed
2025,Deer,Deer,398,398,398,27951.0,27951.0,82180.0,71928.0,38.86,2025_for_2026_preliminary_hunt_code_keyed
2025,Desert Bighorn Sheep,Desert Bighorn Sheep,25,25,25,87.0,87.0,99.0,99.0,87.88,2025_for_2026_preliminary_hunt_code_keyed
2025,Elk,Antlerless Elk,204,204,204,5098.0,5098.0,17407.0,14573.0,34.98,2025_for_2026_preliminary_hunt_code_keyed
2025,Elk,Elk,251,251,251,10109.0,10109.0,53436.0,47719.0,21.18,2025_for_2026_preliminary_hunt_code_keyed
2025,Moose,Black Bear,2,2,2,4.0,4.0,4.0,4.0,100.0,2025_for_2026_preliminary_hunt_code_keyed
2025,Moose,Moose,42,42,42,186.0,186.0,202.0,200.0,93.0,2025_for_2026_preliminary_hunt_code_keyed
2025,Mountain Goat,Mountain Goat,18,18,18,98.0,98.0,111.0,109.0,89.91,2025_for_2026_preliminary_hunt_code_keyed
2025,Pronghorn,Doe/Fawn Pronghorn,27,27,27,337.0,337.0,562.0,496.0,67.94,2025_for_2026_preliminary_hunt_code_keyed
2025,Pronghorn,Pronghorn,94,94,94,1548.0,1548.0,1930.0,1863.0,83.09,2025_for_2026_preliminary_hunt_code_keyed
2025,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,21,21,21,62.0,62.0,66.0,64.0,96.88,2025_for_2026_preliminary_hunt_code_keyed
2025,Turkey,Turkey,81,7,7,15069.0,966.0,2122.0,1808.0,53.43,turkey_2024_25_for_2026_all_long
