overlay_id,permit_class,source_cycle,permit_year_rule,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permit_count_per_year,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,match_key,assignment_type,selected_hunt_code,component_hunt_codes,component_boundary_ids,conservation_area_id,primary_hunt_code,bundle_conservation_hunt_codes,bundle_expo_hunt_codes,boundary_reference_hunt_codes,database_hunt_codes,database_hunt_names,database_match_statuses,active_hunt_codes,active_permit_count,extracted_permit_count,compare_status,geometry_mapping_status,reconciliation_status,classification_note,review_status,source_file,do_not_use_directly_for_p_draw,do_not_merge_into_public_draw_quota,permit_year,permit_count,species_original
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,UHA,Manti-North,manti-north,System.Object[],ALW,ALW,1,System.Object[],5133.33,Bear,40,System.Object[],black bear|manti north|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,"Manti-South/San Rafael, North",manti-south-san-rafael-north,System.Object[],ALW,ALW,2,System.Object[],9611.11,Bear,43,System.Object[],black bear|manti south san rafael north|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,2,Black Bear
CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,"Manti-South/San Rafael, North",manti-south-san-rafael-north,System.Object[],ALW,ALW,1,System.Object[],9611.11,Bear,45,System.Object[],black bear|manti south san rafael north|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-NEBO-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,UHA,Nebo,nebo,System.Object[],ALW,ALW,1,System.Object[],5266.67,Bear,46,System.Object[],black bear|nebo|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-NINE-MILE-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Nine Mile,nine-mile,System.Object[],ALW,ALW,4,System.Object[],2255.56,Bear,47,System.Object[],black bear|nine mile|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,4,Black Bear
CP-BLACK-BEAR-PANGUITCH-LAKE-ZION-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,Panguitch Lake/Zion,panguitch-lake-zion,System.Object[],ALW,ALW,1,System.Object[],6166.67,Bear,51,System.Object[],black bear|panguitch lake zion|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-PAUNSAUGUNT-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Paunsaugunt,paunsaugunt,System.Object[],ALW,ALW,1,System.Object[],4000.0,Bear,52,System.Object[],black bear|paunsaugunt|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,San Juan,san-juan,System.Object[],ALW,ALW,1,System.Object[],5320.83,Bear,56,System.Object[],black bear|san juan|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,San Juan,san-juan,System.Object[],ALW,ALW,2,System.Object[],5320.83,Bear,54,System.Object[],black bear|san juan|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,2,Black Bear
CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,UHA,San Juan,san-juan,System.Object[],ALW,ALW,1,System.Object[],5320.83,Bear,53,System.Object[],black bear|san juan|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-STATEWIDE-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,Statewide,statewide,System.Object[],ALW,ALW,1,System.Object[],15666.67,Bear,64,System.Object[],black bear|statewide|alw,statewide_conservation_overlay,,,System.Object[],,,,,,,,,,,,,STATEWIDE_BOUNDARY,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-WASATCH-MTNS-AVINTAQUIN-CURRANT-CREEK-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,"Wasatch Mtns, Avintaquin/Currant Creek",wasatch-mtns-avintaquin-currant-creek,System.Object[],ALW,ALW,2,System.Object[],4333.33,Bear,57,System.Object[],black bear|wasatch mtns avintaquin currant creek|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,2,Black Bear
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,System.Object[],ALW,ALW,1,System.Object[],4716.67,Bear,61,System.Object[],black bear|wasatch mtns west central|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,System.Object[],ALW,ALW,2,System.Object[],4716.67,Bear,60,System.Object[],black bear|wasatch mtns west central|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,2,Black Bear
CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,UAA,"Wasatch Mtns, West-Central",wasatch-mtns-west-central,System.Object[],ALW,ALW,1,System.Object[],4716.67,Bear,59,System.Object[],black bear|wasatch mtns west central|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-YELLOWSTONE-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,WCF,Yellowstone,yellowstone,System.Object[],ALW,ALW,1,System.Object[],3500.0,Bear,63,System.Object[],black bear|yellowstone|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
