hunt_code,species,hunt_name,reported_hunt_year,model_target_year,permits,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,source_file,source_page,section_title,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
BR7324,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,2024,2025,1,,0,0.0,0.0,,,0.0,,24_black_bear_report.pdf,14,"Black bear multi-season* limited-entry harvest, by hunt, Utah 2024.",,True,True,True
DA1001,Antlerless Deer,"Box Elder, West Bear River Any legal weapon",2024,2025,4,0.0,4,,,,30.0,12.0,4.5,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1002,Antlerless Deer,"Box Elder, West Bear River Any legal weapon",2024,2025,8,2.0,10,,,,28.0,18.0,3.5,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1003,Antlerless Deer,"Monroe/Plateau, Sevier Valley Archery, muzzleloader, shotgun",2024,2025,3,0.0,3,,,,15.0,12.0,3.6,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1009,Antlerless Deer,"Pine Valley, Enterprise Any legal weapon",2024,2025,18,0.0,18,,,,25.0,20.0,2.6,2024 mule deer.pdf,21,,,True,True,True
DA1011,Antlerless Deer,George Creek,2024,2025,4,0.0,4,,,,5.0,4.0,1.0,2024 mule deer.pdf,22,number harvest harvest harvest afield hunted (%),,True,True,True
DA1012,Antlerless Deer,* Junction Valley,2024,2025,20,4.0,24,,,,15.0,13.0,2.0,2024 mule deer.pdf,22,number harvest harvest harvest afield hunted (%),,True,True,True
DA1013,Antlerless Deer,Mt Carmel,2024,2025,3,0.0,3,,,,5.0,4.0,1.0,2024 mule deer.pdf,22,number harvest harvest harvest afield hunted (%),,True,True,True
DA1018,Antlerless Deer,"Pine Valley, New Harmony Archery, muzzleloader, shotgun",2024,2025,12,2.0,14,,,,18.0,14.0,3.4,2024 mule deer.pdf,21,,,True,True,True
DA1027,Antlerless Deer,"East Canyon, Davis-North Salt Lake Any legal weapon",2024,2025,14,0.0,14,,,,30.0,29.0,3.4,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1030,Antlerless Deer,"Nine Mile, Price River Valley Archery",2024,2025,7,0.0,7,,,,25.0,18.0,5.9,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1031,Antlerless Deer,"Oquirrh-Stansbury, Settlement Cyn Archery",2024,2025,12,0.0,12,,,,20.0,17.0,3.2,2024 mule deer.pdf,21,,,True,True,True
DA1033,Antlerless Deer,"San Juan, Monticello Archery",2024,2025,0,0.0,0,,,,5.0,3.0,1.3,2024 mule deer.pdf,21,,,True,True,True
DA1041,Antlerless Deer,"Nine Mile, Green River Valley Any legal weapon",2024,2025,3,0.0,3,,,,14.0,9.0,1.5,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1042,Antlerless Deer,"San Juan, Monticello Archery",2024,2025,1,0.0,1,,,,5.0,4.0,7.7,2024 mule deer.pdf,21,,,True,True,True
DA1044,Antlerless Deer,Myton Any legal weapon,2024,2025,28,0.0,28,,,,47.0,28.0,3.8,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1045,Antlerless Deer,"Fillmore, Oak City Archery",2024,2025,6,1.0,7,,,,14.0,13.0,3.7,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1046,Antlerless Deer,"Nine Mile, Price River Valley Archery, muzzleloader, shotgun",2024,2025,9,0.0,9,,,,24.0,21.0,4.2,2024 mule deer.pdf,21,,,True,True,True
DA1047,Antlerless Deer,Vernal-Ouray Valley Any legal weapon,2024,2025,10,2.0,12,,,,50.0,37.0,4.6,2024 mule deer.pdf,21,,,True,True,True
DA1048,Antlerless Deer,Fillmore City Archery,2024,2025,8,0.0,8,,,,15.0,13.0,4.1,2024 mule deer.pdf,21,number harvest harvest harvest afield hunted rate (%),,True,True,True
DA1049,Antlerless Deer,"Vernal, Ashley Valley Archery",2024,2025,13,0.0,13,,,,75.0,56.0,6.4,2024 mule deer.pdf,21,,,True,True,True
DA1050,Antlerless Deer,The Rose of Snowville,2024,2025,6,0.0,6,,,,9.0,9.0,1.7,2024 mule deer.pdf,22,number harvest harvest harvest afield hunted (%),,True,True,True
DB0009,Mule Deer,Antelope Island Any legal weapon,2024,2025,1,1.0,1,,,,1.0,100.0,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1000,Mule Deer,Henry Mtns Archery,2024,2025,11,11.0,11,,,,9.7,100.0,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1001,Mule Deer,Paunsaugunt Archery,2024,2025,36,36.0,20,,,,9.6,55.9,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1002,Mule Deer,Antelope Island Any legal weapon,2024,2025,1,1.0,1,,,,2.0,100.0,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1003,Mule Deer,Henry Mtns Any legal weapon,2024,2025,28,27.0,26,,,,3.8,96.2,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1004,Mule Deer,Paunsaugunt Any legal weapon,2024,2025,87,86.0,72,,,,7.1,83.8,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1005,Mule Deer,Henry Mtns Muzzleloader,2024,2025,11,11.0,11,,,,3.4,100.0,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1006,Mule Deer,Paunsaugunt Muzzleloader,2024,2025,30,30.0,23,,,,5.2,77.8,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1007,Mule Deer,Henry Mtns Multiseason,2024,2025,1,1.0,1,,,,14.0,100.0,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
DB1008,Mule Deer,Paunsaugunt Multiseason,2024,2025,4,4.0,4,,,,18.5,100.0,,2024 mule deer.pdf,15,,,True,True,True
DB1010,Mule Deer,Paunsaugunt (management) Any legal weapon,2024,2025,21,21.0,19,,,,3.0,90.5,,2024 mule deer.pdf,15,number harvest afield hunted rate (%),,True,True,True
