unit,unit_name,harvest_objective_age_range,hunt_code,avg_age_2015,avg_age_2016,avg_age_2017,avg_age_2018,avg_age_2019,avg_age_2020,avg_age_2021,avg_age_2022,avg_age_2023,avg_age_2024,avg_age_3_year_average,table_title,source_file,source_page,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
9C,Diamond Mtn,5.5–6.0,EB3020;EB3068;EB3069;EB3098;EB3122;EB3195;EB3196,6.8,7.7,7,7.3,6.9,7.8,7.4,7.7,7,7.1,7.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3020;EB3068;EB3069;EB3098;EB3122;EB3195;EB3196,7,Diamond Mtn | Diamond Mtn | Diamond Mtn | Diamond Mtn | Diamond Mtn | Diamond Mtn | Diamond Mtn,existing_hunt_code_column,mapped_to_2026_codes
21B,"Fillmore, Pahvant",6.5–7.0,EB3008;EB3042;EB3043;EB3086;EB3110;EB3180;EB3181,7.8,8.1,7.9,7.6,6.5,8.7,7.5,8.7,7.7,8,8.1,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3008;EB3042;EB3043;EB3086;EB3110;EB3180;EB3181,7,Fillmore Pahvant | Fillmore Pahvant | Fillmore Pahvant | Fillmore Pahvant | Fillmore Pahvant | Fillmore Pahvant | Fillmore Pahvant,existing_hunt_code_column,mapped_to_2026_codes
25AB,Fishlake/Thousand Lakes,5.5–6.0,EB3018;EB3063;EB3064;EB3065;EB3096;EB3120;EB3192,6,6,6,5.9,6,7.2,6.9,7.2,7.5,6.6,7.1,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3018;EB3063;EB3064;EB3065;EB3096;EB3120;EB3192,7,Fishlake/Thousand Lakes | Fishlake/Thousand Lakes | Fishlake/Thousand Lakes | Fishlake/Thousand Lakes | Fishlake/Thousand Lakes | Fishlake/Thousand Lakes | Fishlake/Thousand Lakes,existing_hunt_code_column,mapped_to_2026_codes
13B,"La Sal, Dolores Triangle",5.5–6.0,EB3044,,,,5,4,,,,,9,9,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3044,1,Dolores Triangle,existing_hunt_code_column,mapped_to_2026_codes
13A,"La Sal, La Sal Mtns",5.5–6.0,EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183,6.6,6.3,5.7,5.9,5.7,6.2,6.2,6.5,5.7,6.3,6.2,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183,7,La Sal Mtns | La Sal Mtns | La Sal Mtns | La Sal Mtns | La Sal Mtns | La Sal Mtns | La Sal Mtns,existing_hunt_code_column,mapped_to_2026_codes
16B,Manti,5.5–6.0,EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172,5.9,6.3,6,6.4,6.3,6.8,6.5,6.6,6.1,6,6.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172,7,Manti | Manti | Manti | Manti | Manti | Manti | Manti,existing_hunt_code_column,mapped_to_2026_codes
23,Monroe,6.0–6.5,EB3010;EB3047;EB3048;EB3088;EB3112;EB3184;EB3185,7.8,7.8,6.4,6.7,7.3,7.1,7.7,7.4,9.1,8.3,8.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3010;EB3047;EB3048;EB3088;EB3112;EB3184;EB3185,7,Monroe | Monroe | Monroe | Monroe | Monroe | Monroe | Monroe,existing_hunt_code_column,mapped_to_2026_codes
24,Mt Dutton,6.0–6.5,EB3011;EB3049;EB3050;EB3089;EB3113;EB3186;EB3187,5.9,6,6.1,6.9,5.8,6.8,7.5,7.7,7.8,8,7.8,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3011;EB3049;EB3050;EB3089;EB3113;EB3186;EB3187,7,Mt Dutton | Mt Dutton | Mt Dutton | Mt Dutton | Mt Dutton | Mt Dutton | Mt Dutton,existing_hunt_code_column,mapped_to_2026_codes
16A,Nebo/San Pitch Mtns,5.5–6.0,EB3173;EB3174;EB3175;EB3176;EB3177;EB3178;EB3179,6,5.3,5.8,5.8,5.7,6.7,7.2,7.5,6.6,7.1,7.1,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3173;EB3174;EB3175;EB3176;EB3177;EB3178;EB3179,7,Nebo/San Pitch Mtns | Nebo/San Pitch Mtns | Nebo/San Pitch Mtns | Nebo/San Pitch Mtns | Nebo/San Pitch Mtns | Nebo/San Pitch Mtns | Nebo/San Pitch Mtns,existing_hunt_code_column,mapped_to_2026_codes
8C,"North Slope, Three Corners",5.5–6.0,EB3013;EB3053;EB3091;EB3115;EB3210,5.7,5.4,5,4.7,6,4.8,5.5,5.4,5.7,4.8,5.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3013;EB3053;EB3091;EB3115;EB3210,5,North Slope Three Corners | North Slope Three Corners | North Slope Three Corners | North Slope Three Corners | North Slope Three Corners,existing_hunt_code_column,mapped_to_2026_codes
28,Panguitch Lake,6.0–6.5,EB3015;EB3056;EB3057;EB3093;EB3117;EB3188;EB3189,5.4,5.9,5.1,6.1,6.7,5.7,6.7,7.6,7.8,7.9,7.8,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3015;EB3056;EB3057;EB3093;EB3117;EB3188;EB3189,7,Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake | Panguitch Lake,existing_hunt_code_column,mapped_to_2026_codes
14A,San Juan Bull Elk,6.5–7.0,EB3019;EB3066;EB3067;EB3097;EB3121;EB3193;EB3194,8.1,8.2,7.4,8.3,7.6,7.8,7.7,8.3,7.6,7.9,7.9,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3019;EB3066;EB3067;EB3097;EB3121;EB3193;EB3194,7,San Juan Bull Elk | San Juan Bull Elk | San Juan Bull Elk | San Juan Bull Elk | San Juan Bull Elk | San Juan Bull Elk | San Juan Bull Elk,existing_hunt_code_column,mapped_to_2026_codes
20A,"Southwest Desert, North",3.5–4.5,EB3136;EB3143,,,,,,,8.7,7.6,8.1,9.5,8.4,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3136;EB3143,2,Southwest Desert North | Southwest Desert North,existing_hunt_code_column,mapped_to_2026_codes
20B,"Southwest Desert, South",6.0–6.5,EB3146;EB3149;EB3152;EB3155;EB3157;EB3197;EB3198,6.8,7.8,6.3,7.2,7.3,7.1,6.6,8.4,8.1,8.4,8.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3146;EB3149;EB3152;EB3155;EB3157;EB3197;EB3198,7,Southwest Desert South | Southwest Desert South | Southwest Desert South | Southwest Desert South | Southwest Desert South | Southwest Desert South | Southwest Desert South,existing_hunt_code_column,mapped_to_2026_codes
17,Wasatch Mtns,5.5–6.0,EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199,6.6,6.7,6.4,6.3,6.2,6.3,5.9,5.7,5,5.2,5.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199,7,Wasatch Mtns | Wasatch Mtns | Wasatch Mtns | Wasatch Mtns | Wasatch Mtns | Wasatch Mtns | Wasatch Mtns,existing_hunt_code_column,mapped_to_2026_codes
19A,"West Desert, Deep Creek",3.5–4.5,EB3137;EB3144,5.9,7.2,6.4,5.4,5.8,6.3,5.4,6.4,7.4,8.2,7.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3137;EB3144,2,West Desert Deep Creek | West Desert Deep Creek,existing_hunt_code_column,mapped_to_2026_codes
