reported_hunt_year,model_target_year,hunt_code,species,hunt_name,hunt_type,weapon,permits,harvest_hunters,harvest,harvest_average_days,harvest_success_percent,harvest_satisfaction,source_file,source_page,parse_status,do_not_use_for_permit_quota,do_not_use_for_p_draw_directly
2023,2024,DS6611,Desert Bighorn Sheep,Zion,OIAL,Any Legal Weapon,2,2,2,1.5,100.0,5.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6624,Desert Bighorn Sheep,"San Rafael, Dirty Devil",OIAL,Archery,2,2,1,10.5,50.0,4.5,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,RS6701,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",OIAL,Any Legal Weapon,5,5,5,8.0,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6703,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Any Legal Weapon,6,6,6,2.5,100.0,4.7,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6704,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Any Legal Weapon,6,6,6,2.2,100.0,4.5,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6725,Rocky Mountain Bighorn Sheep,"Central Mtns, Nebo",OIAL,Any Legal Weapon,2,2,2,3.5,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6720,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Any Legal Weapon,4,4,4,5.3,100.0,4.5,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6726,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Any Legal Weapon,5,5,5,3.4,100.0,4.4,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6712,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon",OIAL,Any Legal Weapon,5,5,5,6.6,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6713,Rocky Mountain Bighorn Sheep,"Nine Mile, Jack Creek",OIAL,Any Legal Weapon,2,2,2,14.0,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6709,Rocky Mountain Bighorn Sheep,"North Slope, Summit/West Daggett",OIAL,Any Legal Weapon,3,3,3,19.0,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6708,Rocky Mountain Bighorn Sheep,"North Slope, Three Corners",OIAL,Any Legal Weapon,2,2,2,2.5,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6721,Rocky Mountain Bighorn Sheep,"Oquirrh-Stansbury, West",OIAL,Any Legal Weapon,4,4,4,4.0,100.0,4.8,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6724,Rocky Mountain Bighorn Sheep,"Wasatch Mtns, West",OIAL,Any Legal Weapon,4,4,4,4.7,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6722,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Archery,3,3,3,10.7,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
2023,2024,RS6727,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Archery,2,2,2,3.0,100.0,5.0,2023 Hunt Success.pdf,18,OK,True,True
