hunt_code,species_category,hunt_name_draw,draw_res_permits,draw_nr_permits,draw_total_permits,harvest_permits,harvest_source_file,comparison_status,harvest_hunt_name
EA1260,Antlerless Elk,Cwmu Antlerless Elk - West Ridge - Any Legal Weapon,5,0,5,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Blackhawk
EA1010,Antlerless Elk,"Antlerless Elk - Cache, Rich - Any Legal Weapon",15,2,17,18,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Cache, Rich"
EA1011,Antlerless Elk,"Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Cache, Richards Hollow"
EA1012,Antlerless Elk,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",8,1,9,10,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Cache, Richmond Hyde Park"
EA1013,Antlerless Elk,Antlerless Elk - Central Manti - Any Legal Weapon,44,5,49,60,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, Central"
EA1015,Antlerless Elk,Antlerless Elk - Ferron Canyon - Any Legal Weapon,44,5,49,58,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, Ferron Canyon"
EA1017,Antlerless Elk,Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,51,6,57,69,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,"Manti, Gordon Creek-Price"
EA1018,Antlerless Elk,Antlerless Elk - Horn Mtn - Any Legal Weapon,36,4,40,49,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, Horn Mtn"
EA1020,Antlerless Elk,Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,65,8,73,88,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, Mohrland-Stump Flat"
EA1021,Antlerless Elk,Antlerless Elk - Nebo - Any Legal Weapon,144,16,160,197,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Nebo
EA1022,Antlerless Elk,Antlerless Elk - North Manti - Any Legal Weapon,202,23,225,271,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, North"
EA1023,Antlerless Elk,Antlerless Elk - South Manti - Any Legal Weapon,72,8,80,97,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, South"
EA1024,Antlerless Elk,Antlerless Elk - South Manti - Any Legal Weapon,72,8,80,98,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, South"
EA1025,Antlerless Elk,Antlerless Elk - West Manti - Any Legal Weapon,80,9,89,109,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Manti, West"
EA1026,Antlerless Elk,Antlerless Elk - Chalk Creek - Any Legal Weapon,277,10,287,340,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Chalk Creek
EA1030,Antlerless Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",36,4,40,49,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Fillmore, Pahvant"
EA1031,Antlerless Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",36,4,40,49,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Fillmore, Pahvant"
EA1033,Antlerless Elk,Antlerless Elk - Kamas - Any Legal Weapon,90,11,101,124,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Kamas
EA1035,Antlerless Elk,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",101,7,108,124,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Kamas, Oakley"
EA1037,Antlerless Elk,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",36,4,40,47,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"La Sal, Dolores Triangle"
EA1038,Antlerless Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",239,28,267,296,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"La Sal, La Sal Mtns"
EA1039,Antlerless Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",180,23,203,246,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"La Sal, La Sal Mtns"
EA1040,Antlerless Elk,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",6,1,7,6,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Monroe, Koosharem Valley"
EA1044,Antlerless Elk,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",25,4,29,35,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Morgan-South Rich, South Rich"
EA1049,Antlerless Elk,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",54,7,61,72,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Mt Dutton, Deep Creek"
EA1054,Antlerless Elk,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",39,1,40,50,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Nine Mile, West Anthro"
EA1058,Antlerless Elk,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",116,15,131,149,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"North Slope, Henry's Fork-Burnt Fork"
EA1060,Antlerless Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",16,1,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,"North Slope, West Daggett"
EA1061,Antlerless Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,"North Slope, West Daggett"
EA1063,Antlerless Elk,Antlerless Elk - Ogden - Any Legal Weapon,61,8,69,73,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Ogden
EA1064,Antlerless Elk,Antlerless Elk - Ogden - Any Legal Weapon,44,1,45,50,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Ogden
EA1069,Antlerless Elk,Antlerless Elk - Panguitch Lake - Any Legal Weapon,18,3,21,23,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Panguitch Lake
EA1073,Antlerless Elk,Antlerless Elk - Paunsaugunt - Any Legal Weapon,15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Paunsaugunt
EA1074,Antlerless Elk,Antlerless Elk - Pine Valley - Any Legal Weapon,4,1,5,4,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Pine Valley
EA1075,Antlerless Elk,Antlerless Elk - Boulder East - Any Legal Weapon,11,2,13,15,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Boulder East
EA1076,Antlerless Elk,Antlerless Elk - Boulder West - Any Legal Weapon,15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Boulder West
EA1077,Antlerless Elk,Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Boulder-Circle Cliffs
EA1078,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,101,12,113,133,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Fishlake/Thousand Lakes
EA1079,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes East - Any Legal Weapon,36,4,40,48,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Fishlake/Thousand Lakes East
EA1080,Antlerless Elk,Antlerless Elk - Fishlake/thousand Lakes West - Any Legal Weapon,22,3,25,28,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Fishlake/Thousand Lakes West
EA1081,Antlerless Elk,Antlerless Elk - San Juan - Any Legal Weapon,90,11,101,124,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,San Juan
EA1082,Antlerless Elk,Antlerless Elk - San Juan - Any Legal Weapon,90,11,101,122,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,San Juan
EA1085,Antlerless Elk,Antlerless Elk - Vernal/bonanza - Archery,68,4,72,100,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Vernal/Bonanza
EA1087,Antlerless Elk,Antlerless Elk - Vernal/bonanza - Any Legal Weapon,72,8,80,98,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Vernal/Bonanza
EA1089,Antlerless Elk,Antlerless Elk - Diamond Mtn - Any Legal Weapon,36,4,40,48,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Diamond Mtn
EA1090,Antlerless Elk,Antlerless Elk - Diamond Mtn - Any Legal Weapon,36,4,40,48,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Diamond Mtn
EA1094,Antlerless Elk,Antlerless Elk - Mosby Mtn - Any Legal Weapon,72,8,80,99,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Vernal, Mosby Mtn"
EA1101,Antlerless Elk,Antlerless Elk - Southwest Desert - Any Legal Weapon,61,8,69,84,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Southwest Desert
EA1106,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Avintaquin - Any Legal Weapon",149,19,168,193,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, Avintaquin"
EA1110,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Salt Lake - Any Legal Weapon",32,3,35,41,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, Salt Lake"
EA1111,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",25,3,28,35,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, Wallsburg"
EA1112,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",40,5,45,51,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, Wallsburg"
EA1113,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, West Heber - Any Legal Weapon",22,3,25,30,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, West Heber"
EA1114,Antlerless Elk,"Antlerless Elk - Wasatch Mtns, West Timpanogos - Any Legal Weapon",25,4,29,34,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,"Wasatch Mtns, West Timpanogos"
EA1116,Antlerless Elk,Antlerless Elk - Zion - Any Legal Weapon,15,2,17,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Zion
EA1117,Antlerless Elk,Antlerless Elk - Zion - Any Legal Weapon,130,15,145,177,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,mismatch,Zion
EA1118,Antlerless Elk,Cwmu Antlerless Elk - Alton - Any Legal Weapon,5,0,5,4,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Alton
EA1119,Antlerless Elk,Cwmu Antlerless Elk - Bar J Ranch - Any Legal Weapon,10,0,10,19,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Bar J Ranch
EA1120,Antlerless Elk,Cwmu Antlerless Elk - Bear Mountain - Any Legal Weapon,16,0,16,17,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Bear Mountain
EA1121,Antlerless Elk,Cwmu Antlerless Elk - Boobe Hole - Any Legal Weapon,8,0,8,10,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Boobe Hole
EA1122,Antlerless Elk,Cwmu Antlerless Elk - Causey Spring - Any Legal Weapon,4,0,4,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Causey Spring
EA1124,Antlerless Elk,Cwmu Antlerless Elk - Chimney Rock - Any Legal Weapon,10,0,10,12,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Chimney Rock
EA1125,Antlerless Elk,Cwmu Antlerless Elk - Coldwater Ranch - Any Legal Weapon,16,0,16,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Coldwater Ranch
EA1126,Antlerless Elk,Cwmu Antlerless Elk - Cotton Thomas - Any Legal Weapon,4,0,4,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Cotton Thomas
EA1129,Antlerless Elk,Cwmu Antlerless Elk - Deseret - Any Legal Weapon,248,0,248,576,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Deseret
EA1130,Antlerless Elk,Cwmu Antlerless Elk - Double Cone - Any Legal Weapon,6,0,6,7,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Double Cone
EA1131,Antlerless Elk,Cwmu Antlerless Elk - Durst Mountain - Any Legal Weapon,24,0,24,29,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Durst Mountain
EA1132,Antlerless Elk,Cwmu Antlerless Elk - East Fork Chalk Creek - Any Legal Weapon,24,0,24,66,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,East Fork Chalk Creek
EA1134,Antlerless Elk,Cwmu Antlerless Elk - Ensign Ranches - Any Legal Weapon,48,0,48,110,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Ensign Ranches
EA1135,Antlerless Elk,Cwmu Antlerless Elk - Folley Ridge - Any Legal Weapon,16,0,16,19,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Folley Ridge
EA1136,Antlerless Elk,Cwmu Antlerless Elk - Grass Valley/clark Canyon - Any Legal Weapon,40,0,40,92,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Grass Valley/Clark Canyon
EA1137,Antlerless Elk,Cwmu Antlerless Elk - Grazing Pasture - Any Legal Weapon,8,0,8,15,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Grazing Pasture
EA1138,Antlerless Elk,Cwmu Antlerless Elk - Guildersleeve - Any Legal Weapon,16,0,16,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Guildersleeve
EA1139,Antlerless Elk,Cwmu Antlerless Elk - Hardscrabble - Any Legal Weapon,8,0,8,9,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Hardscrabble
EA1140,Antlerless Elk,Cwmu Antlerless Elk - Heaston East - Any Legal Weapon,20,0,20,24,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Heaston East
EA1141,Antlerless Elk,Cwmu Antlerless Elk - Hiawatha - Any Legal Weapon,8,0,8,15,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Hiawatha
EA1142,Antlerless Elk,Cwmu Antlerless Elk - Indian Head - Any Legal Weapon,10,0,10,11,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Indian Head
EA1143,Antlerless Elk,Cwmu Antlerless Elk - J.b. Ranch - Any Legal Weapon,17,0,17,35,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,J. B. Ranch
EA1145,Antlerless Elk,Cwmu Antlerless Elk - Johnson Mountain Ranch - Any Legal Weapon,16,0,16,20,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Johnson Mountain Ranch
EA1146,Antlerless Elk,Cwmu Antlerless Elk - Jump Creek - Any Legal Weapon,8,0,8,14,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Jump Creek
EA1147,Antlerless Elk,Cwmu Antlerless Elk - Little Red Creek - Any Legal Weapon,12,0,12,14,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Little Red Creek
EA1149,Antlerless Elk,Cwmu Antlerless Elk - Minnie Maud Ridge - Any Legal Weapon,7,0,7,8,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Minnie Maud Ridge
EA1151,Antlerless Elk,Cwmu Antlerless Elk - Moon Ranch - Any Legal Weapon,5,0,5,6,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Moon Ranch
EA1157,Antlerless Elk,Cwmu Antlerless Elk - Redd Ranches - Any Legal Weapon,28,0,28,33,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,mismatch,Redd Ranches
