source_document,source_file,section,hunt_name,weapon,hunt_code,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Diamond Mtn,Multiseason,DB1047,3,0,3,4,0,4
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Diamond Mtn,Muzzleloader,DB1038,20,2,22,22,2,24
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Dolores Triangle,Any Legal Weapon,DB1020,11,1,12,13,2,15
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Dolores Triangle,Archery,DB1013,4,0,4,5,0,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Dolores Triangle,Muzzleloader,DB1031,4,0,4,5,0,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE",Any Legal Weapon,DB1019,31,3,34,33,4,37
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE",Archery,DB1012,11,1,12,12,1,13
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE",Multiseason,DB1045,2,0,2,2,0,2
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE",Muzzleloader,DB1029,11,1,12,12,1,13
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Little Rockies,Any Legal Weapon,DB1115,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Moab Valley,Any Legal Weapon,DB1119,9,1,10,9,1,10
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge",Any Legal Weapon,DB1022,40,4,44,42,5,47
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge",Archery,DB1014,14,2,16,15,2,17
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge",Multiseason,DB1046,2,0,2,2,0,2
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge",Muzzleloader,DB1037,14,2,16,15,2,17
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes,Any Legal Weapon,DB1108,25,3,28,27,3,30
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes,Archery,DB1106,21,2,23,20,2,22
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes,Multiseason,DB1109,2,0,2,2,0,2
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes,Muzzleloader,DB1107,21,2,23,20,2,22
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"West Desert, Vernon",Any Legal Weapon,DB1024,118,13,131,130,14,144
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"West Desert, Vernon",Archery,DB1016,41,5,46,46,5,51
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"West Desert, Vernon",Multiseason,DB1048,6,1,7,7,1,8
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"West Desert, Vernon",Muzzleloader,DB1042,41,5,46,46,5,51
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"Book Cliffs, Floy Canyon",,DB1090,6,1,7,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),East Canyon,,DB1105,6,1,7,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),Kaiparowits HAMSS,,DB1091,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,25                               2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Mancos Mesa",,DB1116,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Beaver, East",Muzzleloader,DB1110,9,1,10,10,1,11
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Beaver, West",Muzzleloader,DB1111,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Boulder/Kaiparowits,Muzzleloader,DB1084,11,1,12,12,1,13
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Box Elder,Muzzleloader,DB1077,22,3,25,23,3,26
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Cache,Muzzleloader,DB1078,9,1,10,11,1,12
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Cedar/Stansbury,Muzzleloader,DB1114,5,1,6,5,1,6
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Chalk Creek,Muzzleloader,DB1100,10,1,11,10,1,11
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,East Canyon,Muzzleloader,DB1101,9,1,10,9,1,10
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Fillmore,Muzzleloader,DB1028,10,1,11,11,1,12
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Fishlake,Muzzleloader,DB1055,5,1,6,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Kamas,Muzzleloader,DB1030,5,1,6,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,La Sal Mtns,Muzzleloader,DB1081,8,1,9,8,1,9
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Manti/San Rafael,Muzzleloader,DB1079,38,4,42,40,5,45
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Monroe,Muzzleloader,DB1032,5,1,6,5,1,6
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Morgan-South Rich,Muzzleloader,DB1103,7,1,8,7,1,8
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Mt Dutton,Muzzleloader,DB1053,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Nebo,Muzzleloader,DB1080,22,3,25,23,3,26
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Nine Mile,Muzzleloader,DB1033,6,1,7,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,North Slope,Muzzleloader,DB1065,13,2,15,14,2,16
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Ogden,Muzzleloader,DB1054,11,1,12,13,1,14
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Oquirrh/Tintic,Muzzleloader,DB1113,11,1,12,10,1,11
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Panguitch Lake,Muzzleloader,DB1083,11,1,12,12,1,13
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Pine Valley,Muzzleloader,DB1034,13,2,15,13,2,15
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"San Juan, Abajo Mtns",Muzzleloader,DB1085,12,1,13,13,1,14
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Southwest Desert,Muzzleloader,DB1040,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Vernal/Bonanza,Muzzleloader,DB1086,5,1,6,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Wasatch Mtns, East",Muzzleloader,DB1041,27,3,30,30,3,33
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Wasatch Mtns, West",Muzzleloader,DB1087,30,3,33,36,4,40
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"West Desert, Swasey",Muzzleloader,DB1112,4,1,5,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Yellowstone,Muzzleloader,DB1039,6,1,7,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,24                               2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Zion,Muzzleloader,DB1043,13,2,15,15,2,17
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3000,22,2,24,22,3,25
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3024,9,1,10,9,1,10
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3159,25,3,28,27,3,30
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3025,14,2,16,15,2,17
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3102,3,0,3,3,0,3
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3077,13,1,14,13,2,15
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3160,20,2,22,22,2,24
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3162,8,1,9,9,1,10
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3164,23,3,26,25,3,28
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3163,13,2,15,14,2,16
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3165,3,0,3,3,0,3
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3166,12,1,13,13,1,14
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3002,3,0,3,4,0,4
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3028,2,0,2,3,0,3
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3167,3,1,4,4,1,5
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3104,1,0,1,1,0,1
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3079,2,0,2,2,0,2
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3145,28,3,31,31,4,35
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3148,12,1,13,13,1,14
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3191,33,4,37,37,4,41
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3151,19,2,21,22,2,24
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3156,4,0,4,4,0,4
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3154,17,2,19,19,2,21
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3147,6,1,7,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3150,12,1,13,12,1,13
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3153,2,1,3,2,1,3
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3130,3,0,3,2,0,2
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3031,9,1,10,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3003,11,1,12,9,1,10
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3032,4,1,5,3,1,4
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3169,13,2,15,11,1,12
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3033,7,1,8,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3105,1,0,1,1,0,1
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3081,6,1,7,5,1,6
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3005,9,1,10,10,1,11
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3036,4,0,4,4,0,4
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3171,10,1,11,11,1,12
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3037,5,1,6,6,1,7
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Multiseason,EB3107,1,0,1,1,0,1
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Muzzleloader,EB3083,5,1,6,5,1,6
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Archery,EB3020,22,3,25,25,3,28
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Early Any Legal Weapon,EB3068,9,1,10,10,1,11
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Mid Any Legal Weapon,EB3069,27,3,30,30,3,33
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,7.6                 2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),,Late Any Legal Weapon,EB3196,15,2,17,17,2,19
