hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,dwr_huntplanner_source_url,dwr_huntplanner_source_retrieved_at,dwr_huntplanner_management_stats_available,dwr_huntplanner_season_date_text,dwr_huntplanner_permits_2026_res,dwr_huntplanner_permits_2026_nr,dwr_huntplanner_permits_2026_total,dwr_huntplanner_percent_harvest_success_previous_hunting_season,dwr_huntplanner_current_age_3yr_average,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate
DB1011,7,Book Cliffs,Buck,Deer,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,,44,4,48,13,28,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,44,4,48,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1011,2026-05-29T07:31:31.653Z,true,Aug 15 2026 - Sept 11 2026,55,6,61,83.8,,,9000,5900
DB1025,7,Book Cliffs,Buck,Deer,Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,,43,4,47,26,41,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,43,4,47,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,55,6,61,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1025,2026-05-29T07:31:31.653Z,true,Sept 23 2026 - Oct 01 2026,55,6,61,73.8,,,9000,5900
DB1044,7,Book Cliffs,Buck,Deer,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,,6,1,7,42,57,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,6,1,7,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,8,1,9,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,8,1,9,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1044,2026-05-29T07:31:31.653Z,true,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,100,,,9000,5900
DB1056,7,Book Cliffs (North & South),Buck,Deer,Any Legal Weapon,Conservation,Conservation,"Oct 17, 2026 - Oct 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1056,2026-05-29T07:31:31.653Z,true,"Oct 17, 2026 - Oct 25, 2026",0,0,0,100,,,9000,5900
DB1075,7,Book Cliffs (North & South),Buck,Deer,Archery,Conservation,Conservation,Aug 16 2025 - Sept 12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1075,2026-05-29T07:31:31.653Z,true,Aug 16 2025 - Sept 12 2025,0,0,0,50,,,9000,5900
DB1076,7,Book Cliffs (North & South),Buck,Deer,Muzzleloader,Conservation,Conservation,Sept 24 2025 - Oct 02 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1076,2026-05-29T07:31:31.653Z,true,Sept 24 2025 - Oct 02 2025,0,0,0,0,,,9000,5900
DA1030,11,"Nine Mile, Price River Valley",Antlerless,Deer,Archery,General Season,Antlerless,Aug 15 2026 - Sept 11 2026,,,25,,,,,,,,,23,1,24,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1030,2026-05-29T07:31:31.653Z,true,Aug 16 2025 - Sep 12 2025,0,0,25,38.9,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit)
DA1046,11,"Nine Mile, Price River Valley",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Antlerless,Sept 12 2026 - Oct 09 2026,,,25,,,,,,,,,25,0,25,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1046,2026-05-29T07:31:31.653Z,true,Sep 13 2025 - Oct 12 2025,0,0,25,42.1,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit)
BR7102,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,,"May 25 - June 28, 2026",5,0,5,,4,0,4,31,,2024 Draw Odds PDF Model Target 2025,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,4,0,4,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7102,2026-05-29T07:31:31.653Z,false,"May 25 - June 28, 2026",5,0,5,,,,,
BR7224,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,,"March 28 - May 25, 2026",14,1,15,,9,1,10,72,,2024 Draw Odds PDF Model Target 2025,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,9,1,10,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,14,1,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,14,1,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7224,2026-05-29T07:31:31.653Z,false,"March 28 - May 25, 2026",14,1,15,,,,,
BR7225,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Spot and Stalk,,"Sept. 1 - Nov. 8, 2026",5,0,5,,7,0,7,73,,2024 Draw Odds PDF Model Target 2025,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,7,0,7,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7225,2026-05-29T07:31:31.653Z,false,"Sept. 1 - Nov. 8, 2026",5,0,5,,,,,
BR7301,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,,2,0,2,77,,2024 Draw Odds PDF Model Target 2025,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2,0,2,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7301,2026-05-29T07:31:31.653Z,false,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,,,,,
EB3002,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Archery,Limited Entry,Mature Bull,Aug 15 2026 - Sept 15 2026,4,0,4,,3,0,3,199,238,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,3,0,3,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3002,2026-05-29T07:31:31.653Z,true,Aug 15 2026 - Sept 15 2026,4,0,4,100,7.7,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit)
EB3028,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Early Any Legal Weapon,Limited Entry,Mature Bull,Sept 16 2026 - Sept 20 2026,3,0,3,,2,0,2,215,254,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3028,2026-05-29T07:31:31.653Z,true,Sept 16 2026 - Sept 20 2026,3,0,3,100,7.7,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit)
EB3079,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Muzzleloader,Limited Entry,Mature Bull,Sept 21 2026 - Oct 02 2026,2,0,2,,2,0,2,245,284,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3079,2026-05-29T07:31:31.653Z,true,Sept 21 2026 - Oct 02 2026,2,0,2,100,7.7,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit)
EB3104,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Multiseason,Limited Entry,Mature Bull,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,,1,0,1,260,299,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3104,2026-05-29T07:31:31.653Z,true,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,100,7.7,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit)
EB3167,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Mid Any Legal Weapon,Limited Entry,Mature Bull,Oct 03 2026 - Oct 15 2026,4,1,5,,3,1,4,307,346,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,3,1,4,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3167,2026-05-29T07:31:31.653Z,true,Oct 03 2026 - Oct 15 2026,4,1,5,100,7.7,6.5-7.0,7500 (entire Book Cliffs unit),5300 (entire Book Cliffs unit)
EL3002,12,Book Cliffs Little Creek Roadless,Bull,Elk,Archery,Limited Entry - Private Land Only,Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3002,2026-05-29T07:31:31.653Z,false,Aug 16 2025 - Sept 16 2025 - Private Land Only,0,0,0,,,,,
EL3028,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3028,2026-05-29T07:31:31.653Z,false,Sept 17 2025 - Sept 21 2025 - Private Land Only,0,0,0,,,,,
EL3079,12,Book Cliffs Little Creek Roadless,Bull,Elk,Muzzleloader,Limited Entry - Private Land Only,Private Land Only,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3079,2026-05-29T07:31:31.653Z,false,Sept 22 2025 - Oct 03 2025 - Private Land Only,0,0,0,,,,,
EL3167,12,Book Cliffs Little Creek Roadless,Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Private Land Only,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,,,,,,,,,NO_PUBLISHED_2026_PRIVATE_LAND_ELK_PERMIT_COUNT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EL3167,2026-05-29T07:31:31.653Z,false,Oct 04 2025 - Oct 16 2025 - Private Land Only,0,0,0,,,,,
DB1018,15,"Book Cliffs, South",Buck,Deer,Any Legal Weapon,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,,27,2,29,20,35,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,27,2,29,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,34,4,38,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_LE_BIG_GAME,34,4,38,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1018,2026-05-29T07:31:31.653Z,true,Oct 17 2026 - Oct 25 2026,34,4,38,84.6,,,9000 (entire Book Cliffs unit),5900 (entire Book Cliffs unit)
