hunt_code,reported_hunt_year,model_target_year,species,hunt_name,harvest_2021_sum,harvest_success_percent_2021_mean,harvest_average_days_2021_mean,harvest_hunters_afield_2021_sum,harvest_permits_2021_sum,source_row_count_2021,harvest_source_files_2021,harvest_quality_flags_2021
BR7100,2021,2022,Black Bear,Beaver,5.0,50.0,5.0,2.0,10,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7101,2021,2022,Black Bear,"Book Cliffs, Bitter Creek/South",6.0,40.0,6.0,2.0,15,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7102,2021,2022,Black Bear,"Book Cliffs, Little Creek Roadless",1.0,50.0,1.0,1.0,2,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7104,2021,2022,Black Bear,"Central Mtns, Manti-North",4.0,31.0,4.0,3.0,13,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7105,2021,2022,Black Bear,"Central Mtns, Manti-South/San Rafael, North",10.0,71.0,10.0,8.0,14,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7106,2021,2022,Black Bear,"Central Mtns, Nebo",8.0,73.0,8.0,2.0,11,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7108,2021,2022,Black Bear,La Sal,19.0,70.0,19.0,12.0,27,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7109,2021,2022,Black Bear,Mt Dutton,1.0,33.0,1.0,1.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7110,2021,2022,Black Bear,Nine Mile,7.0,50.0,7.0,3.0,14,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7111,2021,2022,Black Bear,"North Slope, Three Corners/West Daggett",2.0,67.0,2.0,2.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
