container,member,source_kind,source_priority,raw_rows,normalized_rows,unique_hunt_codes,active_database_codes,reported_hunt_years,header_count
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,14,14,14,14,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_quality_features_by_hunt_code_all_species_2023.csv,zip_quality,75,592,592,592,543,2023,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,zip_species_or_supplement,45,138,4,3,3,2023,38
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_location_hunt_code_crosswalk_2023_bighorn_sheep.csv,zip_species_or_supplement,45,138,4,3,3,2023,14
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,zip_species_or_supplement,45,30,30,30,29,2023,23
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_quality_features_bighorn_by_hunt_code_2023.csv,zip_quality,75,30,30,30,29,2023,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_statewide_history_1967_2000.csv,zip_species_or_supplement,45,34,0,0,0,,17
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_statewide_harvest_mortality_2001_2024.csv,zip_species_or_supplement,45,24,0,0,0,,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_unit_harvest_2024.csv,zip_species_or_supplement,45,24,0,0,0,,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_hunt_code_harvest_2024.csv,zip_species_or_supplement,45,87,87,87,83,2024,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_harvest_objective_2024.csv,zip_species_or_supplement,45,21,0,0,0,,17
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_statewide_pursuit_2002_2024.csv,zip_species_or_supplement,45,23,0,0,0,,16
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_restricted_pursuit_annual.csv,zip_species_or_supplement,45,20,0,0,0,,14
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_pursuit_by_unit_2024.csv,zip_species_or_supplement,45,46,0,0,0,,20
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_restricted_pursuit_by_unit_season_2024.csv,zip_species_or_supplement,45,9,0,0,0,,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,black_bear_unit_mortality_history_1990_2024.csv,zip_species_or_supplement,45,665,0,0,0,,23
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_quality_features_black_bear_2024_for_2025.csv,zip_quality,75,24,0,0,0,,37
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_results_2024_for_2025_black_bear_supplement_long.csv,zip_species_or_supplement,45,953,87,87,83,2024,66
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_results_2024_for_2025_all_long_enhanced_v3.csv,zip_long,60,4542,2910,1041,950,2024,88
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,harvest_results_2024_for_2025_all_long.csv,zip_long,60,2767,2767,1039,949,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,harvest_results_2024_for_2025_hunt_code_keyed.csv,zip_keyed,80,1039,1039,1039,949,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,harvest_quality_features_by_hunt_code_2024_for_2025.csv,zip_quality,75,1039,1039,1039,949,2024,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,harvest_unit_trend_rows_2024_for_2025.csv,zip_species_or_supplement,45,1523,0,0,0,,24
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,zip_species_or_supplement,45,42,42,21,20,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,zip_species_or_supplement,45,825,825,184,178,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_BISON.csv,zip_species_or_supplement,45,16,16,16,15,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_BLACK_BEAR.csv,zip_species_or_supplement,45,87,87,87,83,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_DESERT_BIGHORN_SHEEP.csv,zip_species_or_supplement,45,21,21,21,18,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_ELK.csv,zip_species_or_supplement,45,860,860,215,205,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_MOOSE.csv,zip_species_or_supplement,45,37,37,37,24,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_MOUNTAIN_GOAT.csv,zip_species_or_supplement,45,17,17,17,17,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_MULE_DEER.csv,zip_species_or_supplement,45,668,668,334,289,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_PRONGHORN.csv,zip_species_or_supplement,45,174,174,87,83,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,species/harvest_results_2024_for_2025_ROCKY_MOUNTAIN_BIGHORN_SHEEP.csv,zip_species_or_supplement,45,20,20,20,17,2024,40
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,elk_average_age_limited_entry_units_2015_2024.csv,zip_species_or_supplement,45,26,0,0,0,,24
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,elk_general_season_harvest_additional_2024.csv,zip_species_or_supplement,45,120,0,0,0,,16
