source_file,source_sha256,pdf_page,printed_page,line_number,hunt_code,guidebook_line_text,database_present,predictive_present,database_hunt_name,database_species,database_sex_type,database_hunt_type,database_weapon,permits_2026_res,permits_2026_nr,permits_2026_total,season
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,21,BR7022,La Sal Mtns BR7022 40 3 March 28-May 25,true,true,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,40,3,43,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,22,BR7003,"Manti, North BR7003 17 2 March 28-May 25",true,true,Manti North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,17,2,19,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,23,BR7004,"Manti, South/San Rafael, North BR7004 18 2 March 28-May 25",true,true,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,18,0,18,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,24,BR7020,Monroe BR7020 1 0 March 28-May 25,true,true,Monroe,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,1,0,1,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,25,BR7009,Mt Dutton BR7009 4 0 March 28-May 25,true,true,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,4,0,4,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,26,BR7005,Nebo BR7005 7 0 March 28-May 25,true,true,Nebo,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,7,0,7,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,27,BR7010,Panguitch Lake/Zion BR7010 9 0 March 28-May 25,true,true,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,9,0,9,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,28,BR7011,Paunsaugunt BR7011 4 0 March 28-May 25,true,true,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,4,0,4,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,29,BR7014,San Juan BR7014 35 3 March 28-May 25,true,true,San Juan,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,35,3,38,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,30,BR7016,"Wasatch Mtns, West-Central BR7016 36 4 March 28-May 25",true,true,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,36,4,40,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,14,BR7100,Beaver BR7100 9 1 May 25-June 28,true,true,Beaver,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,9,1,10,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,15,BR7101,"Book Cliffs, Bitter Creek/South BR7101 14 1 May 25-June 28",true,true,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,14,1,15,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,16,BR7102,"Book Cliffs, Little Creek Roadless BR7102 5 0 May 25-June 28",true,true,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,5,0,5,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,17,BR7114,Boulder/Kaiparowits BR7114 13 1 May 25-June 28,true,true,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,13,1,14,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,18,BR7121,Cache/Ogden BR7121 4 0 May 25-June 28,true,true,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,4,0,4,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,20,BR7122,BR7122 7 0 May 25-June 28,true,true,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,7,0,7,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,22,BR7117,Diamond Mtn/Vernal/Bonanza BR7117 5 0 May 25-June 28,true,true,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,5,0,5,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,23,BR7126,Dolores Triangle (new) BR7126 6 0 May 25-June 28,true,true,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,6,0,6,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,24,BR7124,"Fillmore, Pahvant BR7124 2 0 May 25-June 28",true,true,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,2,0,2,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,25,BR7115,Fishlake/Thousand Lakes BR7115 7 0 May 25-June 28,true,true,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,7,0,7,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,26,BR7123,"Kamas/North Slope, Summit BR7123 6 0 May 25-June 28",true,true,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,6,0,6,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,27,BR7127,La Sal Mtns BR7127 25 2 May 25-June 28,true,true,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,25,2,27,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,28,BR7104,"Manti, North BR7104 17 1 May 25-June 28",true,true,Manti North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,17,1,18,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,29,BR7105,"Manti, South/San Rafael, North BR7105 18 2 May 25-June 28",true,true,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,18,2,20,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,30,BR7125,Monroe BR7125 1 0 May 25-June 28,true,true,Monroe,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,1,0,1,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,31,BR7109,Mt Dutton BR7109 3 0 May 25-June 28,true,true,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,3,0,3,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,32,BR7106,Nebo BR7106 8 0 May 25-June 28,true,true,Nebo,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,8,0,8,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,33,BR7110,Nine Mile BR7110 18 2 May 25-June 28,true,true,Nine Mile,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,18,2,20,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,74,74,34,BR7111,"North Slope, Three Corners/West Daggett BR7111 1 0 May 25-June 28",true,true,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,1,0,1,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,8,BR7112,Panguitch Lake/Zion BR7112 5 0 May 25-June 28,true,true,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,5,0,5,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,9,BR7113,Paunsaugunt BR7113 3 0 May 25-June 28,true,true,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,3,0,3,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,10,BR7116,San Juan BR7116 22 2 May 25-June 28,true,true,San Juan,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,22,2,24,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,11,BR7119,"Wasatch Mtns, Avintaquin/Currant Creek BR7119 5 0 May 25-June 28",true,true,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,5,0,5,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,12,BR7120,"Wasatch Mtns, West-Central BR7120 22 1 May 25-June 28",true,true,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,22,1,23,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,13,BR7118,Yellowstone BR7118 5 0 May 25-June 28,true,true,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,5,0,5,"May 25 - June 28, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,20,BR7200,Beaver BR7200 9 1,true,true,Beaver,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,9,1,10,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,23,BR7201,"Book Cliffs, Bitter Creek/South BR7201 18 2",true,true,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,18,2,20,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,26,BR7215,Boulder/Kaiparowits BR7215 9 1,true,true,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,9,1,10,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,29,BR7228,Cache/Ogden BR7228 1 0,true,true,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,1,0,1,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,32,BR7218,Diamond Mtn/Vernal/Bonanza BR7218 7 0,true,true,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,7,0,7,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,35,BR7238,Dolores Triangle (new) BR7238 2 0,true,true,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,2,0,2,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,38,BR7207,"Fillmore, Pahvant BR7207 1 0",true,true,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,1,0,1,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,41,BR7216,Fishlake/Thousand Lakes BR7216 5 0,true,true,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,5,0,5,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,75,75,44,BR7229,"Kamas/North Slope, Summit BR7229 4 0",true,true,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,4,0,4,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,9,BR7239,La Sal Mtns BR7239 6 0,true,true,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,6,0,6,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,12,BR7203,"Manti, North BR7203 10 1",true,true,Manti North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,10,1,11,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,15,BR7204,"Manti, South/San Rafael, North BR7204 18 2",true,true,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,18,2,20,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,18,BR7210,Mt Dutton BR7210 3 0,true,true,Mt Dutton,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,3,0,3,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,21,BR7205,Nebo BR7205 5 0,true,true,Nebo,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,5,0,5,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,24,BR7211,Nine Mile BR7211 26 3,true,true,Nine Mile,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,26,3,29,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,27,BR7212,BR7212 2 0,true,true,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,2,0,2,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,30,BR7213,Panguitch Lake/Zion BR7213 9 0,true,true,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,9,0,9,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,33,BR7214,Paunsaugunt BR7214 4 0,true,true,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,4,0,4,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,36,BR7217,San Juan BR7217 6 0,true,true,San Juan,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,6,0,6,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,76,76,39,BR7220,BR7220 9 0,true,true,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,9,0,9,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026"
