hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
DB1046,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",All limited-entry seasons,All limited-entry seasons,,,"San Juan, Elk Ridge DB1046 All limited-entry seasons"
DB1047,53,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,All limited-entry seasons,All limited-entry seasons,,,Diamond Mtn DB1047 All limited-entry seasons
DB1048,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",All limited-entry seasons,All limited-entry seasons,,,"West Desert, Vernon DB1048 All limited-entry seasons"
DB1053,52,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Mt Dutton DB1053 Oct. 28-Nov. 5
DB1054,52,BUCK_DEER_HUNT_TABLES,Deer,Ogden,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Ogden DB1054 Oct. 28-Nov. 5
DB1055,52,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Fishlake DB1055 Oct. 28-Nov. 5
DB1058,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,Nov. 2-Nov. 20,Nov. 2-Nov. 20,,,Paunsaugunt DB1058 Nov. 2-Nov. 20
DB1065,52,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,North Slope DB1065 Oct. 28-Nov. 5
DB1073,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (archery),Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Paunsaugunt (archery) DB1073 Aug. 15-Sept. 11
DB1074,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (muzzleloader),Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Paunsaugunt (muzzleloader) DB1074 Sept. 23-Oct. 1
DB1077,52,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Box Elder DB1077 Oct. 28-Nov. 5
DB1078,52,BUCK_DEER_HUNT_TABLES,Deer,Cache,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Cache DB1078 Oct. 28-Nov. 5
DB1079,52,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Manti/San Rafael DB1079 Oct. 28-Nov. 5
