hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
DB1303,72,CWMU_HUNT_TABLES,Deer,North Peaks,Box Elder 1,,Box Elder,1,North Peaks DB1303 Box Elder 1
DB1304,73,CWMU_HUNT_TABLES,Deer,Two Bear,Summit 1,,Summit,1,Two Bear DB1304 Summit 1
DB1305,73,CWMU_HUNT_TABLES,Deer,Wallsburg,Wasatch 1,,Wasatch,1,Wallsburg DB1305 Wasatch 1
DB1306,73,CWMU_HUNT_TABLES,Deer,Washakie,Box Elder 1,,Box Elder,1,Washakie DB1306 Box Elder 1
DB1308,73,CWMU_HUNT_TABLES,Deer,West Hills,Box Elder 2,,Box Elder,2,West Hills DB1308 Box Elder 2
DB1309,73,CWMU_HUNT_TABLES,Deer,West Willow Creek Ranch,Uintah 5,,Uintah,5,West Willow Creek Ranch DB1309 Uintah 5
DB1310,73,CWMU_HUNT_TABLES,Deer,White's Valley,Box Elder 1,,Box Elder,1,White's Valley DB1310 Box Elder 1
DB1312,73,CWMU_HUNT_TABLES,Deer,Woodruff Creek South,Rich 1,,Rich,1,Woodruff Creek South DB1312 Rich 1
DB1317,71,CWMU_HUNT_TABLES,Deer,Jacob's Creek,Davis/Morgan 2,,Davis/Morgan,2,Jacob's Creek DB1317 Davis/Morgan 2
DB1322,72,CWMU_HUNT_TABLES,Deer,Pahvant Ensign,Millard/Sevier 1,,Millard/Sevier,1,Pahvant Ensign DB1322 Millard/Sevier 1
DB1323,72,CWMU_HUNT_TABLES,Deer,Rock House,Juab 1,,Juab,1,Rock House DB1323 Juab 1
DB1325,70,CWMU_HUNT_TABLES,Deer,Double Cone,Box Elder 1,,Box Elder,1,Double Cone DB1325 Box Elder 1
DB1326,72,CWMU_HUNT_TABLES,Deer,Rosette,Box Elder 1,,Box Elder,1,Rosette DB1326 Box Elder 1
DB1327,72,CWMU_HUNT_TABLES,Deer,Mountain Sky Ranch,Utah 1,,Utah,1,Mountain Sky Ranch DB1327 Utah 1
DB1328,70,CWMU_HUNT_TABLES,Deer,Clear Creek,Box Elder 1,,Box Elder,1,Clear Creek DB1328 Box Elder 1
DB1330,71,CWMU_HUNT_TABLES,Deer,Iron Spring,Iron 1,,Iron,1,Iron Spring DB1330 Iron 1
DB1331,72,CWMU_HUNT_TABLES,Deer,Raft River,Box Elder 2,,Box Elder,2,Raft River DB1331 Box Elder 2
DB1332,73,CWMU_HUNT_TABLES,Deer,West Ridge,Carbon 5,,Carbon,5,West Ridge DB1332 Carbon 5
DB1333,70,CWMU_HUNT_TABLES,Deer,5S,Morgan 2,,Morgan,2,5S DB1333 Morgan 2
DB1334,69,CWMU_HUNT_TABLES,Deer,Alton (cactus buck),Kane 1,,Kane,1,Alton (cactus buck) DB1334 Kane 1
DB1335,70,CWMU_HUNT_TABLES,Deer,Big Piney Ranch,Summit 1,,Summit,1,Big Piney Ranch DB1335 Summit 1
DB1336,71,CWMU_HUNT_TABLES,Deer,First Light,Carbon 1,,Carbon,1,First Light DB1336 Carbon 1
DB1337,71,CWMU_HUNT_TABLES,Deer,Little Pole Canyon,Wasatch 1,,Wasatch,1,Little Pole Canyon DB1337 Wasatch 1
DB1341,71,CWMU_HUNT_TABLES,Deer,Dry Creek,Summit 1,,Summit,1,Dry Creek DB1341 Summit 1
DB1342,71,CWMU_HUNT_TABLES,Deer,Faust Valley,Box Elder 1,,Box Elder,1,Faust Valley DB1342 Box Elder 1
DB1347,73,CWMU_HUNT_TABLES,Deer,The Rose of Snowville,Box Elder 2,,Box Elder,2,The Rose of Snowville DB1347 Box Elder 2
DB1349,73,CWMU_HUNT_TABLES,Deer,Weber Florence Creek/Stillman Creek,Summit 9,,Summit,9,Weber Florence Creek/Stillman Creek DB1349 Summit 9
DB1351,73,CWMU_HUNT_TABLES,Deer,The Dirty Dozen,Uintah 2,,Uintah,2,The Dirty Dozen DB1351 Uintah 2
DB1501,43,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Box Elder DB1501 Aug. 15-Sept. 11
DB1502,43,BUCK_DEER_HUNT_TABLES,Deer,Cache,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Cache DB1502 Aug. 15-Sept. 11
DB1503,43,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Manti/San Rafael DB1503 Aug. 15-Sept. 11
DB1504,43,BUCK_DEER_HUNT_TABLES,Deer,Nebo,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Nebo DB1504 Aug. 15-Sept. 11
DB1506,43,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Fillmore DB1506 Aug. 15-Sept. 11
DB1508,43,BUCK_DEER_HUNT_TABLES,Deer,Kamas,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Kamas DB1508 Aug. 15-Sept. 11
DB1509,43,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,La Sal Mtns DB1509 Aug. 15-Sept. 11
DB1510,43,BUCK_DEER_HUNT_TABLES,Deer,Monroe,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Monroe DB1510 Aug. 15-Sept. 11
DB1511,43,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Mt Dutton DB1511 Aug. 15-Sept. 11
DB1512,43,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Nine Mile DB1512 Aug. 15-Sept. 11
DB1513,43,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,North Slope DB1513 Aug. 15-Sept. 11
DB1514,43,BUCK_DEER_HUNT_TABLES,Deer,Ogden,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Ogden DB1514 Aug. 15-Sept. 11
DB1516,43,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Panguitch Lake DB1516 Aug. 15-Sept. 11
DB1517,43,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Pine Valley DB1517 Aug. 15-Sept. 11
DB1518,43,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Boulder/Kaiparowits DB1518 Aug. 15-Sept. 11
DB1519,43,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Fishlake DB1519 Aug. 15-Sept. 11
DB1521,43,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"San Juan, Abajo Mtns DB1521 Aug. 15-Sept. 11"
DB1522,43,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Vernal/Bonanza DB1522 Aug. 15-Sept. 11
DB1523,44,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Yellowstone DB1523 Aug. 15-Sept. 11
DB1524,43,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Southwest Desert DB1524 Aug. 15-Sept. 11
DB1525,43,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Wasatch Mtns, East DB1525 Aug. 15-Sept. 11"
DB1526,44,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Wasatch Mtns, West DB1526 Aug. 15-Sept. 11"
DB1529,44,BUCK_DEER_HUNT_TABLES,Deer,Zion,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Zion DB1529 Aug. 15-Sept. 11
DB1531,45,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Box Elder DB1531 Oct. 17-Oct. 25
DB1533,45,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Manti/San Rafael DB1533 Oct. 17-Oct. 25
DB1534,45,BUCK_DEER_HUNT_TABLES,Deer,Nebo,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Nebo DB1534 Oct. 17-Oct. 25
DB1536,45,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Fillmore DB1536 Oct. 17-Oct. 25
DB1538,45,BUCK_DEER_HUNT_TABLES,Deer,Kamas,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Kamas DB1538 Oct. 17-Oct. 25
DB1539,45,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,La Sal Mtns DB1539 Oct. 17-Oct. 25
DB1540,45,BUCK_DEER_HUNT_TABLES,Deer,Monroe,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Monroe DB1540 Oct. 17-Oct. 25
DB1541,45,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Mt Dutton DB1541 Oct. 17-Oct. 25
DB1542,45,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Nine Mile DB1542 Oct. 17-Oct. 25
DB1543,45,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,North Slope DB1543 Oct. 17-Oct. 25
DB1544,45,BUCK_DEER_HUNT_TABLES,Deer,Ogden,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Ogden DB1544 Oct. 17-Oct. 25
DB1546,45,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Panguitch Lake DB1546 Oct. 17-Oct. 25
DB1547,45,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Pine Valley DB1547 Oct. 17-Oct. 25
DB1549,45,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Fishlake DB1549 Oct. 17-Oct. 25
DB1551,45,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"San Juan, Abajo Mtns DB1551 Oct. 17-Oct. 25"
DB1552,45,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Vernal/Bonanza DB1552 Oct. 17-Oct. 25
DB1553,45,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Yellowstone DB1553 Oct. 17-Oct. 25
DB1554,45,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Southwest Desert DB1554 Oct. 17-Oct. 25
DB1555,45,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Wasatch Mtns, East DB1555 Oct. 17-Oct. 25"
DB1556,45,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Wasatch Mtns, West DB1556 Oct. 17-Oct. 25"
DB1559,45,BUCK_DEER_HUNT_TABLES,Deer,Zion,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Zion DB1559 Oct. 17-Oct. 25
DB1561,46,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Box Elder DB1561 Sept. 23-Oct. 1
DB1563,46,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Manti/San Rafael DB1563 Sept. 23-Oct. 1
DB1564,46,BUCK_DEER_HUNT_TABLES,Deer,Nebo,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Nebo DB1564 Sept. 23-Oct. 1
DB1566,46,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Fillmore DB1566 Sept. 23-Oct. 1
DB1568,46,BUCK_DEER_HUNT_TABLES,Deer,Kamas,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Kamas DB1568 Sept. 23-Oct. 1
DB1569,46,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,La Sal Mtns DB1569 Sept. 23-Oct. 1
DB1570,46,BUCK_DEER_HUNT_TABLES,Deer,Monroe,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Monroe DB1570 Sept. 23-Oct. 1
DB1571,46,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Mt Dutton DB1571 Sept. 23-Oct. 1
DB1572,46,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Nine Mile DB1572 Sept. 23-Oct. 1
DB1573,46,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,North Slope DB1573 Sept. 23-Oct. 1
DB1574,46,BUCK_DEER_HUNT_TABLES,Deer,Ogden,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Ogden DB1574 Sept. 23-Oct. 1
DB1576,46,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Panguitch Lake DB1576 Sept. 23-Oct. 1
DB1577,46,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Pine Valley DB1577 Sept. 23-Oct. 1
DB1579,46,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Fishlake DB1579 Sept. 23-Oct. 1
DB1581,46,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"San Juan, Abajo Mtns DB1581 Sept. 23-Oct. 1"
DB1582,47,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Vernal/Bonanza DB1582 Sept. 23-Oct. 1
DB1583,47,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Yellowstone DB1583 Sept. 23-Oct. 1
DB1584,46,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Southwest Desert DB1584 Sept. 23-Oct. 1
DB1585,47,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"Wasatch Mtns, East DB1585 Sept. 23-Oct. 1"
DB1586,47,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"Wasatch Mtns, West DB1586 Sept. 23-Oct. 1"
DB1589,47,BUCK_DEER_HUNT_TABLES,Deer,Zion,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Zion DB1589 Sept. 23-Oct. 1
DB1591,44,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Fillmore DB1591 Oct. 7-Oct. 11
DB1592,44,BUCK_DEER_HUNT_TABLES,Deer,Kamas,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Kamas DB1592 Oct. 7-Oct. 11
DB1593,44,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Nine Mile DB1593 Oct. 7-Oct. 11
DB1594,44,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Panguitch Lake DB1594 Oct. 7-Oct. 11
DB1595,44,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Pine Valley DB1595 Oct. 7-Oct. 11
DB1596,44,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Fishlake DB1596 Oct. 7-Oct. 11
DB1597,44,BUCK_DEER_HUNT_TABLES,Deer,Zion,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Zion DB1597 Oct. 7-Oct. 11
DB1598,44,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,North Slope DB1598 Oct. 7-Oct. 11
DB1599,45,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Chalk Creek DB1599 Oct. 17-Oct. 25
DB1600,43,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Chalk Creek DB1600 Aug. 15-Sept. 11
DB1601,44,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Chalk Creek DB1601 Oct. 7-Oct. 11
DB1602,46,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Chalk Creek DB1602 Sept. 23-Oct. 1
DB1603,45,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,East Canyon DB1603 Oct. 17-Oct. 25
DB1604,43,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,East Canyon DB1604 Aug. 15-Sept. 11
DB1605,44,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,East Canyon DB1605 Oct. 7-Oct. 11
DB1606,46,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,East Canyon DB1606 Sept. 23-Oct. 1
DB1607,45,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Morgan-South Rich DB1607 Oct. 17-Oct. 25
DB1608,43,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Morgan-South Rich DB1608 Aug. 15-Sept. 11
DB1609,44,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Morgan-South Rich DB1609 Oct. 7-Oct. 11
DB1610,46,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Morgan-South Rich DB1610 Sept. 23-Oct. 1
DB1611,43,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Beaver, East DB1611 Aug. 15-Sept. 11"
DB1612,46,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"Beaver, East DB1612 Sept. 23-Oct. 1"
DB1613,45,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Beaver, East DB1613 Oct. 17-Oct. 25"
DB1614,43,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Beaver, West DB1614 Aug. 15-Sept. 11"
DB1615,47,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"Beaver, West DB1615 Sept. 23-Oct. 1"
DB1616,46,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Beaver, West DB1616 Oct. 17-Oct. 25"
DB1617,44,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"West Desert, Swasey DB1617 Aug. 15-Sept. 11"
DB1618,47,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"West Desert, Swasey DB1618 Sept. 23-Oct. 1"
DB1619,45,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"West Desert, Swasey DB1619 Oct. 17-Oct. 25"
DB1620,43,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Oquirrh/Tintic DB1620 Aug. 15-Sept. 11
DB1621,46,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Oquirrh/Tintic DB1621 Sept. 23-Oct. 1
DB1622,45,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Oquirrh/Tintic DB1622 Oct. 17-Oct. 25
DB1623,43,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Cedar/Stansbury DB1623 Aug. 15-Sept. 11
DB1624,46,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Cedar/Stansbury DB1624 Sept. 23-Oct. 1
DB1625,45,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Cedar/Stansbury DB1625 Oct. 17-Oct. 25
DB1627,46,BUCK_DEER_HUNT_TABLES,Deer,Cache,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Cache DB1627 Oct. 17-Oct. 25
DB1628,47,BUCK_DEER_HUNT_TABLES,Deer,Cache,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Cache DB1628 Sept. 23-Oct. 1
DB1629,46,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Boulder/Kaiparowits DB1629 Oct. 17-Oct. 25
DB1630,47,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Boulder/Kaiparowits DB1630 Sept. 23-Oct. 1
DB1631,44,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Oct. 7-Oct. 11,Oct. 7-Oct. 11,,,Box Elder DB1631 Oct. 7-Oct. 11
DB1770,47,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,,,,,Box Elder DB1770
DB1771,47,BUCK_DEER_HUNT_TABLES,Deer,Cache,,,,,Cache DB1771
DB1772,48,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,,,,,Manti/San Rafael DB1772
DB1773,48,BUCK_DEER_HUNT_TABLES,Deer,Nebo,,,,,Nebo DB1773
DB1775,47,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,,,,,Fillmore DB1775
DB1777,48,BUCK_DEER_HUNT_TABLES,Deer,Kamas,,,,,Kamas DB1777
DB1778,48,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,,,,,La Sal Mtns DB1778
DB1779,48,BUCK_DEER_HUNT_TABLES,Deer,Monroe,,,,,Monroe DB1779
DB1780,48,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,,,,,Mt Dutton DB1780
DB1781,48,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,,,,,Nine Mile DB1781
DB1782,48,BUCK_DEER_HUNT_TABLES,Deer,North Slope,,,,,North Slope DB1782
DB1783,48,BUCK_DEER_HUNT_TABLES,Deer,Ogden,,,,,Ogden DB1783
DB1785,48,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,,,,,Panguitch Lake DB1785
DB1786,48,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,,,,,Pine Valley DB1786
DB1787,47,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,,,,,Boulder/Kaiparowits DB1787
DB1788,47,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,,,,,Fishlake DB1788
DB1790,48,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",,,,,"San Juan, Abajo Mtns DB1790"
DB1791,48,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,,,,,Vernal/Bonanza DB1791
DB1792,48,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,,,,,Yellowstone DB1792
DB1793,48,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,,,,,Southwest Desert DB1793
DB1794,48,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",,,,,"Wasatch Mtns, East DB1794"
DB1795,48,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",,,,,"Wasatch Mtns, West DB1795"
DB1798,48,BUCK_DEER_HUNT_TABLES,Deer,Zion,,,,,Zion DB1798
DB1799,47,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,,,,,Chalk Creek DB1799
DB1800,47,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,,,,,East Canyon DB1800
DB1801,48,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,,,,,Morgan-South Rich DB1801
DB1802,47,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",,,,,"Beaver, East DB1802"
DB1803,47,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",,,,,"Beaver, West DB1803"
DB1804,47,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,,,,,Cedar/Stansbury DB1804
DB1805,48,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,,,,,Oquirrh/Tintic DB1805
DB1806,48,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",,,,,"West Desert, Swasey DB1806"
DS1000,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Desert Bighorn Sheep,Desert bighorn sheep Any legal weapon:,"Sept. 1-Dec. 31, 2026","Sept. 1-Dec. 31, 2026",,,"DS1000 Desert bighorn sheep Any legal weapon: Sept. 1-Dec. 31, 2026"
DS6600,66,BIGHORN_SHEEP_HUNT_TABLES,Desert Bighorn Sheep,Henry Mtns,Sept. 12-Nov. 10,Sept. 12-Nov. 10,,,Henry Mtns DS6600 Sept. 12-Nov. 10
DS6601,66,BIGHORN_SHEEP_HUNT_TABLES,Desert Bighorn Sheep,"Kaiparowits, East",Sept. 12-Nov. 10,Sept. 12-Nov. 10,,,"Kaiparowits, East DS6601 Sept. 12-Nov. 10"
