source_file,source_sha256,hunt_code,source_class,resolution_status,guidebook_printed,guidebook_name_inferred,guidebook_line_text,database_present,hunt_master_present,point_ladder_present,predictive_present,draw_reality_present,database_hunt_name,predictive_hunt_name,database_species,database_sex_type,database_hunt_type,database_weapon,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,predictive_algorithm_status,name_resolution_status,notes
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1016,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,San Juan,San Juan BR1016 See below 2 March 28-May 25,true,true,true,true,true,San Juan,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1017,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,La Sal,La Sal BR1017 See below 2 March 28-May 25,true,true,true,true,true,La Sal,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1018,CURRENT_DATABASE_REFERENCE_CODE_NOT_PRINTED_IN_HUNT_TABLE,PASS_CURRENT_DATABASE_REFERENCE_CODE_RESOLVED,false,,,true,true,true,true,true,Black Bear Pursuit - Nonresident,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,Pursuit Only,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,MODELED_AVAILABILITY,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Guidebook text establishes availability/rule context; not printed as a hunt-table draw code.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7000,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Beaver,Beaver BR7000 9 1 March 28-May 25,true,true,true,true,true,Beaver,Beaver,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,1,10,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7001,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South BR7001 49 5 March 28-May 25",true,true,true,true,true,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",49,5,54,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7003,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Manti, North","Manti, North BR7003 17 2 March 28-May 25",true,true,true,true,true,Manti North,Manti North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",17,2,19,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7004,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Manti, South/San Rafael, North","Manti, South/San Rafael, North BR7004 18 2 March 28-May 25",true,true,true,true,true,Manti South/San Rafael North,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",18,0,18,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7005,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Nebo,Nebo BR7005 7 0 March 28-May 25,true,true,true,true,true,Nebo,Nebo,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7007,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Fillmore, Pahvant","Fillmore, Pahvant BR7007 1 0 March 28-May 25",true,true,true,true,true,Fillmore Pahvant,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7008,HISTORICAL_DRAW_REALITY_ONLY_CODE,INFO_HISTORICAL_ONLY_NOT_CURRENT_2026_DATABASE,false,,,false,false,false,false,true,,,,,,,,,,,,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Present in historical draw_reality_engine only; not part of current 2026 DATABASE universe.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7009,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Mt Dutton,Mt Dutton BR7009 4 0 March 28-May 25,true,true,true,true,true,Mt Dutton,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7010,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Panguitch Lake/Zion,Panguitch Lake/Zion BR7010 9 0 March 28-May 25,true,true,true,true,true,Panguitch Lake/Zion,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,0,9,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7011,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Paunsaugunt,Paunsaugunt BR7011 4 0 March 28-May 25,true,true,true,true,true,Paunsaugunt,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7012,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Boulder/Kaiparowits,Boulder/Kaiparowits BR7012 20 2 March 28-May 25,true,true,true,true,true,Boulder/Kaiparowits,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",20,2,22,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7013,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes BR7013 7 0 March 28-May 25,true,true,true,true,true,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7014,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,San Juan,San Juan BR7014 35 3 March 28-May 25,true,true,true,true,true,San Juan,San Juan,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",35,3,38,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7015,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza BR7015 7 0 March 28-May 25,true,true,true,true,true,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7016,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central BR7016 36 4 March 28-May 25",true,true,true,true,true,Wasatch Mtns West-Central,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",36,4,40,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7017,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Cache/Ogden,Cache/Ogden BR7017 2 0 March 28-May 25,true,true,true,true,true,Cache/Ogden,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7018,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Kamas/North Slope, Summit","Kamas/North Slope, Summit BR7018 5 0 March 28-May 25",true,true,true,true,true,Kamas/North Slope Summit,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",5,0,5,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7019,HISTORICAL_DRAW_REALITY_ONLY_CODE,INFO_HISTORICAL_ONLY_NOT_CURRENT_2026_DATABASE,false,,,false,false,false,false,true,,,,,,,,,,,,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Present in historical draw_reality_engine only; not part of current 2026 DATABASE universe.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7020,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Monroe,Monroe BR7020 1 0 March 28-May 25,true,true,true,true,true,Monroe,Monroe,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7021,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Dolores Triangle (new),Dolores Triangle (new) BR7021 2 0 March 28-May 25,true,true,true,true,true,Dolores Triangle,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7022,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,La Sal Mtns,La Sal Mtns BR7022 40 3 March 28-May 25,true,true,true,true,true,La Sal Mtns,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",40,3,43,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7100,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Beaver,Beaver BR7100 9 1 May 25-June 28,true,true,true,true,true,Beaver,Beaver,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",9,1,10,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7101,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South BR7101 14 1 May 25-June 28",true,true,true,true,true,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",14,1,15,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7102,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless BR7102 5 0 May 25-June 28",true,true,true,true,true,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7104,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Manti, North","Manti, North BR7104 17 1 May 25-June 28",true,true,true,true,true,Manti North,Manti North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",17,1,18,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7105,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,"Manti, South/San Rafael, North","Manti, South/San Rafael, North BR7105 18 2 May 25-June 28",true,true,true,true,true,Manti South/San Rafael North,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",18,2,20,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7106,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Nebo,Nebo BR7106 8 0 May 25-June 28,true,true,true,true,true,Nebo,Nebo,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",8,0,8,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7108,HISTORICAL_DRAW_REALITY_ONLY_CODE,INFO_HISTORICAL_ONLY_NOT_CURRENT_2026_DATABASE,false,,,false,false,false,false,true,,,,,,,,,,,,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Present in historical draw_reality_engine only; not part of current 2026 DATABASE universe.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR7109,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Mt Dutton,Mt Dutton BR7109 3 0 May 25-June 28,true,true,true,true,true,Mt Dutton,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",3,0,3,IN_SCOPE_MODEL_PENDING,PASS_GUIDEBOOK_TO_DATABASE_NAME,
