source_file,source_page,hunt_code,hunt_name,totals_line,totals_numbers,res_total_permits,nr_total_permits,total_permits,parse_style
2024 antlerless draw results.pdf,24,EA1012,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",Totals 70 0 8 8 1 in 8.8 Totals 2 0 1 1 1 in 2.0,70;0;8;8;2;0;1;1,8,1,9,res_nr_split
2024 antlerless draw results.pdf,25,EA1013,Antlerless Elk - Central Manti - Any Legal Weapon,Totals 960 0 44 44 1 in 21.8 Totals 40 0 5 5 1 in 8.0,960;0;44;44;40;0;5;5,44,5,49,res_nr_split
2024 antlerless draw results.pdf,26,EA1015,Antlerless Elk - Ferron Canyon - Any Legal Weapon,Totals 307 0 44 44 1 in 7.0 Totals 13 0 5 5 1 in 2.6,307;0;44;44;13;0;5;5,44,5,49,res_nr_split
2024 antlerless draw results.pdf,27,EA1017,Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,Totals 282 0 51 51 1 in 5.5 Totals 19 0 6 6 1 in 3.2,282;0;51;51;19;0;6;6,51,6,57,res_nr_split
2024 antlerless draw results.pdf,28,EA1018,Antlerless Elk - Horn Mtn - Any Legal Weapon,Totals 181 0 36 36 1 in 5.0 Totals 43 0 4 4 1 in 10.8,181;0;36;36;43;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,29,EA1020,Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,Totals 178 0 65 65 1 in 2.7 Totals 29 0 8 8 1 in 3.6,178;0;65;65;29;0;8;8,65,8,73,res_nr_split
2024 antlerless draw results.pdf,30,EA1021,Antlerless Elk - Nebo - Any Legal Weapon,Totals 542 0 144 144 1 in 3.8 Totals 35 0 16 16 1 in 2.2,542;0;144;144;35;0;16;16,144,16,160,res_nr_split
2024 antlerless draw results.pdf,31,EA1022,Antlerless Elk - North Manti - Any Legal Weapon,Totals 1045 0 202 202 1 in 5.2 Totals 48 0 23 23 1 in 2.1,1045;0;202;202;48;0;23;23,202,23,225,res_nr_split
2024 antlerless draw results.pdf,32,EA1023,Antlerless Elk - South Manti - Any Legal Weapon,Totals 487 0 72 72 1 in 6.8 Totals 45 0 8 8 1 in 5.6,487;0;72;72;45;0;8;8,72,8,80,res_nr_split
2024 antlerless draw results.pdf,33,EA1024,Antlerless Elk - South Manti - Any Legal Weapon,Totals 583 0 72 72 1 in 8.1 Totals 40 0 8 8 1 in 5.0,583;0;72;72;40;0;8;8,72,8,80,res_nr_split
2024 antlerless draw results.pdf,34,EA1025,Antlerless Elk - West Manti - Any Legal Weapon,Totals 243 0 80 80 1 in 3.0 Totals 15 0 9 9 1 in 1.7,243;0;80;80;15;0;9;9,80,9,89,res_nr_split
2024 antlerless draw results.pdf,35,EA1026,Antlerless Elk - Chalk Creek - Any Legal Weapon,Totals 277 0 277 277 1 in 1.0 Totals 10 0 10 10 1 in 1.0,277;0;277;277;10;0;10;10,277,10,287,res_nr_split
2024 antlerless draw results.pdf,36,EA1030,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Totals 251 0 36 36 1 in 7.0 Totals 20 0 4 4 1 in 5.0,251;0;36;36;20;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,37,EA1031,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",Totals 341 0 36 36 1 in 9.5 Totals 35 0 4 4 1 in 8.8,341;0;36;36;35;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,38,EA1033,Antlerless Elk - Kamas - Any Legal Weapon,Totals 321 0 90 90 1 in 3.6 Totals 18 0 11 11 1 in 1.6,321;0;90;90;18;0;11;11,90,11,101,res_nr_split
2024 antlerless draw results.pdf,39,EA1035,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",Totals 157 0 101 101 1 in 1.6 Totals 7 0 7 7 1 in 1.0,157;0;101;101;7;0;7;7,101,7,108,res_nr_split
2024 antlerless draw results.pdf,40,EA1037,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",Totals 89 0 36 36 1 in 2.5 Totals 32 0 4 4 1 in 8.0,89;0;36;36;32;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,41,EA1038,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Totals 454 0 239 239 1 in 1.9 Totals 60 0 28 28 1 in 2.1,454;0;239;239;60;0;28;28,239,28,267,res_nr_split
2024 antlerless draw results.pdf,42,EA1039,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",Totals 398 0 180 180 1 in 2.2 Totals 54 0 23 23 1 in 2.3,398;0;180;180;54;0;23;23,180,23,203,res_nr_split
2024 antlerless draw results.pdf,43,EA1040,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",Totals 96 0 6 6 1 in 16.0 Totals 3 0 1 1 1 in 3.0,96;0;6;6;3;0;1;1,6,1,7,res_nr_split
2024 antlerless draw results.pdf,44,EA1044,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",Totals 73 0 25 25 1 in 2.9 Totals 9 0 4 4 1 in 2.3,73;0;25;25;9;0;4;4,25,4,29,res_nr_split
2024 antlerless draw results.pdf,45,EA1049,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",Totals 135 0 54 54 1 in 2.5 Totals 26 0 7 7 1 in 3.7,135;0;54;54;26;0;7;7,54,7,61,res_nr_split
2024 antlerless draw results.pdf,46,EA1054,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",Totals 205 0 39 39 1 in 5.3 Totals 10 0 1 1 1 in 10.0,205;0;39;39;10;0;1;1,39,1,40,res_nr_split
2024 antlerless draw results.pdf,47,EA1056,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",Totals 61 0 5 5 1 in 12.2 Totals 0 0 0 0 N/A,61;0;5;5;0;0;0;0,5,0,5,res_nr_split
2024 antlerless draw results.pdf,48,EA1058,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",Totals 256 0 116 116 1 in 2.2 Totals 17 0 15 15 1 in 1.1,256;0;116;116;17;0;15;15,116,15,131,res_nr_split
2024 antlerless draw results.pdf,49,EA1060,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",Totals 53 0 16 16 1 in 3.3 Totals 1 0 1 1 1 in 1.0,53;0;16;16;1;0;1;1,16,1,17,res_nr_split
2024 antlerless draw results.pdf,50,EA1061,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",Totals 39 0 15 15 1 in 2.6 Totals 3 0 2 2 1 in 1.5,39;0;15;15;3;0;2;2,15,2,17,res_nr_split
2024 antlerless draw results.pdf,51,EA1063,Antlerless Elk - Ogden - Any Legal Weapon,Totals 124 0 61 61 1 in 2.0 Totals 9 0 8 8 1 in 1.1,124;0;61;61;9;0;8;8,61,8,69,res_nr_split
2024 antlerless draw results.pdf,52,EA1064,Antlerless Elk - Ogden - Any Legal Weapon,Totals 84 0 44 44 1 in 1.9 Totals 1 0 1 1 1 in 1.0,84;0;44;44;1;0;1;1,44,1,45,res_nr_split
2024 antlerless draw results.pdf,53,EA1069,Antlerless Elk - Panguitch Lake - Any Legal Weapon,Totals 958 0 18 18 1 in 53.2 Totals 91 0 3 3 1 in 30.3,958;0;18;18;91;0;3;3,18,3,21,res_nr_split
2024 antlerless draw results.pdf,54,EA1073,Antlerless Elk - Paunsaugunt - Any Legal Weapon,Totals 121 0 15 15 1 in 8.1 Totals 2 0 2 2 1 in 1.0,121;0;15;15;2;0;2;2,15,2,17,res_nr_split
2024 antlerless draw results.pdf,55,EA1074,Antlerless Elk - Pine Valley - Any Legal Weapon,Totals 45 0 4 4 1 in 11.3 Totals 4 0 1 1 1 in 4.0,45;0;4;4;4;0;1;1,4,1,5,res_nr_split
2024 antlerless draw results.pdf,56,EA1075,Antlerless Elk - Boulder East - Any Legal Weapon,Totals 131 0 11 11 1 in 11.9 Totals 9 0 2 2 1 in 4.5,131;0;11;11;9;0;2;2,11,2,13,res_nr_split
2024 antlerless draw results.pdf,57,EA1076,Antlerless Elk - Boulder West - Any Legal Weapon,Totals 278 0 15 15 1 in 18.5 Totals 8 0 2 2 1 in 4.0,278;0;15;15;8;0;2;2,15,2,17,res_nr_split
2024 antlerless draw results.pdf,58,EA1077,Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,Totals 72 0 15 15 1 in 4.8 Totals 5 0 2 2 1 in 2.5,72;0;15;15;5;0;2;2,15,2,17,res_nr_split
2024 antlerless draw results.pdf,59,EA1078,Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,Totals 1004 0 101 101 1 in 9.9 Totals 51 0 12 12 1 in 4.3,1004;0;101;101;51;0;12;12,101,12,113,res_nr_split
2024 antlerless draw results.pdf,60,EA1079,Antlerless Elk - Fishlake/thousand Lakes East - Any Legal Weapon,Totals 687 0 36 36 1 in 19.1 Totals 56 0 4 4 1 in 14.0,687;0;36;36;56;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,61,EA1080,Antlerless Elk - Fishlake/thousand Lakes West - Any Legal Weapon,Totals 656 0 22 22 1 in 29.8 Totals 47 0 3 3 1 in 15.7,656;0;22;22;47;0;3;3,22,3,25,res_nr_split
2024 antlerless draw results.pdf,62,EA1081,Antlerless Elk - San Juan - Any Legal Weapon,Totals 266 0 90 90 1 in 3.0 Totals 52 0 11 11 1 in 4.7,266;0;90;90;52;0;11;11,90,11,101,res_nr_split
2024 antlerless draw results.pdf,63,EA1082,Antlerless Elk - San Juan - Any Legal Weapon,Totals 338 0 90 90 1 in 3.8 Totals 62 0 11 11 1 in 5.6,338;0;90;90;62;0;11;11,90,11,101,res_nr_split
2024 antlerless draw results.pdf,64,EA1084,"Antlerless Elk - San Rafael, North - Any Legal Weapon",Totals 7 0 4 4 1 in 1.8 Totals 0 0 0 0 N/A,7;0;4;4;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,65,EA1085,Antlerless Elk - Vernal/bonanza - Archery,Totals 68 0 68 68 1 in 1.0 Totals 4 0 4 4 1 in 1.0,68;0;68;68;4;0;4;4,68,4,72,res_nr_split
2024 antlerless draw results.pdf,66,EA1087,Antlerless Elk - Vernal/bonanza - Any Legal Weapon,Totals 507 0 72 72 1 in 7.0 Totals 44 0 8 8 1 in 5.5,507;0;72;72;44;0;8;8,72,8,80,res_nr_split
2024 antlerless draw results.pdf,67,EA1089,Antlerless Elk - Diamond Mtn - Any Legal Weapon,Totals 238 0 36 36 1 in 6.6 Totals 18 0 4 4 1 in 4.5,238;0;36;36;18;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,68,EA1090,Antlerless Elk - Diamond Mtn - Any Legal Weapon,Totals 155 0 36 36 1 in 4.3 Totals 17 0 4 4 1 in 4.3,155;0;36;36;17;0;4;4,36,4,40,res_nr_split
2024 antlerless draw results.pdf,69,EA1094,Antlerless Elk - Mosby Mtn - Any Legal Weapon,Totals 136 0 72 72 1 in 1.9 Totals 11 0 8 8 1 in 1.4,136;0;72;72;11;0;8;8,72,8,80,res_nr_split
2024 antlerless draw results.pdf,70,EA1101,Antlerless Elk - Southwest Desert - Any Legal Weapon,Totals 1617 0 61 61 1 in 26.5 Totals 192 0 8 8 1 in 24.0,1617;0;61;61;192;0;8;8,61,8,69,res_nr_split
2024 antlerless draw results.pdf,71,EA1106,"Antlerless Elk - Wasatch Mtns, Avintaquin - Any Legal Weapon",Totals 150 0 149 149 1 in 1.0 Totals 21 0 19 19 1 in 1.1,150;0;149;149;21;0;19;19,149,19,168,res_nr_split
2024 antlerless draw results.pdf,72,EA1110,"Antlerless Elk - Wasatch Mtns, Salt Lake - Any Legal Weapon",Totals 178 0 32 32 1 in 5.6 Totals 3 0 3 3 1 in 1.0,178;0;32;32;3;0;3;3,32,3,35,res_nr_split
2024 antlerless draw results.pdf,73,EA1111,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",Totals 178 0 25 25 1 in 7.1 Totals 3 0 3 3 1 in 1.0,178;0;25;25;3;0;3;3,25,3,28,res_nr_split
2024 antlerless draw results.pdf,74,EA1112,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",Totals 179 0 40 40 1 in 4.5 Totals 16 0 5 5 1 in 3.2,179;0;40;40;16;0;5;5,40,5,45,res_nr_split
2024 antlerless draw results.pdf,75,EA1113,"Antlerless Elk - Wasatch Mtns, West Heber - Any Legal Weapon",Totals 163 0 22 22 1 in 7.4 Totals 8 0 3 3 1 in 2.7,163;0;22;22;8;0;3;3,22,3,25,res_nr_split
2024 antlerless draw results.pdf,76,EA1114,"Antlerless Elk - Wasatch Mtns, West Timpanogos - Any Legal Weapon",Totals 324 0 25 25 1 in 13.0 Totals 14 0 4 4 1 in 3.5,324;0;25;25;14;0;4;4,25,4,29,res_nr_split
2024 antlerless draw results.pdf,77,EA1116,Antlerless Elk - Zion - Any Legal Weapon,Totals 116 0 15 15 1 in 7.7 Totals 12 0 2 2 1 in 6.0,116;0;15;15;12;0;2;2,15,2,17,res_nr_split
2024 antlerless draw results.pdf,78,EA1117,Antlerless Elk - Zion - Any Legal Weapon,Totals 167 0 130 130 1 in 1.3 Totals 25 0 15 15 1 in 1.7,167;0;130;130;25;0;15;15,130,15,145,res_nr_split
2024 antlerless draw results.pdf,79,EA1118,Cwmu Antlerless Elk - Alton - Any Legal Weapon,Totals 28 0 5 5 1 in 5.6 Totals 0 0 0 0 N/A,28;0;5;5;0;0;0;0,5,0,5,res_nr_split
2024 antlerless draw results.pdf,80,EA1119,Cwmu Antlerless Elk - Bar J Ranch - Any Legal Weapon,Totals 53 0 10 10 1 in 5.3 Totals 0 0 0 0 N/A,53;0;10;10;0;0;0;0,10,0,10,res_nr_split
2024 antlerless draw results.pdf,81,EA1120,Cwmu Antlerless Elk - Bear Mountain - Any Legal Weapon,Totals 37 0 16 16 1 in 2.3 Totals 0 0 0 0 N/A,37;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,82,EA1121,Cwmu Antlerless Elk - Boobe Hole - Any Legal Weapon,Totals 60 0 8 8 1 in 7.5 Totals 0 0 0 0 N/A,60;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,83,EA1122,Cwmu Antlerless Elk - Causey Spring - Any Legal Weapon,Totals 73 0 4 4 1 in 18.3 Totals 0 0 0 0 N/A,73;0;4;4;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,84,EA1124,Cwmu Antlerless Elk - Chimney Rock - Any Legal Weapon,Totals 68 0 10 10 1 in 6.8 Totals 0 0 0 0 N/A,68;0;10;10;0;0;0;0,10,0,10,res_nr_split
2024 antlerless draw results.pdf,85,EA1125,Cwmu Antlerless Elk - Coldwater Ranch - Any Legal Weapon,Totals 223 0 16 16 1 in 13.9 Totals 0 0 0 0 N/A,223;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,86,EA1126,Cwmu Antlerless Elk - Cotton Thomas - Any Legal Weapon,Totals 8 0 4 4 1 in 2.0 Totals 0 0 0 0 N/A,8;0;4;4;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,87,EA1129,Cwmu Antlerless Elk - Deseret - Any Legal Weapon,Totals 1345 0 248 248 1 in 5.4 Totals 0 0 0 0 N/A,1345;0;248;248;0;0;0;0,248,0,248,res_nr_split
2024 antlerless draw results.pdf,88,EA1130,Cwmu Antlerless Elk - Double Cone - Any Legal Weapon,Totals 20 0 6 6 1 in 3.3 Totals 0 0 0 0 N/A,20;0;6;6;0;0;0;0,6,0,6,res_nr_split
2024 antlerless draw results.pdf,89,EA1131,Cwmu Antlerless Elk - Durst Mountain - Any Legal Weapon,Totals 157 0 24 24 1 in 6.5 Totals 0 0 0 0 N/A,157;0;24;24;0;0;0;0,24,0,24,res_nr_split
2024 antlerless draw results.pdf,90,EA1132,Cwmu Antlerless Elk - East Fork Chalk Creek - Any Legal Weapon,Totals 77 0 24 24 1 in 3.2 Totals 0 0 0 0 N/A,77;0;24;24;0;0;0;0,24,0,24,res_nr_split
2024 antlerless draw results.pdf,91,EA1134,Cwmu Antlerless Elk - Ensign Ranches - Any Legal Weapon,Totals 259 0 48 48 1 in 5.4 Totals 0 0 0 0 N/A,259;0;48;48;0;0;0;0,48,0,48,res_nr_split
2024 antlerless draw results.pdf,92,EA1135,Cwmu Antlerless Elk - Folley Ridge - Any Legal Weapon,Totals 64 0 16 16 1 in 4.0 Totals 0 0 0 0 N/A,64;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,93,EA1136,Cwmu Antlerless Elk - Grass Valley/clark Canyon - Any Legal Weapon,Totals 219 0 40 40 1 in 5.5 Totals 0 0 0 0 N/A,219;0;40;40;0;0;0;0,40,0,40,res_nr_split
2024 antlerless draw results.pdf,94,EA1137,Cwmu Antlerless Elk - Grazing Pasture - Any Legal Weapon,Totals 82 0 8 8 1 in 10.3 Totals 0 0 0 0 N/A,82;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,95,EA1138,Cwmu Antlerless Elk - Guildersleeve - Any Legal Weapon,Totals 51 0 16 16 1 in 3.2 Totals 0 0 0 0 N/A,51;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,96,EA1139,Cwmu Antlerless Elk - Hardscrabble - Any Legal Weapon,Totals 28 0 8 8 1 in 3.5 Totals 0 0 0 0 N/A,28;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,97,EA1140,Cwmu Antlerless Elk - Heaston East - Any Legal Weapon,Totals 190 0 20 20 1 in 9.5 Totals 0 0 0 0 N/A,190;0;20;20;0;0;0;0,20,0,20,res_nr_split
2024 antlerless draw results.pdf,98,EA1141,Cwmu Antlerless Elk - Hiawatha - Any Legal Weapon,Totals 52 0 8 8 1 in 6.5 Totals 0 0 0 0 N/A,52;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,99,EA1142,Cwmu Antlerless Elk - Indian Head - Any Legal Weapon,Totals 34 0 10 10 1 in 3.4 Totals 0 0 0 0 N/A,34;0;10;10;0;0;0;0,10,0,10,res_nr_split
2024 antlerless draw results.pdf,100,EA1143,Cwmu Antlerless Elk - J.b. Ranch - Any Legal Weapon,Totals 131 0 17 17 1 in 7.7 Totals 0 0 0 0 N/A,131;0;17;17;0;0;0;0,17,0,17,res_nr_split
2024 antlerless draw results.pdf,101,EA1145,Cwmu Antlerless Elk - Johnson Mountain Ranch - Any Legal Weapon,Totals 145 0 16 16 1 in 9.1 Totals 0 0 0 0 N/A,145;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,102,EA1146,Cwmu Antlerless Elk - Jump Creek - Any Legal Weapon,Totals 48 0 8 8 1 in 6.0 Totals 0 0 0 0 N/A,48;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,103,EA1147,Cwmu Antlerless Elk - Little Red Creek - Any Legal Weapon,Totals 108 0 12 12 1 in 9.0 Totals 0 0 0 0 N/A,108;0;12;12;0;0;0;0,12,0,12,res_nr_split
2024 antlerless draw results.pdf,104,EA1149,Cwmu Antlerless Elk - Minnie Maud Ridge - Any Legal Weapon,Totals 35 0 7 7 1 in 5.0 Totals 0 0 0 0 N/A,35;0;7;7;0;0;0;0,7,0,7,res_nr_split
2024 antlerless draw results.pdf,105,EA1151,Cwmu Antlerless Elk - Moon Ranch - Any Legal Weapon,Totals 19 0 5 5 1 in 3.8 Totals 0 0 0 0 N/A,19;0;5;5;0;0;0;0,5,0,5,res_nr_split
2024 antlerless draw results.pdf,106,EA1153,Cwmu Antlerless Elk - Old Woman Plateau - Any Legal Weapon,Totals 29 0 4 4 1 in 7.3 Totals 0 0 0 0 N/A,29;0;4;4;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,107,EA1156,Cwmu Antlerless Elk - Preston Nutter Ranch - Any Legal Weapon,Totals 68 0 7 7 1 in 9.7 Totals 0 0 0 0 N/A,68;0;7;7;0;0;0;0,7,0,7,res_nr_split
2024 antlerless draw results.pdf,108,EA1157,Cwmu Antlerless Elk - Redd Ranches - Any Legal Weapon,Totals 112 0 28 28 1 in 4.0 Totals 0 0 0 0 N/A,112;0;28;28;0;0;0;0,28,0,28,res_nr_split
2024 antlerless draw results.pdf,109,EA1158,Cwmu Antlerless Elk - Riverview Ranch Llc - Any Legal Weapon,Totals 27 0 6 6 1 in 4.5 Totals 0 0 0 0 N/A,27;0;6;6;0;0;0;0,6,0,6,res_nr_split
2024 antlerless draw results.pdf,110,EA1159,Cwmu Antlerless Elk - Roan Cliffs - Any Legal Weapon,Totals 31 0 5 5 1 in 6.2 Totals 0 0 0 0 N/A,31;0;5;5;0;0;0;0,5,0,5,res_nr_split
2024 antlerless draw results.pdf,111,EA1160,Cwmu Antlerless Elk - Sand Creek - Any Legal Weapon,Totals 31 0 4 4 1 in 7.8 Totals 0 0 0 0 N/A,31;0;4;4;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,112,EA1161,Cwmu Antlerless Elk - Scofield Canyons - Any Legal Weapon,Totals 94 0 8 8 1 in 11.8 Totals 0 0 0 0 N/A,94;0;8;8;0;0;0;0,8,0,8,res_nr_split
2024 antlerless draw results.pdf,113,EA1162,Cwmu Antlerless Elk - Scofield East - Any Legal Weapon,Totals 38 0 12 12 1 in 3.2 Totals 0 0 0 0 N/A,38;0;12;12;0;0;0;0,12,0,12,res_nr_split
2024 antlerless draw results.pdf,114,EA1163,Cwmu Antlerless Elk - Scofield West - Any Legal Weapon,Totals 47 0 16 16 1 in 2.9 Totals 0 0 0 0 N/A,47;0;16;16;0;0;0;0,16,0,16,res_nr_split
2024 antlerless draw results.pdf,115,EA1164,Cwmu Antlerless Elk - Sj Ranch - Any Legal Weapon,Totals 44 0 5 5 1 in 8.8 Totals 0 0 0 0 N/A,44;0;5;5;0;0;0;0,5,0,5,res_nr_split
