source_file,source_page,hunt_code,hunt_name,totals_line,totals_numbers,res_total_permits,nr_total_permits,total_permits,parse_style
24_bg-odds.pdf,191,EB3003,"Limited-entry Archery Bull Elk - Cache, Meadowville - Archery Page 224",Totals 13 6 6 12 1 in 1.1 Totals 11 0 1 1 1 in 11.0,13;6;6;12;11;0;1;1,12,1,13,res_nr_split
24_bg-odds.pdf,192,EB3005,"Limited-entry Archery Bull Elk - Cache, South - Archery Page 225",Totals 206 4 3 7 1 in 29.4 Totals 36 0 1 1 1 in 36.0,206;4;3;7;36;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,193,EB3006,Limited-entry Archery Bull Elk - Manti - Archery Page 226,Totals 1003 75 74 149 1 in 6.7 Totals 453 8 8 16 1 in 28.3,1003;75;74;149;453;8;8;16,149,16,165,res_nr_split
24_bg-odds.pdf,194,EB3008,"Limited-entry Archery Bull Elk - Fillmore, Pahvant - Archery Page 227",Totals 174 8 8 16 1 in 10.9 Totals 128 1 1 2 1 in 64.0,174;8;8;16;128;1;1;2,16,2,18,res_nr_split
24_bg-odds.pdf,195,EB3009,"Limited-entry Archery Bull Elk - La Sal, La Sal Mtns - Archery Page 228",Totals 188 18 17 35 1 in 5.4 Totals 138 2 2 4 1 in 34.5,188;18;17;35;138;2;2;4,35,4,39,res_nr_split
24_bg-odds.pdf,196,EB3010,Limited-entry Archery Bull Elk - Monroe - Archery Page 229,Totals 258 9 8 17 1 in 15.2 Totals 304 1 1 2 1 in 152.0,258;9;8;17;304;1;1;2,17,2,19,res_nr_split
24_bg-odds.pdf,197,EB3011,Limited-entry Archery Bull Elk - Mt Dutton - Archery Page 230,Totals 160 8 7 15 1 in 10.7 Totals 145 1 1 2 1 in 72.5,160;8;7;15;145;1;1;2,15,2,17,res_nr_split
24_bg-odds.pdf,198,EB3013,"Limited-entry Archery Bull Elk - North Slope, Three Corners - Archery Page 231",Totals 91 3 3 6 1 in 15.2 Totals 62 0 1 1 1 in 62.0,91;3;3;6;62;0;1;1,6,1,7,res_nr_split
24_bg-odds.pdf,199,EB3015,Limited-entry Archery Bull Elk - Panguitch Lake - Archery Page 232,Totals 259 6 6 12 1 in 21.6 Totals 250 1 1 2 1 in 125.0,259;6;6;12;250;1;1;2,12,2,14,res_nr_split
24_bg-odds.pdf,200,EB3018,Limited-entry Archery Bull Elk - Fishlake/thousand Lakes - Archery Page 233,Totals 392 38 38 76 1 in 5.2 Totals 203 4 4 8 1 in 25.4,392;38;38;76;203;4;4;8,76,8,84,res_nr_split
24_bg-odds.pdf,201,EB3019,Limited-entry Archery Bull Elk - San Juan Bull Elk - Archery Page 234,Totals 319 11 11 22 1 in 14.5 Totals 809 2 1 3 1 in 269.7,319;11;11;22;809;2;1;3,22,3,25,res_nr_split
24_bg-odds.pdf,202,EB3020,Limited-entry Archery Bull Elk - Diamond Mtn - Archery Page 235,Totals 126 11 10 21 1 in 6.0 Totals 51 1 1 2 1 in 25.5,126;11;10;21;51;1;1;2,21,2,23,res_nr_split
24_bg-odds.pdf,203,EB3022,Limited-entry Archery Bull Elk - Wasatch Mtns - Archery Page 236,Totals 1057 91 90 181 1 in 5.8 Totals 381 10 9 19 1 in 20.1,1057;91;90;181;381;10;9;19,181,19,200,res_nr_split
24_bg-odds.pdf,204,EB3024,"Limited-entry Alw (rifle) Bull Elk - Early - Beaver, East - Any Legal Weapon Page 237",Totals 1504 4 3 7 1 in 214.9 Totals 1199 0 1 1 in 1199.0,1504;4;3;7;1199;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,205,EB3025,"Limited-entry Alw (rifle) Bull Elk - Late - Beaver, East - Any Legal Weapon Page 238",Totals 379 7 6 13 1 in 29.2 Totals 216 1 1 2 1 in 108.0,379;7;6;13;216;1;1;2,13,2,15,res_nr_split
24_bg-odds.pdf,206,EB3028,"Limited-entry Alw (rifle) Bull Elk - Early - Book Cliffs, Little Creek Roadless - Any Legal Weapon Page 239",Totals 184 1 1 2 1 in 92.0 Totals 0 0 0 0 N/A,184;1;1;2;0;0;0;0,2,0,2,res_nr_split
24_bg-odds.pdf,207,EB3031,"Limited-entry Alw (rifle) Bull Elk - Early - Box Elder, Pilot Mtn - Any Legal Weapon Page 240",Totals 367 5 4 9 1 in 40.8 Totals 160 0 1 1 1 in 160.0,367;5;4;9;160;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,208,EB3032,"Limited-entry Alw (rifle) Bull Elk - Early - Cache, Meadowville - Any Legal Weapon Page 241",Totals 114 2 2 4 1 in 28.5 Totals 38 0 1 1 1 in 38.0,114;2;2;4;38;0;1;1,4,1,5,res_nr_split
24_bg-odds.pdf,209,EB3033,"Limited-entry Alw (rifle) Bull Elk - Late - Cache, Meadowville - Any Legal Weapon Page 242",Totals 44 4 4 8 1 in 5.5 Totals 6 0 1 1 1 in 6.0,44;4;4;8;6;0;1;1,8,1,9,res_nr_split
24_bg-odds.pdf,210,EB3036,"Limited-entry Alw (rifle) Bull Elk - Early - Cache, South - Any Legal Weapon Page 243",Totals 800 1 1 2 1 in 400.0 Totals 95 0 1 1 1 in 95.0,800;1;1;2;95;0;1;1,2,1,3,res_nr_split
24_bg-odds.pdf,211,EB3037,"Limited-entry Alw (rifle) Bull Elk - Late - Cache, South - Any Legal Weapon Page 244",Totals 273 3 2 5 1 in 54.6 Totals 35 0 1 1 1 in 35.0,273;3;2;5;35;0;1;1,5,1,6,res_nr_split
24_bg-odds.pdf,212,EB3038,Limited-entry Alw (rifle) Bull Elk - Early - Manti - Any Legal Weapon Page 245,Totals 3076 31 31 62 1 in 49.6 Totals 656 3 3 6 1 in 109.3,3076;31;31;62;656;3;3;6,62,6,68,res_nr_split
24_bg-odds.pdf,213,EB3039,Limited-entry Alw (rifle) Bull Elk - Late - Manti - Any Legal Weapon Page 246,Totals 1147 51 51 102 1 in 11.2 Totals 241 6 5 11 1 in 21.9,1147;51;51;102;241;6;5;11,102,11,113,res_nr_split
24_bg-odds.pdf,214,EB3042,"Limited-entry Alw (rifle) Bull Elk - Early - Fillmore, Pahvant - Any Legal Weapon Page 247",Totals 853 4 3 7 1 in 121.9 Totals 363 0 1 1 1 in 363.0,853;4;3;7;363;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,215,EB3043,"Limited-entry Alw (rifle) Bull Elk - Late - Fillmore, Pahvant - Any Legal Weapon Page 248",Totals 207 6 5 11 1 in 18.8 Totals 81 0 1 1 1 in 81.0,207;6;5;11;81;0;1;1,11,1,12,res_nr_split
24_bg-odds.pdf,216,EB3044,"Limited-entry Alw (rifle) Bull Elk - Late - La Sal, Dolores Triangle - Any Legal Weapon Page 249",Totals 108 3 3 6 1 in 18.0 Totals 98 0 1 1 1 in 98.0,108;3;3;6;98;0;1;1,6,1,7,res_nr_split
24_bg-odds.pdf,217,EB3045,"Limited-entry Alw (rifle) Bull Elk - Early - La Sal, La Sal Mtns - Any Legal Weapon Page 250",Totals 494 7 6 13 1 in 38.0 Totals 183 0 1 1 1 in 183.0,494;7;6;13;183;0;1;1,13,1,14,res_nr_split
24_bg-odds.pdf,218,EB3046,"Limited-entry Alw (rifle) Bull Elk - Late - La Sal, La Sal Mtns - Any Legal Weapon Page 251",Totals 163 12 12 24 1 in 6.8 Totals 73 1 1 2 1 in 36.5,163;12;12;24;73;1;1;2,24,2,26,res_nr_split
24_bg-odds.pdf,219,EB3047,Limited-entry Alw (rifle) Bull Elk - Early - Monroe - Any Legal Weapon Page 252,Totals 1327 4 3 7 1 in 189.6 Totals 665 0 1 1 1 in 665.0,1327;4;3;7;665;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,220,EB3048,Limited-entry Alw (rifle) Bull Elk - Late - Monroe - Any Legal Weapon Page 253,Totals 299 6 6 12 1 in 24.9 Totals 127 0 1 1 1 in 127.0,299;6;6;12;127;0;1;1,12,1,13,res_nr_split
24_bg-odds.pdf,221,EB3049,Limited-entry Alw (rifle) Bull Elk - Early - Mt Dutton - Any Legal Weapon Page 254,Totals 564 3 3 6 1 in 94.0 Totals 227 0 1 1 1 in 227.0,564;3;3;6;227;0;1;1,6,1,7,res_nr_split
24_bg-odds.pdf,222,EB3050,Limited-entry Alw (rifle) Bull Elk - Late - Mt Dutton - Any Legal Weapon Page 255,Totals 301 5 5 10 1 in 30.1 Totals 182 0 1 1 1 in 182.0,301;5;5;10;182;0;1;1,10,1,11,res_nr_split
24_bg-odds.pdf,223,EB3053,"Limited-entry Alw (rifle) Bull Elk - Mid - North Slope, Three Corners - Any Legal Weapon Page 256",Totals 404 7 6 13 1 in 31.1 Totals 78 1 1 2 1 in 39.0,404;7;6;13;78;1;1;2,13,2,15,res_nr_split
24_bg-odds.pdf,224,EB3056,Limited-entry Alw (rifle) Bull Elk - Early - Panguitch Lake - Any Legal Weapon Page 257,Totals 999 3 2 5 1 in 199.8 Totals 0 0 0 0 N/A,999;3;2;5;0;0;0;0,5,0,5,res_nr_split
24_bg-odds.pdf,225,EB3057,Limited-entry Alw (rifle) Bull Elk - Late - Panguitch Lake - Any Legal Weapon Page 258,Totals 302 5 4 9 1 in 33.6 Totals 116 0 1 1 1 in 116.0,302;5;4;9;116;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,226,EB3063,Limited-entry Alw (rifle) Bull Elk - Early - Fishlake/thousand Lakes - Any Legal Weapon Page 259,Totals 1111 15 15 30 1 in 37.0 Totals 313 2 1 3 1 in 104.3,1111;15;15;30;313;2;1;3,30,3,33,res_nr_split
24_bg-odds.pdf,227,EB3064,Limited-entry Alw (rifle) Bull Elk - Mid - Fishlake/thousand Lakes - Any Legal Weapon Page 260,Totals 578 45 45 90 1 in 6.4 Totals 178 5 4 9 1 in 19.8,578;45;45;90;178;5;4;9,90,9,99,res_nr_split
24_bg-odds.pdf,228,EB3065,Limited-entry Alw (rifle) Bull Elk - Late - Fishlake/thousand Lakes - Any Legal Weapon Page 261,Totals 498 26 25 51 1 in 9.8 Totals 121 3 2 5 1 in 24.2,498;26;25;51;121;3;2;5,51,5,56,res_nr_split
24_bg-odds.pdf,229,EB3066,Limited-entry Alw (rifle) Bull Elk - Early - San Juan Bull Elk - Any Legal Weapon Page 262,Totals 1485 5 4 9 1 in 165.0 Totals 2030 0 1 1 in 2030.0,1485;5;4;9;2030;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,230,EB3067,Limited-entry Alw (rifle) Bull Elk - Late - San Juan Bull Elk - Any Legal Weapon Page 263,Totals 200 8 8 16 1 in 12.5 Totals 199 1 1 2 1 in 99.5,200;8;8;16;199;1;1;2,16,2,18,res_nr_split
24_bg-odds.pdf,231,EB3068,Limited-entry Alw (rifle) Bull Elk - Early - Diamond Mtn - Any Legal Weapon Page 264,Totals 432 4 3 7 1 in 61.7 Totals 157 0 1 1 1 in 157.0,432;4;3;7;157;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,232,EB3069,Limited-entry Alw (rifle) Bull Elk - Mid - Diamond Mtn - Any Legal Weapon Page 265,Totals 285 12 12 24 1 in 11.9 Totals 83 2 1 3 1 in 27.7,285;12;12;24;83;2;1;3,24,3,27,res_nr_split
24_bg-odds.pdf,233,EB3072,Limited-entry Alw (rifle) Bull Elk - Early - Wasatch Mtns - Any Legal Weapon Page 266,Totals 2769 36 36 72 1 in 38.5 Totals 546 4 3 7 1 in 78.0,2769;36;36;72;546;4;3;7,72,7,79,res_nr_split
24_bg-odds.pdf,234,EB3073,Limited-entry Alw (rifle) Bull Elk - Late - Wasatch Mtns - Any Legal Weapon Page 267,Totals 1030 62 62 124 1 in 8.3 Totals 208 7 6 13 1 in 16.0,1030;62;62;124;208;7;6;13,124,13,137,res_nr_split
24_bg-odds.pdf,235,EB3077,"Limited-entry Muzzleloader Bull Elk - Beaver, East - Muzzleloader Page 268",Totals 223 6 6 12 1 in 18.6 Totals 221 0 1 1 1 in 221.0,223;6;6;12;221;0;1;1,12,1,13,res_nr_split
24_bg-odds.pdf,236,EB3079,"Limited-entry Muzzleloader Bull Elk - Book Cliffs, Little Creek Roadless - Muzzleloader Page 269",Totals 32 0 1 1 1 in 32.0 Totals 0 0 0 0 N/A,32;0;1;1;0;0;0;0,1,0,1,res_nr_split
24_bg-odds.pdf,237,EB3081,"Limited-entry Muzzleloader Bull Elk - Cache, Meadowville - Muzzleloader Page 270",Totals 18 4 3 7 1 in 2.6 Totals 9 0 1 1 1 in 9.0,18;4;3;7;9;0;1;1,7,1,8,res_nr_split
24_bg-odds.pdf,238,EB3083,"Limited-entry Muzzleloader Bull Elk - Cache, South - Muzzleloader Page 271",Totals 116 2 2 4 1 in 29.0 Totals 15 0 1 1 1 in 15.0,116;2;2;4;15;0;1;1,4,1,5,res_nr_split
24_bg-odds.pdf,239,EB3084,Limited-entry Muzzleloader Bull Elk - Manti - Muzzleloader Page 272,Totals 723 45 45 90 1 in 8.0 Totals 216 5 4 9 1 in 24.0,723;45;45;90;216;5;4;9,90,9,99,res_nr_split
24_bg-odds.pdf,240,EB3086,"Limited-entry Muzzleloader Bull Elk - Fillmore, Pahvant - Muzzleloader Page 273",Totals 129 5 5 10 1 in 12.9 Totals 90 0 1 1 1 in 90.0,129;5;5;10;90;0;1;1,10,1,11,res_nr_split
24_bg-odds.pdf,241,EB3087,"Limited-entry Muzzleloader Bull Elk - La Sal, La Sal Mtns - Muzzleloader Page 274",Totals 150 11 11 22 1 in 6.8 Totals 65 1 1 2 1 in 32.5,150;11;11;22;65;1;1;2,22,2,24,res_nr_split
24_bg-odds.pdf,242,EB3088,Limited-entry Muzzleloader Bull Elk - Monroe - Muzzleloader Page 275,Totals 163 5 5 10 1 in 16.3 Totals 188 0 1 1 1 in 188.0,163;5;5;10;188;0;1;1,10,1,11,res_nr_split
24_bg-odds.pdf,243,EB3089,Limited-entry Muzzleloader Bull Elk - Mt Dutton - Muzzleloader Page 276,Totals 138 5 5 10 1 in 13.8 Totals 55 0 1 1 1 in 55.0,138;5;5;10;55;0;1;1,10,1,11,res_nr_split
24_bg-odds.pdf,244,EB3091,"Limited-entry Muzzleloader Bull Elk - North Slope, Three Corners - Muzzleloader Page 277",Totals 50 2 2 4 1 in 12.5 Totals 0 0 0 0 N/A,50;2;2;4;0;0;0;0,4,0,4,res_nr_split
24_bg-odds.pdf,245,EB3093,Limited-entry Muzzleloader Bull Elk - Panguitch Lake - Muzzleloader Page 278,Totals 135 4 4 8 1 in 16.9 Totals 167 0 1 1 1 in 167.0,135;4;4;8;167;0;1;1,8,1,9,res_nr_split
24_bg-odds.pdf,246,EB3096,Limited-entry Muzzleloader Bull Elk - Fishlake/thousand Lakes - Muzzleloader Page 279,Totals 309 23 22 45 1 in 6.9 Totals 121 3 2 5 1 in 24.2,309;23;22;45;121;3;2;5,45,5,50,res_nr_split
24_bg-odds.pdf,247,EB3097,Limited-entry Muzzleloader Bull Elk - San Juan Bull Elk - Muzzleloader Page 280,Totals 215 7 7 14 1 in 15.4 Totals 241 1 1 2 1 in 120.5,215;7;7;14;241;1;1;2,14,2,16,res_nr_split
24_bg-odds.pdf,248,EB3098,Limited-entry Muzzleloader Bull Elk - Diamond Mtn - Muzzleloader Page 281,Totals 92 7 6 13 1 in 7.1 Totals 47 0 1 1 1 in 47.0,92;7;6;13;47;0;1;1,13,1,14,res_nr_split
24_bg-odds.pdf,249,EB3100,Limited-entry Muzzleloader Bull Elk - Wasatch Mtns - Muzzleloader Page 282,Totals 652 55 54 109 1 in 6.0 Totals 154 5 5 10 1 in 15.4,652;55;54;109;154;5;5;10,109,10,119,res_nr_split
24_bg-odds.pdf,250,EB3102,"Limited-entry Multi-season Bull Elk - Beaver, East - Any Legal Weapon Page 283",Totals 325 2 1 3 1 in 108.3 Totals 0 0 0 0 N/A,325;2;1;3;0;0;0;0,3,0,3,res_nr_split
24_bg-odds.pdf,251,EB3104,"Limited-entry Multi-season Bull Elk - Book Cliffs, Little Creek Roadless - Any Legal Weapon Page 284",Totals 35 0 1 1 1 in 35.0 Totals 0 0 0 0 N/A,35;0;1;1;0;0;0;0,1,0,1,res_nr_split
24_bg-odds.pdf,252,EB3105,"Limited-entry Multi-season Bull Elk - Cache, Meadowville - Any Legal Weapon Page 285",Totals 30 1 1 2 1 in 15.0 Totals 0 0 0 0 N/A,30;1;1;2;0;0;0;0,2,0,2,res_nr_split
24_bg-odds.pdf,253,EB3107,"Limited-entry Multi-season Bull Elk - Cache, South - Any Legal Weapon Page 286",Totals 173 0 1 1 1 in 173.0 Totals 0 0 0 0 N/A,173;0;1;1;0;0;0;0,1,0,1,res_nr_split
24_bg-odds.pdf,254,EB3108,Limited-entry Multi-season Bull Elk - Manti - Any Legal Weapon Page 287,Totals 555 9 9 18 1 in 30.8 Totals 118 1 1 2 1 in 59.0,555;9;9;18;118;1;1;2,18,2,20,res_nr_split
