hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,compiled_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,quota_source_used,compiled_quota_values,compiled_quota_source_status,algorithm_status,draw_system_type,classification
DB1018,Resident,"Book Cliffs, South","Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",Deer,Limited Entry,Any Legal Weapon,27,34,7,7,25.9,14,13,679,33,compiled_prediction,34,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1087,Resident,"Wasatch Mtns, West","Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, West - Muzzleloader",Deer,Limited Entry,Muzzleloader,29,36,7,7,24.1,15,14,69,33,compiled_prediction,36,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1513,Nonresident,North Slope,North Slope,Deer,General Season,Archery,30,37,7,7,23.3,0,30,30,66,compiled_prediction,37,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1521,Nonresident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Archery,49,56,7,7,14.3,0,49,127,66,compiled_prediction,56,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1595,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Early),53,60,7,7,13.2,0,53,229,66,compiled_prediction,60,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1217,Resident,"Wasatch Mtns, Avintaquin","Wasatch Mtns, Avintaquin",Elk,General Season,Any Legal Weapon,130,137,7,7,5.4,0,130,227,36,compiled_prediction,137,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
EA1274,Resident,"North Slope, Three Corners","North Slope, Three Corners",Elk,General Season,Archery,15,22,7,7,46.7,0,15,15,36,DATABASE_fallback,,,,,INCREASE
EB3006,Resident,Manti,"Limited-entry Archery Bull Elk - Central Mtns, Manti - Archery",Elk,Limited Entry,Archery,155,148,-7,7,-4.5,78,77,924,33,compiled_prediction,148,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
PB5050,Resident,"West Desert, Riverbed","Limited-entry Alw (rifle) Buck Pronghorn - West Desert, Riverbed - Any Legal Weapon",Pronghorn,Limited Entry,Any Legal Weapon,66,73,7,7,10.6,33,33,647,33,compiled_prediction,73,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1010,Resident,Paunsaugunt,Paunsaugunt,Deer,Management Buck Deer,Any Legal Weapon,23,29,6,6,26.1,12,11,617,33,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1023,Resident,Diamond Mtn,"Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",Deer,Limited Entry,Any Legal Weapon,55,61,6,6,10.9,28,27,952,33,compiled_prediction,61,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1042,Resident,"West Desert, Vernon","Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",Deer,Limited Entry,Muzzleloader,40,46,6,6,15.0,20,20,300,33,compiled_prediction,46,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1541,Nonresident,Mt Dutton,Mt Dutton,Deer,General Season,Any Legal Weapon (Late),19,25,6,6,31.6,0,19,119,66,compiled_prediction,25,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1579,Nonresident,Fishlake,Fishlake,Deer,General Season,Muzzleloader,20,26,6,6,30.0,0,20,39,66,compiled_prediction,26,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1598,Nonresident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Early),31,37,6,6,19.4,0,31,31,66,compiled_prediction,37,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1189,Nonresident,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Elk,General Season,Muzzleloader,18,24,6,6,33.3,0,18,18,36,compiled_prediction,24,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
EA1276,Resident,"Wasatch Mtns, Box Elder Peak","Wasatch Mtns, Box Elder Peak",Elk,General Season,Any Legal Weapon,34,40,6,6,17.6,0,34,34,36,DATABASE_fallback,,,,,INCREASE
EB3064,Resident,Fishlake/Thousand Lakes,"Limited-entry Alw (rifle) Bull Elk - Mid - Plateau, Fishlake/thousand Lakes - Any Legal Weapon",Elk,Limited Entry,Any Legal Weapon,93,99,6,6,6.5,47,46,694,33,compiled_prediction,99,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
EB3158,Resident,Beaver East,"Limited-entry Archery Bull Elk - Late - Beaver, East - Archery",Elk,Limited Entry,Archery,12,18,6,6,50.0,6,6,88,33,compiled_prediction,18,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
EB3176,Resident,Nebo/San Pitch Mtns,Limited-entry Alw (rifle) Bull Elk - Late - Nebo/san Pitch Mtns - Any Legal Weapon,Elk,Limited Entry,Any Legal Weapon,14,20,6,6,42.9,7,7,212,33,compiled_prediction,20,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5046,Resident,"San Rafael, North","Limited-entry Alw (rifle) Buck Pronghorn - San Rafael, North - Any Legal Weapon",Pronghorn,Limited Entry,Any Legal Weapon,56,62,6,6,10.7,28,28,581,33,compiled_prediction,62,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5077,Resident,Parker Mtn,Limited-entry Archery Buck Pronghorn - Parker Mtn - Archery,Pronghorn,Limited Entry,Archery,39,45,6,6,15.4,17,22,39,33,compiled_prediction,45,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PD1055,Resident,Parker Mtn,Parker Mtn,Pronghorn,General Season,Muzzleloader,25,31,6,6,24.0,0,25,63,20,DATABASE_fallback,,,,,INCREASE
TK1005,Nonresident,Northern Area,Northern Area,Turkey,Limited Entry,Any Legal Weapon,0,6,6,6,,0,0,0,20,compiled_prediction,6,,MODELED_BONUS,BONUS_TURKEY,NEW_OR_NO_2025_DRAW_AVAILABLE
TK1018,Resident,Pahvant Ensign CWMU,Pahvant Ensign CWMU,Turkey,CWMU,Any Legal Weapon,0,6,6,6,,0,0,11,20,compiled_prediction,6,,MODELED_BONUS,BONUS_TURKEY,NEW_OR_NO_2025_DRAW_AVAILABLE
