hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,compiled_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,quota_source_used,compiled_quota_values,compiled_quota_source_status,algorithm_status,draw_system_type,classification
DB1556,Nonresident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Any Legal Weapon (Late),94,150,56,56,59.6,0,94,98,66,compiled_prediction,150,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1540,Resident,Monroe,Monroe,Deer,General Season,Any Legal Weapon (Late),541,594,53,53,9.8,0,541,2246,66,compiled_prediction,594,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1549,Resident,Fishlake,Fishlake,Deer,General Season,Any Legal Weapon (Late),414,466,52,52,12.6,0,414,1929,66,compiled_prediction,466,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1538,Resident,Kamas,Kamas,Deer,General Season,Any Legal Weapon (Late),421,373,-48,48,-11.4,0,421,681,66,compiled_prediction,373,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,DECREASE
DB1563,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Muzzleloader,90,136,46,46,51.1,0,90,95,66,compiled_prediction,136,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1593,Resident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Early),205,251,46,46,22.4,0,205,335,66,compiled_prediction,251,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1531,Nonresident,Box Elder,Box Elder,Deer,General Season,Any Legal Weapon (Late),165,209,44,44,26.7,0,165,246,66,compiled_prediction,209,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1551,Nonresident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Any Legal Weapon (Late),125,169,44,44,35.2,0,125,299,66,compiled_prediction,169,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
TK1007,Nonresident,Southern Area,Southern Area,Turkey,Limited Entry,Any Legal Weapon,2,46,44,44,2200.0,0,2,12,20,compiled_prediction,46,,MODELED_BONUS,BONUS_TURKEY,INCREASE
DB1501,Nonresident,Box Elder,Box Elder,Deer,General Season,Archery,35,76,41,41,117.1,0,35,35,66,compiled_prediction,76,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1525,Nonresident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Archery,69,110,41,41,59.4,0,69,73,66,compiled_prediction,110,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1554,Resident,Southwest Desert,Southwest Desert,Deer,General Season,Any Legal Weapon (Late),229,270,41,41,17.9,0,229,1143,66,compiled_prediction,270,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1790,Nonresident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Dedicated Hunter,16,56,40,40,250.0,0,16,16,21,compiled_prediction,56,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1596,Resident,Fishlake,Fishlake,Deer,General Season,Any Legal Weapon (Early),194,233,39,39,20.1,0,194,935,66,compiled_prediction,233,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1510,Resident,Monroe,Monroe,Deer,General Season,Archery,159,197,38,38,23.9,0,159,417,66,compiled_prediction,197,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1547,Resident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Late),1040,1078,38,38,3.7,0,1040,4194,66,compiled_prediction,1078,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1579,Resident,Fishlake,Fishlake,Deer,General Season,Muzzleloader,197,234,37,37,18.8,0,197,452,66,compiled_prediction,234,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EB3127,Resident,Wasatch Mtns,Limited-entry Alw (rifle) Bull Elk - Mid - Wasatch Mtns - Any Legal Weapon,Elk,Limited Entry,Any Legal Weapon,190,155,-35,35,-18.4,95,95,1560,33,compiled_prediction,155,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
