hunt_code,target_hunt_name,target_species,target_hunt_type,target_weapon,target_boundary_id,database_present,database_hunt_name,database_species,database_boundary_id,target_2025_res,target_2025_nr,target_2025_total,target_2026_res,target_2026_nr,target_2026_total,database_2025_res,database_2025_nr,database_2025_total,database_2025_draw_res,database_2025_draw_nr,database_2025_draw_total,database_2026_res,database_2026_nr,database_2026_total,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,direct_rac_2026_res,direct_rac_2026_nr,direct_rac_2026_total,direct_rac_source_file,totalscan_high_conf_total,target_2025_vs_database_2025_status,target_2025_vs_database_2025_draw_status,target_2026_vs_database_2026_status,target_2026_vs_database_allotment_status,target_2026_vs_direct_rac_status,target_2026_vs_totalscan_status,database_2026_vs_direct_rac_status,database_allotment_vs_direct_rac_status,target_2025_to_2026_delta_total,database_2025_to_2026_delta_total,change_review_status,evidence_confidence,audit_notes
BR1000,Black Bear - Statewide Permit,Black Bear,Statewide,Any Legal Weapon,,YES,Black Bear - Statewide Permit,Black Bear,5001,,,,,,,,,,,,,,,,,,,,,,,,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,,,INSUFFICIENT_DATA,REVIEW_REQUIRED,
CG9999,Cougar - Statewide,Cougar,Statewide,Any Legal Weapon,,YES,Cougar - Statewide,Cougar,5107,,,,,,,,,,,,,,,,,,,,,,,,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,,,INSUFFICIENT_DATA,REVIEW_REQUIRED,
DA1011,George Creek CWMU,Deer,CWMU,Any Legal Weapon,,YES,George Creek CWMU,Deer,806,4,0,4,0,0,0,5,0,5,,,,5,0,5,,,,,,,,4,MISMATCH,LEFT_ONLY,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-4,0,SMALL_CHANGE_ABS_5_OR_LESS,REVIEW_REQUIRED,target second permit triple does not cleanly match DATABASE 2026 permits; target first permit triple does not cleanly match DATABASE 2025 permits
DA1012,Junction Valley CWMU,Deer,CWMU,Any Legal Weapon,,YES,Junction Valley CWMU,Deer,589,12,0,12,0,0,0,15,0,15,,,,15,0,15,,,,,,,,12,MISMATCH,LEFT_ONLY,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-12,0,LARGE_CHANGE_REVIEW,REVIEW_REQUIRED,target second permit triple does not cleanly match DATABASE 2026 permits; target first permit triple does not cleanly match DATABASE 2025 permits; large target 2025-to-2026 total change
DA1013,Mt Carmel CWMU,Deer,CWMU,Any Legal Weapon,,YES,Mt Carmel CWMU,Deer,533,4,0,4,0,0,0,5,0,5,,,,5,0,5,,,,,,,,4,MISMATCH,LEFT_ONLY,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-4,0,SMALL_CHANGE_ABS_5_OR_LESS,REVIEW_REQUIRED,target second permit triple does not cleanly match DATABASE 2026 permits; target first permit triple does not cleanly match DATABASE 2025 permits
DA1050,The Rose of Snowville CWMU,Deer,CWMU,Any Legal Weapon,,YES,The Rose of Snowville CWMU,Deer,509,7,0,7,0,0,0,8,0,8,,,,8,0,8,,,,,,,,7,MISMATCH,LEFT_ONLY,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-7,0,LARGE_CHANGE_REVIEW,REVIEW_REQUIRED,target second permit triple does not cleanly match DATABASE 2026 permits; target first permit triple does not cleanly match DATABASE 2025 permits; large target 2025-to-2026 total change
DB1200,Alton - Premium Buck CWMU,Deer,CWMU,Any Legal Weapon,,YES,Alton - Premium Buck CWMU,Deer,526,3,0,3,0,0,0,3,0,3,3,0,3,3,0,3,,,,,,,,3,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-3,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1201,Alton - Management Buck CWMU,Deer,CWMU,Any Legal Weapon,,YES,Alton - Management Buck CWMU,Deer,526,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1202,Antelope Creek CWMU,Deer,CWMU,Any Legal Weapon,,YES,Antelope Creek CWMU,Deer,581,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1203,Avintaquin Canyon CWMU,Deer,CWMU,Any Legal Weapon,,YES,Avintaquin Canyon CWMU,Deer,599,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1204,Bally Watts CWMU,Deer,CWMU,Any Legal Weapon,,YES,Bally Watts CWMU,Deer,559,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1205,Bar J Ranch CWMU,Deer,CWMU,Any Legal Weapon,,YES,Bar J Ranch CWMU,Deer,527,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1206,Bear Mountain CWMU,Deer,CWMU,Any Legal Weapon,,YES,Bear Mountain CWMU,Deer,582,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1207,Bear Springs CWMU,Deer,CWMU,Any Legal Weapon,,YES,Bear Springs CWMU,Deer,575,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1208,Blackhawk CWMU,Deer,CWMU,Any Legal Weapon,,YES,Blackhawk CWMU,Deer,808,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,,,,,,,,2,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,1,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1209,Blind Springs CWMU,Deer,CWMU,Any Legal Weapon,,YES,Blind Springs CWMU,Deer,500,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1211,Blue Spring Hills CWMU,Deer,CWMU,Any Legal Weapon,,YES,Blue Spring Hills CWMU,Deer,510,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1212,Bluebell CWMU,Deer,CWMU,Any Legal Weapon,,YES,Bluebell CWMU,Deer,604,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1213,Boobe Hole CWMU,Deer,CWMU,Any Legal Weapon,,YES,Boobe Hole CWMU,Deer,529,2,0,2,0,0,0,2,0,2,2,0,2,2,0,2,,,,,,,,2,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-2,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1215,Buckhorn Ranch CWMU,Deer,CWMU,Any Legal Weapon,,YES,Buckhorn Ranch CWMU,Deer,598,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1216,Castle Valley Outdoors CWMU,Deer,CWMU,Any Legal Weapon,,YES,Castle Valley Outdoors CWMU,Deer,545,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1217,Causey Spring CWMU,Deer,CWMU,Any Legal Weapon,,YES,Causey Spring CWMU,Deer,560,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,,,,,,,,1,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-1,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
DB1219,Chimney Rock CWMU,Deer,CWMU,Any Legal Weapon,,YES,Chimney Rock CWMU,Deer,732,2,0,2,0,0,0,2,0,2,2,0,2,2,0,2,,,,,,,,2,MATCH,MATCH,MISMATCH,LEFT_ZERO_RIGHT_BLANK,LEFT_ZERO_RIGHT_BLANK,MISMATCH,LEFT_ONLY,BOTH_BLANK,-2,0,SMALL_CHANGE_ABS_5_OR_LESS,LOW_2025_MATCH_ONLY,target second permit triple does not cleanly match DATABASE 2026 permits
