hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,required_surface_status,missing_required_surfaces,optional_predictive_status,missing_optional_surfaces,in_DATABASE,in_hunt_master_enriched,in_hunt_unit_reference_linked,in_point_ladder_view,in_draw_reality_engine,in_draw_reality_engine_predictive_v2
DB1109,53,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,PASS,,PASS,,true,true,true,true,true,true
DB1110,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, East",PASS,,PASS,,true,true,true,true,true,true
DB1111,52,BUCK_DEER_HUNT_TABLES,Deer,"Beaver, West",PASS,,PASS,,true,true,true,true,true,true
DB1112,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Swasey",PASS,,PASS,,true,true,true,true,true,true
DB1113,52,BUCK_DEER_HUNT_TABLES,Deer,Oquirrh/Tintic,PASS,,PASS,,true,true,true,true,true,true
DB1114,52,BUCK_DEER_HUNT_TABLES,Deer,Cedar/Stansbury,PASS,,PASS,,true,true,true,true,true,true
DB1115,51,BUCK_DEER_HUNT_TABLES,Deer,Little Rockies,PASS,,PASS,,true,true,true,true,true,true
DB1116,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Mancos Mesa",PASS,,PASS,,true,true,true,true,true,true
DB1119,51,BUCK_DEER_HUNT_TABLES,Deer,Moab Valley,PASS,,PASS,,true,true,true,true,true,true
DB1120,51,BUCK_DEER_HUNT_TABLES,Deer,Castle Valley,PASS,,PASS,,true,true,true,true,true,true
DB1121,50,BUCK_DEER_HUNT_TABLES,Deer,Antelope Island (any legal weapon) (new),PASS,,PASS,,true,true,true,true,true,true
DB1200,69,CWMU_HUNT_TABLES,Deer,Alton,PASS,,PASS,,true,true,true,true,true,true
DB1201,69,CWMU_HUNT_TABLES,Deer,Alton (management buck),PASS,,PASS,,true,true,true,true,true,true
DB1202,70,CWMU_HUNT_TABLES,Deer,Antelope Creek,PASS,,PASS,,true,true,true,true,true,true
DB1203,70,CWMU_HUNT_TABLES,Deer,Avintaquin Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1204,70,CWMU_HUNT_TABLES,Deer,Bally Watts,PASS,,PASS,,true,true,true,true,true,true
DB1205,70,CWMU_HUNT_TABLES,Deer,Bar J Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1206,70,CWMU_HUNT_TABLES,Deer,Bear Mountain,PASS,,PASS,,true,true,true,true,true,true
DB1207,70,CWMU_HUNT_TABLES,Deer,Bear Springs,PASS,,PASS,,true,true,true,true,true,true
DB1208,70,CWMU_HUNT_TABLES,Deer,Blackhawk,PASS,,PASS,,true,true,true,true,true,true
DB1209,70,CWMU_HUNT_TABLES,Deer,Blind Springs,PASS,,PASS,,true,true,true,true,true,true
DB1211,70,CWMU_HUNT_TABLES,Deer,Blue Spring Hills,PASS,,PASS,,true,true,true,true,true,true
DB1212,70,CWMU_HUNT_TABLES,Deer,Bluebell,PASS,,PASS,,true,true,true,true,true,true
DB1213,70,CWMU_HUNT_TABLES,Deer,Boobe Hole,PASS,,PASS,,true,true,true,true,true,true
DB1215,70,CWMU_HUNT_TABLES,Deer,Buckhorn Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1216,70,CWMU_HUNT_TABLES,Deer,Castle Valley Outdoors,PASS,,PASS,,true,true,true,true,true,true
DB1217,70,CWMU_HUNT_TABLES,Deer,Causey Spring,PASS,,PASS,,true,true,true,true,true,true
DB1219,70,CWMU_HUNT_TABLES,Deer,Chimney Rock,PASS,,PASS,,true,true,true,true,true,true
DB1222,70,CWMU_HUNT_TABLES,Deer,Coldwater Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1224,70,CWMU_HUNT_TABLES,Deer,Cotton Thomas,PASS,,PASS,,true,true,true,true,true,true
DB1227,70,CWMU_HUNT_TABLES,Deer,Deer Haven,PASS,,PASS,,true,true,true,true,true,true
DB1228,70,CWMU_HUNT_TABLES,Deer,Deseret,PASS,,PASS,,true,true,true,true,true,true
DB1229,70,CWMU_HUNT_TABLES,Deer,Dilly Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1230,70,CWMU_HUNT_TABLES,Deer,Double R Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1231,70,CWMU_HUNT_TABLES,Deer,Dove Creek,PASS,,PASS,,true,true,true,true,true,true
DB1232,71,CWMU_HUNT_TABLES,Deer,Durst Mountain,PASS,,PASS,,true,true,true,true,true,true
DB1233,71,CWMU_HUNT_TABLES,Deer,East Fork Chalk Creek,PASS,,PASS,,true,true,true,true,true,true
DB1234,71,CWMU_HUNT_TABLES,Deer,East Zion,PASS,,PASS,,true,true,true,true,true,true
DB1236,71,CWMU_HUNT_TABLES,Deer,Engineer Springs,PASS,,PASS,,true,true,true,true,true,true
DB1237,71,CWMU_HUNT_TABLES,Deer,Ensign Ranches,PASS,,PASS,,true,true,true,true,true,true
DB1238,71,CWMU_HUNT_TABLES,Deer,Folley Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1239,71,CWMU_HUNT_TABLES,Deer,Fort Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1240,71,CWMU_HUNT_TABLES,Deer,George Creek,PASS,,PASS,,true,true,true,true,true,true
DB1241,71,CWMU_HUNT_TABLES,Deer,Golden Spike,PASS,,PASS,,true,true,true,true,true,true
DB1242,71,CWMU_HUNT_TABLES,Deer,Grass Valley/Clark Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1243,71,CWMU_HUNT_TABLES,Deer,Grazing Pasture,PASS,,PASS,,true,true,true,true,true,true
DB1244,71,CWMU_HUNT_TABLES,Deer,Green Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1245,71,CWMU_HUNT_TABLES,Deer,Guildersleeve,PASS,,PASS,,true,true,true,true,true,true
DB1246,71,CWMU_HUNT_TABLES,Deer,Hardscrabble,PASS,,PASS,,true,true,true,true,true,true
DB1248,71,CWMU_HUNT_TABLES,Deer,Heaston East,PASS,,PASS,,true,true,true,true,true,true
DB1249,71,CWMU_HUNT_TABLES,Deer,Hiawatha,PASS,,PASS,,true,true,true,true,true,true
DB1250,71,CWMU_HUNT_TABLES,Deer,Indian Creek,PASS,,PASS,,true,true,true,true,true,true
DB1251,71,CWMU_HUNT_TABLES,Deer,Indian Head,PASS,,PASS,,true,true,true,true,true,true
DB1252,71,CWMU_HUNT_TABLES,Deer,Ingham Peak,PASS,,PASS,,true,true,true,true,true,true
DB1253,70,CWMU_HUNT_TABLES,Deer,Circle E Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1255,71,CWMU_HUNT_TABLES,Deer,Johnson Mountain Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1256,71,CWMU_HUNT_TABLES,Deer,Junction Valley,PASS,,PASS,,true,true,true,true,true,true
DB1258,71,CWMU_HUNT_TABLES,Deer,Little Red Creek,PASS,,PASS,,true,true,true,true,true,true
DB1259,73,CWMU_HUNT_TABLES,Deer,Tunnel Hollow,PASS,,PASS,,true,true,true,true,true,true
DB1260,71,CWMU_HUNT_TABLES,Deer,Middle Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1261,72,CWMU_HUNT_TABLES,Deer,Minnie Maud Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1263,72,CWMU_HUNT_TABLES,Deer,Moon Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1264,72,CWMU_HUNT_TABLES,Deer,Mountain Meadow,PASS,,PASS,,true,true,true,true,true,true
DB1265,72,CWMU_HUNT_TABLES,Deer,Mountain Top,PASS,,PASS,,true,true,true,true,true,true
DB1266,72,CWMU_HUNT_TABLES,Deer,Mt Carmel,PASS,,PASS,,true,true,true,true,true,true
DB1269,72,CWMU_HUNT_TABLES,Deer,North Promontory,PASS,,PASS,,true,true,true,true,true,true
DB1270,72,CWMU_HUNT_TABLES,Deer,Nucor West,PASS,,PASS,,true,true,true,true,true,true
DB1271,72,CWMU_HUNT_TABLES,Deer,Oak Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1272,72,CWMU_HUNT_TABLES,Deer,Old Woman Plateau,PASS,,PASS,,true,true,true,true,true,true
DB1273,72,CWMU_HUNT_TABLES,Deer,Park Valley Hereford,PASS,,PASS,,true,true,true,true,true,true
DB1274,72,CWMU_HUNT_TABLES,Deer,Patmos Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1275,72,CWMU_HUNT_TABLES,Deer,Pine Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1277,72,CWMU_HUNT_TABLES,Deer,Pocatello Valley,PASS,,PASS,,true,true,true,true,true,true
DB1279,72,CWMU_HUNT_TABLES,Deer,Preston Nutter Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1280,72,CWMU_HUNT_TABLES,Deer,Promontory Point,PASS,,PASS,,true,true,true,true,true,true
DB1281,72,CWMU_HUNT_TABLES,Deer,Rattlesnake Pass,PASS,,PASS,,true,true,true,true,true,true
DB1282,72,CWMU_HUNT_TABLES,Deer,Redd Ranches,PASS,,PASS,,true,true,true,true,true,true
DB1283,72,CWMU_HUNT_TABLES,Deer,Roan Cliffs,PASS,,PASS,,true,true,true,true,true,true
DB1285,72,CWMU_HUNT_TABLES,Deer,Sand Creek,PASS,,PASS,,true,true,true,true,true,true
DB1286,72,CWMU_HUNT_TABLES,Deer,Pisgah Mountain,PASS,,PASS,,true,true,true,true,true,true
DB1287,72,CWMU_HUNT_TABLES,Deer,Scofield Canyons,PASS,,PASS,,true,true,true,true,true,true
DB1288,72,CWMU_HUNT_TABLES,Deer,Scofield West,PASS,,PASS,,true,true,true,true,true,true
DB1289,72,CWMU_HUNT_TABLES,Deer,Sharp Mountain,PASS,,PASS,,true,true,true,true,true,true
DB1290,73,CWMU_HUNT_TABLES,Deer,Skull Crack,PASS,,PASS,,true,true,true,true,true,true
DB1291,73,CWMU_HUNT_TABLES,Deer,Skull Valley South,PASS,,PASS,,true,true,true,true,true,true
DB1292,73,CWMU_HUNT_TABLES,Deer,Soldier Summit,PASS,,PASS,,true,true,true,true,true,true
DB1293,73,CWMU_HUNT_TABLES,Deer,South Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1294,73,CWMU_HUNT_TABLES,Deer,Spring Creek Acres,PASS,,PASS,,true,true,true,true,true,true
DB1295,73,CWMU_HUNT_TABLES,Deer,Spring Creek/Dodge,PASS,,PASS,,true,true,true,true,true,true
DB1298,73,CWMU_HUNT_TABLES,Deer,Strawberry Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1299,73,CWMU_HUNT_TABLES,Deer,Summit Point,PASS,,PASS,,true,true,true,true,true,true
DB1300,73,CWMU_HUNT_TABLES,Deer,Thatcher Mountain,PASS,,PASS,,true,true,true,true,true,true
DB1301,73,CWMU_HUNT_TABLES,Deer,Three C,PASS,,PASS,,true,true,true,true,true,true
DB1303,72,CWMU_HUNT_TABLES,Deer,North Peaks,PASS,,PASS,,true,true,true,true,true,true
DB1304,73,CWMU_HUNT_TABLES,Deer,Two Bear,PASS,,PASS,,true,true,true,true,true,true
DB1305,73,CWMU_HUNT_TABLES,Deer,Wallsburg,PASS,,PASS,,true,true,true,true,true,true
DB1306,73,CWMU_HUNT_TABLES,Deer,Washakie,PASS,,PASS,,true,true,true,true,true,true
DB1308,73,CWMU_HUNT_TABLES,Deer,West Hills,PASS,,PASS,,true,true,true,true,true,true
DB1309,73,CWMU_HUNT_TABLES,Deer,West Willow Creek Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1310,73,CWMU_HUNT_TABLES,Deer,White's Valley,PASS,,PASS,,true,true,true,true,true,true
DB1312,73,CWMU_HUNT_TABLES,Deer,Woodruff Creek South,PASS,,PASS,,true,true,true,true,true,true
DB1317,71,CWMU_HUNT_TABLES,Deer,Jacob's Creek,PASS,,PASS,,true,true,true,true,true,true
DB1322,72,CWMU_HUNT_TABLES,Deer,Pahvant Ensign,PASS,,PASS,,true,true,true,true,true,true
DB1323,72,CWMU_HUNT_TABLES,Deer,Rock House,PASS,,PASS,,true,true,true,true,true,true
DB1325,70,CWMU_HUNT_TABLES,Deer,Double Cone,PASS,,PASS,,true,true,true,true,true,true
DB1326,72,CWMU_HUNT_TABLES,Deer,Rosette,PASS,,PASS,,true,true,true,true,true,true
DB1327,72,CWMU_HUNT_TABLES,Deer,Mountain Sky Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1328,70,CWMU_HUNT_TABLES,Deer,Clear Creek,PASS,,PASS,,true,true,true,true,true,true
DB1330,71,CWMU_HUNT_TABLES,Deer,Iron Spring,PASS,,PASS,,true,true,true,true,true,true
DB1331,72,CWMU_HUNT_TABLES,Deer,Raft River,PASS,,PASS,,true,true,true,true,true,true
DB1332,73,CWMU_HUNT_TABLES,Deer,West Ridge,PASS,,PASS,,true,true,true,true,true,true
DB1333,70,CWMU_HUNT_TABLES,Deer,5S,PASS,,PASS,,true,true,true,true,true,true
DB1334,69,CWMU_HUNT_TABLES,Deer,Alton (cactus buck),PASS,,PASS,,true,true,true,true,true,true
DB1335,70,CWMU_HUNT_TABLES,Deer,Big Piney Ranch,PASS,,PASS,,true,true,true,true,true,true
DB1336,71,CWMU_HUNT_TABLES,Deer,First Light,PASS,,PASS,,true,true,true,true,true,true
DB1337,71,CWMU_HUNT_TABLES,Deer,Little Pole Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1341,71,CWMU_HUNT_TABLES,Deer,Dry Creek,PASS,,PASS,,true,true,true,true,true,true
DB1342,71,CWMU_HUNT_TABLES,Deer,Faust Valley,PASS,,PASS,,true,true,true,true,true,true
DB1347,73,CWMU_HUNT_TABLES,Deer,The Rose of Snowville,PASS,,PASS,,true,true,true,true,true,true
DB1349,73,CWMU_HUNT_TABLES,Deer,Weber Florence Creek/Stillman Creek,PASS,,PASS,,true,true,true,true,true,true
DB1351,73,CWMU_HUNT_TABLES,Deer,The Dirty Dozen,PASS,,PASS,,true,true,true,true,true,true
DB1501,43,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,PASS,,PASS,,true,true,true,true,true,true
DB1502,43,BUCK_DEER_HUNT_TABLES,Deer,Cache,PASS,,PASS,,true,true,true,true,true,true
DB1503,43,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,PASS,,PASS,,true,true,true,true,true,true
DB1504,43,BUCK_DEER_HUNT_TABLES,Deer,Nebo,PASS,,PASS,,true,true,true,true,true,true
DB1506,43,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,PASS,,PASS,,true,true,true,true,true,true
DB1508,43,BUCK_DEER_HUNT_TABLES,Deer,Kamas,PASS,,PASS,,true,true,true,true,true,true
DB1509,43,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1510,43,BUCK_DEER_HUNT_TABLES,Deer,Monroe,PASS,,PASS,,true,true,true,true,true,true
DB1511,43,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,PASS,,PASS,,true,true,true,true,true,true
DB1512,43,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,PASS,,PASS,,true,true,true,true,true,true
DB1513,43,BUCK_DEER_HUNT_TABLES,Deer,North Slope,PASS,,PASS,,true,true,true,true,true,true
DB1514,43,BUCK_DEER_HUNT_TABLES,Deer,Ogden,PASS,,PASS,,true,true,true,true,true,true
DB1516,43,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,PASS,,PASS,,true,true,true,true,true,true
DB1517,43,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,PASS,,PASS,,true,true,true,true,true,true
DB1518,43,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,PASS,,PASS,,true,true,true,true,true,true
DB1519,43,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,PASS,,PASS,,true,true,true,true,true,true
DB1521,43,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",PASS,,PASS,,true,true,true,true,true,true
DB1522,43,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,PASS,,PASS,,true,true,true,true,true,true
DB1523,44,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,PASS,,PASS,,true,true,true,true,true,true
DB1524,43,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,PASS,,PASS,,true,true,true,true,true,true
