hunt_code,server_found,server_boundary_ids,server_row_count,sample_boundary_name,sample_season,query_url
DB0008,YES,101|106|109|218|28|280|311|312|6|731,10,Extended Archery Deer,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27DB0008%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
DS1000,YES,100|187|190|193|194|635|636|688|756|94|98|99,12,Desert Bighorn Sheep - Statewide Permit,"Sept 1 - Dec 31, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27DS1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
DS1003,YES,933|934,2,"Kaiparowits, Escalante East/West","Sept 12 - Nov 10, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27DS1003%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
DS6625,YES,10003,1,Mineral Mtns,Sept 12 2026 - Nov 10 2026,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27DS6625%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1180,YES,684,1,La Sal (Conservation),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1180%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1220,YES,43|45|47|49|55|58|861|862,8,Manti (Expo),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1220%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1221,YES,175|698|699,3,Fishlake/Thousand Lake (Expo),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1221%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1258,YES,108|617|879,3,La Sal (Expo),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1258%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1270,YES,175,1,Fishlake (Conservation),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1270%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA1271,YES,51,1,Manti (Conservation),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA1271%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA2000,YES,117|276|609|611|635|636|69|94,8,Antlerless Elk Control,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA2000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA2041,YES,29,1,Cache (Conservation),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA2041%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EA2045,YES,222|234,2,Wasatch Mtns (Conservation),None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EA2045%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1000,YES,108|12|128|140|163|17|175|183|206|222|241|33|36|41|449|455|51|616|617|622|625|629|630|634|683|685|88,27,Elk - Statewide Permit,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1001,YES,107|117|129|138|142|163|18|188|194|276|277|301|304|609|611|613|614|635|636|639|672|69|81|868|902|925|94|947|948,29,Any Bull Elk Units,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1001%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1002,YES,107|117|129|138|142|163|18|188|194|276|277|301|304|609|611|613|614|635|636|639|672|69|81|868|902|925|94|947|948,29,Any Bull Elk Units,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1002%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1003,YES,108|12|175|183|206|222|241|302|303|33|455|51|617|625|629|630|634|685|742|751|867|88|899|901,24,Spike Only Units,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1003%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1004,YES,108|12|175|183|206|222|241|302|303|33|455|51|617|625|629|630|634|685|742|751|867|88|899|901,24,Spike Only Units,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1004%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1005,YES,107|108|117|12|129|138|142|175|18|183|188|194|206|222|241|276|277|301|302|303|304|33|455|51|609|611|613|614|617|625|629|630|634|635|636|639|672|685|69|742|751|81|867|868|88|899|901|902|925|94|947|948,52,Archery Hunters Choice Elk,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1005%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1007,YES,107|117|129|143|163|18|188|194|276|277|301|304|609|611|613|614|635|636|639|672|69|81|868|902|925|94|947|948,28,Draw-only Youth Any Bull/Hunters Choice Elk,Sept 12 2026 - Sept 22 2026,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1007%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1009,YES,108|12|175|183|206|222|241|302|303|33|455|51|617|625|629|630|634|685|742|751|867|88|899|901,24,Spike Only Elk Units - Multiseason,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1009%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1010,YES,107|117|129|138|142|163|18|188|194|276|277|301|304|609|611|613|614|635|636|639|672|69|81|868|902|925|94|947|948,29,Any Bull Elk Units,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1010%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB1011,YES,107|108|117|12|129|138|142|163|175|18|183|188|194|206|222|241|276|277|301|302|303|304|33|455|51|609|611|613|614|617|625|629|630|634|635|636|639|672|685|69|742|751|81|867|868|88|899|901|902|925|94|947|948,53,Youth General Season Bull Elk,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB1011%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EB3209,YES,683,1,"Box Elder, Pilot Mtn","Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EB3209%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
EX1000,YES,218|282|313,3,Elk Extended Archery,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27EX1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
GO1000,YES,102|145|146|147|148|157|200|225|231|233|616|617|628|630,14,Mountain Goat - Statewide Permit,"Sept 1 - Dec 31, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27GO1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
MB1000,YES,117|138|276|289|29|452|609|611|613|69|743|79,12,Moose - Statewide Permit,"Sept 1 - Nov 15, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27MB1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
PB1000,YES,129|138|15|171|186|194|208|24|244|245|246|25|27|277|289|443|453|461|625|628|636|688|715|718|719|755|8|81|97,29,Pronghorn - Statewide Permit,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27PB1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
RS0001,YES,15|20|616|620|668|75|820|821|823|854,10,Rocky Mountain Bighorn Sheep - Statewide Permit,"Sept 1 - Dec 31, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27RS0001%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
TK1001,YES,911|912|913|914|915|916,6,Northern Region - Private land only,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27TK1001%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
TK1019,YES,849|946,2,Southeastern Region - Select areas only,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27TK1019%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
TK1022,YES,942|943|944|945,4,Southern Region - Select areas only,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27TK1022%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
