hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,official_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,present_in_prediction_output,compiled_prediction_quota_values,compiled_quota_source_status,classification
DB1552,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Any Legal Weapon (Late),475,0,-475,475,-100.0,0,475,3105,66,YES,629,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1513,Resident,North Slope,North Slope,Deer,General Season,Archery,473,0,-473,473,-100.0,0,473,566,66,YES,583,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1564,Resident,Nebo,Nebo,Deer,General Season,Muzzleloader,469,0,-469,469,-100.0,0,469,477,66,YES,1032,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1542,Resident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Late),441,0,-441,441,-100.0,0,441,831,66,YES,515,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1772,Resident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Dedicated Hunter,435,0,-435,435,-100.0,0,435,855,42,YES,562,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1581,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Muzzleloader,426,0,-426,426,-100.0,0,426,454,66,YES,504,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1573,Resident,North Slope,North Slope,Deer,General Season,Muzzleloader,425,0,-425,425,-100.0,0,425,428,66,YES,596,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1577,Resident,Pine Valley,Pine Valley,Deer,General Season,Muzzleloader,423,0,-423,423,-100.0,0,423,564,66,YES,539,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1501,Resident,Box Elder,Box Elder,Deer,General Season,Archery,422,0,-422,422,-100.0,0,422,426,66,YES,964,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1521,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Archery,421,0,-421,421,-100.0,0,421,538,66,YES,504,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1538,Resident,Kamas,Kamas,Deer,General Season,Any Legal Weapon (Late),421,0,-421,421,-100.0,0,421,681,66,YES,373,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1549,Resident,Fishlake,Fishlake,Deer,General Season,Any Legal Weapon (Late),414,0,-414,414,-100.0,0,414,1929,66,YES,466,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1517,Resident,Pine Valley,Pine Valley,Deer,General Season,Archery,408,0,-408,408,-100.0,0,408,648,66,YES,539,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1589,Resident,Zion,Zion,Deer,General Season,Muzzleloader,407,0,-407,407,-100.0,0,407,437,66,YES,607,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1529,Resident,Zion,Zion,Deer,General Season,Archery,397,0,-397,397,-100.0,0,397,520,66,YES,607,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB0008,Resident,Extended Archery Deer,Extended Archery Deer,Deer,Extended Archery,Archery,390,0,-390,390,-100.0,0,390,396,66,NO,,,MISSING_2026_LANE_QUOTA
DB1514,Resident,Ogden,Ogden,Deer,General Season,Archery,384,0,-384,384,-100.0,0,384,493,66,YES,530,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1628,Resident,Cache,Cache,Deer,General Season,Restricted Muzzleloader,383,0,-383,383,-100.0,0,383,386,66,NO,,,MISSING_2026_LANE_QUOTA
DB1794,Resident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Dedicated Hunter,381,0,-381,381,-100.0,0,381,513,42,YES,269,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1518,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Archery,379,0,-379,379,-100.0,0,379,557,66,YES,647,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1594,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Early),367,0,-367,367,-100.0,0,367,1082,66,YES,449,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1533,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Any Legal Weapon (Late),361,0,-361,361,-100.0,0,361,606,66,YES,540,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1576,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Muzzleloader,356,0,-356,356,-100.0,0,356,571,66,YES,449,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1591,Resident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Early),356,0,-356,356,-100.0,0,356,1039,66,YES,414,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1605,Resident,East Canyon,East Canyon,Deer,General Season,Any Legal Weapon (Early),349,0,-349,349,-100.0,0,349,464,66,NO,,,MISSING_2026_LANE_QUOTA
DB1620,Resident,Oquirrh/Tintic,Oquirrh/Tintic,Deer,General Season,Archery,349,0,-349,349,-100.0,0,349,422,66,NO,,,MISSING_2026_LANE_QUOTA
DB1621,Resident,Oquirrh/Tintic,Oquirrh/Tintic,Deer,General Season,Muzzleloader,339,0,-339,339,-100.0,0,339,346,66,NO,,,MISSING_2026_LANE_QUOTA
DB1516,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Archery,336,0,-336,336,-100.0,0,336,778,66,YES,448,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1566,Resident,Fillmore,Fillmore,Deer,General Season,Muzzleloader,312,0,-312,312,-100.0,0,312,382,66,YES,414,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1601,Resident,Chalk Creek,Chalk Creek,Deer,General Season,Any Legal Weapon (Early),308,0,-308,308,-100.0,0,308,311,66,NO,,,MISSING_2026_LANE_QUOTA
DB1604,Resident,East Canyon,East Canyon,Deer,General Season,Archery,307,0,-307,307,-100.0,0,307,463,66,NO,,,MISSING_2026_LANE_QUOTA
DB1506,Resident,Fillmore,Fillmore,Deer,General Season,Archery,296,0,-296,296,-100.0,0,296,482,66,YES,414,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1522,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Archery,276,0,-276,276,-100.0,0,276,645,66,YES,377,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1612,Resident,"Beaver, East","Beaver, East",Deer,General Season,Muzzleloader,265,0,-265,265,-100.0,0,265,342,66,NO,,,MISSING_2026_LANE_QUOTA
DB1611,Resident,"Beaver, East","Beaver, East",Deer,General Season,Archery,259,0,-259,259,-100.0,0,259,413,66,NO,,,MISSING_2026_LANE_QUOTA
DB1574,Resident,Ogden,Ogden,Deer,General Season,Muzzleloader,254,0,-254,254,-100.0,0,254,258,66,YES,535,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1555,Nonresident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Any Legal Weapon (Late),253,0,-253,253,-100.0,0,253,320,66,YES,390,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1600,Resident,Chalk Creek,Chalk Creek,Deer,General Season,Archery,247,0,-247,247,-100.0,0,247,247,66,NO,,,MISSING_2026_LANE_QUOTA
DB1616,Resident,"Beaver, West","Beaver, West",Deer,General Season,Restricted Rifle,243,0,-243,243,-100.0,0,243,341,66,NO,,,MISSING_2026_LANE_QUOTA
DB1630,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Restricted Muzzleloader,236,0,-236,236,-100.0,0,236,242,66,NO,,,MISSING_2026_LANE_QUOTA
DB1569,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Muzzleloader,235,0,-235,235,-100.0,0,235,366,66,YES,323,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1554,Resident,Southwest Desert,Southwest Desert,Deer,General Season,Any Legal Weapon (Late),229,0,-229,229,-100.0,0,229,1143,66,YES,270,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1509,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Archery,227,0,-227,227,-100.0,0,227,390,66,YES,323,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1609,Resident,Morgan-South Rich,Morgan-South Rich,Deer,General Season,Any Legal Weapon (Early),226,0,-226,226,-100.0,0,226,228,66,NO,,,MISSING_2026_LANE_QUOTA
DB1592,Resident,Kamas,Kamas,Deer,General Season,Any Legal Weapon (Early),213,0,-213,213,-100.0,0,213,431,66,YES,179,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1619,Resident,"West Desert, Swasey","West Desert, Swasey",Deer,General Season,Any Legal Weapon (Late),207,0,-207,207,-100.0,0,207,419,66,NO,,,MISSING_2026_LANE_QUOTA
DB1593,Resident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Early),205,0,-205,205,-100.0,0,205,335,66,YES,251,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1541,Resident,Mt Dutton,Mt Dutton,Deer,General Season,Any Legal Weapon (Late),203,0,-203,203,-100.0,0,203,808,66,YES,215,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1579,Resident,Fishlake,Fishlake,Deer,General Season,Muzzleloader,197,0,-197,197,-100.0,0,197,452,66,YES,234,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1523,Resident,Yellowstone,Yellowstone,Deer,General Season,Archery,194,0,-194,194,-100.0,0,194,567,66,YES,251,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1596,Resident,Fishlake,Fishlake,Deer,General Season,Any Legal Weapon (Early),194,0,-194,194,-100.0,0,194,935,66,YES,233,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1508,Resident,Kamas,Kamas,Deer,General Season,Archery,189,0,-189,189,-100.0,0,189,300,66,YES,189,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1582,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Muzzleloader,187,0,-187,187,-100.0,0,187,396,66,YES,251,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1583,Resident,Yellowstone,Yellowstone,Deer,General Season,Muzzleloader,185,0,-185,185,-100.0,0,185,349,66,YES,251,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1787,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Dedicated Hunter,180,0,-180,180,-100.0,0,180,183,42,YES,64,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1773,Resident,Nebo,Nebo,Deer,General Season,Dedicated Hunter,179,0,-179,179,-100.0,0,179,184,42,YES,343,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1785,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Dedicated Hunter,178,0,-178,178,-100.0,0,178,333,42,YES,100,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA2033,Resident,Kamas,Kamas,Elk,General Season,Archery,47,225,178,178,378.7,0,47,47,20,NO,,,INCREASE
DB1519,Resident,Fishlake,Fishlake,Deer,General Season,Archery,177,0,-177,177,-100.0,0,177,407,66,YES,233,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1608,Resident,Morgan-South Rich,Morgan-South Rich,Deer,General Season,Archery,176,0,-176,176,-100.0,0,176,178,66,NO,,,MISSING_2026_LANE_QUOTA
DB1570,Resident,Monroe,Monroe,Deer,General Season,Muzzleloader,175,0,-175,175,-100.0,0,175,432,66,YES,197,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA2034,Resident,"Nine Mile, Anthro","Nine Mile, Anthro",Elk,General Season,Archery,8,180,172,172,2150.0,0,8,8,20,NO,,,INCREASE
DB1568,Resident,Kamas,Kamas,Deer,General Season,Muzzleloader,170,0,-170,170,-100.0,0,170,171,66,YES,194,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA1282,Resident,"Ogden, North","Ogden, North",Elk,General Season,Archery,10,180,170,170,1700.0,0,10,10,20,NO,,,INCREASE
DB1512,Resident,Nine Mile,Nine Mile,Deer,General Season,Archery,167,0,-167,167,-100.0,0,167,172,66,YES,259,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1531,Nonresident,Box Elder,Box Elder,Deer,General Season,Any Legal Weapon (Late),165,0,-165,165,-100.0,0,165,246,66,YES,209,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1602,Resident,Chalk Creek,Chalk Creek,Deer,General Season,Muzzleloader,161,0,-161,161,-100.0,0,161,164,66,NO,,,MISSING_2026_LANE_QUOTA
DB1624,Resident,Cedar/Stansbury,Cedar/Stansbury,Deer,General Season,Muzzleloader,161,0,-161,161,-100.0,0,161,248,66,NO,,,MISSING_2026_LANE_QUOTA
DB1510,Resident,Monroe,Monroe,Deer,General Season,Archery,159,0,-159,159,-100.0,0,159,417,66,YES,197,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1775,Resident,Fillmore,Fillmore,Deer,General Season,Dedicated Hunter,159,0,-159,159,-100.0,0,159,317,42,YES,38,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1795,Resident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Dedicated Hunter,159,0,-159,159,-100.0,0,159,160,42,YES,688,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1805,Resident,Oquirrh/Tintic,Oquirrh/Tintic,Deer,General Season,Dedicated Hunter,154,0,-154,154,-100.0,0,154,156,42,NO,,,MISSING_2026_LANE_QUOTA
DB1623,Resident,Cedar/Stansbury,Cedar/Stansbury,Deer,General Season,Archery,151,0,-151,151,-100.0,0,151,263,66,NO,,,MISSING_2026_LANE_QUOTA
EA1280,Resident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,14,157,143,143,1021.4,0,14,14,36,NO,,,INCREASE
DB1534,Nonresident,Nebo,Nebo,Deer,General Season,Any Legal Weapon (Late),141,0,-141,141,-100.0,0,141,143,66,YES,207,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1771,Resident,Cache,Cache,Deer,General Season,Dedicated Hunter,140,0,-140,140,-100.0,0,140,141,42,YES,584,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1606,Resident,East Canyon,East Canyon,Deer,General Season,Muzzleloader,137,0,-137,137,-100.0,0,137,138,66,NO,,,MISSING_2026_LANE_QUOTA
DB1802,Resident,"Beaver, East","Beaver, East",Deer,General Season,Dedicated Hunter,137,0,-137,137,-100.0,0,137,203,42,NO,,,MISSING_2026_LANE_QUOTA
DB1572,Resident,Nine Mile,Nine Mile,Deer,General Season,Muzzleloader,127,0,-127,127,-100.0,0,127,128,66,YES,262,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1551,Nonresident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Any Legal Weapon (Late),125,0,-125,125,-100.0,0,125,299,66,YES,169,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA2037,Resident,Yellowstone,Yellowstone,Elk,General Season,Archery,58,180,122,122,210.3,0,58,58,36,NO,,,INCREASE
DB1629,Nonresident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Restricted Rifle,120,0,-120,120,-100.0,0,120,166,66,NO,,,MISSING_2026_LANE_QUOTA
DB1503,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Archery,116,0,-116,116,-100.0,0,116,152,66,YES,181,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA1237,Resident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,43,157,114,114,265.1,0,43,43,36,YES,134,MODELED_PREFERENCE,INCREASE
DB1559,Nonresident,Zion,Zion,Deer,General Season,Any Legal Weapon (Late),109,0,-109,109,-100.0,0,109,349,66,YES,136,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1791,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Dedicated Hunter,107,0,-107,107,-100.0,0,107,174,42,YES,44,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA1268,Resident,"North Slope, Summit","North Slope, Summit",Elk,General Season,Archery,79,180,101,101,127.8,0,79,79,36,NO,,,INCREASE
DB1547,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Late),96,0,-96,96,-100.0,0,96,571,66,YES,122,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EA2038,Nonresident,Wasatch Mtns,Wasatch Mtns,Elk,General Season,Archery,24,120,96,96,400.0,0,24,24,36,NO,,,INCREASE
DB1556,Nonresident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Any Legal Weapon (Late),94,0,-94,94,-100.0,0,94,98,66,YES,150,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1778,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Dedicated Hunter,94,0,-94,94,-100.0,0,94,95,21,YES,60,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1539,Nonresident,La Sal Mtns,La Sal Mtns,Deer,General Season,Any Legal Weapon (Late),93,0,-93,93,-100.0,0,93,302,66,YES,109,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1613,Nonresident,"Beaver, East","Beaver, East",Deer,General Season,Any Legal Weapon (Late),92,0,-92,92,-100.0,0,92,309,66,NO,,,MISSING_2026_LANE_QUOTA
TK1007,Resident,Southern Area,Southern Area,Turkey,Limited Entry,Any Legal Weapon,91,0,-91,91,-100.0,47,44,376,20,YES,496,MODELED_BONUS,MISSING_2026_LANE_QUOTA
DB1563,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Muzzleloader,90,0,-90,90,-100.0,0,90,95,66,YES,136,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1792,Resident,Yellowstone,Yellowstone,Deer,General Season,Dedicated Hunter,88,0,-88,88,-100.0,0,88,128,42,YES,62,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1610,Resident,Morgan-South Rich,Morgan-South Rich,Deer,General Season,Muzzleloader,87,0,-87,87,-100.0,0,87,90,66,NO,,,MISSING_2026_LANE_QUOTA
TK1005,Resident,Northern Area,Northern Area,Turkey,Limited Entry,Any Legal Weapon,82,0,-82,82,-100.0,41,41,193,20,YES,494,MODELED_BONUS,MISSING_2026_LANE_QUOTA
DB1614,Resident,"Beaver, West","Beaver, West",Deer,General Season,Archery,79,0,-79,79,-100.0,0,79,91,45,NO,,,MISSING_2026_LANE_QUOTA
DB1546,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Late),78,0,-78,78,-100.0,0,78,374,66,YES,102,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1788,Resident,Fishlake,Fishlake,Deer,General Season,Dedicated Hunter,76,0,-76,76,-100.0,0,76,137,42,YES,45,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
