hunt_code,hunt_name,field,prior_generation_value,active_value,status,active_source
BR7100,Beaver,permits_2025_total,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7101,Book Cliffs Bitter Creek/South,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7101,Book Cliffs Bitter Creek/South,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7101,Book Cliffs Bitter Creek/South,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7102,Book Cliffs Little Creek Roadless,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7102,Book Cliffs Little Creek Roadless,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7102,Book Cliffs Little Creek Roadless,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7104,Manti North,permits_2025_res,,17,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7104,Manti North,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7104,Manti North,permits_2025_total,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7105,Manti South/San Rafael North,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7105,Manti South/San Rafael North,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7105,Manti South/San Rafael North,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7106,Nebo,permits_2025_res,,8,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7106,Nebo,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7106,Nebo,permits_2025_total,,8,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7109,Mt Dutton,permits_2025_res,,3,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7109,Mt Dutton,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7109,Mt Dutton,permits_2025_total,,3,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7110,Nine Mile,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7110,Nine Mile,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7110,Nine Mile,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7111,North Slope Three Corners/West Daggett,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7111,North Slope Three Corners/West Daggett,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7111,North Slope Three Corners/West Daggett,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7112,Panguitch Lake/Zion,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7112,Panguitch Lake/Zion,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7112,Panguitch Lake/Zion,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7113,Paunsaugunt,permits_2025_res,,3,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7113,Paunsaugunt,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7113,Paunsaugunt,permits_2025_total,,3,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7114,Boulder/Kaiparowits,permits_2025_res,,13,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7114,Boulder/Kaiparowits,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7114,Boulder/Kaiparowits,permits_2025_total,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7115,Fishlake/Thousand Lakes,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7115,Fishlake/Thousand Lakes,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7115,Fishlake/Thousand Lakes,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7116,San Juan,permits_2025_res,,22,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7116,San Juan,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7116,San Juan,permits_2025_total,,24,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7117,Diamond Mtn/Vernal/Bonanza,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7117,Diamond Mtn/Vernal/Bonanza,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7117,Diamond Mtn/Vernal/Bonanza,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7118,Yellowstone,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7118,Yellowstone,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7118,Yellowstone,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7119,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7119,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7119,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7120,Wasatch Mtns West-Central,permits_2025_res,,22,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7120,Wasatch Mtns West-Central,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7120,Wasatch Mtns West-Central,permits_2025_total,,23,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7121,Cache/Ogden,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7121,Cache/Ogden,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7121,Cache/Ogden,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7123,Kamas/North Slope Summit,permits_2025_res,,6,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7123,Kamas/North Slope Summit,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7123,Kamas/North Slope Summit,permits_2025_total,,6,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7124,Fillmore Pahvant,permits_2025_res,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7124,Fillmore Pahvant,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7124,Fillmore Pahvant,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7125,Monroe,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7125,Monroe,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7125,Monroe,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7200,Beaver,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7200,Beaver,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7200,Beaver,permits_2025_total,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7201,Book Cliffs Bitter Creek/South,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7201,Book Cliffs Bitter Creek/South,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7201,Book Cliffs Bitter Creek/South,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7203,Manti North,permits_2025_res,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7203,Manti North,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7203,Manti North,permits_2025_total,,11,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7204,Manti South/San Rafael North,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7204,Manti South/San Rafael North,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7204,Manti South/San Rafael North,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7205,Nebo,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7205,Nebo,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7205,Nebo,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7207,Fillmore Pahvant,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7207,Fillmore Pahvant,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7207,Fillmore Pahvant,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7210,Mt Dutton,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7210,Mt Dutton,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7210,Mt Dutton,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7211,Nine Mile,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7211,Nine Mile,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7211,Nine Mile,permits_2025_total,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7212,North Slope Three Corners/West Daggett,permits_2025_res,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7212,North Slope Three Corners/West Daggett,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7212,North Slope Three Corners/West Daggett,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7213,Panguitch Lake/Zion,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7213,Panguitch Lake/Zion,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7213,Panguitch Lake/Zion,permits_2025_total,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7214,Paunsaugunt,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7214,Paunsaugunt,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7214,Paunsaugunt,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7215,Boulder/Kaiparowits,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7215,Boulder/Kaiparowits,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7215,Boulder/Kaiparowits,permits_2025_total,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7216,Fishlake/Thousand Lakes,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7216,Fishlake/Thousand Lakes,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7216,Fishlake/Thousand Lakes,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7217,San Juan,permits_2025_res,,6,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7217,San Juan,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7217,San Juan,permits_2025_total,,6,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7218,Diamond Mtn/Vernal/Bonanza,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7218,Diamond Mtn/Vernal/Bonanza,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7218,Diamond Mtn/Vernal/Bonanza,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7219,Yellowstone,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7219,Yellowstone,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7219,Yellowstone,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7220,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7220,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7220,Wasatch Mtns Avintaquin/Currant Creek,permits_2025_total,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7221,Wasatch Mtns West-Central,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7221,Wasatch Mtns West-Central,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7221,Wasatch Mtns West-Central,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7224,Book Cliffs Little Creek Roadless,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7224,Book Cliffs Little Creek Roadless,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7224,Book Cliffs Little Creek Roadless,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7225,Book Cliffs Little Creek Roadless,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7225,Book Cliffs Little Creek Roadless,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7225,Book Cliffs Little Creek Roadless,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7228,Cache/Ogden,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7228,Cache/Ogden,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7228,Cache/Ogden,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7229,Kamas/North Slope Summit,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7229,Kamas/North Slope Summit,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7229,Kamas/North Slope Summit,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7237,Monroe,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7237,Monroe,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7237,Monroe,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7300,Book Cliffs Bitter Creek/South,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7300,Book Cliffs Bitter Creek/South,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7300,Book Cliffs Bitter Creek/South,permits_2025_total,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7301,Book Cliffs Little Creek Roadless,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7301,Book Cliffs Little Creek Roadless,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7301,Book Cliffs Little Creek Roadless,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7303,Manti North,permits_2025_res,,13,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7303,Manti North,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7303,Manti North,permits_2025_total,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7304,Manti South/San Rafael North,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7304,Manti South/San Rafael North,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7304,Manti South/San Rafael North,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7305,Nebo,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
