hunt_code,historical_hunt_code,current_hunt_code,hunt_name,species,reported_hunt_year,model_target_year,unit,unit_name,boundary_id,boundary_name,average_harvest_age,age_data_available,percent_5plus,percent_mature_or_5_plus,percent_adult_male,percent_adult_female,age_metric_type,age_source_scope,source_file,source_page,source_table_title,source_row_key,source_package_file,source_package_path,crosswalk_method,crosswalk_confidence,crosswalk_score,review_status,review_reason,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,quality_score_eligible,trophy_age_score_eligible,notes,database_code_present,database_hunt_name,database_species,database_match_notes
BR1016,,,San Juan,Black Bear,2026,2026,,,710,,,true,,,52.941,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::685,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,San Juan,Black Bear,DIRECT_DATABASE_MATCH
BR1017,,,La Sal,Black Bear,2026,2026,,,684,,,true,,,31.818,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::689,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,La Sal,Black Bear,DIRECT_DATABASE_MATCH
BR1018,,,Black Bear Pursuit - Nonresident,Black Bear,2026,2026,,,5013,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::695,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,,true,Black Bear Pursuit - Nonresident,Black Bear,DIRECT_DATABASE_MATCH
BR7000,,,Beaver,Black Bear,2026,2026,,,628,,,true,,,14.286,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::696,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,Beaver,Black Bear,DIRECT_DATABASE_MATCH
BR7001,,,Book Cliffs Bitter Creek/South,Black Bear,2026,2026,,,449,,,true,,,75,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::717,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Book Cliffs Bitter Creek/South,Black Bear,DIRECT_DATABASE_MATCH
BR7003,,,Manti North,Black Bear,2026,2026,,,52,,,true,,,100,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::734,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Manti North,Black Bear,DIRECT_DATABASE_MATCH
BR7004,,,Manti South/San Rafael North,Black Bear,2026,2026,,,744,,,true,,,40,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::750,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Manti South/San Rafael North,Black Bear,DIRECT_DATABASE_MATCH
BR7005,,,Nebo,Black Bear,2026,2026,,,616,,,true,,,0,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::763,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Nebo,Black Bear,DIRECT_DATABASE_MATCH
BR7008,,,La Sal,Black Bear,2021,2022,,,684,,6.5,true,,,,,average_harvest_age,hunt_code_direct,21_black_bear_report.pdf,10,,harvest_results_all_years_long.csv::538,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES|AGE_OVERLAY_2021:direct_or_single_value|AGE_CONFIDENCE_2021:unit_level_high|AGE_SOURCE_PACKAGE_2021:black_bear_2021_for_2022_age_crosswalk_package,true,La Sal,Black Bear,DIRECT_DATABASE_MATCH
BR7009,,,Mt Dutton,Black Bear,2022,2023,,,630,,4.5,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,10,,harvest_quality_features_all_years_by_hunt_code.csv::1193,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_direct_hunt_code;mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level;black_bear_2022_for_2023_age_fixed_package_hunt_code_rows,true,Mt Dutton,Black Bear,DIRECT_DATABASE_MATCH
BR7010,,,Panguitch Lake/Zion,Black Bear,2026,2026,,,462,,,true,,,50,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::790,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Panguitch Lake/Zion,Black Bear,DIRECT_DATABASE_MATCH
BR7011,,,Paunsaugunt,Black Bear,2022,2023,,,163,,3,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,10,,harvest_quality_features_all_years_by_hunt_code.csv::1195,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_direct_hunt_code;mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level;black_bear_2022_for_2023_age_fixed_package_hunt_code_rows,true,Paunsaugunt,Black Bear,DIRECT_DATABASE_MATCH
BR7012,,,Boulder/Kaiparowits,Black Bear,2026,2026,,,455,,,true,,,66.667,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::809,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Boulder/Kaiparowits,Black Bear,DIRECT_DATABASE_MATCH
BR7013,,,Fishlake/Thousand Lakes,Black Bear,2026,2026,,,175,,,true,,,0,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::819,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Fishlake/Thousand Lakes,Black Bear,DIRECT_DATABASE_MATCH
BR7014,,,San Juan,Black Bear,2026,2026,,,710,,,true,,,64.286,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::830,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,San Juan,Black Bear,DIRECT_DATABASE_MATCH
BR7015,,,Diamond Mtn/Vernal/Bonanza,Black Bear,2026,2026,,,444,,,true,,,0,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::852,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Diamond Mtn/Vernal/Bonanza,Black Bear,DIRECT_DATABASE_MATCH
BR7016,,,Wasatch Mtns West-Central,Black Bear,2026,2026,,,845,,,true,,,100,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::860,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Wasatch Mtns West-Central,Black Bear,DIRECT_DATABASE_MATCH
BR7017,,,Cache/Ogden,Black Bear,2026,2026,,,92,,,true,,,0,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::872,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Cache/Ogden,Black Bear,DIRECT_DATABASE_MATCH
BR7018,,,"Kamas/North Slope, Summit",Black Bear,2022,2023,,,251,,4.2,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,10,,harvest_quality_features_all_years_by_hunt_code.csv::1202,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_direct_hunt_code;mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level;black_bear_2022_for_2023_age_fixed_package_hunt_code_rows,true,Kamas/North Slope Summit,Black Bear,DIRECT_DATABASE_MATCH
BR7019,,,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2022,2023,,,610,,3.5,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,10,,harvest_quality_features_all_years_by_hunt_code.csv::1203,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_direct_hunt_code;mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level;black_bear_2022_for_2023_age_fixed_package_hunt_code_rows,true,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,DIRECT_DATABASE_MATCH
BR7020,,,Monroe,Black Bear,2022,2023,,,629,,9,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,10,,harvest_quality_features_all_years_by_hunt_code.csv::1204,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_direct_hunt_code;mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level;black_bear_2022_for_2023_age_fixed_package_hunt_code_rows,true,Monroe,Black Bear,DIRECT_DATABASE_MATCH
BR7021,,,Dolores Triangle,Black Bear,2026,2026,,,108,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::900,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_PROVEN_BEAR_DRAW_HISTORY|MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Dolores Triangle,Black Bear,DIRECT_DATABASE_MATCH
BR7022,,,La Sal Mtns,Black Bear,2026,2026,,,617,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::902,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_PROVEN_BEAR_DRAW_HISTORY|FIRST_CHOICE_ONLY_MODEL,true,La Sal Mtns,Black Bear,DIRECT_DATABASE_MATCH
BR7100,,,Beaver,Black Bear,2026,2026,,,628,,,true,,,50,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::904,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,Beaver,Black Bear,DIRECT_DATABASE_MATCH
BR7101,,,Book Cliffs Bitter Creek/South,Black Bear,2026,2026,,,449,,,true,,,50,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::934,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,Book Cliffs Bitter Creek/South,Black Bear,DIRECT_DATABASE_MATCH
BR7102,,,Book Cliffs Little Creek Roadless,Black Bear,2026,2026,,,12,,,true,,,100,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::952,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Book Cliffs Little Creek Roadless,Black Bear,DIRECT_DATABASE_MATCH
BR7104,,,Manti North,Black Bear,2026,2026,,,52,,,true,,,25,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::962,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,Manti North,Black Bear,DIRECT_DATABASE_MATCH
BR7105,,,Manti South/San Rafael North,Black Bear,2026,2026,,,744,,,true,,,61.538,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::983,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Manti South/San Rafael North,Black Bear,DIRECT_DATABASE_MATCH
BR7106,,,Nebo,Black Bear,2026,2026,,,616,,,true,,,57.143,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1007,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Nebo,Black Bear,DIRECT_DATABASE_MATCH
BR7108,,,La Sal,Black Bear,2022,2023,,,684,,6.5,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,11,,harvest_quality_features_all_years_by_hunt_code.csv::1211,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level,true,La Sal,Black Bear,DIRECT_DATABASE_MATCH
BR7109,,,Mt Dutton,Black Bear,2026,2026,,,630,,,true,,,50,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1026,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Mt Dutton,Black Bear,DIRECT_DATABASE_MATCH
BR7110,,,Nine Mile,Black Bear,2026,2026,,,615,,,true,,,12.5,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1037,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,LOW_APPLICANT_COUNT|FIRST_CHOICE_ONLY_MODEL,true,Nine Mile,Black Bear,DIRECT_DATABASE_MATCH
BR7111,,,North Slope Three Corners/West Daggett,Black Bear,2026,2026,,,289,,,true,,,100,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1047,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,North Slope Three Corners/West Daggett,Black Bear,DIRECT_DATABASE_MATCH
BR7112,,,Panguitch Lake/Zion,Black Bear,2026,2026,,,462,,,true,,,100,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1061,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,MISSING_FORECAST_QUOTA|FIRST_CHOICE_ONLY_MODEL,true,Panguitch Lake/Zion,Black Bear,DIRECT_DATABASE_MATCH
BR7113,,,Paunsaugunt,Black Bear,2022,2023,,,163,,3,true,,,,,average_harvest_age,hunt_code_direct,22_black_bear_report.pdf,11,,harvest_quality_features_all_years_by_hunt_code.csv::1216,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,PASS,,true,true,true,true,AGE_OVERLAY_2022:mapped_unit_level_repeated_to_hunt_codes|AGE_CONFIDENCE_2022:unit_level_medium|AGE_SOURCE_PACKAGE_2022:black_bear_2022_for_2023_age_fixed_package_current_rows_unit_level,true,Paunsaugunt,Black Bear,DIRECT_DATABASE_MATCH
BR7114,,,Boulder/Kaiparowits,Black Bear,2026,2026,,,455,,,true,,,62.5,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::1082,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,Boulder/Kaiparowits,Black Bear,DIRECT_DATABASE_MATCH
