audit_type,blank_hunt_code_count,blank_reported_hunt_year_count,blank_species_count,column_count,duplicate_row_count,exists,field,file,missing_count,missingness_reason_counts,model_target_year_coverage,present_count,reported_hunt_year_coverage,row_count,severity,source_family_coverage,species_coverage,unique_hunt_code_count
required_field,,,,,,,species,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,hunt_name,,72,"{""INDIVIDUAL_MEASUREMENT_ROW"": 5, ""PARSE_GAP_NEEDS_REVIEW"": 32, ""SPECIAL_PERMIT_OVERLAY_ROW"": 35}",,68585,,68657,WARNING,,,
required_field,,,,,,,source_family,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,source_file,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,source_status,,58507,"{""INDIVIDUAL_MEASUREMENT_ROW"": 3103, ""SOURCE_DOES_NOT_REPORT_FIELD"": 28170, ""SPECIAL_PERMIT_OVERLAY_ROW"": 27193, ""STATEWIDE_HISTORY_ROW"": 41}",,10150,,68657,WARNING,,,
required_field,,,,,,,permits,,6171,"{""INDIVIDUAL_MEASUREMENT_ROW"": 2, ""PARSE_GAP_NEEDS_REVIEW"": 3252, ""SPECIAL_PERMIT_OVERLAY_ROW"": 2900, ""STATEWIDE_HISTORY_ROW"": 17}",,62486,,68657,WARNING,,,
required_field,,,,,,,hunters_afield,,10084,"{""INDIVIDUAL_MEASUREMENT_ROW"": 89, ""PARSE_GAP_NEEDS_REVIEW"": 5336, ""SPECIAL_PERMIT_OVERLAY_ROW"": 4639, ""STATEWIDE_HISTORY_ROW"": 20}",,58573,,68657,WARNING,,,
required_field,,,,,,,harvest,,7468,"{""INDIVIDUAL_MEASUREMENT_ROW"": 213, ""PARSE_GAP_NEEDS_REVIEW"": 3497, ""SPECIAL_PERMIT_OVERLAY_ROW"": 3747, ""STATEWIDE_HISTORY_ROW"": 11}",,61189,,68657,WARNING,,,
required_field,,,,,,,average_days,,11044,"{""INDIVIDUAL_MEASUREMENT_ROW"": 467, ""SOURCE_DOES_NOT_REPORT_FIELD"": 5429, ""SPECIAL_PERMIT_OVERLAY_ROW"": 5128, ""STATEWIDE_HISTORY_ROW"": 20}",,57613,,68657,WARNING,,,
required_field,,,,,,,percent_success,,10650,"{""INDIVIDUAL_MEASUREMENT_ROW"": 380, ""PARSE_GAP_NEEDS_REVIEW"": 5100, ""SPECIAL_PERMIT_OVERLAY_ROW"": 5142, ""STATEWIDE_HISTORY_ROW"": 28}",,58007,,68657,WARNING,,,
required_field,,,,,,,hunter_satisfaction,,49737,"{""INDIVIDUAL_MEASUREMENT_ROW"": 3061, ""SOURCE_DOES_NOT_REPORT_FIELD"": 22676, ""SPECIAL_PERMIT_OVERLAY_ROW"": 23980, ""STATEWIDE_HISTORY_ROW"": 20}",,18920,,68657,WARNING,,,
required_field,,,,,,,do_not_use_for_permit_quota,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,do_not_use_directly_for_p_draw,,0,{},,68657,,68657,PASS,,,
