unit,hunt_name,hunt_code,hunt_number,boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,member_boundary_ids,merged_boundary_id
,Grass Valley/Clark Canyon CWMU,DB1242,DB1242,525,single_kmz,mapped,processed_data/boundaries/DB1242.geojson,,
,Grazing Pasture CWMU,DB1243,DB1243,530,single_kmz,mapped,processed_data/boundaries/DB1243.geojson,,
,Green Canyon CWMU,DB1244,DB1244,489,single_kmz,mapped,processed_data/boundaries/DB1244.geojson,,
,Guildersleeve CWMU,DB1245,DB1245,573,single_kmz,mapped,processed_data/boundaries/DB1245.geojson,,
,Hardscrabble CWMU,DB1246,DB1246,577,single_kmz,mapped,processed_data/boundaries/DB1246.geojson,,
,Heaston East CWMU,DB1248,DB1248,555,single_kmz,mapped,processed_data/boundaries/DB1248.geojson,,
,Hiawatha CWMU,DB1249,DB1249,550,single_kmz,mapped,processed_data/boundaries/DB1249.geojson,,
,Indian Creek CWMU,DB1250,DB1250,495,single_kmz,mapped,processed_data/boundaries/DB1250.geojson,,
,Indian Head CWMU,DB1251,DB1251,735,single_kmz,mapped,processed_data/boundaries/DB1251.geojson,,
,Ingham Peak CWMU,DB1252,DB1252,493,single_kmz,mapped,processed_data/boundaries/DB1252.geojson,,
,Circle E Ranch CWMU,DB1253,DB1253,549,single_kmz,mapped,processed_data/boundaries/DB1253.geojson,,
,Johnson Mountain Ranch CWMU,DB1255,DB1255,531,single_kmz,mapped,processed_data/boundaries/DB1255.geojson,,
,Junction Valley CWMU,DB1256,DB1256,589,single_kmz,mapped,processed_data/boundaries/DB1256.geojson,,
,Little Red Creek CWMU,DB1258,DB1258,484,single_kmz,mapped,processed_data/boundaries/DB1258.geojson,,
,Tunnel Hollow CWMU,DB1259,DB1259,569,single_kmz,mapped,processed_data/boundaries/DB1259.geojson,,
,Middle Ridge CWMU,DB1260,DB1260,565,single_kmz,mapped,processed_data/boundaries/DB1260.geojson,,
,Minnie Maud Ridge CWMU,DB1261,DB1261,551,single_kmz,mapped,processed_data/boundaries/DB1261.geojson,,
,Moon Ranch CWMU,DB1263,DB1263,485,single_kmz,mapped,processed_data/boundaries/DB1263.geojson,,
,Mountain Meadow CWMU,DB1264,DB1264,518,single_kmz,mapped,processed_data/boundaries/DB1264.geojson,,
,Mountain Top CWMU,DB1265,DB1265,572,single_kmz,mapped,processed_data/boundaries/DB1265.geojson,,
,Mt Carmel CWMU,DB1266,DB1266,533,single_kmz,mapped,processed_data/boundaries/DB1266.geojson,,
,North Promontory CWMU,DB1269,DB1269,513,single_kmz,mapped,processed_data/boundaries/DB1269.geojson,,
,Nucor West CWMU,DB1270,DB1270,503,single_kmz,mapped,processed_data/boundaries/DB1270.geojson,,
,Oak Ranch CWMU,DB1271,DB1271,534,single_kmz,mapped,processed_data/boundaries/DB1271.geojson,,
,Old Woman Plateau CWMU,DB1272,DB1272,535,single_kmz,mapped,processed_data/boundaries/DB1272.geojson,,
,Park Valley Hereford CWMU,DB1273,DB1273,504,single_kmz,mapped,processed_data/boundaries/DB1273.geojson,,
,Patmos Ridge CWMU,DB1274,DB1274,736,single_kmz,mapped,processed_data/boundaries/DB1274.geojson,,
,Pine Canyon CWMU,DB1275,DB1275,592,single_kmz,mapped,processed_data/boundaries/DB1275.geojson,,
,Pocatello Valley CWMU,DB1277,DB1277,501,single_kmz,mapped,processed_data/boundaries/DB1277.geojson,,
,Preston Nutter Ranch CWMU,DB1279,DB1279,542,single_kmz,mapped,processed_data/boundaries/DB1279.geojson,,
,Promontory Point CWMU,DB1280,DB1280,502,single_kmz,mapped,processed_data/boundaries/DB1280.geojson,,
,Rattlesnake Pass CWMU,DB1281,DB1281,496,single_kmz,mapped,processed_data/boundaries/DB1281.geojson,,
,Redd Ranches CWMU,DB1282,DB1282,548,single_kmz,mapped,processed_data/boundaries/DB1282.geojson,,
,Roan Cliffs CWMU,DB1283,DB1283,543,single_kmz,mapped,processed_data/boundaries/DB1283.geojson,,
,Sand Creek CWMU,DB1285,DB1285,740,single_kmz,mapped,processed_data/boundaries/DB1285.geojson,,
,Pisgah Mountain CWMU,DB1286,DB1286,574,single_kmz,mapped,processed_data/boundaries/DB1286.geojson,,
,Scofield Canyons CWMU,DB1287,DB1287,539,single_kmz,mapped,processed_data/boundaries/DB1287.geojson,,
,Scofield West CWMU,DB1288,DB1288,541,single_kmz,mapped,processed_data/boundaries/DB1288.geojson,,
,Sharp Mountain CWMU,DB1289,DB1289,490,single_kmz,mapped,processed_data/boundaries/DB1289.geojson,,
,Skull Crack CWMU,DB1290,DB1290,578,single_kmz,mapped,processed_data/boundaries/DB1290.geojson,,
,Skull Valley South CWMU,DB1291,DB1291,585,single_kmz,mapped,processed_data/boundaries/DB1291.geojson,,
,Soldier Summit CWMU,DB1292,DB1292,552,single_kmz,mapped,processed_data/boundaries/DB1292.geojson,,
,South Canyon CWMU,DB1293,DB1293,491,single_kmz,mapped,processed_data/boundaries/DB1293.geojson,,
,Spring Creek Acres CWMU,DB1294,DB1294,741,single_kmz,mapped,processed_data/boundaries/DB1294.geojson,,
,Spring Creek/Dodge CWMU,DB1295,DB1295,546,single_kmz,mapped,processed_data/boundaries/DB1295.geojson,,
,Strawberry Ridge CWMU,DB1298,DB1298,562,single_kmz,mapped,processed_data/boundaries/DB1298.geojson,,
,Summit Point CWMU,DB1299,DB1299,547,single_kmz,mapped,processed_data/boundaries/DB1299.geojson,,
,Thatcher Mountain CWMU,DB1300,DB1300,602,single_kmz,mapped,processed_data/boundaries/DB1300.geojson,,
,Three C CWMU,DB1301,DB1301,553,single_kmz,mapped,processed_data/boundaries/DB1301.geojson,,
,North Peaks CWMU,DB1303,DB1303,492,single_kmz,mapped,processed_data/boundaries/DB1303.geojson,,
,Two Bear CWMU,DB1304,DB1304,521,single_kmz,mapped,processed_data/boundaries/DB1304.geojson,,
,Wallsburg CWMU,DB1305,DB1305,586,single_kmz,mapped,processed_data/boundaries/DB1305.geojson,,
,Washakie CWMU,DB1306,DB1306,499,single_kmz,mapped,processed_data/boundaries/DB1306.geojson,,
,West Hills CWMU,DB1308,DB1308,511,single_kmz,mapped,processed_data/boundaries/DB1308.geojson,,
,West Willow Creek Ranch CWMU,DB1309,DB1309,805,single_kmz,mapped,processed_data/boundaries/DB1309.geojson,,
,White's Valley CWMU,DB1310,DB1310,488,single_kmz,mapped,processed_data/boundaries/DB1310.geojson,,
,Woodruff Creek South CWMU,DB1312,DB1312,571,single_kmz,mapped,processed_data/boundaries/DB1312.geojson,,
,Jacob's Creek CWMU,DB1317,DB1317,580,single_kmz,mapped,processed_data/boundaries/DB1317.geojson,,
,Pahvant Ensign CWMU,DB1322,DB1322,826,single_kmz,mapped,processed_data/boundaries/DB1322.geojson,,
,Rock House CWMU,DB1323,DB1323,827,single_kmz,mapped,processed_data/boundaries/DB1323.geojson,,
,Double Cone CWMU,DB1325,DB1325,516,single_kmz,mapped,processed_data/boundaries/DB1325.geojson,,
,Rosette CWMU,DB1326,DB1326,856,single_kmz,mapped,processed_data/boundaries/DB1326.geojson,,
,Mountain Sky Ranch CWMU,DB1327,DB1327,858,single_kmz,mapped,processed_data/boundaries/DB1327.geojson,,
,Clear Creek CWMU,DB1328,DB1328,494,single_kmz,mapped,processed_data/boundaries/DB1328.geojson,,
,Iron Spring CWMU,DB1330,DB1330,876,single_kmz,mapped,processed_data/boundaries/DB1330.geojson,,
,Raft River CWMU,DB1331,DB1331,875,single_kmz,mapped,processed_data/boundaries/DB1331.geojson,,
,West Ridge CWMU,DB1332,DB1332,874,single_kmz,mapped,processed_data/boundaries/DB1332.geojson,,
,5S CWMU,DB1333,DB1333,878,single_kmz,mapped,processed_data/boundaries/DB1333.geojson,,
,Alton - Cactus Buck CWMU,DB1334,DB1334,526,single_kmz,mapped,processed_data/boundaries/DB1334.geojson,,
,Big Piney Ranch CWMU,DB1335,DB1335,892,single_kmz,mapped,processed_data/boundaries/DB1335.geojson,,
,First Light CWMU,DB1336,DB1336,890,single_kmz,mapped,processed_data/boundaries/DB1336.geojson,,
,Little Pole Canyon CWMU,DB1337,DB1337,556,single_kmz,mapped,processed_data/boundaries/DB1337.geojson,,
,Dry Creek CWMU,DB1341,DB1341,908,single_kmz,mapped,processed_data/boundaries/DB1341.geojson,,
,Faust Valley CWMU,DB1342,DB1342,905,single_kmz,mapped,processed_data/boundaries/DB1342.geojson,,
,The Rose of Snowville CWMU,DB1347,DB1347,509,single_kmz,mapped,processed_data/boundaries/DB1347.geojson,,
,Weber Florence Creek/Stillman Creek CWMU,DB1349,DB1349,524,single_kmz,mapped,processed_data/boundaries/DB1349.geojson,,
,The Dirty Dozen,DB1351,DB1351,923,single_kmz,mapped,processed_data/boundaries/DB1351.geojson,,
,Paunsaugunt,DB1058,DB1058,163,single_kmz,mapped,processed_data/boundaries/DB1058.geojson,,
,Book Cliffs (North & South),DB1056,DB1056,7,single_kmz,mapped,processed_data/boundaries/DB1056.geojson,,
,Book Cliffs (North & South),DB1075,DB1075,7,single_kmz,mapped,processed_data/boundaries/DB1075.geojson,,
,Dolores Triangle,DB1118,DB1118,108,single_kmz,mapped,processed_data/boundaries/DB1118.geojson,,
,Book Cliffs (North & South),DB1076,DB1076,7,single_kmz,mapped,processed_data/boundaries/DB1076.geojson,,
,Extended Archery Deer,DB0008,DB0008,5109,merged_kmz,mapped,processed_data/boundaries/DB0008.geojson,6;28;101;106;109;218;280;311;312;731,DB0008_EXT_ARCH_2026
,"Pine Valley, Enterprise",DA1009,DA1009,169,single_kmz,mapped,processed_data/boundaries/DA1009.geojson,,
,"East Canyon, Davis-North Salt Lake",DA1027,DA1027,77,single_kmz,mapped,processed_data/boundaries/DA1027.geojson,,
,"Nine Mile, Green River Valley",DA1041,DA1041,6,single_kmz,mapped,processed_data/boundaries/DA1041.geojson,,
,Vernal-Ouray Valley,DA1047,DA1047,895,single_kmz,mapped,processed_data/boundaries/DA1047.geojson,,
,Box Elder,DB1531,DB1531,607,single_kmz,mapped,processed_data/boundaries/DB1531.geojson,,
,Manti/San Rafael,DB1533,DB1533,619,single_kmz,mapped,processed_data/boundaries/DB1533.geojson,,
,Nebo,DB1534,DB1534,616,single_kmz,mapped,processed_data/boundaries/DB1534.geojson,,
,Fillmore,DB1536,DB1536,804,single_kmz,mapped,processed_data/boundaries/DB1536.geojson,,
,Kamas,DB1538,DB1538,611,single_kmz,mapped,processed_data/boundaries/DB1538.geojson,,
,La Sal Mtns,DB1539,DB1539,617,single_kmz,mapped,processed_data/boundaries/DB1539.geojson,,
,Monroe,DB1540,DB1540,629,single_kmz,mapped,processed_data/boundaries/DB1540.geojson,,
,Mt Dutton,DB1541,DB1541,630,single_kmz,mapped,processed_data/boundaries/DB1541.geojson,,
,Nine Mile,DB1542,DB1542,615,single_kmz,mapped,processed_data/boundaries/DB1542.geojson,,
,North Slope,DB1543,DB1543,612,single_kmz,mapped,processed_data/boundaries/DB1543.geojson,,
,Ogden,DB1544,DB1544,609,single_kmz,mapped,processed_data/boundaries/DB1544.geojson,,
,Panguitch Lake,DB1546,DB1546,634,single_kmz,mapped,processed_data/boundaries/DB1546.geojson,,
,Pine Valley,DB1547,DB1547,636,single_kmz,mapped,processed_data/boundaries/DB1547.geojson,,
,Fishlake,DB1549,DB1549,633,single_kmz,mapped,processed_data/boundaries/DB1549.geojson,,
,"San Juan, Abajo Mtns",DB1551,DB1551,618,single_kmz,mapped,processed_data/boundaries/DB1551.geojson,,
,Vernal/Bonanza,DB1552,DB1552,614,single_kmz,mapped,processed_data/boundaries/DB1552.geojson,,
,Yellowstone,DB1553,DB1553,613,single_kmz,mapped,processed_data/boundaries/DB1553.geojson,,
,Southwest Desert,DB1554,DB1554,625,single_kmz,mapped,processed_data/boundaries/DB1554.geojson,,
,"Wasatch Mtns, East",DB1555,DB1555,621,single_kmz,mapped,processed_data/boundaries/DB1555.geojson,,
,"Wasatch Mtns, West",DB1556,DB1556,620,single_kmz,mapped,processed_data/boundaries/DB1556.geojson,,
,Zion,DB1559,DB1559,635,single_kmz,mapped,processed_data/boundaries/DB1559.geojson,,
,Fillmore,DB1591,DB1591,804,single_kmz,mapped,processed_data/boundaries/DB1591.geojson,,
,Kamas,DB1592,DB1592,611,single_kmz,mapped,processed_data/boundaries/DB1592.geojson,,
,Nine Mile,DB1593,DB1593,615,single_kmz,mapped,processed_data/boundaries/DB1593.geojson,,
,Panguitch Lake,DB1594,DB1594,634,single_kmz,mapped,processed_data/boundaries/DB1594.geojson,,
,Pine Valley,DB1595,DB1595,636,single_kmz,mapped,processed_data/boundaries/DB1595.geojson,,
,Fishlake,DB1596,DB1596,633,single_kmz,mapped,processed_data/boundaries/DB1596.geojson,,
,Zion,DB1597,DB1597,635,single_kmz,mapped,processed_data/boundaries/DB1597.geojson,,
,North Slope,DB1598,DB1598,612,single_kmz,mapped,processed_data/boundaries/DB1598.geojson,,
,Chalk Creek,DB1599,DB1599,69,single_kmz,mapped,processed_data/boundaries/DB1599.geojson,,
,Chalk Creek,DB1601,DB1601,69,single_kmz,mapped,processed_data/boundaries/DB1601.geojson,,
,East Canyon,DB1603,DB1603,276,single_kmz,mapped,processed_data/boundaries/DB1603.geojson,,
,East Canyon,DB1605,DB1605,276,single_kmz,mapped,processed_data/boundaries/DB1605.geojson,,
,Morgan-South Rich,DB1607,DB1607,117,single_kmz,mapped,processed_data/boundaries/DB1607.geojson,,
,Morgan-South Rich,DB1609,DB1609,117,single_kmz,mapped,processed_data/boundaries/DB1609.geojson,,
,"Beaver, East",DB1613,DB1613,685,single_kmz,mapped,processed_data/boundaries/DB1613.geojson,,
,"West Desert, Swasey",DB1619,DB1619,926,single_kmz,mapped,processed_data/boundaries/DB1619.geojson,,
,Oquirrh/Tintic,DB1622,DB1622,927,single_kmz,mapped,processed_data/boundaries/DB1622.geojson,,
,Cedar/Stansbury,DB1625,DB1625,925,single_kmz,mapped,processed_data/boundaries/DB1625.geojson,,
,Box Elder,DB1631,DB1631,607,single_kmz,mapped,processed_data/boundaries/DB1631.geojson,,
,"Box Elder, West Bear River",DA1001,DA1001,28,single_kmz,mapped,processed_data/boundaries/DA1001.geojson,,
,"Box Elder, West Bear River",DA1002,DA1002,28,single_kmz,mapped,processed_data/boundaries/DA1002.geojson,,
,"Monroe/Plateau, Sevier Valley",DA1003,DA1003,115,single_kmz,mapped,processed_data/boundaries/DA1003.geojson,,
,"Pine Valley, New Harmony",DA1018,DA1018,840,single_kmz,mapped,processed_data/boundaries/DA1018.geojson,,
,"Nine Mile, Price River Valley",DA1030,DA1030,11,single_kmz,mapped,processed_data/boundaries/DA1030.geojson,,
,"Oquirrh-Stansbury, Settlement Cyn",DA1031,DA1031,21,single_kmz,mapped,processed_data/boundaries/DA1031.geojson,,
,"San Juan, Monticello",DA1033,DA1033,23,single_kmz,mapped,processed_data/boundaries/DA1033.geojson,,
,"San Juan, Monticello",DA1042,DA1042,23,single_kmz,mapped,processed_data/boundaries/DA1042.geojson,,
,"Fillmore, Oak City",DA1045,DA1045,474,single_kmz,mapped,processed_data/boundaries/DA1045.geojson,,
,"Nine Mile, Price River Valley",DA1046,DA1046,11,single_kmz,mapped,processed_data/boundaries/DA1046.geojson,,
,Fillmore City,DA1048,DA1048,910,single_kmz,mapped,processed_data/boundaries/DA1048.geojson,,
,"Vernal, Ashley Valley",DA1049,DA1049,909,single_kmz,mapped,processed_data/boundaries/DA1049.geojson,,
,Box Elder,DB1501,DB1501,607,single_kmz,mapped,processed_data/boundaries/DB1501.geojson,,
,Cache,DB1502,DB1502,29,single_kmz,mapped,processed_data/boundaries/DB1502.geojson,,
,Manti/San Rafael,DB1503,DB1503,619,single_kmz,mapped,processed_data/boundaries/DB1503.geojson,,
,Nebo,DB1504,DB1504,616,single_kmz,mapped,processed_data/boundaries/DB1504.geojson,,
,Fillmore,DB1506,DB1506,804,single_kmz,mapped,processed_data/boundaries/DB1506.geojson,,
,Kamas,DB1508,DB1508,611,single_kmz,mapped,processed_data/boundaries/DB1508.geojson,,
,La Sal Mtns,DB1509,DB1509,617,single_kmz,mapped,processed_data/boundaries/DB1509.geojson,,
,Monroe,DB1510,DB1510,629,single_kmz,mapped,processed_data/boundaries/DB1510.geojson,,
,Mt Dutton,DB1511,DB1511,630,single_kmz,mapped,processed_data/boundaries/DB1511.geojson,,
,Nine Mile,DB1512,DB1512,615,single_kmz,mapped,processed_data/boundaries/DB1512.geojson,,
,North Slope,DB1513,DB1513,612,single_kmz,mapped,processed_data/boundaries/DB1513.geojson,,
,Ogden,DB1514,DB1514,609,single_kmz,mapped,processed_data/boundaries/DB1514.geojson,,
,Panguitch Lake,DB1516,DB1516,634,single_kmz,mapped,processed_data/boundaries/DB1516.geojson,,
,Pine Valley,DB1517,DB1517,636,single_kmz,mapped,processed_data/boundaries/DB1517.geojson,,
,Boulder/Kaiparowits,DB1518,DB1518,455,single_kmz,mapped,processed_data/boundaries/DB1518.geojson,,
,Fishlake,DB1519,DB1519,633,single_kmz,mapped,processed_data/boundaries/DB1519.geojson,,
,"San Juan, Abajo Mtns",DB1521,DB1521,618,single_kmz,mapped,processed_data/boundaries/DB1521.geojson,,
,Vernal/Bonanza,DB1522,DB1522,614,single_kmz,mapped,processed_data/boundaries/DB1522.geojson,,
,Yellowstone,DB1523,DB1523,613,single_kmz,mapped,processed_data/boundaries/DB1523.geojson,,
,Southwest Desert,DB1524,DB1524,625,single_kmz,mapped,processed_data/boundaries/DB1524.geojson,,
,"Wasatch Mtns, East",DB1525,DB1525,621,single_kmz,mapped,processed_data/boundaries/DB1525.geojson,,
,"Wasatch Mtns, West",DB1526,DB1526,620,single_kmz,mapped,processed_data/boundaries/DB1526.geojson,,
,Zion,DB1529,DB1529,635,single_kmz,mapped,processed_data/boundaries/DB1529.geojson,,
,Chalk Creek,DB1600,DB1600,69,single_kmz,mapped,processed_data/boundaries/DB1600.geojson,,
,East Canyon,DB1604,DB1604,276,single_kmz,mapped,processed_data/boundaries/DB1604.geojson,,
,Morgan-South Rich,DB1608,DB1608,117,single_kmz,mapped,processed_data/boundaries/DB1608.geojson,,
,"Beaver, East",DB1611,DB1611,685,single_kmz,mapped,processed_data/boundaries/DB1611.geojson,,
,"Beaver, West",DB1614,DB1614,672,single_kmz,mapped,processed_data/boundaries/DB1614.geojson,,
,"West Desert, Swasey",DB1617,DB1617,926,single_kmz,mapped,processed_data/boundaries/DB1617.geojson,,
,Oquirrh/Tintic,DB1620,DB1620,927,single_kmz,mapped,processed_data/boundaries/DB1620.geojson,,
,Cedar/Stansbury,DB1623,DB1623,925,single_kmz,mapped,processed_data/boundaries/DB1623.geojson,,
,Box Elder,DB1770,DB1770,607,single_kmz,mapped,processed_data/boundaries/DB1770.geojson,,
,Cache,DB1771,DB1771,29,single_kmz,mapped,processed_data/boundaries/DB1771.geojson,,
,Manti/San Rafael,DB1772,DB1772,619,single_kmz,mapped,processed_data/boundaries/DB1772.geojson,,
,Nebo,DB1773,DB1773,616,single_kmz,mapped,processed_data/boundaries/DB1773.geojson,,
,Fillmore,DB1775,DB1775,804,single_kmz,mapped,processed_data/boundaries/DB1775.geojson,,
,Kamas,DB1777,DB1777,611,single_kmz,mapped,processed_data/boundaries/DB1777.geojson,,
,La Sal Mtns,DB1778,DB1778,617,single_kmz,mapped,processed_data/boundaries/DB1778.geojson,,
,Monroe,DB1779,DB1779,629,single_kmz,mapped,processed_data/boundaries/DB1779.geojson,,
,Mt Dutton,DB1780,DB1780,630,single_kmz,mapped,processed_data/boundaries/DB1780.geojson,,
,Nine Mile,DB1781,DB1781,615,single_kmz,mapped,processed_data/boundaries/DB1781.geojson,,
,North Slope,DB1782,DB1782,612,single_kmz,mapped,processed_data/boundaries/DB1782.geojson,,
,Ogden,DB1783,DB1783,609,single_kmz,mapped,processed_data/boundaries/DB1783.geojson,,
,Panguitch Lake,DB1785,DB1785,634,single_kmz,mapped,processed_data/boundaries/DB1785.geojson,,
,Pine Valley,DB1786,DB1786,636,single_kmz,mapped,processed_data/boundaries/DB1786.geojson,,
,Boulder/Kaiparowits,DB1787,DB1787,455,single_kmz,mapped,processed_data/boundaries/DB1787.geojson,,
,Fishlake,DB1788,DB1788,633,single_kmz,mapped,processed_data/boundaries/DB1788.geojson,,
,"San Juan, Abajo Mtns",DB1790,DB1790,618,single_kmz,mapped,processed_data/boundaries/DB1790.geojson,,
,Vernal/Bonanza,DB1791,DB1791,614,single_kmz,mapped,processed_data/boundaries/DB1791.geojson,,
