permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
"Cache, Meadowville",Late Any Legal Weapon,EB3033,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, Meadowville",Multiseason,EB3105,Resident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, Meadowville",Multiseason,EB3105,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, Meadowville",Muzzleloader,EB3081,Resident,6,5,-1,MINOR,5,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, Meadowville",Muzzleloader,EB3081,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Archery,EB3005,Resident,9,10,1,MINOR,10,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Archery,EB3005,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Early Any Legal Weapon,EB3036,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Early Any Legal Weapon,EB3036,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Mid Any Legal Weapon,EB3171,Resident,10,11,1,MINOR,11,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Mid Any Legal Weapon,EB3171,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Late Any Legal Weapon,EB3037,Resident,5,6,1,MINOR,6,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Late Any Legal Weapon,EB3037,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Multiseason,EB3107,Resident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Multiseason,EB3107,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Muzzleloader,EB3083,Resident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Cache, South",Muzzleloader,EB3083,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Archery,EB3020,Resident,22,25,3,MINOR,25,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Archery,EB3020,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Early Any Legal Weapon,EB3068,Resident,9,10,1,MINOR,10,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Early Any Legal Weapon,EB3068,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Mid Any Legal Weapon,EB3069,Resident,27,30,3,MINOR,30,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Mid Any Legal Weapon,EB3069,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Late Any Legal Weapon,EB3196,Resident,15,17,2,MINOR,17,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Late Any Legal Weapon,EB3196,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Multiseason,EB3122,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Multiseason,EB3122,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Muzzleloader,EB3098,Resident,13,15,2,MINOR,15,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Diamond Mtn,Muzzleloader,EB3098,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Archery,EB3008,Resident,19,19,0,UNCHANGED,19,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Archery,EB3008,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Early Any Legal Weapon,EB3042,Resident,8,8,0,UNCHANGED,8,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Early Any Legal Weapon,EB3042,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Mid Any Legal Weapon,EB3181,Resident,22,22,0,UNCHANGED,22,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Mid Any Legal Weapon,EB3181,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Late Any Legal Weapon,EB3043,Resident,13,13,0,UNCHANGED,13,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Late Any Legal Weapon,EB3043,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Multiseason,EB3110,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Multiseason,EB3110,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Muzzleloader,EB3086,Resident,12,12,0,UNCHANGED,12,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
"Fillmore, Pahvant",Muzzleloader,EB3086,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Dolores Triangle,Late Any Legal Weapon,EB3044,Resident,6,6,0,UNCHANGED,6,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Dolores Triangle,Late Any Legal Weapon,EB3044,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Archery,EB3018,Resident,81,84,3,MINOR,84,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Archery,EB3018,Nonresident,9,9,0,UNCHANGED,9,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Early Any Legal Weapon,EB3063,Resident,33,34,1,MINOR,34,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Early Any Legal Weapon,EB3063,Nonresident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Mid Any Legal Weapon,EB3064,Resident,96,99,3,MINOR,99,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Mid Any Legal Weapon,EB3064,Nonresident,11,11,0,UNCHANGED,11,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Late Any Legal Weapon,EB3065,Resident,56,57,1,MINOR,57,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Late Any Legal Weapon,EB3065,Nonresident,6,6,0,UNCHANGED,6,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Multiseason,EB3120,Resident,10,10,0,UNCHANGED,10,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Multiseason,EB3120,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Muzzleloader,EB3096,Resident,49,50,1,MINOR,50,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Fishlake/Thousand Lakes,Muzzleloader,EB3096,Nonresident,5,6,1,MINOR,6,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Archery,EB3009,Resident,36,36,0,UNCHANGED,36,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Archery,EB3009,Nonresident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Early Any Legal Weapon,EB3045,Resident,14,14,0,UNCHANGED,14,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Early Any Legal Weapon,EB3045,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Mid Any Legal Weapon,EB3183,Resident,42,42,0,UNCHANGED,42,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Mid Any Legal Weapon,EB3183,Nonresident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Late Any Legal Weapon,EB3046,Resident,24,24,0,UNCHANGED,24,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Late Any Legal Weapon,EB3046,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Multiseason,EB3111,Resident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Multiseason,EB3111,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Muzzleloader,EB3087,Resident,22,22,0,UNCHANGED,22,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
La Sal Mtns,Muzzleloader,EB3087,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Archery,EB3006,Resident,157,148,-9,SIGNIFICANT,148,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Archery,EB3006,Nonresident,18,17,-1,MINOR,17,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Early Any Legal Weapon,EB3038,Resident,65,61,-4,MINOR,61,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Early Any Legal Weapon,EB3038,Nonresident,7,7,0,UNCHANGED,7,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Mid Any Legal Weapon,EB3126,Resident,186,175,-11,MAJOR,175,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Mid Any Legal Weapon,EB3126,Nonresident,21,20,-1,MINOR,20,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Late Any Legal Weapon,EB3039,Resident,108,102,-6,SIGNIFICANT,102,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Late Any Legal Weapon,EB3039,Nonresident,12,11,-1,MINOR,11,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Multiseason,EB3108,Resident,19,18,-1,MINOR,18,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Multiseason,EB3108,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Muzzleloader,EB3084,Resident,94,89,-5,MINOR,89,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Manti,Muzzleloader,EB3084,Nonresident,11,10,-1,MINOR,10,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Archery,EB3010,Resident,19,21,2,MINOR,10,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Archery,EB3010,Nonresident,2,2,0,UNCHANGED,1,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Early Any Legal Weapon,EB3047,Resident,8,8,0,UNCHANGED,3,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Early Any Legal Weapon,EB3047,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Mid Any Legal Weapon,EB3185,Resident,22,24,2,MINOR,18,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Mid Any Legal Weapon,EB3185,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Late Any Legal Weapon,EB3048,Resident,13,13,0,UNCHANGED,13,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Late Any Legal Weapon,EB3048,Nonresident,1,2,1,MINOR,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Multiseason,EB3112,Resident,2,3,1,MINOR,2,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Multiseason,EB3112,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Muzzleloader,EB3088,Resident,11,13,2,MINOR,10,False,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Monroe,Muzzleloader,EB3088,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Morgan-South Rich,Late Any Legal Weapon,EB3208,Resident,9,9,0,UNCHANGED,9,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Morgan-South Rich,Late Any Legal Weapon,EB3208,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Mt Dutton,Archery,EB3011,Resident,18,19,1,MINOR,19,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Mt Dutton,Archery,EB3011,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
Mt Dutton,Early Any Legal Weapon,EB3049,Resident,7,8,1,MINOR,8,True,2026-05-user-verified-table,User-provided limited-entry bull elk comparison table for 2025 to 2026.
