hunt_code,boundary_id,member_boundary_ids,source_boundary_ids,boundary_source_authority,boundary_source_file,merged_boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,member_boundary_count
BR7001,449,,449,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7001.geojson,,,,0
BR7003,52,,52,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7003.geojson,,,,0
BR7004,744,,744,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7004.geojson,,,,0
BR7005,616,,616,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7005.geojson,,,,0
BR7007,88,,88,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7007.geojson,,,,0
BR7009,630,,630,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7009.geojson,,,,0
BR7010,462,,462,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7010.geojson,,,,0
BR7011,163,,163,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7011.geojson,,,,0
BR7012,455,,455,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7012.geojson,,,,0
BR7013,175,,175,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7013.geojson,,,,0
BR7014,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7014.geojson,,,,0
BR7015,444,,444,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7015.geojson,,,,0
BR7016,845,,845,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7016.geojson,,,,0
BR7017,92,,92,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7017.geojson,,,,0
BR7018,251,,251,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7018.geojson,,,,0
BR7020,629,,629,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7020.geojson,,,,0
BR7021,108,,108,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7021.geojson,,,,0
BR7022,617,,617,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7022.geojson,,,,0
BR7100,628,,628,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7100.geojson,,,,0
BR7101,449,,449,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7101.geojson,,,,0
BR7102,12,,12,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7102.geojson,,,,0
BR7104,52,,52,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7104.geojson,,,,0
BR7105,744,,744,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7105.geojson,,,,0
BR7106,616,,616,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7106.geojson,,,,0
BR7109,630,,630,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7109.geojson,,,,0
BR7110,615,,615,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7110.geojson,,,,0
BR7111,289,,289,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7111.geojson,,,,0
BR7112,462,,462,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7112.geojson,,,,0
BR7113,163,,163,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7113.geojson,,,,0
BR7114,455,,455,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7114.geojson,,,,0
BR7115,175,,175,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7115.geojson,,,,0
BR7116,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7116.geojson,,,,0
BR7117,444,,444,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7117.geojson,,,,0
BR7118,613,,613,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7118.geojson,,,,0
BR7119,463,,463,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7119.geojson,,,,0
BR7120,448,,448,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7120.geojson,,,,0
BR7121,92,,92,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7121.geojson,,,,0
BR7122,93,,93,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7122.geojson,,,,0
BR7123,5053,138;611,138;611,Utah DWR,black_bear_hunt_table_official.json,,merged_kmz,mapped,processed_data/boundaries/BR7123.geojson,,,,2
BR7124,88,,88,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7124.geojson,,,,0
BR7125,629,,629,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7125.geojson,,,,0
BR7126,108,,108,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7126.geojson,,,,0
BR7127,617,,617,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7127.geojson,,,,0
BR7200,628,,628,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7200.geojson,,,,0
BR7201,449,,449,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7201.geojson,,,,0
BR7203,52,,52,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7203.geojson,,,,0
BR7204,744,,744,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7204.geojson,,,,0
BR7205,616,,616,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7205.geojson,,,,0
BR7207,88,,88,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7207.geojson,,,,0
BR7210,630,,630,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7210.geojson,,,,0
BR7211,615,,615,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7211.geojson,,,,0
BR7212,289,,289,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7212.geojson,,,,0
BR7213,462,,462,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7213.geojson,,,,0
BR7214,163,,163,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7214.geojson,,,,0
BR7215,455,,455,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7215.geojson,,,,0
BR7216,175,,175,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7216.geojson,,,,0
BR7217,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7217.geojson,,,,0
BR7218,444,,444,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7218.geojson,,,,0
BR7219,613,,613,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7219.geojson,,,,0
BR7220,463,,463,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7220.geojson,,,,0
BR7221,448,,448,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7221.geojson,,,,0
BR7224,12,,12,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7224.geojson,,,,0
BR7225,12,,12,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7225.geojson,,,,0
BR7228,92,,92,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7228.geojson,,,,0
BR7229,5079,138;611,138;611,Utah DWR,black_bear_hunt_table_official.json,,merged_kmz,mapped,processed_data/boundaries/BR7229.geojson,,,,2
BR7237,629,,629,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7237.geojson,,,,0
BR7238,108,,108,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7238.geojson,,,,0
BR7239,617,,617,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7239.geojson,,,,0
BR7300,449,,449,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7300.geojson,,,,0
BR7301,12,,12,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7301.geojson,,,,0
BR7303,52,,52,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7303.geojson,,,,0
BR7304,744,,744,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7304.geojson,,,,0
BR7305,616,,616,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7305.geojson,,,,0
BR7307,684,,684,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7307.geojson,,,,0
BR7308,289,,289,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7308.geojson,,,,0
BR7309,462,,462,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7309.geojson,,,,0
BR7310,455,,455,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7310.geojson,,,,0
BR7311,175,,175,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7311.geojson,,,,0
BR7312,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7312.geojson,,,,0
BR7313,444,,444,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7313.geojson,,,,0
BR7314,613,,613,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7314.geojson,,,,0
BR7315,463,,463,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7315.geojson,,,,0
BR7316,448,,448,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7316.geojson,,,,0
BR7317,615,,615,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7317.geojson,,,,0
BR7318,628,,628,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7318.geojson,,,,0
BR7320,92,,92,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7320.geojson,,,,0
BR7321,5101,138;611,138;611,Utah DWR,black_bear_hunt_table_official.json,,merged_kmz,mapped,processed_data/boundaries/BR7321.geojson,,,,2
BR7322,630,,630,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7322.geojson,,,,0
BR7323,163,,163,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7323.geojson,,,,0
BR7324,610,,610,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7324.geojson,,,,0
BR7325,610,,610,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7325.geojson,,,,0
BR7326,617,,617,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7326.geojson,,,,0
CG9999,5107,8;16;26;29;117;140;143;243;247;276;444;625;629;668;672;681;683;684;685;711;163;172;191;226;234;237;239;56;57;59;63;71;75;76;86;88;94;97;609;613;630;632;633;634;635;445;446;729;730;752;753;818;819,8;16;26;29;117;140;143;243;247;276;444;625;629;668;672;681;683;684;685;711;163;172;191;226;234;237;239;56;57;59;63;71;75;76;86;88;94;97;609;613;630;632;633;634;635;445;446;729;730;752;753;818;819,Utah DWR,cougar_hunt_table_official.json,CG9999_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/CG9999.geojson,data/boundaries/kmz/CG9999.kmz,data/boundaries/kml/CG9999.kml,,53
DA1001,28,,28,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1001.geojson,,,,0
DA1002,28,,28,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1002.geojson,,,,0
DA1003,115,,115,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1003.geojson,,,,0
DA1009,169,,169,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1009.geojson,,,,0
DA1011,806,,806,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1011.geojson,,,,0
DA1012,589,,589,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1012.geojson,,,,0
DA1013,533,,533,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1013.geojson,,,,0
DA1018,840,,840,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1018.geojson,,,,0
DA1027,77,,77,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1027.geojson,,,,0
DA1030,11,,11,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1030.geojson,,,,0
DA1031,21,,21,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1031.geojson,,,,0
DA1033,23,,23,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1033.geojson,,,,0
DA1041,6,,6,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1041.geojson,,,,0
DA1042,23,,23,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1042.geojson,,,,0
DA1045,474,,474,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1045.geojson,,,,0
DA1046,11,,11,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1046.geojson,,,,0
DA1047,895,,895,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1047.geojson,,,,0
DA1048,910,,910,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1048.geojson,,,,0
DA1049,909,,909,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1049.geojson,,,,0
DA1050,509,,509,Utah DWR,bighorn_sheep_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/DA1050.geojson,,,,0
DB0001,866,,866,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0001.geojson,,,,0
DB0002,866,,866,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0002.geojson,,,,0
DB0003,866,,866,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0003.geojson,,,,0
DB0004,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0004.geojson,,,,0
DB0005,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0005.geojson,,,,0
DB0006,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0006.geojson,,,,0
DB0007,5108,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,Utah DWR,boundary-manifest-2026.json,DB0007_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/DB0007.geojson,data/boundaries/kmz/DB0007.kmz,data/boundaries/kml/DB0007.kml,,28
DB0008,5109,6;28;101;106;109;218;280;311;312;731,6;28;101;106;109;218;280;311;312;731,Utah DWR,boundary-manifest-2026.json,DB0008_EXT_ARCH_2026,merged_kmz,mapped,processed_data/boundaries/DB0008.geojson,data/boundaries/kmz/DB0008.kmz,data/boundaries/kml/DB0008.kml,,10
DB0009,1,,1,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0009.geojson,,,,0
DB0010,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0010.geojson,,,,0
DB0011,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0011.geojson,,,,0
DB0012,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0012.geojson,,,,0
DB0013,865,,865,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB0013.geojson,,,,0
DB1000,94,,94,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1000.geojson,,,,0
DB1001,163,,163,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1001.geojson,,,,0
DB1002,1,,1,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1002.geojson,,,,0
DB1003,94,,94,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1003.geojson,,,,0
DB1004,163,,163,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1004.geojson,,,,0
DB1005,94,,94,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1005.geojson,,,,0
DB1006,163,,163,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1006.geojson,,,,0
DB1007,94,,94,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1007.geojson,,,,0
DB1008,163,,163,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1008.geojson,,,,0
DB1009,94,,94,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1009.geojson,,,,0
DB1010,163,,163,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1010.geojson,,,,0
DB1011,7,,7,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1011.geojson,,,,0
DB1012,85,,85,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1012.geojson,,,,0
DB1013,108,,108,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1013.geojson,,,,0
DB1014,185,,185,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1014.geojson,,,,0
DB1015,206,,206,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1015.geojson,,,,0
DB1016,248,,248,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1016.geojson,,,,0
DB1017,714,,714,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1017.geojson,,,,0
DB1018,15,,15,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1018.geojson,,,,0
DB1019,85,,85,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1019.geojson,,,,0
DB1020,108,,108,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1020.geojson,,,,0
DB1022,185,,185,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1022.geojson,,,,0
DB1023,206,,206,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1023.geojson,,,,0
DB1024,248,,248,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1024.geojson,,,,0
DB1025,7,,7,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1025.geojson,,,,0
DB1026,32,,32,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1026.geojson,,,,0
DB1028,804,,804,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1028.geojson,,,,0
DB1029,85,,85,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1029.geojson,,,,0
DB1030,611,,611,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1030.geojson,,,,0
DB1031,108,,108,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1031.geojson,,,,0
DB1032,629,,629,Utah DWR,hunt_boundaries.geojson,,single_kmz,mapped,processed_data/boundaries/DB1032.geojson,,,,0
