"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"DB1224","Cotton Thomas CWMU","Deer","Any Legal Weapon","CWMU","Cotton Thomas","640","exact_norm_name"
"DB1227","Deer Haven CWMU","Deer","Any Legal Weapon","CWMU","Deer Haven","606","exact_norm_name"
"DB1228","Deseret CWMU","Deer","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"DB1229","Dilly Ranch CWMU","Deer","Any Legal Weapon","CWMU","Dilly Ranch","733","exact_norm_name"
"DB1230","Double R Ranch CWMU","Deer","Any Legal Weapon","CWMU","Double R Ranch","554","exact_norm_name"
"DB1231","Dove Creek CWMU","Deer","Any Legal Weapon","CWMU","Dove Creek","512","exact_norm_name"
"DB1232","Durst Mountain CWMU","Deer","Any Legal Weapon","CWMU","Durst Mountain","567","exact_norm_name"
"DB1233","East Fork Chalk Creek CWMU","Deer","Any Legal Weapon","CWMU","East Fork Chalk Creek","520","exact_norm_name"
"DB1234","East Zion CWMU","Deer","Any Legal Weapon","CWMU","East Zion","807","exact_norm_name"
"DB1236","Engineer Springs CWMU","Deer","Any Legal Weapon","CWMU","Engineer Springs","519","exact_norm_name"
"DB1237","Ensign Ranches CWMU","Deer","Any Legal Weapon","CWMU","Ensign Ranches","522","exact_norm_name"
"DB1239","Fort Ranch CWMU","Deer","Any Legal Weapon","CWMU","Fort Ranch","514","exact_norm_name"
"DB1240","George Creek CWMU","Deer","Any Legal Weapon","CWMU","George Creek","806","exact_norm_name"
"DB1241","Golden Spike CWMU","Deer","Any Legal Weapon","CWMU","Golden Spike","497","exact_norm_name"
"DB1242","Grass Valley/Clark Canyon CWMU","Deer","Any Legal Weapon","CWMU","Grass Valley/Clark Canyon","525","exact_norm_name"
"DB1243","Grazing Pasture CWMU","Deer","Any Legal Weapon","CWMU","Grazing Pasture","530","exact_norm_name"
"DB1244","Green Canyon CWMU","Deer","Any Legal Weapon","CWMU","Green Canyon","489","exact_norm_name"
"DB1245","Guildersleeve CWMU","Deer","Any Legal Weapon","CWMU","Guildersleeve","573","exact_norm_name"
"DB1246","Hardscrabble CWMU","Deer","Any Legal Weapon","CWMU","Hardscrabble","577","exact_norm_name"
"DB1248","Heaston East CWMU","Deer","Any Legal Weapon","CWMU","Heaston East","555","exact_norm_name"
"DB1249","Hiawatha CWMU","Deer","Any Legal Weapon","CWMU","Hiawatha","550","exact_norm_name"
"DB1250","Indian Creek CWMU","Deer","Any Legal Weapon","CWMU","Indian Creek","495","exact_norm_name"
"DB1251","Indian Head CWMU","Deer","Any Legal Weapon","CWMU","Indian Head","735","exact_norm_name"
"DB1252","Ingham Peak CWMU","Deer","Any Legal Weapon","CWMU","Ingham Peak","493","exact_norm_name"
"DB1253","Circle E Ranch CWMU","Deer","Any Legal Weapon","CWMU","Circle E Ranch","549","exact_norm_name"
"DB1256","Junction Valley CWMU","Deer","Any Legal Weapon","CWMU","Junction Valley","589","exact_norm_name"
"DB1258","Little Red Creek CWMU","Deer","Any Legal Weapon","CWMU","Little Red Creek","484","exact_norm_name"
"DB1259","Tunnel Hollow CWMU","Deer","Any Legal Weapon","CWMU","Tunnel Hollow","569","exact_norm_name"
"DB1260","Middle Ridge CWMU","Deer","Any Legal Weapon","CWMU","Middle Ridge","565","exact_norm_name"
"DB1261","Minnie Maud Ridge CWMU","Deer","Any Legal Weapon","CWMU","Minnie Maud Ridge","551","exact_norm_name"
