"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"PB5342","Salt Wells CWMU","Pronghorn","Any Legal Weapon","CWMU","Salt Wells","906","exact_norm_name"
"PB5345","Green River Flat CWMU","Pronghorn","Any Legal Weapon","CWMU","Green River Flat","918","exact_norm_name"
"PB5346","Junction Valley CWMU","Pronghorn","Any Legal Weapon","CWMU","Junction Valley","589","exact_norm_name"
"PD1031","Westlake CWMU","Pronghorn","Any Legal Weapon","CWMU","Westlake","558","exact_norm_name"
"PD1047","Antelope Creek CWMU","Pronghorn","Any Legal Weapon","CWMU","Antelope Creek","581","exact_norm_name"
"PD1048","The Rose of Snowville CWMU","Pronghorn","Any Legal Weapon","CWMU","The Rose of Snowville","509","exact_norm_name"
"PD1049","Zane CWMU","Pronghorn","Any Legal Weapon","CWMU","Zane","537","exact_norm_name"
"PD1050","Cottonwood Ridge CWMU","Pronghorn","Any Legal Weapon","CWMU","Cottonwood Ridge","824","exact_norm_name"
"PD1051","Pahvant Ensign CWMU","Pronghorn","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"PD1052","Heist CWMU","Pronghorn","Any Legal Weapon","CWMU","Heist","201","exact_norm_name"
"PD1053","Green River Flat CWMU","Pronghorn","Any Legal Weapon","CWMU","Green River Flat","918","exact_norm_name"
"TK1018","Pahvant Ensign CWMU","Turkey","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"TK1021","East Zion CWMU","Turkey","Any Legal Weapon","CWMU","East Zion","807","exact_norm_name"
