permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Nebo,Any Legal Weapon,RS6725,Resident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
Nebo,Any Legal Weapon,RS6725,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Nine Mile, Gray Canyon",Any Legal Weapon,RS6712,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Nine Mile, Gray Canyon",Any Legal Weapon,RS6712,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Nine Mile, Jack Creek",Any Legal Weapon,RS6713,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Nine Mile, Jack Creek",Any Legal Weapon,RS6713,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"North Slope, Summit/West Daggett",Any Legal Weapon,RS6709,Resident,4,3,-1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"North Slope, Summit/West Daggett",Any Legal Weapon,RS6709,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"North Slope, Three Corners",Any Legal Weapon,RS6708,Resident,3,2,-1,MINOR,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"North Slope, Three Corners",Any Legal Weapon,RS6708,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Oquirrh-Stansbury, West",Any Legal Weapon,RS6721,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Oquirrh-Stansbury, West",Any Legal Weapon,RS6721,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Wasatch Mtns, West",Any Legal Weapon,RS6724,Resident,2,3,1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Wasatch Mtns, West",Any Legal Weapon,RS6724,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
