source_file,hunt_code,unit
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3139,2A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3005,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3036,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3037,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3083,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3107,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3170,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3171,2B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3020,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3068,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3069,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3098,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3122,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3195,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3196,9C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3008,21B
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3042,21B
