hunt_code,hunt_name,source_year,source_file,appears_in_draw_odds_pdf,has_point_level_bonus_rows,resident_bonus_permits_total,resident_regular_permits_total,resident_total_permits,nonresident_bonus_permits_total,nonresident_regular_permits_total,nonresident_total_permits,source_classification,engine_classification_before,engine_classification_after,correction_needed,data_quality_flags
BR7004,Manti South/San Rafael North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7005,Nebo,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7007,Fillmore Pahvant,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7008,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,20,20,40,2,1,3,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7009,Mt Dutton,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7010,Panguitch Lake/Zion,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7011,Paunsaugunt,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7012,Boulder/Kaiparowits,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,10,10,20,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7013,Fishlake/Thousand Lakes,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7014,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,18,17,35,2,1,3,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7015,Diamond Mtn/Vernal/Bonanza,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7016,Wasatch Mtns West-Central,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,18,18,36,2,2,4,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7017,Cache/Ogden,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,1,1,2,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7018,Kamas/North Slope Summit,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7019,Chalk Creek/East Canyon/Morgan-South Rich,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7020,Monroe,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7021,Dolores Triangle,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7022,La Sal Mtns,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7100,Beaver,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7101,Book Cliffs Bitter Creek/South,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7102,Book Cliffs Little Creek Roadless,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7104,Manti North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,8,17,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7105,Manti South/San Rafael North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7106,Nebo,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,4,8,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7108,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,13,12,25,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7109,Mt Dutton,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,1,3,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7110,Nine Mile,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7111,North Slope Three Corners/West Daggett,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7112,Panguitch Lake/Zion,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7113,Paunsaugunt,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,1,3,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7114,Boulder/Kaiparowits,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,6,13,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7115,Fishlake/Thousand Lakes,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7116,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,11,11,22,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7117,Diamond Mtn/Vernal/Bonanza,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7118,Yellowstone,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7119,Wasatch Mtns Avintaquin/Currant Creek,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7120,Wasatch Mtns West-Central,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,11,11,22,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7121,Cache/Ogden,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,4,3,7,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7123,Kamas/North Slope Summit,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,3,6,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7124,Fillmore Pahvant,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,1,1,2,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7125,Monroe,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7126,Dolores Triangle,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7127,La Sal Mtns,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,UNKNOWN_FROM_SOURCE,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,SOURCE_CLASSIFICATION_AMBIGUOUS
BR7200,Beaver,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7201,Book Cliffs Bitter Creek/South,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7203,Manti North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,5,10,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7204,Manti South/San Rafael North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,9,18,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7205,Nebo,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7207,Fillmore Pahvant,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,1,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7208,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,3,6,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7210,Mt Dutton,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,1,0,1,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7211,Nine Mile,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,10,8,18,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7212,North Slope Three Corners/West Daggett,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,1,1,2,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7213,Panguitch Lake/Zion,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7214,Paunsaugunt,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,2,2,4,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7215,Boulder/Kaiparowits,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7216,Fishlake/Thousand Lakes,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,2,5,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7217,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,3,3,6,0,0,0,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
