hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
BR7124,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Fillmore Pahvant,2,0,2
BR7125,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Monroe,1,0,1
BR7126,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Dolores Triangle,6,0,6
BR7127,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,La Sal Mtns,25,2,27
BR7200,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Beaver,9,1,10
BR7201,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Book Cliffs Bitter Creek/South,18,2,20
BR7203,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Manti North,10,1,11
BR7204,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Manti South/San Rafael North,18,2,20
BR7205,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Nebo,5,0,5
BR7207,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Fillmore Pahvant,1,0,1
BR7208,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7209,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7210,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Mt Dutton,3,0,3
BR7211,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Nine Mile,26,3,29
BR7212,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,North Slope Three Corners/West Daggett,2,0,2
BR7213,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Panguitch Lake/Zion,9,0,9
BR7214,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Paunsaugunt,4,0,4
BR7215,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Boulder/Kaiparowits,9,1,10
BR7216,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Fishlake/Thousand Lakes,5,0,5
BR7217,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,San Juan,6,0,6
BR7218,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Diamond Mtn/Vernal/Bonanza,7,0,7
BR7219,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Yellowstone,4,0,4
BR7220,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Wasatch Mtns Avintaquin/Currant Creek,9,0,9
BR7221,True,True,True,True,included_forecast,Limited Entry - Fall,Black Bear,Wasatch Mtns West-Central,18,2,20
