hunt_code,hunt_name,species,boundary_id,row_origin,database_numeric_protected,target_database_status,target_2025_total,database_2025_total,target_2026_total,database_2026_total,database_allotment_2026_total,resolved_2026_res,resolved_2026_nr,resolved_2026_total,resolved_2026_source,overlay_action,review_priority,review_reason
DB1237,Ensign Ranches CWMU,Deer,522,TARGET_AND_DATABASE,YES,MISMATCH,3,3,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1238,Folley Ridge CWMU,Deer,579,TARGET_AND_DATABASE,YES,MISMATCH,3,3,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1239,Fort Ranch CWMU,Deer,514,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1240,George Creek CWMU,Deer,806,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1241,Golden Spike CWMU,Deer,497,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1242,Grass Valley/Clark Canyon CWMU,Deer,525,TARGET_AND_DATABASE,YES,MISMATCH,14,14,0,14,,14,0,14,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1243,Grazing Pasture CWMU,Deer,530,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1244,Green Canyon CWMU,Deer,489,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1245,Guildersleeve CWMU,Deer,573,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1246,Hardscrabble CWMU,Deer,577,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1248,Heaston East CWMU,Deer,555,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1249,Hiawatha CWMU,Deer,550,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1250,Indian Creek CWMU,Deer,495,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
