family,hunt_code,residency,hunt_name,weapon,season_dates_2026,permits_2025_total,permits_2026_total,permit_delta_total,significance,reference_match,master_match,ladder_match,draw_reality_match,repo_public_permits_2026,repo_permits_2026_total,source_document,source_note
standard_antlerless_elk,EA1290,Resident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Sept 16 2026 - Nov 13 2026,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,36,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
standard_antlerless_elk,EA1290,Nonresident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Sept 16 2026 - Nov 13 2026,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
standard_antlerless_elk,EA1017,Resident,"Manti, Gordon Creek-Price Canyon",Any Legal Weapon,Nov 25 2026 - Jan 31 2027,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,90,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1017,Nonresident,"Manti, Gordon Creek-Price Canyon",Any Legal Weapon,Nov 25 2026 - Jan 31 2027,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1018,Resident,"Manti, Horn Mtn",Any Legal Weapon,Nov 19 2026 - Dec 31 2026,60,60,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,54,60,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1018,Nonresident,"Manti, Horn Mtn",Any Legal Weapon,Nov 19 2026 - Dec 31 2026,60,60,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,6,60,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1020,Resident,"Manti, Mohrland-Stump Flat",Any Legal Weapon,Nov 25 2026 - Jan 31 2027,120,120,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,108,120,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1020,Nonresident,"Manti, Mohrland-Stump Flat",Any Legal Weapon,Nov 25 2026 - Jan 31 2027,120,120,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,12,120,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1022,Resident,"Manti, North",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,300,300,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,270,300,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1022,Nonresident,"Manti, North",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,300,300,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,30,300,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1023,Resident,"Manti, South",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,90,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1023,Nonresident,"Manti, South",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1024,Resident,"Manti, South",Any Legal Weapon,Nov 19 2026 - Jan 31 2027,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,90,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1024,Nonresident,"Manti, South",Any Legal Weapon,Nov 19 2026 - Jan 31 2027,100,100,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1025,Resident,"Manti, West",Any Legal Weapon,Nov 19 2026 - Jan 31 2027,120,120,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,108,120,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1025,Nonresident,"Manti, West",Any Legal Weapon,Nov 19 2026 - Jan 31 2027,120,120,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,12,120,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1286,Resident,Monroe,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,30,40,10,MINOR,TRUE,TRUE,TRUE,TRUE,36,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1286,Nonresident,Monroe,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,30,40,10,MINOR,TRUE,TRUE,TRUE,TRUE,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1228,Resident,Morgan-South Rich,Any Legal Weapon,Dec 01 2026 - Dec 21 2026,75,75,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,67,75,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1228,Nonresident,Morgan-South Rich,Any Legal Weapon,Dec 01 2026 - Dec 21 2026,75,75,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,8,75,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1229,Resident,Morgan-South Rich,Any Legal Weapon,Dec 22 2026 - Jan 31 2027,160,160,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,144,160,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1229,Nonresident,Morgan-South Rich,Any Legal Weapon,Dec 22 2026 - Jan 31 2027,160,160,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,16,160,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1044,Resident,"Morgan-South Rich, South Rich",Any Legal Weapon,Dec 01 2026 - Jan 31 2027,35,35,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,31,35,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1044,Nonresident,"Morgan-South Rich, South Rich",Any Legal Weapon,Dec 01 2026 - Jan 31 2027,35,35,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,4,35,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
