"reported_hunt_year","model_target_year","species","hunt_code","hunt_name","hunt_type","quota","male_harvest","female_harvest","total_harvest","percent_female","percent_5plus","mean_age","source_file","source_page","data_quality_flags"
"2022","2023","Cougar","","Chalk Creek","Cougar Unit Summary","28","13","12","25","48","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","East Canyon","Cougar Unit Summary","","4","3","7","43","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","East Canyon, Davis","Cougar Unit Summary","","1","2","3","67","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Fillmore, Oak Creek","Cougar Unit Summary","Unlimited","1","2","3","67","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Fillmore, Pahvant","Cougar Unit Summary","Unlimited","7","8","15","53","7","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Henry Mtns","Cougar Unit Summary","Unlimited","2","1","3","33","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Kaiparowits","Cougar Unit Summary","Unlimited","1","0","1","0","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Kamas","Cougar Unit Summary","","1","2","3","67","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","La Sal","Cougar Unit Summary","Unlimited","1","4","5","80","20","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Monroe","Cougar Unit Summary","","3","2","5","40","20","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Morgan-South Rich","Cougar Unit Summary","","10","12","22","55","15","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Mt Dutton","Cougar Unit Summary","14","8","4","12","33","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Nine Mile, North","Cougar Unit Summary","Unlimited","9","7","16","44","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","North Slope, Summit/West Daggett","Cougar Unit Summary","Unlimited","5","3","8","38","14","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","North Slope, Three Corners","Cougar Unit Summary","Unlimited","1","2","3","67","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Ogden","Cougar Unit Summary","Unlimited","7","6","13","46","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Oquirrh-Stansbury, East","Cougar Unit Summary","","0","5","5","100","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Oquirrh-Stansbury, West","Cougar Unit Summary","Unlimited","1","0","1","0","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Panguitch Lake","Cougar Unit Summary","20","14","9","23","39","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Paunsaugunt","Cougar Unit Summary","20","7","5","12","42","11","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Pine Valley, North","Cougar Unit Summary","26","9","13","22","59","6","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Pine Valley, South","Cougar Unit Summary","Unlimited","6","3","9","33","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Plateau, Boulder","Cougar Unit Summary","Unlimited","13","8","21","38","16","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Plateau, Fishlake","Cougar Unit Summary","Unlimited","9","13","22","59","10","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Plateau, Thousand Lakes","Cougar Unit Summary","Unlimited","1","0","1","0","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","San Juan, Desert","Cougar Unit Summary","Unlimited","0","0","0","","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","San Juan, Mountains","Cougar Unit Summary","Unlimited","9","8","17","47","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","San Rafael","Cougar Unit Summary","Unlimited","0","0","0","","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","South Slope, Bonanza/Diamond Mtn/Vernal","Cougar Unit Summary","24","7","8","15","53","8","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","South Slope, Yellowstone","Cougar Unit Summary","Unlimited","0","1","1","100","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Southwest Desert","Cougar Unit Summary","Unlimited","4","0","4","0","25","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Wasatch Mtns, Avintaquin-Currant Creek","Cougar Unit Summary","Unlimited","6","4","10","40","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Wasatch Mtns, Cascade","Cougar Unit Summary","Unlimited","4","3","7","43","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Wasatch Mtns, Salt Lake","Cougar Unit Summary","6","0","0","0","","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Wasatch Mtns, Timpanogos","Cougar Unit Summary","Unlimited","0","1","1","100","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Wasatch Mtns, West-Strawberry","Cougar Unit Summary","","11","0","11","0","10","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","West Desert, Mtn Ranges","Cougar Unit Summary","8","0","0","0","","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","West Desert, Tintic-Vernon","Cougar Unit Summary","","5","1","6","17","0","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Zion","Cougar Unit Summary","Unlimited","6","8","14","57","27","","9cb7bd59__cougar_2022.pdf","13","UNIT_SUMMARY_NO_HUNT_CODE"
