record_id,record_type,library_title,library_species,library_category,library_area,library_condition,library_source_pdf,document_file_status,database_match_status,database_hunt_code,database_hunt_name,database_species,database_hunt_type,database_season,database_permits_2026_res,database_permits_2026_nr,database_permits_2026_total,database_permits_2026_source,database_permit_allotment_2026_status,reconciliation_issue
permit_2022_2024_conservation_0038,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Mt Dutton/Paunsaugunt,Buck Pronghorn,Conservation Permits,Mt Dutton/Paunsaugunt,Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5331,Mt Dutton/Paunsaugunt,Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,13,2,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0039,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Nine Mile, Anthro-Myton Bench",Buck Pronghorn,Conservation Permits,"Nine Mile, Anthro-Myton Bench",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5037,"Nine Mile, Anthro-Myton Bench",Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,89,10,99,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0040,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - North Slope, Three Corners/West Daggett",Buck Pronghorn,Conservation Permits,"North Slope, Three Corners/West Daggett",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5040,"North Slope, Three Corners/West Daggett",Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,29,3,32,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0041,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Plateau, Highlands",Buck Pronghorn,Conservation Permits,"Plateau, Highlands",Discontinued,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,PD1057,"Parker Mtn, Highlands",Pronghorn,General Season,Oct 08 2026 - Oct 16 2026,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Best fuzzy match score 0.11; tied/weak candidates require review.
permit_2022_2024_conservation_0042,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - San Rafael, North",Buck Pronghorn,Conservation Permits,"San Rafael, North",Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5046,"San Rafael, North - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.83; tied/weak candidates require review.
permit_2022_2024_conservation_0043,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - San Rafael, North",Buck Pronghorn,Conservation Permits,"San Rafael, North",Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5046,"San Rafael, North - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.83; tied/weak candidates require review.
permit_2022_2024_conservation_0044,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Bonanza/Diamond Mtn",Buck Pronghorn,Conservation Permits,"South Slope, Bonanza/Diamond Mtn",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5047,Diamond Mtn/Bonanza,Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,50,6,56,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0045,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Bonanza/Diamond Mtn",Buck Pronghorn,Conservation Permits,"South Slope, Bonanza/Diamond Mtn",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5047,Diamond Mtn/Bonanza,Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,50,6,56,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0046,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Vernal",Buck Pronghorn,Conservation Permits,"South Slope, Vernal",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_REVIEW,PB5048,Vernal,Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,54,6,60,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Fuzzy match score 0.75; owner review required.
permit_2022_2024_conservation_0047,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Vernal",Buck Pronghorn,Conservation Permits,"South Slope, Vernal",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_REVIEW,PB5048,Vernal,Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,54,6,60,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Fuzzy match score 0.75; owner review required.
permit_2022_2024_conservation_0048,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Southwest Desert,Buck Pronghorn,Conservation Permits,Southwest Desert,Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5049,Southwest Desert - Private Land Only,Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.80; tied/weak candidates require review.
permit_2022_2024_conservation_0049,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Southwest Desert,Buck Pronghorn,Conservation Permits,Southwest Desert,Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5049,Southwest Desert - Private Land Only,Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.80; tied/weak candidates require review.
permit_2022_2024_conservation_0050,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Statewide,Buck Pronghorn,Conservation Permits,Statewide,Statewide,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,PB1000,Pronghorn - Statewide Permit,Pronghorn,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",,,,,,Best fuzzy match score 0.20; tied/weak candidates require review.
