hunt_code,hunt_name,species,hunt_type,weapon,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_source_file
BR7018,Kamas/North Slope Summit,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",5,0,5,
BR7020,Monroe,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,
BR7021,Dolores Triangle,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,
BR7022,La Sal Mtns,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",40,3,43,
BR7100,Beaver,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",9,1,10,
BR7101,Book Cliffs Bitter Creek/South,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",14,1,15,
BR7102,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,
BR7104,Manti North,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",17,1,18,
BR7105,Manti South/San Rafael North,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",18,2,20,
BR7106,Nebo,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",8,0,8,
BR7109,Mt Dutton,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",3,0,3,
BR7110,Nine Mile,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",18,2,20,
BR7111,North Slope Three Corners/West Daggett,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",1,0,1,
BR7112,Panguitch Lake/Zion,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,
BR7113,Paunsaugunt,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",3,0,3,
BR7114,Boulder/Kaiparowits,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",13,1,14,
BR7115,Fishlake/Thousand Lakes,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",7,0,7,
BR7116,San Juan,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",22,2,24,
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,
BR7118,Yellowstone,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,
BR7119,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,
BR7120,Wasatch Mtns West-Central,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",22,1,23,
BR7121,Cache/Ogden,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",4,0,4,
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",7,0,7,
BR7123,Kamas/North Slope Summit,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",6,0,6,
BR7124,Fillmore Pahvant,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",2,0,2,
BR7125,Monroe,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",1,0,1,
BR7126,Dolores Triangle,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",6,0,6,
BR7127,La Sal Mtns,Black Bear,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",25,2,27,
BR7200,Beaver,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,
BR7201,Book Cliffs Bitter Creek/South,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,
BR7203,Manti North,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,
BR7204,Manti South/San Rafael North,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,
BR7205,Nebo,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,
BR7207,Fillmore Pahvant,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7210,Mt Dutton,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,
BR7211,Nine Mile,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,
BR7212,North Slope Three Corners/West Daggett,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,
BR7213,Panguitch Lake/Zion,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,
BR7214,Paunsaugunt,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,
BR7215,Boulder/Kaiparowits,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,
BR7216,Fishlake/Thousand Lakes,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,
BR7217,San Juan,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,
BR7219,Yellowstone,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,
BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,
BR7221,Wasatch Mtns West-Central,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,
