hunt_code,in_2023_harvest,in_2023_draw,in_active_database_2026,comparison_bucket
DB1055,YES,YES,YES,both
DB1056,NO,NO,YES,active_database_only
DB1058,YES,YES,YES,both
DB1059,YES,YES,NO,both
DB1065,YES,YES,YES,both
DB1073,YES,YES,YES,both
DB1074,YES,YES,YES,both
DB1075,NO,NO,YES,active_database_only
DB1076,NO,NO,YES,active_database_only
DB1077,YES,YES,YES,both
DB1078,YES,YES,YES,both
DB1079,YES,YES,YES,both
DB1080,YES,YES,YES,both
DB1081,YES,YES,YES,both
DB1082,YES,YES,NO,both
DB1083,YES,YES,YES,both
DB1084,YES,YES,YES,both
DB1085,YES,YES,YES,both
DB1086,YES,YES,YES,both
DB1087,YES,YES,YES,both
DB1088,YES,YES,NO,both
DB1089,YES,YES,NO,both
DB1090,YES,YES,YES,both
DB1091,YES,YES,YES,both
DB1094,YES,YES,NO,both
DB1100,YES,YES,YES,both
DB1101,YES,YES,YES,both
DB1103,YES,YES,YES,both
DB1105,YES,YES,YES,both
DB1106,NO,NO,YES,active_database_only
DB1107,NO,NO,YES,active_database_only
DB1108,NO,NO,YES,active_database_only
DB1109,NO,NO,YES,active_database_only
DB1110,NO,NO,YES,active_database_only
DB1111,NO,NO,YES,active_database_only
DB1112,NO,NO,YES,active_database_only
DB1113,NO,NO,YES,active_database_only
DB1114,NO,NO,YES,active_database_only
DB1115,NO,NO,YES,active_database_only
DB1116,NO,NO,YES,active_database_only
DB1118,NO,NO,YES,active_database_only
DB1119,NO,NO,YES,active_database_only
DB1120,NO,NO,YES,active_database_only
DB1121,NO,NO,YES,active_database_only
DB1200,YES,YES,YES,both
DB1201,YES,YES,YES,both
DB1202,YES,YES,YES,both
DB1203,YES,YES,YES,both
DB1204,YES,YES,YES,both
DB1205,YES,YES,YES,both
DB1206,YES,YES,YES,both
DB1207,YES,YES,YES,both
DB1208,YES,YES,YES,both
DB1209,YES,YES,YES,both
DB1211,YES,YES,YES,both
DB1212,YES,YES,YES,both
DB1213,YES,YES,YES,both
DB1215,YES,YES,YES,both
DB1216,YES,YES,YES,both
DB1217,YES,YES,YES,both
DB1219,YES,YES,YES,both
DB1222,YES,YES,YES,both
DB1223,YES,YES,NO,both
DB1224,YES,YES,YES,both
DB1227,YES,YES,YES,both
DB1228,YES,YES,YES,both
DB1229,YES,YES,YES,both
DB1230,YES,YES,YES,both
DB1231,YES,YES,YES,both
DB1232,YES,YES,YES,both
DB1233,YES,YES,YES,both
DB1234,YES,YES,YES,both
DB1236,YES,YES,YES,both
DB1237,YES,YES,YES,both
DB1238,YES,YES,YES,both
DB1239,YES,YES,YES,both
DB1240,YES,YES,YES,both
DB1241,YES,YES,YES,both
DB1242,YES,YES,YES,both
DB1243,YES,YES,YES,both
DB1244,YES,YES,YES,both
DB1245,YES,YES,YES,both
DB1246,YES,YES,YES,both
DB1248,YES,YES,YES,both
DB1249,YES,YES,YES,both
DB1250,YES,YES,YES,both
DB1251,YES,YES,YES,both
DB1252,YES,YES,YES,both
DB1253,YES,YES,YES,both
DB1255,YES,YES,YES,both
DB1256,YES,YES,YES,both
DB1258,YES,YES,YES,both
DB1259,YES,NO,YES,harvest_only
DB1260,YES,YES,YES,both
DB1261,YES,YES,YES,both
DB1263,YES,YES,YES,both
DB1264,YES,YES,YES,both
DB1265,YES,YES,YES,both
DB1266,YES,YES,YES,both
DB1269,YES,YES,YES,both
DB1270,YES,YES,YES,both
DB1271,YES,YES,YES,both
DB1272,YES,YES,YES,both
DB1273,YES,YES,YES,both
DB1274,YES,YES,YES,both
DB1275,YES,YES,YES,both
DB1276,YES,YES,NO,both
DB1277,YES,YES,YES,both
DB1278,YES,YES,NO,both
DB1279,YES,YES,YES,both
DB1280,YES,YES,YES,both
DB1281,YES,YES,YES,both
DB1282,YES,YES,YES,both
DB1283,YES,YES,YES,both
DB1285,YES,YES,YES,both
DB1286,YES,YES,YES,both
DB1287,YES,YES,YES,both
DB1288,YES,YES,YES,both
DB1289,YES,YES,YES,both
DB1290,YES,YES,YES,both
DB1291,YES,YES,YES,both
DB1292,YES,YES,YES,both
DB1293,YES,YES,YES,both
DB1294,YES,YES,YES,both
DB1295,YES,YES,YES,both
DB1297,YES,YES,NO,both
DB1298,YES,YES,YES,both
DB1299,YES,YES,YES,both
DB1300,YES,YES,YES,both
DB1301,YES,YES,YES,both
DB1303,YES,YES,YES,both
DB1304,YES,YES,YES,both
DB1305,YES,YES,YES,both
DB1306,YES,YES,YES,both
DB1307,YES,YES,NO,both
DB1308,YES,YES,YES,both
DB1309,YES,YES,YES,both
DB1310,YES,YES,YES,both
DB1312,YES,YES,YES,both
DB1317,YES,YES,YES,both
DB1320,YES,YES,NO,both
DB1322,YES,YES,YES,both
DB1323,NO,NO,YES,active_database_only
DB1324,YES,YES,NO,both
DB1325,YES,YES,YES,both
DB1326,YES,YES,YES,both
DB1327,YES,YES,YES,both
DB1328,YES,YES,YES,both
DB1329,YES,NO,NO,harvest_only
DB1330,YES,YES,YES,both
DB1331,YES,YES,YES,both
DB1332,YES,YES,YES,both
DB1333,YES,YES,YES,both
DB1334,YES,YES,YES,both
DB1335,YES,YES,YES,both
DB1336,YES,YES,YES,both
DB1337,YES,YES,YES,both
DB1338,YES,YES,NO,both
DB1339,YES,YES,NO,both
DB1340,YES,YES,NO,both
DB1341,YES,YES,YES,both
DB1342,YES,YES,YES,both
DB1343,YES,YES,NO,both
DB1344,YES,NO,NO,harvest_only
DB1347,NO,NO,YES,active_database_only
DB1349,NO,NO,YES,active_database_only
DB1351,NO,NO,YES,active_database_only
DB1500,NO,YES,NO,draw_only
DB1501,NO,YES,YES,draw_only
DB1502,NO,YES,YES,draw_only
DB1503,NO,YES,YES,draw_only
DB1504,NO,YES,YES,draw_only
DB1506,NO,YES,YES,draw_only
DB1508,NO,YES,YES,draw_only
DB1509,NO,YES,YES,draw_only
DB1510,NO,YES,YES,draw_only
DB1511,NO,YES,YES,draw_only
DB1512,NO,YES,YES,draw_only
DB1513,NO,YES,YES,draw_only
DB1514,NO,YES,YES,draw_only
DB1515,NO,YES,NO,draw_only
DB1516,NO,YES,YES,draw_only
DB1517,NO,YES,YES,draw_only
DB1518,NO,YES,YES,draw_only
DB1519,NO,YES,YES,draw_only
DB1520,NO,YES,NO,draw_only
DB1521,NO,YES,YES,draw_only
DB1522,NO,YES,YES,draw_only
DB1523,NO,YES,YES,draw_only
DB1524,NO,YES,YES,draw_only
DB1525,NO,YES,YES,draw_only
DB1526,NO,YES,YES,draw_only
DB1527,NO,YES,NO,draw_only
DB1528,NO,YES,NO,draw_only
DB1529,NO,YES,YES,draw_only
DB1530,NO,YES,NO,draw_only
DB1531,NO,YES,YES,draw_only
DB1532,NO,YES,NO,draw_only
DB1533,NO,YES,YES,draw_only
DB1534,NO,YES,YES,draw_only
DB1536,NO,YES,YES,draw_only
DB1538,NO,YES,YES,draw_only
DB1539,NO,YES,YES,draw_only
DB1540,NO,YES,YES,draw_only
DB1541,NO,YES,YES,draw_only
DB1542,NO,YES,YES,draw_only
DB1543,NO,YES,YES,draw_only
DB1544,NO,YES,YES,draw_only
DB1545,NO,YES,NO,draw_only
DB1546,NO,YES,YES,draw_only
DB1547,NO,YES,YES,draw_only
DB1548,NO,YES,NO,draw_only
DB1549,NO,YES,YES,draw_only
DB1550,NO,YES,NO,draw_only
DB1551,NO,YES,YES,draw_only
DB1552,NO,YES,YES,draw_only
DB1553,NO,YES,YES,draw_only
DB1554,NO,YES,YES,draw_only
DB1555,NO,YES,YES,draw_only
DB1556,NO,YES,YES,draw_only
DB1557,NO,YES,NO,draw_only
DB1558,NO,YES,NO,draw_only
DB1559,NO,YES,YES,draw_only
DB1560,NO,YES,NO,draw_only
DB1561,NO,YES,YES,draw_only
DB1562,NO,YES,NO,draw_only
DB1563,NO,YES,YES,draw_only
DB1564,NO,YES,YES,draw_only
DB1566,NO,YES,YES,draw_only
DB1568,NO,YES,YES,draw_only
DB1569,NO,YES,YES,draw_only
DB1570,NO,YES,YES,draw_only
DB1571,NO,YES,YES,draw_only
DB1572,NO,YES,YES,draw_only
DB1573,NO,YES,YES,draw_only
DB1574,NO,YES,YES,draw_only
DB1575,NO,YES,NO,draw_only
DB1576,NO,YES,YES,draw_only
DB1577,NO,YES,YES,draw_only
DB1578,NO,YES,NO,draw_only
DB1579,NO,YES,YES,draw_only
DB1580,NO,YES,NO,draw_only
DB1581,NO,YES,YES,draw_only
DB1582,NO,YES,YES,draw_only
DB1583,NO,YES,YES,draw_only
DB1584,NO,YES,YES,draw_only
DB1585,NO,YES,YES,draw_only
DB1586,NO,YES,YES,draw_only
DB1587,NO,YES,NO,draw_only
DB1588,NO,YES,NO,draw_only
DB1589,NO,YES,YES,draw_only
DB1591,NO,YES,YES,draw_only
DB1592,NO,YES,YES,draw_only
DB1593,NO,YES,YES,draw_only
DB1594,NO,YES,YES,draw_only
DB1595,NO,YES,YES,draw_only
DB1596,NO,YES,YES,draw_only
DB1597,NO,YES,YES,draw_only
DB1598,NO,YES,YES,draw_only
DB1599,NO,YES,YES,draw_only
DB1600,NO,YES,YES,draw_only
DB1601,NO,YES,YES,draw_only
DB1602,NO,YES,YES,draw_only
DB1603,NO,YES,YES,draw_only
DB1604,NO,YES,YES,draw_only
DB1605,NO,YES,YES,draw_only
DB1606,NO,YES,YES,draw_only
DB1607,NO,YES,YES,draw_only
DB1608,NO,YES,YES,draw_only
DB1609,NO,YES,YES,draw_only
DB1610,NO,YES,YES,draw_only
DB1611,NO,NO,YES,active_database_only
DB1612,NO,NO,YES,active_database_only
DB1613,NO,NO,YES,active_database_only
DB1614,NO,NO,YES,active_database_only
DB1615,NO,NO,YES,active_database_only
DB1616,NO,NO,YES,active_database_only
DB1617,NO,NO,YES,active_database_only
DB1618,NO,NO,YES,active_database_only
DB1619,NO,NO,YES,active_database_only
DB1620,NO,NO,YES,active_database_only
DB1621,NO,NO,YES,active_database_only
DB1622,NO,NO,YES,active_database_only
DB1623,NO,NO,YES,active_database_only
DB1624,NO,NO,YES,active_database_only
DB1625,NO,NO,YES,active_database_only
DB1627,NO,NO,YES,active_database_only
DB1628,NO,NO,YES,active_database_only
DB1629,NO,NO,YES,active_database_only
DB1630,NO,NO,YES,active_database_only
DB1631,NO,NO,YES,active_database_only
DB1770,NO,NO,YES,active_database_only
DB1771,NO,NO,YES,active_database_only
DB1772,NO,NO,YES,active_database_only
DB1773,NO,NO,YES,active_database_only
DB1775,NO,NO,YES,active_database_only
DB1777,NO,NO,YES,active_database_only
DB1778,NO,NO,YES,active_database_only
DB1779,NO,NO,YES,active_database_only
DB1780,NO,NO,YES,active_database_only
DB1781,NO,NO,YES,active_database_only
DB1782,NO,NO,YES,active_database_only
DB1783,NO,NO,YES,active_database_only
DB1785,NO,NO,YES,active_database_only
DB1786,NO,NO,YES,active_database_only
DB1787,NO,NO,YES,active_database_only
DB1788,NO,NO,YES,active_database_only
DB1790,NO,NO,YES,active_database_only
DB1791,NO,NO,YES,active_database_only
DB1792,NO,NO,YES,active_database_only
DB1793,NO,NO,YES,active_database_only
DB1794,NO,NO,YES,active_database_only
DB1795,NO,NO,YES,active_database_only
DB1798,NO,NO,YES,active_database_only
DB1799,NO,NO,YES,active_database_only
DB1800,NO,NO,YES,active_database_only
DB1801,NO,NO,YES,active_database_only
DB1802,NO,NO,YES,active_database_only
DB1803,NO,NO,YES,active_database_only
DB1804,NO,NO,YES,active_database_only
DB1805,NO,NO,YES,active_database_only
DB1806,NO,NO,YES,active_database_only
DS1000,NO,NO,YES,active_database_only
DS1002,NO,NO,YES,active_database_only
DS1003,NO,NO,YES,active_database_only
DS1004,NO,NO,YES,active_database_only
DS1006,NO,NO,YES,active_database_only
DS1007,NO,NO,YES,active_database_only
DS6600,YES,YES,YES,both
DS6601,YES,YES,YES,both
DS6602,YES,YES,NO,both
DS6603,YES,YES,YES,both
DS6604,YES,YES,YES,both
DS6605,NO,NO,YES,active_database_only
DS6606,YES,YES,YES,both
DS6607,YES,YES,YES,both
DS6608,YES,YES,YES,both
DS6609,YES,YES,YES,both
DS6610,YES,YES,YES,both
DS6611,YES,YES,YES,both
DS6620,YES,YES,YES,both
DS6621,YES,YES,YES,both
DS6622,YES,YES,YES,both
DS6623,YES,YES,YES,both
DS6624,YES,YES,YES,both
DS6625,NO,NO,YES,active_database_only
DS6626,NO,NO,YES,active_database_only
DS6627,NO,NO,YES,active_database_only
EA1007,NO,NO,YES,active_database_only
EA1009,NO,YES,NO,draw_only
EA1010,NO,YES,YES,draw_only
EA1011,NO,YES,YES,draw_only
EA1012,NO,YES,YES,draw_only
EA1013,NO,YES,YES,draw_only
EA1015,NO,YES,YES,draw_only
EA1017,NO,YES,YES,draw_only
EA1018,NO,YES,YES,draw_only
EA1020,NO,YES,YES,draw_only
EA1021,NO,YES,YES,draw_only
EA1022,NO,YES,YES,draw_only
EA1023,NO,YES,YES,draw_only
EA1024,NO,YES,YES,draw_only
EA1025,NO,YES,YES,draw_only
EA1026,NO,YES,YES,draw_only
EA1030,NO,YES,YES,draw_only
EA1031,NO,YES,YES,draw_only
EA1033,NO,YES,YES,draw_only
EA1035,NO,YES,YES,draw_only
EA1037,NO,YES,YES,draw_only
EA1038,NO,YES,YES,draw_only
EA1039,NO,YES,YES,draw_only
EA1040,NO,YES,NO,draw_only
EA1044,NO,YES,YES,draw_only
EA1049,NO,YES,YES,draw_only
EA1052,NO,YES,NO,draw_only
EA1053,NO,NO,YES,active_database_only
EA1054,NO,YES,YES,draw_only
EA1056,NO,YES,YES,draw_only
EA1058,NO,YES,YES,draw_only
EA1060,NO,YES,YES,draw_only
EA1061,NO,YES,YES,draw_only
EA1063,NO,YES,YES,draw_only
EA1064,NO,YES,YES,draw_only
EA1069,NO,YES,YES,draw_only
EA1073,NO,YES,YES,draw_only
EA1074,NO,YES,NO,draw_only
EA1075,NO,YES,YES,draw_only
EA1076,NO,YES,YES,draw_only
EA1077,NO,YES,YES,draw_only
EA1078,NO,YES,YES,draw_only
EA1079,NO,YES,YES,draw_only
EA1080,NO,YES,YES,draw_only
EA1081,NO,YES,YES,draw_only
EA1082,NO,YES,YES,draw_only
EA1084,NO,YES,YES,draw_only
EA1085,NO,YES,YES,draw_only
EA1087,NO,YES,YES,draw_only
EA1089,NO,YES,YES,draw_only
EA1090,NO,YES,YES,draw_only
EA1091,NO,YES,NO,draw_only
EA1094,NO,YES,YES,draw_only
EA1098,NO,YES,NO,draw_only
EA1099,NO,YES,NO,draw_only
EA1100,NO,YES,NO,draw_only
EA1101,NO,YES,YES,draw_only
EA1106,NO,NO,YES,active_database_only
EA1110,NO,YES,YES,draw_only
EA1111,NO,YES,YES,draw_only
EA1112,NO,YES,YES,draw_only
EA1113,NO,YES,YES,draw_only
EA1114,NO,YES,YES,draw_only
EA1116,NO,YES,NO,draw_only
EA1117,NO,YES,YES,draw_only
EA1118,NO,YES,YES,draw_only
EA1119,NO,YES,YES,draw_only
EA1120,NO,YES,YES,draw_only
EA1121,NO,YES,YES,draw_only
EA1122,NO,YES,YES,draw_only
EA1124,NO,YES,YES,draw_only
EA1125,NO,YES,YES,draw_only
EA1126,NO,YES,NO,draw_only
EA1129,NO,YES,YES,draw_only
EA1130,NO,YES,YES,draw_only
EA1131,NO,YES,YES,draw_only
EA1132,NO,YES,YES,draw_only
EA1134,NO,YES,YES,draw_only
EA1135,NO,YES,YES,draw_only
EA1136,NO,YES,YES,draw_only
EA1137,NO,YES,YES,draw_only
EA1138,NO,YES,YES,draw_only
EA1139,NO,YES,YES,draw_only
EA1140,NO,YES,YES,draw_only
EA1141,NO,YES,YES,draw_only
EA1142,NO,YES,YES,draw_only
EA1143,NO,YES,YES,draw_only
EA1144,NO,YES,NO,draw_only
EA1145,NO,YES,YES,draw_only
EA1146,NO,YES,YES,draw_only
EA1147,NO,YES,YES,draw_only
EA1149,NO,YES,YES,draw_only
EA1151,NO,YES,YES,draw_only
EA1153,NO,YES,YES,draw_only
EA1155,NO,YES,NO,draw_only
EA1156,NO,YES,YES,draw_only
EA1157,NO,YES,YES,draw_only
EA1158,NO,YES,YES,draw_only
EA1159,NO,YES,YES,draw_only
EA1160,NO,YES,YES,draw_only
EA1161,NO,YES,YES,draw_only
EA1162,NO,YES,YES,draw_only
EA1163,NO,YES,YES,draw_only
EA1164,NO,YES,YES,draw_only
EA1165,NO,YES,YES,draw_only
EA1166,NO,YES,YES,draw_only
EA1167,NO,YES,YES,draw_only
EA1168,NO,YES,YES,draw_only
EA1170,NO,YES,YES,draw_only
EA1171,NO,YES,YES,draw_only
EA1172,NO,YES,YES,draw_only
EA1174,NO,YES,YES,draw_only
EA1175,NO,YES,YES,draw_only
EA1176,NO,YES,NO,draw_only
EA1177,NO,YES,YES,draw_only
EA1180,NO,NO,YES,active_database_only
EA1187,NO,YES,YES,draw_only
EA1189,NO,YES,YES,draw_only
EA1192,NO,YES,YES,draw_only
EA1193,NO,YES,YES,draw_only
EA1194,NO,YES,NO,draw_only
EA1196,NO,YES,YES,draw_only
EA1198,NO,YES,YES,draw_only
EA1200,NO,NO,YES,active_database_only
EA1201,NO,YES,YES,draw_only
EA1203,NO,YES,YES,draw_only
EA1204,NO,YES,YES,draw_only
EA1205,NO,YES,NO,draw_only
EA1206,NO,YES,YES,draw_only
EA1207,NO,YES,YES,draw_only
EA1208,NO,YES,YES,draw_only
EA1209,NO,YES,YES,draw_only
EA1217,NO,YES,YES,draw_only
EA1220,NO,NO,YES,active_database_only
EA1221,NO,NO,YES,active_database_only
EA1222,NO,YES,YES,draw_only
EA1223,NO,YES,YES,draw_only
EA1224,NO,YES,YES,draw_only
EA1225,NO,YES,YES,draw_only
EA1226,NO,YES,YES,draw_only
EA1227,NO,YES,NO,draw_only
EA1228,NO,YES,YES,draw_only
EA1229,NO,YES,YES,draw_only
EA1231,NO,YES,YES,draw_only
EA1233,NO,YES,YES,draw_only
EA1234,NO,YES,YES,draw_only
EA1235,NO,YES,YES,draw_only
EA1236,NO,YES,YES,draw_only
EA1237,NO,YES,YES,draw_only
EA1239,NO,YES,YES,draw_only
EA1240,NO,YES,YES,draw_only
EA1242,NO,YES,YES,draw_only
EA1243,NO,YES,YES,draw_only
EA1244,NO,YES,YES,draw_only
EA1245,NO,YES,YES,draw_only
EA1250,NO,YES,YES,draw_only
EA1251,NO,YES,YES,draw_only
EA1252,NO,YES,NO,draw_only
EA1253,NO,YES,NO,draw_only
EA1254,NO,YES,YES,draw_only
EA1255,NO,YES,NO,draw_only
EA1256,NO,YES,YES,draw_only
EA1257,NO,YES,YES,draw_only
EA1258,NO,NO,YES,active_database_only
EA1259,NO,NO,YES,active_database_only
EA1260,NO,NO,YES,active_database_only
EA1261,NO,NO,YES,active_database_only
EA1263,NO,NO,YES,active_database_only
EA1264,NO,NO,YES,active_database_only
EA1265,NO,NO,YES,active_database_only
EA1266,NO,NO,YES,active_database_only
EA1267,NO,NO,YES,active_database_only
EA1268,NO,NO,YES,active_database_only
EA1269,NO,NO,YES,active_database_only
EA1270,NO,NO,YES,active_database_only
EA1271,NO,NO,YES,active_database_only
EA1272,NO,NO,YES,active_database_only
EA1273,NO,NO,YES,active_database_only
EA1274,NO,NO,YES,active_database_only
EA1276,NO,NO,YES,active_database_only
EA1277,NO,NO,YES,active_database_only
EA1278,NO,NO,YES,active_database_only
EA1279,NO,NO,YES,active_database_only
EA1280,NO,NO,YES,active_database_only
EA1281,NO,NO,YES,active_database_only
EA1282,NO,NO,YES,active_database_only
EA1283,NO,NO,YES,active_database_only
EA1284,NO,NO,YES,active_database_only
EA1285,NO,NO,YES,active_database_only
EA1286,NO,NO,YES,active_database_only
EA1287,NO,NO,YES,active_database_only
EA1288,NO,NO,YES,active_database_only
EA1289,NO,NO,YES,active_database_only
EA1290,NO,NO,YES,active_database_only
EA1291,NO,NO,YES,active_database_only
EA1292,NO,NO,YES,active_database_only
