guidebook_code,guidebook_prefix,guidebook_species_inferred,guidebook_hunt_name_candidate,guidebook_page,guidebook_line
DB1625,DB,Deer,Cedar/Stansbury (new),41,Cedar/Stansbury (new) DB1625 Oct. 18-Oct. 26
DB1599,DB,Deer,Chalk Creek,41,Chalk Creek DB1599 Oct. 18-Oct. 26
DB1603,DB,Deer,East Canyon,41,East Canyon DB1603 Oct. 18-Oct. 26
DB1536,DB,Deer,Fillmore,41,Fillmore DB1536 Oct. 18-Oct. 26
DB1549,DB,Deer,Fishlake,41,Fishlake DB1549 Oct. 18-Oct. 26
DB1538,DB,Deer,Kamas,41,Kamas DB1538 Oct. 18-Oct. 26
DB1539,DB,Deer,"La Sal, La Sal Mtns",41,"La Sal, La Sal Mtns DB1539 Oct. 18-Oct. 26"
DB1533,DB,Deer,Manti/San Rafael,41,Manti/San Rafael DB1533 Oct. 18-Oct. 26
DB1540,DB,Deer,Monroe,41,Monroe DB1540 Oct. 18-Oct. 26
DB1607,DB,Deer,Morgan-South Rich,41,Morgan-South Rich DB1607 Oct. 18-Oct. 26
DB1541,DB,Deer,Mt Dutton,41,Mt Dutton DB1541 Oct. 18-Oct. 26
DB1534,DB,Deer,Nebo,41,Nebo DB1534 Oct. 18-Oct. 26
DB1542,DB,Deer,Nine Mile,41,Nine Mile DB1542 Oct. 18-Oct. 26
DB1543,DB,Deer,North Slope,41,North Slope DB1543 Oct. 18-Oct. 26
DB1544,DB,Deer,Ogden,41,Ogden DB1544 Oct. 18-Oct. 26
DB1622,DB,Deer,Oquirrh/Tintic (new),41,Oquirrh/Tintic (new) DB1622 Oct. 18-Oct. 26
DB1546,DB,Deer,Panguitch Lake,41,Panguitch Lake DB1546 Oct. 18-Oct. 26
DB1547,DB,Deer,Pine Valley,41,Pine Valley DB1547 Oct. 18-Oct. 26
DB1551,DB,Deer,"San Juan, Abajo Mtns",41,"San Juan, Abajo Mtns DB1551 Oct. 18-Oct. 26"
DB1554,DB,Deer,Southwest Desert,41,Southwest Desert DB1554 Oct. 18-Oct. 26
DB1552,DB,Deer,Vernal/Bonanza,41,Vernal/Bonanza DB1552 Oct. 18-Oct. 26
DB1555,DB,Deer,"Wasatch Mtns, East",41,"Wasatch Mtns, East DB1555 Oct. 18-Oct. 26"
DB1556,DB,Deer,"Wasatch Mtns, West",41,"Wasatch Mtns, West DB1556 Oct. 18-Oct. 26"
DB1619,DB,Deer,"West Desert, Swasey (new)",41,"West Desert, Swasey (new) DB1619 Oct. 18-Oct. 26"
DB1553,DB,Deer,Yellowstone,41,Yellowstone DB1553 Oct. 18-Oct. 26
DB1559,DB,Deer,Zion,41,Zion DB1559 Oct. 18-Oct. 26
DB1612,DB,Deer,"Beaver, East (new)",42,"Beaver, East (new) DB1612 Sept. 24-Oct. 2"
DB1561,DB,Deer,Box Elder,42,Box Elder DB1561 Sept. 24-Oct. 2
DB1624,DB,Deer,Cedar/Stansbury (new),42,Cedar/Stansbury (new) DB1624 Sept. 24-Oct. 2
DB1602,DB,Deer,Chalk Creek,42,Chalk Creek DB1602 Sept. 24-Oct. 2
DB1606,DB,Deer,East Canyon,42,East Canyon DB1606 Sept. 24-Oct. 2
DB1566,DB,Deer,Fillmore,42,Fillmore DB1566 Sept. 24-Oct. 2
DB1579,DB,Deer,Fishlake,42,Fishlake DB1579 Sept. 24-Oct. 2
DB1568,DB,Deer,Kamas,42,Kamas DB1568 Sept. 24-Oct. 2
DB1569,DB,Deer,"La Sal, La Sal Mtns",42,"La Sal, La Sal Mtns DB1569 Sept. 24-Oct. 2"
DB1563,DB,Deer,Manti/San Rafael,42,Manti/San Rafael DB1563 Sept. 24-Oct. 2
DB1570,DB,Deer,Monroe,42,Monroe DB1570 Sept. 24-Oct. 2
DB1610,DB,Deer,Morgan-South Rich,42,Morgan-South Rich DB1610 Sept. 24-Oct. 2
DB1571,DB,Deer,Mt Dutton,42,Mt Dutton DB1571 Sept. 24-Oct. 2
DB1564,DB,Deer,Nebo,42,Nebo DB1564 Sept. 24-Oct. 2
DB1572,DB,Deer,Nine Mile,42,Nine Mile DB1572 Sept. 24-Oct. 2
DB1573,DB,Deer,North Slope,42,North Slope DB1573 Sept. 24-Oct. 2
DB1574,DB,Deer,Ogden,42,Ogden DB1574 Sept. 24-Oct. 2
DB1621,DB,Deer,Oquirrh/Tintic (new),42,Oquirrh/Tintic (new) DB1621 Sept. 24-Oct. 2
DB1576,DB,Deer,Panguitch Lake,42,Panguitch Lake DB1576 Sept. 24-Oct. 2
DB1577,DB,Deer,Pine Valley,42,Pine Valley DB1577 Sept. 24-Oct. 2
DB1581,DB,Deer,"San Juan, Abajo Mtns",42,"San Juan, Abajo Mtns DB1581 Sept. 24-Oct. 2"
DB1584,DB,Deer,Southwest Desert,42,Southwest Desert DB1584 Sept. 24-Oct. 2
DB1616,DB,Deer,"Beaver, West (new)",42,"Beaver, West (new) DB1616 Oct. 18-Oct. 26"
DB1629,DB,Deer,Boulder/Kaiparowits (new),42,Boulder/Kaiparowits (new) DB1629 Oct. 18-Oct. 26
DB1627,DB,Deer,Cache (new),42,Cache (new) DB1627 Oct. 18-Oct. 26
DB1582,DB,Deer,Vernal/Bonanza,43,Vernal/Bonanza DB1582 Sept. 24-Oct. 2
DB1585,DB,Deer,"Wasatch Mtns, East",43,"Wasatch Mtns, East DB1585 Sept. 24-Oct. 2"
DB1586,DB,Deer,"Wasatch Mtns, West",43,"Wasatch Mtns, West DB1586 Sept. 24-Oct. 2"
DB1618,DB,Deer,"West Desert, Swasey (new)",43,"West Desert, Swasey (new) DB1618 Sept. 24-Oct. 2"
DB1583,DB,Deer,Yellowstone,43,Yellowstone DB1583 Sept. 24-Oct. 2
DB1589,DB,Deer,Zion,43,Zion DB1589 Sept. 24-Oct. 2
DB1615,DB,Deer,"Beaver, West (new)",43,"Beaver, West (new) DB1615 Sept. 24-Oct. 2"
DB1630,DB,Deer,Boulder/Kaiparowits (new),43,Boulder/Kaiparowits (new) DB1630 Sept. 24-Oct. 2
DB1628,DB,Deer,Cache (new),43,Cache (new) DB1628 Sept. 24-Oct. 2
DB1802,DB,Deer,"Beaver, East (new)",43,"Beaver, East (new) DB1802"
DB1803,DB,Deer,"Beaver, West* (new)",43,"Beaver, West* (new) DB1803"
DB1787,DB,Deer,Boulder/Kaiparowits,43,Boulder/Kaiparowits* DB1787
DB1770,DB,Deer,Box Elder,43,Box Elder DB1770
DB1771,DB,Deer,Cache,43,Cache* DB1771
DB1804,DB,Deer,Cedar/Stansbury (new),43,Cedar/Stansbury (new) DB1804
DB1799,DB,Deer,Chalk Creek,43,Chalk Creek DB1799
DB1800,DB,Deer,East Canyon,43,East Canyon DB1800
DB1775,DB,Deer,Fillmore,43,Fillmore DB1775
DB1788,DB,Deer,Fishlake,43,Fishlake DB1788
DB1777,DB,Deer,Kamas,44,Kamas DB1777
DB1778,DB,Deer,"La Sal, La Sal Mtns",44,"La Sal, La Sal Mtns DB1778"
DB1772,DB,Deer,Manti/San Rafael,44,Manti/San Rafael DB1772
DB1779,DB,Deer,Monroe,44,Monroe DB1779
DB1801,DB,Deer,Morgan-South Rich,44,Morgan-South Rich DB1801
DB1780,DB,Deer,Mt Dutton,44,Mt Dutton DB1780
DB1773,DB,Deer,Nebo,44,Nebo DB1773
DB1781,DB,Deer,Nine Mile,44,Nine Mile DB1781
DB1782,DB,Deer,North Slope,44,North Slope DB1782
DB1783,DB,Deer,Ogden,44,Ogden DB1783
DB1805,DB,Deer,Oquirrh/Tintic (new),44,Oquirrh/Tintic (new) DB1805
DB1785,DB,Deer,Panguitch Lake,44,Panguitch Lake DB1785
DB1786,DB,Deer,Pine Valley,44,Pine Valley DB1786
DB1790,DB,Deer,"San Juan, Abajo Mtns",44,"San Juan, Abajo Mtns DB1790"
DB1793,DB,Deer,Southwest Desert,44,Southwest Desert DB1793
DB1791,DB,Deer,Vernal/Bonanza,44,Vernal/Bonanza DB1791
DB1794,DB,Deer,"Wasatch Mtns, East",44,"Wasatch Mtns, East DB1794"
DB1795,DB,Deer,"Wasatch Mtns, West",44,"Wasatch Mtns, West DB1795"
DB1806,DB,Deer,"West Desert, Swasey (new)",44,"West Desert, Swasey (new) DB1806"
DB1792,DB,Deer,Yellowstone,44,Yellowstone DB1792
DB1798,DB,Deer,Zion,44,Zion DB1798
DB1000,DB,Deer,Henry Mtns,45,Henry Mtns DB1000 Aug. 16-Sept. 12
DB1001,DB,Deer,Paunsaugunt,45,Paunsaugunt DB1001 Aug. 16-Sept. 12
DB1002,DB,Deer,Antelope Island,45,Antelope Island DB1002 Nov. 12-Nov. 19
DB1003,DB,Deer,Henry Mtns,45,Henry Mtns DB1003 Oct. 18-Oct. 26
DB1004,DB,Deer,Paunsaugunt,45,Paunsaugunt DB1004 Oct. 18-Oct. 31
DB1005,DB,Deer,Henry Mtns,45,Henry Mtns DB1005 Sept. 24-Oct. 2
DB1006,DB,Deer,Paunsaugunt,45,Paunsaugunt DB1006 Sept. 24-Oct. 2
DB1007,DB,Deer,Henry Mtns,45,"Henry Mtns DB1007 See DB1000, DB1003 and DB1005"
DB1000,DB,Deer,Henry Mtns DB1007 See,45,"Henry Mtns DB1007 See DB1000, DB1003 and DB1005"
DB1003,DB,Deer,"Henry Mtns DB1007 See DB1000,",45,"Henry Mtns DB1007 See DB1000, DB1003 and DB1005"
DB1005,DB,Deer,"Henry Mtns DB1007 See DB1000, DB1003 and",45,"Henry Mtns DB1007 See DB1000, DB1003 and DB1005"
DB1008,DB,Deer,Paunsaugunt,45,"Paunsaugunt DB1008 See DB1001, DB1004 and DB1006"
DB1001,DB,Deer,Paunsaugunt DB1008 See,45,"Paunsaugunt DB1008 See DB1001, DB1004 and DB1006"
DB1004,DB,Deer,"Paunsaugunt DB1008 See DB1001,",45,"Paunsaugunt DB1008 See DB1001, DB1004 and DB1006"
DB1006,DB,Deer,"Paunsaugunt DB1008 See DB1001, DB1004 and",45,"Paunsaugunt DB1008 See DB1001, DB1004 and DB1006"
DB1073,DB,Deer,Paunsaugunt (archery),46,Paunsaugunt (archery) DB1073 Aug. 16-Sept. 12
DB1074,DB,Deer,Paunsaugunt (muzzleloader),46,Paunsaugunt (muzzleloader) DB1074 Sept. 24-Oct. 2
DB1009,DB,Deer,Henry Mtns (any legal weapon) (new),46,Henry Mtns (any legal weapon) (new) DB1009 Oct. 27-Oct. 31
DB1010,DB,Deer,Paunsaugunt (any legal weapon),46,Paunsaugunt (any legal weapon) DB1010 Nov. 1-Nov. 20
DB1058,DB,Deer,Paunsaugunt,46,Paunsaugunt DB1058 Nov. 1-Nov. 20
DB1011,DB,Deer,Book Cliffs,46,Book Cliffs DB1011 Aug. 16-Sept. 12
DB1015,DB,Deer,Diamond Mtn,46,Diamond Mtn DB1015 Aug. 16-Sept. 12
DB1012,DB,Deer,"Fillmore, Oak Creek LE",46,"Fillmore, Oak Creek LE DB1012 Aug. 16-Sept. 12"
DB1013,DB,Deer,"La Sal, Dolores Triangle",46,"La Sal, Dolores Triangle DB1013 Nov. 1-Nov. 14"
DB1014,DB,Deer,"San Juan, Elk Ridge",46,"San Juan, Elk Ridge DB1014 Aug. 16-Sept. 12"
DB1016,DB,Deer,"West Desert, Vernon",46,"West Desert, Vernon DB1016 Aug. 16-Sept. 12"
DB1106,DB,Deer,Thousand Lakes (new),46,Thousand Lakes (new) DB1106 Aug. 16-Sept. 12
DB1017,DB,Deer,"Book Cliffs, North",47,"Book Cliffs, North DB1017 Oct. 18-Oct. 26"
DB1018,DB,Deer,"Book Cliffs, South",47,"Book Cliffs, South DB1018 Oct. 18-Oct. 26"
DB1023,DB,Deer,Diamond Mtn,47,Diamond Mtn DB1023 Oct. 18-Oct. 26
DB1019,DB,Deer,"Fillmore, Oak Creek LE",47,"Fillmore, Oak Creek LE DB1019 Oct. 18-Oct. 26"
DB1115,DB,Deer,"Henry Mtns, Little Rockies (new)",47,"Henry Mtns, Little Rockies (new) DB1115 Nov. 8-Nov. 30"
DB1120,DB,Deer,"La Sal, Castle Valley (new)",47,"La Sal, Castle Valley (new)* DB1120 Nov. 8-Nov. 23"
DB1020,DB,Deer,"La Sal, Dolores Triangle",47,"La Sal, Dolores Triangle DB1020 Nov. 15-Nov. 23"
DB1119,DB,Deer,"La Sal, Moab Valley (new)",47,"La Sal, Moab Valley (new)* DB1119 Nov. 8-Nov. 23"
DB1022,DB,Deer,"San Juan, Elk Ridge",47,"San Juan, Elk Ridge DB1022 Oct. 18-Oct. 26"
DB1024,DB,Deer,"West Desert, Vernon",47,"West Desert, Vernon DB1024 Oct. 18-Oct. 26"
DB1108,DB,Deer,Thousand Lakes (new),47,Thousand Lakes (new) DB1108 Oct. 18-Oct. 26
DB1025,DB,Deer,Book Cliffs,47,Book Cliffs DB1025 Sept. 24-Oct. 2
DB1026,DB,Deer,"Cache, Crawford Mtn",47,"Cache, Crawford Mtn DB1026 Nov. 8-Nov. 23"
DB1038,DB,Deer,Diamond Mtn,47,Diamond Mtn DB1038 Sept. 24-Oct. 2
DB1029,DB,Deer,"Fillmore, Oak Creek LE",47,"Fillmore, Oak Creek LE DB1029 Sept. 24-Oct. 2"
DB1031,DB,Deer,"La Sal, Dolores Triangle",47,"La Sal, Dolores Triangle DB1031 Nov. 24-Dec. 2"
DB1037,DB,Deer,"San Juan, Elk Ridge",47,"San Juan, Elk Ridge DB1037 Sept. 24-Oct. 2"
DB1042,DB,Deer,"West Desert, Vernon",47,"West Desert, Vernon DB1042 Sept. 24-Oct. 2"
DB1107,DB,Deer,Thousand Lakes (new),47,Thousand Lakes (new) DB1107 Sept. 24-Oct. 2
DB1110,DB,Deer,"Beaver, East (new)",48,"Beaver, East (new) DB1110 Oct. 29-Nov. 6"
DB1111,DB,Deer,"Beaver, West (new)",48,"Beaver, West (new) DB1111 Oct. 29-Nov. 6"
DB1084,DB,Deer,Boulder/Kaiparowits,48,Boulder/Kaiparowits DB1084 Oct. 29-Nov. 6
DB1077,DB,Deer,Box Elder,48,Box Elder DB1077 Oct. 29-Nov. 6
DB1078,DB,Deer,Cache,48,Cache DB1078 Oct. 29-Nov. 6
DB1114,DB,Deer,Cedar/Stansbury (new),48,Cedar/Stansbury (new) DB1114 Oct. 29-Nov. 6
DB1100,DB,Deer,Chalk Creek,48,Chalk Creek DB1100 Oct. 29-Nov. 6
DB1101,DB,Deer,East Canyon,48,East Canyon DB1101 Oct. 29-Nov. 6
DB1028,DB,Deer,Fillmore,48,Fillmore DB1028 Oct. 29-Nov. 6
DB1055,DB,Deer,Fishlake,48,Fishlake DB1055 Oct. 29-Nov. 6
DB1030,DB,Deer,Kamas,48,Kamas DB1030 Oct. 29-Nov. 6
DB1081,DB,Deer,"La Sal, La Sal Mtns",48,"La Sal, La Sal Mtns DB1081 Oct. 29-Nov. 6"
DB1079,DB,Deer,Manti/San Rafael,48,Manti/San Rafael DB1079 Oct. 29-Nov. 6
DB1032,DB,Deer,Monroe,48,Monroe DB1032 Oct. 29-Nov. 6
DB1103,DB,Deer,Morgan-South Rich,48,Morgan-South Rich DB1103 Oct. 29-Nov. 6
DB1053,DB,Deer,Mt Dutton,48,Mt Dutton DB1053 Oct. 29-Nov. 6
DB1080,DB,Deer,Nebo,48,Nebo DB1080 Oct. 29-Nov. 6
DB1033,DB,Deer,Nine Mile,48,Nine Mile DB1033 Oct. 29-Nov. 6
DB1065,DB,Deer,North Slope,48,North Slope DB1065 Oct. 29-Nov. 6
DB1054,DB,Deer,Ogden,48,Ogden DB1054 Oct. 29-Nov. 6
DB1113,DB,Deer,Oquirrh/Tintic (new),48,Oquirrh/Tintic (new) DB1113 Oct. 29-Nov. 6
DB1083,DB,Deer,Panguitch Lake,48,Panguitch Lake DB1083 Oct. 29-Nov. 6
DB1034,DB,Deer,Pine Valley,48,Pine Valley DB1034 Oct. 29-Nov. 6
DB1085,DB,Deer,"San Juan, Abajo Mtns",48,"San Juan, Abajo Mtns DB1085 Oct. 29-Nov. 6"
DB1040,DB,Deer,Southwest Desert,48,Southwest Desert DB1040 Oct. 29-Nov. 6
DB1086,DB,Deer,Vernal/Bonanza,48,Vernal/Bonanza DB1086 Oct. 29-Nov. 6
DB1041,DB,Deer,"Wasatch Mtns, East",48,"Wasatch Mtns, East DB1041 Oct. 29-Nov. 6"
DB1087,DB,Deer,"Wasatch Mtns, West",49,"Wasatch Mtns, West DB1087 Oct. 29-Nov. 6"
DB1112,DB,Deer,"West Desert, Swasey (new)",49,"West Desert, Swasey (new) DB1112 Oct. 29-Nov. 6"
DB1039,DB,Deer,Yellowstone,49,Yellowstone DB1039 Oct. 29-Nov. 6
DB1043,DB,Deer,Zion,49,Zion DB1043 Oct. 29-Nov. 6
DB1044,DB,Deer,Book Cliffs,49,Book Cliffs* DB1044 All limited-entry seasons
DB1047,DB,Deer,Diamond Mtn,49,Diamond Mtn DB1047 All limited-entry seasons
DB1045,DB,Deer,"Fillmore, Oak Creek LE",49,"Fillmore, Oak Creek LE DB1045 All limited-entry seasons"
DB1046,DB,Deer,"San Juan, Elk Ridge",49,"San Juan, Elk Ridge* DB1046 All limited-entry seasons"
DB1048,DB,Deer,"West Desert, Vernon",49,"West Desert, Vernon DB1048 All limited-entry seasons"
DB1109,DB,Deer,Thousand Lakes (new),49,Thousand Lakes (new) DB1109 All limited-entry seasons
DB1090,DB,Deer,"Book Cliffs, Floy Canyon",49,"Book Cliffs, Floy Canyon DB1090 Nov. 8-Nov. 30"
DB1105,DB,Deer,East Canyon,49,East Canyon DB1105 Nov. 8-Nov. 30
DB1091,DB,Deer,Kaiparowits HAMSS,49,Kaiparowits HAMSS DB1091 Nov. 8-Nov. 30
DB1116,DB,Deer,"San Juan, Mancos Mesa (new)",49,"San Juan, Mancos Mesa (new) DB1116 Nov. 8-Nov. 30"
EB1007,EB,Elk,Draw-only youth any bull/hunter's choice elk,50,Draw-only youth any bull/hunter's choice elk* EB1007 Sept. 13-Sept. 23
EB3000,EB,Elk,"Beaver, East",50,"Beaver, East EB3000 Aug. 16-Sept. 16"
EB3160,EB,Elk,"Book Cliffs, Bitter Creek/East",50,"Book Cliffs, Bitter Creek/East EB3160 Aug. 16-Sept. 16"
EB3002,EB,Elk,"Book Cliffs, Little Creek Roadless",50,"Book Cliffs, Little Creek Roadless EB3002 Aug. 16-Sept. 16"
EB3145,EB,Elk,Boulder,50,Boulder EB3145 Aug. 16-Sept. 16
EB3130,EB,Elk,"Box Elder, Pilot Mtn",50,"Box Elder, Pilot Mtn EB3130 Aug. 16-Sept. 7"
EB3003,EB,Elk,"Cache, Meadowville",50,"Cache, Meadowville EB3003 Aug. 16-Sept. 16"
EB3005,EB,Elk,"Cache, South",50,"Cache, South EB3005 Aug. 16-Sept. 16"
EB3020,EB,Elk,Diamond Mtn,50,Diamond Mtn EB3020 Aug. 16-Sept. 16
EB3008,EB,Elk,"Fillmore, Pahvant",50,"Fillmore, Pahvant EB3008 Aug. 16-Sept. 16"
EB3018,EB,Elk,Fishlake/Thousand Lakes,50,Fishlake/Thousand Lakes EB3018 Aug. 16-Sept. 16
EB3009,EB,Elk,"La Sal, La Sal Mtns",50,"La Sal, La Sal Mtns EB3009 Aug. 16-Sept. 16"
EB3006,EB,Elk,Manti,50,Manti EB3006 Aug. 16-Sept. 16
EB3010,EB,Elk,Monroe,50,Monroe EB3010 Aug. 16-Sept. 16
EB3011,EB,Elk,Mt Dutton,50,Mt Dutton EB3011 Aug. 16-Sept. 16
EB3173,EB,Elk,Nebo/San Pitch Mtns,50,Nebo/San Pitch Mtns EB3173 Aug. 16-Sept. 16
EB3013,EB,Elk,"North Slope, Three Corners",50,"North Slope, Three Corners EB3013 Aug. 16-Sept. 16"
EB3015,EB,Elk,Panguitch Lake,50,Panguitch Lake EB3015 Aug. 16-Sept. 16
EB3019,EB,Elk,San Juan Bull Elk,50,San Juan Bull Elk EB3019 Aug. 16-Sept. 16
EB3146,EB,Elk,"Southwest Desert, South",50,"Southwest Desert, South EB3146 Aug. 16-Sept. 16"
EB3022,EB,Elk,Wasatch Mtns,50,Wasatch Mtns EB3022 Aug. 16-Sept. 16
EB3135,EB,Elk,Barney Top/Kaiparowits,51,Barney Top/Kaiparowits EB3135 Sept. 1-Sept. 30
EB3132,EB,Elk,"Cache, North",51,"Cache, North EB3132 Sept. 1-Sept. 30"
EB3136,EB,Elk,"Southwest Desert, North",51,"Southwest Desert, North EB3136 Sept. 1-Sept. 30"
EB3137,EB,Elk,"West Desert, Deep Creek",51,"West Desert, Deep Creek EB3137 Sept. 1-Sept. 30"
EB3158,EB,Elk,"Beaver, East",51,"Beaver, East EB3158 Nov. 29-Dec. 14"
EB3161,EB,Elk,"Book Cliffs, Bitter Creek/East",51,"Book Cliffs, Bitter Creek/East EB3161 Nov. 29-Dec. 14"
EB3190,EB,Elk,Boulder,51,Boulder EB3190 Nov. 29-Dec. 14
EB3168,EB,Elk,"Cache, Meadowville",51,"Cache, Meadowville EB3168 Nov. 29-Dec. 14"
EB3170,EB,Elk,"Cache, South",51,"Cache, South EB3170 Nov. 29-Dec. 14"
EB3195,EB,Elk,Diamond Mtn,51,Diamond Mtn EB3195 Nov. 29-Dec. 14
EB3180,EB,Elk,"Fillmore, Pahvant",51,"Fillmore, Pahvant EB3180 Nov. 29-Dec. 14"
EB3192,EB,Elk,Fishlake/Thousand Lakes,51,Fishlake/Thousand Lakes EB3192 Nov. 29-Dec. 14
EB3182,EB,Elk,"La Sal, La Sal Mtns",51,"La Sal, La Sal Mtns EB3182 Nov. 29-Dec. 14"
EB3172,EB,Elk,Manti,51,Manti EB3172 Nov. 29-Dec. 14
EB3184,EB,Elk,Monroe,51,Monroe EB3184 Nov. 29-Dec. 14
EB3186,EB,Elk,Mt Dutton,51,Mt Dutton EB3186 Nov. 29-Dec. 14
EB3174,EB,Elk,Nebo/San Pitch Mtns,51,Nebo/San Pitch Mtns EB3174 Nov. 29-Dec. 14
EB3188,EB,Elk,Panguitch Lake,51,Panguitch Lake EB3188 Nov. 29-Dec. 14
EB3193,EB,Elk,San Juan Bull Elk,51,San Juan Bull Elk EB3193 Nov. 29-Dec. 14
EB3197,EB,Elk,"Southwest Desert, South",51,"Southwest Desert, South EB3197 Nov. 29-Dec. 14"
EB3199,EB,Elk,Wasatch Mtns,51,Wasatch Mtns EB3199 Nov. 29-Dec. 14
EB3024,EB,Elk,"Beaver, East",52,"Beaver, East EB3024 Sept. 17-Sept. 21"
EB3162,EB,Elk,"Book Cliffs, Bitter Creek/East",52,"Book Cliffs, Bitter Creek/East EB3162 Sept. 17-Sept. 21"
EB3028,EB,Elk,"Book Cliffs, Little Creek Roadless",52,"Book Cliffs, Little Creek Roadless EB3028 Sept. 17-Sept. 21"
EB3148,EB,Elk,Boulder,52,Boulder EB3148 Sept. 17-Sept. 21
EB3147,EB,Elk,"Box Elder, Grouse Creek",52,"Box Elder, Grouse Creek EB3147 Sept. 17-Sept. 21"
EB3031,EB,Elk,"Box Elder, Pilot Mtn",52,"Box Elder, Pilot Mtn EB3031 Sept. 13-Oct. 3"
