hunt_code,hunt_name,species,hunt_type,weapon,sex_type,boundary_id,in_2026_database_universe,has_2025_historical_permits,has_2026_current_permits,comparison_status,comparison_confidence,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permit_delta_total_exact_or_candidate,permit_delta_basis,mapped_2025_historical_codes,mapped_2025_historical_totals,mapped_2025_historical_total_sum_candidate,crosswalk_status,crosswalk_confidence,crosswalk_method,review_priority,review_reason
EB3167,"Book Cliffs, Little Creek Roadless",Elk,Limited Entry,Mid Any Legal Weapon,Bull,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,1,4,2025_DRAW_RESULTS_TABLES,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EL3002,Book Cliffs Little Creek Roadless,Elk,Limited Entry - Private Land Only,Archery,Bull,12,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,16,,13,CROSSWALK_CANDIDATE_SUM,EB3002,EB3002:3,3,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3028,Book Cliffs Little Creek Roadless,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,12,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,21,,19,CROSSWALK_CANDIDATE_SUM,EB3028,EB3028:2,2,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3079,Book Cliffs Little Creek Roadless,Elk,Limited Entry - Private Land Only,Muzzleloader,Bull,12,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,3,,1,CROSSWALK_CANDIDATE_SUM,EB3079,EB3079:2,2,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
EL3167,Book Cliffs Little Creek Roadless,Elk,Limited Entry - Private Land Only,Any Legal Weapon,Bull,12,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,HIGH,,,,,,,16,,12,CROSSWALK_CANDIDATE_SUM,EB3167,EB3167:4,4,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
DB1018,"Book Cliffs, South",Deer,Limited Entry,Any Legal Weapon,Buck,15,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,27,2,29,2025_DRAW_RESULTS_TABLES,34,4,38,2026_RAC_CURRENT_YEAR_ALLOTMENT,9,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5002,"Book Cliffs, South",Pronghorn,Limited Entry,Archery,Buck,15,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,7,1,8,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5027,"Book Cliffs, South",Pronghorn,Limited Entry,Any Legal Weapon,Buck,15,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,31,3,34,2025_DRAW_RESULTS_TABLES,34,4,38,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Conservation,Any Legal Weapon,Male Only,15,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,MEDIUM,,,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,-5,CROSSWALK_CANDIDATE_SUM,RS6701,RS6701:6,6,PROMOTED_PINNED_CANDIDATE,MEDIUM,pinned_candidate,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
RS6701,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,15,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,1,6,2025_DRAW_RESULTS_TABLES,5,1,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1266,"Box Elder, Hansel Mtn",Elk,General Season,Any Legal Weapon,Antlerless,18,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,18,2,20,2025_DRAW_RESULTS_TABLES,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,10,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA2026,"Box Elder, Hansel Mtn",Elk,Private Lands Only,Any Legal Weapon,Antlerless,18,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,General Season,Any Legal Weapon,Either Sex,20,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,4,1,5,2025_DRAW_RESULTS_TABLES,4,1,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Conservation,Any Legal Weapon,Male Only,20,YES,NO,YES,CURRENT_2026_CODE_WITH_MAPPED_2025_HISTORY,MEDIUM,,,,,1,0,1,Utah DWR 2025-2027 Conservation Permit Database,-2,CROSSWALK_CANDIDATE_SUM,RS6703,RS6703:3,3,PROMOTED_PINNED_CANDIDATE,MEDIUM,pinned_candidate,MEDIUM,"No exact 2025 permit value on current code, but promoted crosswalk maps it to 2025 history."
RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,20,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,0,3,2025_DRAW_RESULTS_TABLES,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,20,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,1,4,2025_DRAW_RESULTS_TABLES,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Archery,Either Sex,20,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,General Season,Archery,Antlerless,21,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,20,0,20,2025_DRAW_RESULTS_TABLES,,,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1033,"San Juan, Monticello",Deer,General Season,Archery,Antlerless,23,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,,,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1042,"San Juan, Monticello",Deer,General Season,Archery,Antlerless,23,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,,,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5003,"Box Elder, Promontory",Pronghorn,Limited Entry,Archery,Buck,24,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,0,3,2025_DRAW_RESULTS_TABLES,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5028,"Box Elder, Promontory",Pronghorn,Limited Entry,Any Legal Weapon,Buck,24,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,14,2,16,2025_DRAW_RESULTS_TABLES,14,2,16,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PD1012,"Box Elder, Promontory",Pronghorn,General Season,Any Legal Weapon,Doe,24,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,22,3,25,2025_DRAW_RESULTS_TABLES,18,2,20,2026_RAC_CURRENT_YEAR_ALLOTMENT,-5,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5004,"Box Elder, Puddle Valley",Pronghorn,Limited Entry,Archery,Buck,25,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,1,4,2025_DRAW_RESULTS_TABLES,3,1,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5029,"Box Elder, Puddle Valley",Pronghorn,Limited Entry,Any Legal Weapon,Buck,25,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,14,2,16,2025_DRAW_RESULTS_TABLES,14,2,16,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5005,"Box Elder, Snowville",Pronghorn,Limited Entry,Archery,Buck,27,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,9,1,10,2025_DRAW_RESULTS_TABLES,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5030,"Box Elder, Snowville",Pronghorn,Limited Entry,Any Legal Weapon,Buck,27,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,27,3,30,2025_DRAW_RESULTS_TABLES,28,3,31,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PB5080,"Box Elder, Snowville",Pronghorn,Limited Entry,Muzzleloader,Buck,27,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,6,7,2025_DRAW_RESULTS_TABLES,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
PD1000,"Box Elder, Snowville",Pronghorn,General Season,Any Legal Weapon,Doe,27,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,72,8,80,2025_DRAW_RESULTS_TABLES,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,-40,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1001,"Box Elder, West Bear River",Deer,General Season,"Archery, Muzzleloader, Shotgun",Antlerless,28,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,26,0,26,2025_DRAW_RESULTS_TABLES,,,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1002,"Box Elder, West Bear River",Deer,General Season,"Archery, Muzzleloader, Shotgun",Antlerless,28,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,30,0,30,2025_DRAW_RESULTS_TABLES,,,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1078,Cache,Deer,Limited Entry,Muzzleloader,Buck,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,9,1,10,2025_DRAW_RESULTS_TABLES,11,1,12,,2,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1502,Cache,Deer,General Season,Archery,Buck,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,876,42,918,2025_DRAW_RESULTS_TABLES,,,1160,,242,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1627,Cache,Deer,General Season,Restricted Rifle,Buck,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2647,58,2705,2025_DRAW_RESULTS_TABLES,,,3480,,775,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1628,Cache,Deer,General Season,Restricted Muzzleloader,Buck,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,383,16,399,2025_DRAW_RESULTS_TABLES,,,1160,,761,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1771,Cache,Deer,General Season,Dedicated Hunter,Buck,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,140,1,141,2025_DRAW_RESULTS_TABLES,,,588,,447,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA1267,Cache,Elk,General Season,Any Legal Weapon,Antlerless,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,81,9,90,2025_DRAW_RESULTS_TABLES,180,20,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,110,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EA2027,Cache,Elk,Private Lands Only,Any Legal Weapon,Antlerless,29,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,250,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
LO1502,Cache,Deer,General Season - Private Land Only,Archery,Buck,29,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
LO1627,Cache,Deer,General Season - Private Land Only,Restricted Rifle,Buck,29,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,2,,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
LO1628,Cache,Deer,General Season - Private Land Only,Restricted Muzzleloader,Buck,29,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,,,2,,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
MB6000,Cache,Moose,Once-in-a-lifetime,Any Legal Weapon,Bull,29,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,12,3,15,2025_DRAW_RESULTS_TABLES,14,3,17,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1026,"Cache, Crawford Mtn",Deer,Limited Entry,Muzzleloader,Buck,32,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,6,1,7,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3003,"Cache, Meadowville",Elk,Limited Entry,Archery,Bull,33,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,10,1,11,2025_DRAW_RESULTS_TABLES,9,1,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,-1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
