row_number,hunt_code,reported_hunt_year,species,source_family,source_file,flags,severity,harvest,hunters_afield,permits,percent_success,expected_success_pct
122,BR7003,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,3.0,19.0,42.0,266.667
123,BR7003,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,3.0,19.0,42.0,266.667
126,BR7003,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,3.0,19.0,42.0,266.667
127,BR7003,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,3.0,19.0,42.0,266.667
130,BR7004,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,10.0,0.0,14.0,71.0,
131,BR7004,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,10.0,0.0,14.0,71.0,
134,BR7004,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,10.0,0.0,14.0,71.0,
135,BR7004,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,10.0,0.0,14.0,71.0,
138,BR7005,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,2.0,0.0,12.0,17.0,
139,BR7005,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,2.0,0.0,12.0,17.0,
142,BR7005,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,2.0,0.0,12.0,17.0,
143,BR7005,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,2.0,0.0,12.0,17.0,
154,BR7008,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,6.0,45.0,47.0,350.000
155,BR7008,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,6.0,45.0,47.0,350.000
158,BR7008,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,6.0,45.0,47.0,350.000
159,BR7008,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,6.0,45.0,47.0,350.000
162,BR7009,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
163,BR7009,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
166,BR7009,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
167,BR7009,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
170,BR7010,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,9.0,33.0,300.000
171,BR7010,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,9.0,33.0,300.000
174,BR7010,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,9.0,33.0,300.000
175,BR7010,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,9.0,33.0,300.000
178,BR7011,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
179,BR7011,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
182,BR7011,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
183,BR7011,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
186,BR7012,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,28.0,21.0,600.000
187,BR7012,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,28.0,21.0,600.000
190,BR7012,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,28.0,21.0,600.000
191,BR7012,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,28.0,21.0,600.000
194,BR7013,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,4.0,25.0,
195,BR7013,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,4.0,25.0,
198,BR7013,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,4.0,25.0,
199,BR7013,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,4.0,25.0,
202,BR7014,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,4.0,45.0,47.0,525.000
203,BR7014,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,4.0,45.0,47.0,525.000
206,BR7014,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,4.0,45.0,47.0,525.000
207,BR7014,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,21.0,4.0,45.0,47.0,525.000
210,BR7015,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,13.0,46.0,600.000
211,BR7015,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,13.0,46.0,600.000
214,BR7015,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,13.0,46.0,600.000
215,BR7015,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,1.0,13.0,46.0,600.000
218,BR7016,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,13.0,5.0,37.0,35.0,260.000
219,BR7016,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,13.0,5.0,37.0,35.0,260.000
222,BR7016,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,13.0,5.0,37.0,35.0,260.000
223,BR7016,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,13.0,5.0,37.0,35.0,260.000
234,BR7018,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,2.0,7.0,43.0,150.000
235,BR7018,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,2.0,7.0,43.0,150.000
238,BR7018,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,2.0,7.0,43.0,150.000
239,BR7018,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,2.0,7.0,43.0,150.000
242,BR7100,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,2.0,10.0,50.0,250.000
243,BR7100,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,2.0,10.0,50.0,250.000
246,BR7100,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,2.0,10.0,50.0,250.000
247,BR7100,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,2.0,10.0,50.0,250.000
250,BR7101,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,2.0,15.0,40.0,300.000
251,BR7101,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,2.0,15.0,40.0,300.000
254,BR7101,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,2.0,15.0,40.0,300.000
255,BR7101,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,2.0,15.0,40.0,300.000
258,BR7102,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,2.0,50.0,100.000
259,BR7102,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,2.0,50.0,100.000
262,BR7102,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,2.0,50.0,100.000
263,BR7102,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,2.0,50.0,100.000
266,BR7104,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,4.0,3.0,13.0,31.0,133.333
267,BR7104,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,4.0,3.0,13.0,31.0,133.333
270,BR7104,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,4.0,3.0,13.0,31.0,133.333
271,BR7104,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,4.0,3.0,13.0,31.0,133.333
274,BR7105,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,8.0,14.0,71.0,125.000
275,BR7105,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,8.0,14.0,71.0,125.000
278,BR7105,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,8.0,14.0,71.0,125.000
279,BR7105,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,8.0,14.0,71.0,125.000
282,BR7106,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,2.0,11.0,73.0,400.000
283,BR7106,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,2.0,11.0,73.0,400.000
286,BR7106,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,2.0,11.0,73.0,400.000
287,BR7106,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,2.0,11.0,73.0,400.000
290,BR7108,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,19.0,12.0,27.0,70.0,158.333
291,BR7108,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,19.0,12.0,27.0,70.0,158.333
294,BR7108,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,19.0,12.0,27.0,70.0,158.333
295,BR7108,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,19.0,12.0,27.0,70.0,158.333
298,BR7109,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,3.0,33.0,100.000
299,BR7109,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,3.0,33.0,100.000
302,BR7109,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,3.0,33.0,100.000
303,BR7109,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,1.0,1.0,3.0,33.0,100.000
306,BR7110,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,7.0,3.0,14.0,50.0,233.333
307,BR7110,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,7.0,3.0,14.0,50.0,233.333
310,BR7110,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,7.0,3.0,14.0,50.0,233.333
311,BR7110,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,7.0,3.0,14.0,50.0,233.333
314,BR7111,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,2.0,3.0,67.0,100.000
315,BR7111,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,2.0,3.0,67.0,100.000
318,BR7111,2021,Black Bear,zip_long,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,2.0,3.0,67.0,100.000
319,BR7111,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,2.0,3.0,67.0,100.000
322,BR7112,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
323,BR7112,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
326,BR7112,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
327,BR7112,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS,WARNING,1.0,0.0,3.0,33.0,
330,BR7113,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
331,BR7113,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
334,BR7113,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
335,BR7113,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,3.0,100.0,300.000
338,BR7114,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,3.0,20.0,50.0,333.333
339,BR7114,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,3.0,20.0,50.0,333.333
342,BR7114,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,3.0,20.0,50.0,333.333
343,BR7114,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,10.0,3.0,20.0,50.0,333.333
346,BR7115,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,4.0,75.0,300.000
347,BR7115,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,4.0,75.0,300.000
350,BR7115,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,4.0,75.0,300.000
351,BR7115,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,3.0,1.0,4.0,75.0,300.000
354,BR7116,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,16.0,7.0,27.0,59.0,228.571
355,BR7116,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,16.0,7.0,27.0,59.0,228.571
358,BR7116,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,16.0,7.0,27.0,59.0,228.571
359,BR7116,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,16.0,7.0,27.0,59.0,228.571
