hunt_code,comparison_bucket,in_active_database_2026,harvest_species,harvest_hunt_name,harvest_weapon,harvest_permits,harvest_hunters,harvest,harvest_success_percent,harvest_average_days,draw_species,draw_hunt_name,draw_rows,draw_permits_2023_res,draw_permits_2023_nr,draw_permits_2023_total
EA1031,both,YES,Antlerless Elk,"Fillmore, Pahvant",Any Legal Weapon,49,41,20,48.4,9.3,Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",68,27,3,
EA1033,both,YES,Antlerless Elk,Kamas,Any Legal Weapon,124,107,25,23.8,6.2,Elk,Antlerless Elk - Kamas - Any Legal Weapon,68,114,11,
EA1035,both,YES,Antlerless Elk,"Kamas, Oakley",Any Legal Weapon,124,102,17,16.3,6.4,Elk,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",68,107,13,
EA1037,both,YES,Antlerless Elk,"La Sal, Dolores Triangle",Any Legal Weapon,47,40,18,45.5,3.8,Elk,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",68,45,5,
EA1038,both,YES,Antlerless Elk,"La Sal, La Sal Mtns",Any Legal Weapon,296,270,54,20,5.5,Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",68,262,30,
EA1039,both,YES,Antlerless Elk,"La Sal, La Sal Mtns",Any Legal Weapon,246,201,25,12.5,7.2,Elk,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",68,221,26,
EA1040,both,NO,Antlerless Elk,"Monroe, Koosharem Valley",Any Legal Weapon,6,4,1,25,2.5,Elk,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",68,9,1,
EA1044,both,YES,Antlerless Elk,"Morgan-South Rich, South Rich",Any Legal Weapon,35,24,11,47.1,3.2,Elk,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",68,31,4,
EA1049,both,YES,Antlerless Elk,"Mt Dutton, Deep Creek",Any Legal Weapon,72,60,17,28.1,4.6,Elk,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",68,27,3,
EA1052,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - Nine Mile, Avintaquin-west Anthro - Any Legal Weapon",68,224,25,
EA1054,both,YES,Antlerless Elk,"Nine Mile, West Anthro",Any Legal Weapon,50,44,23,52.9,3.6,Elk,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",68,124,8,
EA1056,both,YES,Antlerless Elk,"North Slope, Greendale",Any Legal Weapon,5,5,0,0,13,Elk,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",68,4,1,
EA1058,both,YES,Antlerless Elk,"North Slope, Henry's Fork-Burnt Fork",Any Legal Weapon,149,120,37,30.5,6,Elk,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",68,127,15,
EA1060,both,YES,Antlerless Elk,"North Slope, West Daggett",Muzzleloader,20,15,1,6.7,5.5,Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",68,17,1,
EA1061,both,YES,Antlerless Elk,"North Slope, West Daggett",Muzzleloader,20,18,3,16.7,5.3,Elk,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",68,18,2,
EA1063,both,YES,Antlerless Elk,Ogden,Any Legal Weapon,73,62,10,16.4,7.3,Elk,Antlerless Elk - Ogden - Any Legal Weapon,68,68,3,
EA1064,both,YES,Antlerless Elk,Ogden,Any Legal Weapon,50,40,9,23.5,5.1,Elk,Antlerless Elk - Ogden - Any Legal Weapon,68,71,1,
EA1069,both,YES,Antlerless Elk,Panguitch Lake,Any Legal Weapon,23,20,9,44.4,3.2,Elk,Antlerless Elk - Panguitch Lake - Any Legal Weapon,68,22,3,
EA1073,both,YES,Antlerless Elk,Paunsaugunt,Any Legal Weapon,20,11,3,30,6,Elk,Antlerless Elk - Paunsaugunt - Any Legal Weapon,68,18,2,
EA1074,both,NO,Antlerless Elk,Pine Valley,Any Legal Weapon,4,3,0,0,9.3,Elk,Antlerless Elk - Pine Valley - Any Legal Weapon,68,4,1,
EA1075,both,YES,Antlerless Elk,Boulder East,Any Legal Weapon,15,12,9,75,3.3,Elk,"Antlerless Elk - Plateau, Boulder East - Any Legal Weapon",68,13,1,
EA1076,both,YES,Antlerless Elk,Boulder West,Any Legal Weapon,20,17,10,60,3.6,Elk,"Antlerless Elk - Plateau, Boulder West - Any Legal Weapon",68,13,2,
EA1077,both,YES,Antlerless Elk,Boulder-Circle Cliffs,Any Legal Weapon,20,19,14,76.5,4.6,Elk,"Antlerless Elk - Plateau, Boulder-circle Cliffs - Any Legal Weapon",68,18,2,
EA1078,both,YES,Antlerless Elk,Fishlake/Thousand Lakes,Any Legal Weapon,133,129,46,35.5,5.5,Elk,"Antlerless Elk - Plateau, Fishlake/thousand Lakes - Any Legal Weapon",68,126,13,
EA1079,both,YES,Antlerless Elk,Fishlake/Thousand Lakes East,Any Legal Weapon,48,46,29,63,3.7,Elk,"Antlerless Elk - Plateau, Fishlake/thousand Lakes East - Any Legal Weapon",68,45,5,
EA1080,both,YES,Antlerless Elk,Fishlake/Thousand Lakes West,Any Legal Weapon,28,27,23,84.6,3.9,Elk,"Antlerless Elk - Plateau, Fishlake/thousand Lakes West - Any Legal Weapon",68,27,3,
EA1081,both,YES,Antlerless Elk,San Juan,Any Legal Weapon,124,112,30,27.1,4.8,Elk,Antlerless Elk - San Juan - Any Legal Weapon,68,112,12,
EA1082,both,YES,Antlerless Elk,San Juan,Any Legal Weapon,122,106,46,43,6.8,Elk,Antlerless Elk - San Juan - Any Legal Weapon,68,113,12,
EA1084,both,YES,Antlerless Elk,"San Rafael, North",Any Legal Weapon,4,2,0,0,11.5,Elk,"Antlerless Elk - San Rafael, North - Any Legal Weapon",36,4,0,
EA1085,both,YES,Antlerless Elk,Vernal/Bonanza,Archery,100,89,12,13.6,8.2,Elk,"Antlerless Elk - South Slope, Bonanza/vernal - Archery",68,73,3,
EA1087,both,YES,Antlerless Elk,Vernal/Bonanza,Any Legal Weapon,98,91,27,29.5,5.9,Elk,"Antlerless Elk - South Slope, Bonanza/vernal - Any Legal Weapon",68,92,8,
EA1089,both,YES,Antlerless Elk,Diamond Mtn,Any Legal Weapon,48,43,11,26.8,3.7,Elk,"Antlerless Elk - South Slope, Diamond Mtn - Any Legal Weapon",68,46,4,
EA1090,both,YES,Antlerless Elk,Diamond Mtn,Any Legal Weapon,48,46,14,31.1,3.2,Elk,"Antlerless Elk - South Slope, Diamond Mtn - Any Legal Weapon",68,44,4,
EA1091,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - South Slope, Diamond Mtn - Any Legal Weapon",68,41,3,
EA1094,both,YES,Antlerless Elk,Mosby Mtn,Any Legal Weapon,99,87,32,36.6,6.4,Elk,"Antlerless Elk - South Slope, Mosby Mtn - Any Legal Weapon",68,89,9,
EA1098,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",68,67,7,
EA1099,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",68,68,7,
EA1100,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",68,65,4,
EA1101,both,YES,Antlerless Elk,Southwest Desert,Any Legal Weapon,84,80,52,64.9,4.2,Elk,Antlerless Elk - Southwest Desert - Any Legal Weapon,68,99,11,
EA1106,harvest_only,YES,Antlerless Elk,"Wasatch Mtns, Avintaquin",Any Legal Weapon,193,157,34,21.4,4,,,0,,,
EA1110,both,YES,Antlerless Elk,"Wasatch Mtns, Salt Lake",Any Legal Weapon,41,35,15,42.4,7.9,Elk,"Antlerless Elk - Wasatch Mtns, Salt Lake - Any Legal Weapon",68,41,4,
EA1111,both,YES,Antlerless Elk,"Wasatch Mtns, Wallsburg",Any Legal Weapon,35,27,7,28,3.7,Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",68,31,2,
EA1112,both,YES,Antlerless Elk,"Wasatch Mtns, Wallsburg",Any Legal Weapon,51,44,8,17.9,6.3,Elk,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",68,49,5,
EA1113,both,YES,Antlerless Elk,"Wasatch Mtns, West Heber",Any Legal Weapon,30,23,9,38.9,4.8,Elk,"Antlerless Elk - Wasatch Mtns, West Heber - Any Legal Weapon",68,27,3,
EA1114,both,YES,Antlerless Elk,"Wasatch Mtns, West Timpanogos",Any Legal Weapon,34,29,17,57.7,5.2,Elk,"Antlerless Elk - Wasatch Mtns, West Timpanogos - Any Legal Weapon",68,31,4,
EA1116,both,NO,Antlerless Elk,Zion,Any Legal Weapon,20,15,0,0,7.7,Elk,Antlerless Elk - Zion - Any Legal Weapon,68,22,3,
EA1117,both,YES,Antlerless Elk,Zion,Any Legal Weapon,177,136,20,14.5,7,Elk,Antlerless Elk - Zion - Any Legal Weapon,68,164,16,
EA1118,both,YES,CWMU Antlerless Elk,Alton,Any Legal Weapon,4,3,1,50,8.5,Elk,Cwmu Antlerless Elk - Alton - Any Legal Weapon,68,9,0,
EA1119,both,YES,CWMU Antlerless Elk,Bar J Ranch,Any Legal Weapon,19,19,12,62.5,4,Elk,Cwmu Antlerless Elk - Bar J Ranch - Any Legal Weapon,68,12,0,
EA1120,both,YES,CWMU Antlerless Elk,Bear Mountain,Any Legal Weapon,17,17,4,21.4,3.9,Elk,Cwmu Antlerless Elk - Bear Mountain - Any Legal Weapon,68,14,0,
EA1121,both,YES,CWMU Antlerless Elk,Boobe Hole,Any Legal Weapon,10,10,6,60,2.6,Elk,Cwmu Antlerless Elk - Boobe Hole - Any Legal Weapon,68,10,0,
EA1122,both,YES,CWMU Antlerless Elk,Causey Spring,Any Legal Weapon,5,5,2,40,3,Elk,Cwmu Antlerless Elk - Causey Spring - Any Legal Weapon,68,5,0,
EA1124,both,YES,CWMU Antlerless Elk,Chimney Rock,Any Legal Weapon,12,12,3,25,2.1,Elk,Cwmu Antlerless Elk - Chimney Rock - Any Legal Weapon,68,12,0,
EA1125,both,YES,CWMU Antlerless Elk,Coldwater Ranch,Any Legal Weapon,20,19,14,72.2,1.8,Elk,Cwmu Antlerless Elk - Coldwater Ranch - Any Legal Weapon,68,20,0,
EA1126,both,NO,CWMU Antlerless Elk,Cotton Thomas,Any Legal Weapon,5,3,0,0,3,Elk,Cwmu Antlerless Elk - Cotton Thomas - Any Legal Weapon,36,4,0,
EA1129,both,YES,CWMU Antlerless Elk,Deseret,Any Legal Weapon,576,541,373,69,2.6,Elk,Cwmu Antlerless Elk - Deseret - Any Legal Weapon,68,310,0,
EA1130,both,YES,CWMU Antlerless Elk,Double Cone,Any Legal Weapon,7,6,1,20,5,Elk,Cwmu Antlerless Elk - Double Cone - Any Legal Weapon,36,4,0,
EA1131,both,YES,CWMU Antlerless Elk,Durst Mountain,Any Legal Weapon,29,29,22,75,1.7,Elk,Cwmu Antlerless Elk - Durst Mountain - Any Legal Weapon,68,25,0,
EA1132,both,YES,CWMU Antlerless Elk,East Fork Chalk Creek,Any Legal Weapon,66,59,24,40,4.3,Elk,Cwmu Antlerless Elk - East Fork Chalk Creek - Any Legal Weapon,68,30,0,
EA1134,both,YES,CWMU Antlerless Elk,Ensign Ranches,Any Legal Weapon,110,100,55,55.1,2.2,Elk,Cwmu Antlerless Elk - Ensign Ranches - Any Legal Weapon,68,60,0,
EA1135,both,YES,CWMU Antlerless Elk,Folley Ridge,Any Legal Weapon,19,18,11,60,2.1,Elk,Cwmu Antlerless Elk - Folley Ridge - Any Legal Weapon,68,8,0,
EA1136,both,YES,CWMU Antlerless Elk,Grass Valley/Clark Canyon,Any Legal Weapon,92,90,66,74,2.1,Elk,Cwmu Antlerless Elk - Grass Valley/clark Canyon - Any Legal Weapon,68,50,0,
EA1137,both,YES,CWMU Antlerless Elk,Grazing Pasture,Any Legal Weapon,15,14,14,100,3.4,Elk,Cwmu Antlerless Elk - Grazing Pasture - Any Legal Weapon,68,9,0,
EA1138,both,YES,CWMU Antlerless Elk,Guildersleeve,Any Legal Weapon,20,20,11,52.6,3.3,Elk,Cwmu Antlerless Elk - Guildersleeve - Any Legal Weapon,68,8,0,
EA1139,both,YES,CWMU Antlerless Elk,Hardscrabble,Any Legal Weapon,9,9,4,44.4,3.4,Elk,Cwmu Antlerless Elk - Hardscrabble - Any Legal Weapon,68,10,0,
EA1140,both,YES,CWMU Antlerless Elk,Heaston East,Any Legal Weapon,24,24,24,100,1.4,Elk,Cwmu Antlerless Elk - Heaston East - Any Legal Weapon,68,8,0,
EA1141,both,YES,CWMU Antlerless Elk,Hiawatha,Any Legal Weapon,15,13,9,71.4,3.1,Elk,Cwmu Antlerless Elk - Hiawatha - Any Legal Weapon,68,12,0,
EA1142,both,YES,CWMU Antlerless Elk,Indian Head,Any Legal Weapon,11,11,4,40,3.1,Elk,Cwmu Antlerless Elk - Indian Head - Any Legal Weapon,68,8,0,
EA1143,both,YES,CWMU Antlerless Elk,J. B. Ranch,Any Legal Weapon,35,34,31,90.6,1.9,Elk,Cwmu Antlerless Elk - J.b. Ranch - Any Legal Weapon,68,21,0,
EA1144,draw_only,NO,,,,,,,,,Elk,Cwmu Antlerless Elk - Jacob's Creek - Any Legal Weapon,36,6,0,
EA1145,both,YES,CWMU Antlerless Elk,Johnson Mountain Ranch,Any Legal Weapon,20,19,17,89.5,1.6,Elk,Cwmu Antlerless Elk - Johnson Mountain Ranch - Any Legal Weapon,68,20,0,
EA1146,both,YES,CWMU Antlerless Elk,Jump Creek,Any Legal Weapon,14,12,4,33.3,3.3,Elk,Cwmu Antlerless Elk - Jump Creek - Any Legal Weapon,68,9,0,
EA1147,both,YES,CWMU Antlerless Elk,Little Red Creek,Any Legal Weapon,14,14,12,84.6,2.2,Elk,Cwmu Antlerless Elk - Little Red Creek - Any Legal Weapon,68,15,0,
EA1149,both,YES,CWMU Antlerless Elk,Minnie Maud Ridge,Any Legal Weapon,8,8,0,0,7,Elk,Cwmu Antlerless Elk - Minnie Maud Ridge - Any Legal Weapon,68,8,0,
EA1151,both,YES,CWMU Antlerless Elk,Moon Ranch,Any Legal Weapon,6,5,0,0,2.2,Elk,Cwmu Antlerless Elk - Moon Ranch - Any Legal Weapon,68,6,0,
EA1153,both,YES,CWMU Antlerless Elk,Old Woman Plateau,Any Legal Weapon,4,4,1,33.3,3,Elk,Cwmu Antlerless Elk - Old Woman Plateau - Any Legal Weapon,68,4,0,
EA1155,draw_only,NO,,,,,,,,,Elk,Cwmu Antlerless Elk - Powder Mountain - Any Legal Weapon,36,1,0,
EA1156,both,YES,CWMU Antlerless Elk,Preston Nutter Ranch,Any Legal Weapon,7,6,5,80,1.4,Elk,Cwmu Antlerless Elk - Preston Nutter Ranch - Any Legal Weapon,68,5,0,
EA1157,both,YES,CWMU Antlerless Elk,Redd Ranches,Any Legal Weapon,33,32,21,66.7,2.7,Elk,Cwmu Antlerless Elk - Redd Ranches - Any Legal Weapon,68,35,0,
EA1158,both,YES,CWMU Antlerless Elk,Riverview Ranch LLC,Any Legal Weapon,9,9,8,87.5,1.9,Elk,Cwmu Antlerless Elk - Riverview Ranch Llc - Any Legal Weapon,68,7,0,
EA1159,both,YES,CWMU Antlerless Elk,Roan Cliffs,Any Legal Weapon,6,5,1,25,2.8,Elk,Cwmu Antlerless Elk - Roan Cliffs - Any Legal Weapon,68,4,0,
EA1160,both,YES,CWMU Antlerless Elk,Sand Creek,Any Legal Weapon,5,5,5,100,2.5,Elk,Cwmu Antlerless Elk - Sand Creek - Any Legal Weapon,68,5,0,
EA1161,both,YES,CWMU Antlerless Elk,Scofield Canyons,Any Legal Weapon,9,9,7,75,1.8,Elk,Cwmu Antlerless Elk - Scofield Canyons - Any Legal Weapon,68,9,0,
EA1162,both,YES,CWMU Antlerless Elk,Scofield East,Any Legal Weapon,14,14,12,84.6,1.8,Elk,Cwmu Antlerless Elk - Scofield East - Any Legal Weapon,68,9,0,
EA1163,both,YES,CWMU Antlerless Elk,Scofield West,Any Legal Weapon,26,22,13,57.9,3.3,Elk,Cwmu Antlerless Elk - Scofield West - Any Legal Weapon,68,30,0,
EA1164,both,YES,CWMU Antlerless Elk,SJ Ranch,Any Legal Weapon,6,6,2,33.3,3.2,Elk,Cwmu Antlerless Elk - Sj Ranch - Any Legal Weapon,68,6,0,
EA1165,both,YES,CWMU Antlerless Elk,Skull Crack,Any Legal Weapon,12,11,8,71.4,1,Elk,Cwmu Antlerless Elk - Skull Crack - Any Legal Weapon,68,15,0,
EA1166,both,YES,CWMU Antlerless Elk,Soldier Summit,Any Legal Weapon,16,15,5,30.8,2.5,Elk,Cwmu Antlerless Elk - Soldier Summit - Any Legal Weapon,68,9,0,
EA1167,both,YES,CWMU Antlerless Elk,South Canyon,Any Legal Weapon,10,10,8,80,1.9,Elk,Cwmu Antlerless Elk - South Canyon - Any Legal Weapon,68,10,0,
EA1168,both,YES,CWMU Antlerless Elk,Spring Creek/Dodge,Any Legal Weapon,20,17,13,80,3.8,Elk,Cwmu Antlerless Elk - Spring Creek/dodge - Any Legal Weapon,68,14,0,
EA1170,both,YES,CWMU Antlerless Elk,Strawberry Ridge,Any Legal Weapon,10,10,10,100,1.7,Elk,Cwmu Antlerless Elk - Strawberry Ridge - Any Legal Weapon,68,10,0,
EA1171,both,YES,CWMU Antlerless Elk,Summit Point,Any Legal Weapon,10,10,8,75,4.9,Elk,Cwmu Antlerless Elk - Summit Point - Any Legal Weapon,36,2,0,
EA1172,both,YES,CWMU Antlerless Elk,Three C,Any Legal Weapon,17,17,16,93.3,2.1,Elk,Cwmu Antlerless Elk - Three C - Any Legal Weapon,68,12,0,
EA1174,both,YES,CWMU Antlerless Elk,Two Bear,Any Legal Weapon,56,53,40,76.5,1.6,Elk,Cwmu Antlerless Elk - Two Bear - Any Legal Weapon,68,60,0,
EA1175,both,YES,CWMU Antlerless Elk,Wallsburg,Any Legal Weapon,10,9,0,0,2.6,Elk,Cwmu Antlerless Elk - Wallsburg - Any Legal Weapon,68,7,0,
EA1176,both,NO,CWMU Antlerless Elk,Weber Florence Creek,Any Legal Weapon,94,90,21,23.8,3.5,Elk,Cwmu Antlerless Elk - Weber Florence Creek - Any Legal Weapon,68,46,0,
EA1177,both,YES,CWMU Antlerless Elk,Woodruff Creek South,Any Legal Weapon,8,8,4,50,4.3,Elk,Cwmu Antlerless Elk - Woodruff Creek South - Any Legal Weapon,68,8,0,
EA1187,both,YES,Antlerless Elk,"Paunsaugunt, Hatch Bench",Any Legal Weapon,15,12,1,8.3,8.7,Elk,"Antlerless Elk - Paunsaugunt, Hatch Bench - Any Legal Weapon",36,11,1,
EA1189,both,YES,Antlerless Elk,"Wasatch Mtns, West-Central",Muzzleloader,421,345,43,12.6,3.7,Elk,"Antlerless Elk - Wasatch Mtns, West-central - Muzzleloader",68,392,26,
EA1192,both,YES,CWMU Antlerless Elk,Pahvant Ensign,Any Legal Weapon,6,6,2,33.3,1.7,Elk,Cwmu Antlerless Elk - Pahvant Ensign - Any Legal Weapon,68,6,0,
EA1193,both,YES,Antlerless Elk,"Cache, Rich",Any Legal Weapon,19,14,6,46.2,4.7,Elk,"Antlerless Elk - Cache, Rich - Any Legal Weapon",68,46,4,
EA1194,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",68,4,0,
EA1196,both,YES,Antlerless Elk,"North Slope, Summit",Any Legal Weapon,74,70,9,12.5,5.5,Elk,"Antlerless Elk - North Slope, Summit - Any Legal Weapon",68,67,8,
EA1198,both,YES,CWMU Antlerless Elk,Bear Springs,Any Legal Weapon,2,2,0,0,4.5,Elk,Cwmu Antlerless Elk - Bear Springs - Any Legal Weapon,68,2,0,
EA1200,harvest_only,YES,CWMU Antlerless Elk,Double R Ranch,Any Legal Weapon,10,8,6,75,2.3,,,0,,,
EA1201,both,YES,CWMU Antlerless Elk,Mountain Sky Ranch,Any Legal Weapon,10,10,5,50,3.8,Elk,Cwmu Antlerless Elk - Mountain Sky Ranch - Any Legal Weapon,68,5,0,
EA1203,both,YES,Antlerless Elk,"Box Elder, Pilot Mtn",Any Legal Weapon,5,5,3,50,4.5,Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",68,4,1,
EA1204,both,YES,Antlerless Elk,"Box Elder, Pilot Mtn",Any Legal Weapon,5,5,0,0,3.2,Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",68,4,1,
