hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line,database_status,database_hunt_name,database_species,database_season,name_overlap_score,name_status,season_status,difference_severity,difference_reason
DB1006,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Paunsaugunt DB1006 Sept. 23-Oct. 1,MATCHED,Paunsaugunt Premium,Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1007,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,"See DB1000, DB1003 and DB1005","See DB1000, DB1003 and DB1005",,,"Henry Mtns DB1007 See DB1000, DB1003 and DB1005",MATCHED,Henry Mtns Premium,Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MULTI_COLUMN_TEXT_NOT_COMPARABLE,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1008,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,"See DB1001, DB1004 and DB1006","See DB1001, DB1004 and DB1006",,,"Paunsaugunt DB1008 See DB1001, DB1004 and DB1006",MATCHED,Paunsaugunt Premium,Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 31, 2026",1.0,MULTI_COLUMN_TEXT_NOT_COMPARABLE,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1009,50,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns (any legal weapon),Oct. 26-Oct. 30,Oct. 26-Oct. 30,,,Henry Mtns (any legal weapon) DB1009 Oct. 26-Oct. 30,MATCHED,Henry Mtns Management,Deer,Oct 26 2026 - Oct 30 2026,0.4,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
DB1010,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (any legal weapon),Nov. 2-Nov. 20,Nov. 2-Nov. 20,,,Paunsaugunt (any legal weapon) DB1010 Nov. 2-Nov. 20,MATCHED,Paunsaugunt Management,Deer,Nov 02 2026 - Nov 20 2026,0.25,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
DB1011,50,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Book Cliffs DB1011 Aug. 15-Sept. 11,MATCHED,Book Cliffs,Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1012,50,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Fillmore, Oak Creek LE DB1012 Aug. 15-Sept. 11",MATCHED,"Fillmore, Oak Creek LE",Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1013,50,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,Oct. 31-Nov. 13,Oct. 31-Nov. 13,,,Dolores Triangle DB1013 Oct. 31-Nov. 13,MATCHED,Dolores Triangle,Deer,Oct 31 2026 - Nov 13 2026,1.0,MATCH,MATCH,OK,
DB1014,50,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"San Juan, Elk Ridge DB1014 Aug. 15-Sept. 11",MATCHED,"San Juan, Elk Ridge",Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1015,50,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Diamond Mtn DB1015 Aug. 15-Sept. 11,MATCHED,Diamond Mtn,Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1016,50,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"West Desert, Vernon DB1016 Aug. 15-Sept. 11",MATCHED,"West Desert, Vernon",Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1017,51,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, North",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Book Cliffs, North DB1017 Oct. 17-Oct. 25",MATCHED,"Book Cliffs, North",Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1018,51,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, South",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Book Cliffs, South DB1018 Oct. 17-Oct. 25",MATCHED,"Book Cliffs, South",Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1019,51,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"Fillmore, Oak Creek LE DB1019 Oct. 17-Oct. 25",MATCHED,"Fillmore, Oak Creek LE",Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1020,51,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,Nov. 14-Nov. 22,Nov. 14-Nov. 22,,,Dolores Triangle DB1020 Nov. 14-Nov. 22,MATCHED,Dolores Triangle,Deer,Nov 14 2026 - Nov 22 2026,1.0,MATCH,MATCH,OK,
DB1022,51,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"San Juan, Elk Ridge DB1022 Oct. 17-Oct. 25",MATCHED,"San Juan, Elk Ridge",Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1023,51,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Diamond Mtn DB1023 Oct. 17-Oct. 25,MATCHED,Diamond Mtn,Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1024,51,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,"West Desert, Vernon DB1024 Oct. 17-Oct. 25",MATCHED,"West Desert, Vernon",Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1025,51,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Book Cliffs DB1025 Sept. 23-Oct. 1,MATCHED,Book Cliffs,Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1026,51,BUCK_DEER_HUNT_TABLES,Deer,"Cache, Crawford Mtn",Nov. 7-Nov. 22,Nov. 7-Nov. 22,,,"Cache, Crawford Mtn DB1026 Nov. 7-Nov. 22",MATCHED,"Cache, Crawford Mtn",Deer,Nov 07 2026 - Nov 22 2026,1.0,MATCH,MATCH,OK,
DB1028,52,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Fillmore DB1028 Oct. 28-Nov. 5,MATCHED,Fillmore,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1029,51,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"Fillmore, Oak Creek LE DB1029 Sept. 23-Oct. 1",MATCHED,"Fillmore, Oak Creek LE",Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1030,52,BUCK_DEER_HUNT_TABLES,Deer,Kamas,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Kamas DB1030 Oct. 28-Nov. 5,MATCHED,Kamas,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1031,51,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,Nov. 23-Dec. 1,Nov. 23-Dec. 1,,,Dolores Triangle DB1031 Nov. 23-Dec. 1,MATCHED,Dolores Triangle,Deer,Nov 23 2026 - Dec 01 2026,1.0,MATCH,MATCH,OK,
DB1032,52,BUCK_DEER_HUNT_TABLES,Deer,Monroe,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Monroe DB1032 Oct. 28-Nov. 5,MATCHED,Monroe,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1033,52,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Nine Mile DB1033 Oct. 28-Nov. 5,MATCHED,Nine Mile,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1034,52,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Pine Valley DB1034 Oct. 28-Nov. 5,MATCHED,Pine Valley,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1037,51,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"San Juan, Elk Ridge DB1037 Sept. 23-Oct. 1",MATCHED,"San Juan, Elk Ridge",Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1038,51,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Diamond Mtn DB1038 Sept. 23-Oct. 1,MATCHED,Diamond Mtn,Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1039,53,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Yellowstone DB1039 Oct. 28-Nov. 5,MATCHED,Yellowstone,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1040,52,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Southwest Desert DB1040 Oct. 28-Nov. 5,MATCHED,Southwest Desert,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1041,52,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Wasatch Mtns, East DB1041 Oct. 28-Nov. 5",MATCHED,"Wasatch Mtns, East",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1042,51,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"West Desert, Vernon DB1042 Sept. 23-Oct. 1",MATCHED,"West Desert, Vernon",Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
DB1043,53,BUCK_DEER_HUNT_TABLES,Deer,Zion,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Zion DB1043 Oct. 28-Nov. 5,MATCHED,Zion,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1044,53,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,All limited-entry seasons,All limited-entry seasons,,,Book Cliffs DB1044 All limited-entry seasons,MATCHED,Book Cliffs,Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1045,53,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",All limited-entry seasons,All limited-entry seasons,,,"Fillmore, Oak Creek LE DB1045 All limited-entry seasons",MATCHED,"Fillmore, Oak Creek LE",Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1046,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",All limited-entry seasons,All limited-entry seasons,,,"San Juan, Elk Ridge DB1046 All limited-entry seasons",MATCHED,"San Juan, Elk Ridge",Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1047,53,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,All limited-entry seasons,All limited-entry seasons,,,Diamond Mtn DB1047 All limited-entry seasons,MATCHED,Diamond Mtn,Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1048,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",All limited-entry seasons,All limited-entry seasons,,,"West Desert, Vernon DB1048 All limited-entry seasons",MATCHED,"West Desert, Vernon",Deer,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1.0,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1053,52,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Mt Dutton DB1053 Oct. 28-Nov. 5,MATCHED,Mt Dutton,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1054,52,BUCK_DEER_HUNT_TABLES,Deer,Ogden,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Ogden DB1054 Oct. 28-Nov. 5,MATCHED,Ogden,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1055,52,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Fishlake DB1055 Oct. 28-Nov. 5,MATCHED,Fishlake,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1058,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,Nov. 2-Nov. 20,Nov. 2-Nov. 20,,,Paunsaugunt DB1058 Nov. 2-Nov. 20,MATCHED,Paunsaugunt Cactus,Deer,Nov 02 2026 - Nov 20 2026,0.5,MATCH,MATCH,OK,
DB1065,52,BUCK_DEER_HUNT_TABLES,Deer,North Slope,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,North Slope DB1065 Oct. 28-Nov. 5,MATCHED,North Slope,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1073,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (archery),Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Paunsaugunt (archery) DB1073 Aug. 15-Sept. 11,MATCHED,Paunsaugunt Management,Deer,Aug 15 2026 - Sept 11 2026,0.5,MATCH,MATCH,OK,
DB1074,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (muzzleloader),Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Paunsaugunt (muzzleloader) DB1074 Sept. 23-Oct. 1,MATCHED,Paunsaugunt Management,Deer,Sept 23 2026 - Oct 01 2026,0.5,MATCH,MATCH,OK,
DB1077,52,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Box Elder DB1077 Oct. 28-Nov. 5,MATCHED,Box Elder,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1078,52,BUCK_DEER_HUNT_TABLES,Deer,Cache,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Cache DB1078 Oct. 28-Nov. 5,MATCHED,Cache,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1079,52,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Manti/San Rafael DB1079 Oct. 28-Nov. 5,MATCHED,Manti/San Rafael,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1080,52,BUCK_DEER_HUNT_TABLES,Deer,Nebo,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Nebo DB1080 Oct. 28-Nov. 5,MATCHED,Nebo,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1081,52,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,La Sal Mtns DB1081 Oct. 28-Nov. 5,MATCHED,La Sal Mtns,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1083,52,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Panguitch Lake DB1083 Oct. 28-Nov. 5,MATCHED,Panguitch Lake,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1084,52,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Boulder/Kaiparowits DB1084 Oct. 28-Nov. 5,MATCHED,Boulder/Kaiparowits,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1085,52,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"San Juan, Abajo Mtns DB1085 Oct. 28-Nov. 5",MATCHED,"San Juan, Abajo Mtns",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1086,52,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Vernal/Bonanza DB1086 Oct. 28-Nov. 5,MATCHED,Vernal/Bonanza,Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1087,53,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Wasatch Mtns, West DB1087 Oct. 28-Nov. 5",MATCHED,"Wasatch Mtns, West",Deer,Oct 28 2026 - Nov 05 2026,1.0,MATCH,MATCH,OK,
DB1090,53,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, Floy Canyon",Nov. 7-Nov. 30,Nov. 7-Nov. 30,,,"Book Cliffs, Floy Canyon DB1090 Nov. 7-Nov. 30",MATCHED,HAMSS,Deer,Nov 07 2026 - Nov 30 2026,0.0,REVIEW,MATCH,WARNING,NAME_NEEDS_REVIEW
