hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_draw_source,permits_2025_source,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_total,huntCode,code,title,unitName,unitCode,boundaryId,boundary_id_numeric,boundary_token,resolvedBoundaryIds,permits_2026_source,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,NOTES,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6516,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Nov 25 2026 - Dec 6 2026,5,0,5,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,13,13,100,3.5,4.5,Public,6,0,6,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,0,541,7,Bonus Point Draw Results,5,BI6516,BI6516,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6531,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Sept 21 2026 - Oct 02 2026,7,0,7,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,7,6,85.7,3.7,3.7,Public,10,0,10,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,7,0,544,10,Bonus Point Draw Results,7,BI6531,BI6531,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,"[""889""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6534,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Sept 12 2026 - Sept 20 2026,5,0,5,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,4,4,100,2.5,3.8,Public,10,0,10,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,0,546,12,Bonus Point Draw Results,5,BI6534,BI6534,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,"[""667""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6535,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Oct 03 2026 - Oct 15 2026,5,0,5,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,5,5,100,4.2,4.4,Public,8,0,8,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,0,547,13,Bonus Point Draw Results,5,BI6535,BI6535,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,"[""667""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6537,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Nov 07 2026 - Jan 31 2027,5,5,10,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,11,10,90.9,3.7,4.6,Public,8,7,15,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,5,549,15,Bonus Point Draw Results,10,BI6537,BI6537,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,"[""889""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,8,7,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6509,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Archery,Hunters Choice,FALSE,OIL,"Jan 18 - 31, 2027",4,0,4,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,3,2,66.7,7,4.3,Public,5,0,5,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,4,0,540,6,Bonus Point Draw Results,4,BI6509,BI6509,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6528,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Archery,Hunters Choice,FALSE,OIL,Aug 15 2026 - Sept 11 2026,5,0,5,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,5,5,100,2,5,Public,5,0,5,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,0,542,8,Bonus Point Draw Results,5,BI6528,BI6528,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,"[""889""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6532,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Archery,Hunters Choice,FALSE,OIL,Aug 15 2026 - Sept 11 2026,5,0,5,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,3,3,100,2,5,Public,5,0,5,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,0,545,11,Bonus Point Draw Results,5,BI6532,BI6532,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,"[""667""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI1000,5000,Bison - Statewide Permit,Bison,Statewide Permit,Statewide,Sportsman,Any Legal Weapon,Hunters Choice,FALSE,STANDARD,"Aug 1, 2026 - Jan 31, 2027",,,,,,,2,2,100,1,5,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,bison bull.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,BI1000,BI1000,Bison - Statewide Permit,Bison - Statewide Permit,900006,900006,900006,SW_BISON_2026,"[""1"", ""94"", ""615"", ""667"", ""889""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
BR1007,5003,Black Bear Pursuit - Resident,Black Bear,Pursuit,Pursuit,O.T.C.,Pursuit Only,Either Sex,FALSE,STANDARD,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,,,,,,,,,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,../notes/DATABASE/BR1007-notes.md,,,,black bear.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,BR1007,BR1007,Black Bear Pursuit - Resident,Black Bear Pursuit - Resident,900007,900007,900007,SW_BLACK_BEAR_2026,"[""SW_BLACK_BEAR_2026""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,"Black Bear pursuit permit - resident: Pursuit only; this permit authorizes pursuit, but not harvest, of black bears. Season dates shown in the BR1007 print packet are Spring: Mar 28-May 25, 2026; Summer: July 5-July 31, 2026; Fall: Nov 2-8, 2026. The packet states a pursuit permit allows pursuit during open pursuit seasons and includes a warning that National Forests may contain private land requiring written permission. Full BR1007 area-specific pursuit information is indexed in 2026_black_bear_pursuit_BR1007_area_info_index.csv and sourced from black bear pursuit.pdf.",,,,,,
BR1000,5001,Black Bear - Statewide Permit,Black Bear,Statewide Permit,Statewide,Sportsman,Any Legal Weapon,Either Sex,FALSE,STANDARD,,,,,,,,,,,,,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,../notes/DATABASE/BR1000-notes.md,,,,black bear.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,BR1000,BR1000,Black Bear - Statewide Permit,Black Bear - Statewide Permit,900007,900007,900007,SW_BLACK_BEAR_2026,"[""SW_BLACK_BEAR_2026""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,"Black Bear statewide permit: Any open season on any open bear unit during the 2026 season. See the 2026 Black Bear Guidebook and the BR1000 print packet for season dates, legal methods, access notes, land ownership, and unit-specific restrictions. Special provisions: this packet identifies the statewide permit as a late-season bear conservation permit and includes the required harvest reporting language. Any harvested bear must be checked by a DWR employee within 48 hours of kill; permanent possession tag requirements apply. Full BR1000 area-specific information is indexed in 2026_black_bear_statewide_BR1000_area_info_index.csv and sourced from BR1000 Print.pdf.",,,,,,
CG9999,5107,Cougar - Statewide,Cougar,Statewide Permit,Statewide,Sportsman,Any Legal Weapon,Either Sex,FALSE,STANDARD,,,,,,,,,,,,,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,,,,cougar.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,CG9999,CG9999,Cougar - Statewide,Cougar - Statewide,900008,900008,900008,SW_COUGAR_2026,"[""SW_COUGAR_2026""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DA1011,806,George Creek CWMU,Deer,CWMU,CWMU,CWMU,Any Legal Weapon,Antlerless,FALSE,STANDARD,Contact operator for 2025 season dates,5,0,5,,2025_DRAW_RESULTS_TABLES,,5,4,80,1.4,4.6,CWMU,5,0,5,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,TRUE,FALSE,TRUE,antlerless deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DA1011,DA1011,George Creek CWMU,George Creek CWMU,806,806,806,806,"[""806""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DA1012,589,Junction Valley CWMU,Deer,CWMU,CWMU,CWMU,Any Legal Weapon,Antlerless,FALSE,STANDARD,Contact operator for 2025 season dates,15,0,15,,2025_DRAW_RESULTS_TABLES,,14,14,100,1.8,5,CWMU,15,0,15,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,TRUE,FALSE,TRUE,antlerless deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DA1012,DA1012,Junction Valley CWMU,Junction Valley CWMU,589,589,589,589,"[""589""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DA1013,533,Mt Carmel CWMU,Deer,CWMU,CWMU,CWMU,Any Legal Weapon,Antlerless,FALSE,STANDARD,Contact operator for 2025 season dates,5,0,5,,2025_DRAW_RESULTS_TABLES,,4,3,75,2,4.8,CWMU,5,0,5,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,TRUE,FALSE,TRUE,antlerless deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DA1013,DA1013,Mt Carmel CWMU,Mt Carmel CWMU,533,533,533,533,"[""533""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DA1050,509,The Rose of Snowville CWMU,Deer,CWMU,CWMU,CWMU,Any Legal Weapon,Antlerless,FALSE,STANDARD,Contact operator for 2025 season dates,8,0,8,,2025_DRAW_RESULTS_TABLES,,8,6,75,1,4,CWMU,8,0,8,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,TRUE,FALSE,TRUE,antlerless deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,,,,,,,DA1050,DA1050,The Rose of Snowville CWMU,The Rose of Snowville CWMU,509,509,509,509,"[""509""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
DB1200,526,Alton - Premium Buck CWMU,Deer,CWMU,CWMU,CWMU,Any Legal Weapon,Buck,FALSE,STANDARD,Contact operator for 2026 season dates,3,0,3,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,20,18,90,5,4.7,CWMU,3,0,3,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,TRUE,TRUE,FALSE,buck_deer.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,COMPLETE,3,0,82,97,Bonus Point Draw Results,3,DB1200,DB1200,Alton - Premium Buck CWMU,Alton - Premium Buck CWMU,526,526,526,526,"[""526""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
